Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,86.52,86.72,85.93,85.93,55.21,-0.97%,2157494
2015/3/25,85.85,86,84.35,84.35,54.282,-1.84%,4104165
2015/3/26,84.25,84.95,83.88,84.32,54.263,-0.04%,2610077
2015/3/27,84.23,85,84.1,84.85,54.604,0.63%,2120242
2015/3/30,85,85.753,84.98,85.6,55.086,0.88%,1800631
2015/3/31,85.39,85.51,84.85,84.9,54.636,-0.82%,2513538
2015/4/1,84.78,84.84,83.66,83.9,53.992,-1.18%,2697152
2015/4/2,84.08,84.53,83.591,84.19,54.179,0.35%,1974503
2015/4/6,83.78,85.36,83.51,84.97,54.681,0.93%,1637937
2015/4/7,84.69,85.99,84.62,85.33,54.913,0.42%,2637050
2015/4/8,85.36,85.62,84.89,85.35,54.926,0.02%,2348258
2015/4/9,85.09,85.59,84.91,85.46,54.996,0.13%,1643677
2015/4/10,85.83,85.845,84.83,84.98,54.687,-0.56%,2890418
2015/4/13,85.34,85.58,84.68,85.23,54.848,0.29%,2373426
2015/4/14,84.93,85.58,84.61,85.48,55.009,0.29%,2305588
2015/4/15,85.25,85.77,85.25,85.6,55.086,0.14%,2282967
2015/4/16,85.23,85.78,85.1,85.44,54.983,-0.19%,2894316
2015/4/17,84.75,84.8,83.74,84.22,54.198,-1.43%,3719431
2015/4/20,84.81,85.18,84.54,84.92,54.649,0.83%,2687269
2015/4/21,85.12,85.5,85,85.2,54.829,0.33%,2628987
2015/4/22,85.09,85.41,84.63,85.25,54.861,0.06%,4376847
2015/4/23,84.56,85.14,83.65,84.69,54.501,-0.66%,7629430
2015/4/24,84.39,84.54,83.05,83.3,53.606,-1.64%,5961877
2015/4/27,84.02,84.3,83.02,83.09,53.471,-0.25%,4481303
2015/4/28,82.83,83.28,82.58,83.26,53.581,0.20%,2485940
2015/4/29,82.96,83.21,82.61,82.8,53.285,-0.55%,3327456
2015/4/30,82.7,82.83,81.59,81.88,52.692,-1.11%,2940207
2015/5/1,82.09,82.74,81.94,82.52,53.104,0.78%,2595397
2015/5/4,82.6,83.2,82.53,82.69,53.214,0.21%,1895236
2015/5/5,82.71,82.97,82.23,82.4,53.027,-0.35%,2873614
2015/5/6,82.68,82.95,81.87,82.34,52.988,-0.07%,3090399
2015/5/7,82.27,83.47,82.22,83.19,53.535,1.03%,3754672
2015/5/8,83.85,84.42,83.74,84.03,54.076,1.01%,2545839
2015/5/11,83.84,84.13,83.56,83.56,53.774,-0.56%,2260103
2015/5/12,83.3,86.35,83.27,86,55.344,2.92%,9729772
2015/5/13,90,90.25,86.46,87.35,56.213,1.57%,18878952
2015/5/14,87.98,88.36,87.41,87.84,56.528,0.56%,9568624
2015/5/15,87.78,88.08,86.34,86.45,55.633,-1.58%,8066997
2015/5/18,86.56,87.6,86.56,87.26,56.155,0.94%,4682340
2015/5/19,87.27,87.44,86.36,86.49,55.659,-0.88%,3608094
2015/5/20,86.51,87.24,86.1,87.02,56,0.61%,4110543
2015/5/21,86.99,87.28,86.67,86.9,55.923,-0.14%,3815084
2015/5/22,86.95,87.56,86.58,86.61,55.736,-0.33%,2937970
2015/5/26,86.56,86.914,85.965,86.18,55.46,-0.50%,2694613
2015/5/27,86.17,87.46,86.033,87.42,56.258,1.44%,3576693
2015/5/28,87.35,87.5,86.78,87.32,56.193,-0.11%,3152760
2015/5/29,87.1,87.38,85.995,86.32,55.55,-1.15%,3043630
2015/6/1,86.5,87.155,86.05,86.9,55.923,0.67%,2874789
2015/6/2,86.45,86.92,86.12,86.79,55.852,-0.13%,2486238
2015/6/3,86.83,87.435,86.66,87.24,56.142,0.52%,2379893
2015/6/4,86.56,86.9,85.61,85.8,55.215,-1.65%,2747791
2015/6/5,85.62,85.99,85.46,85.89,55.273,0.10%,2001515
2015/6/8,85.59,85.81,84.85,84.91,54.642,-1.14%,3189467
2015/6/9,85.03,85.79,84.7,85.2,54.829,0.34%,2635413
2015/6/10,85.46,86.11,85.2,86.02,55.357,0.96%,2389668
2015/6/11,86.25,86.4,85.75,85.93,55.299,-0.10%,2292605
2015/6/12,85.82,85.89,84.92,85.05,54.732,-1.02%,3206696
2015/6/15,84.6,84.75,84.12,84.46,54.353,-0.69%,2418488
2015/6/16,84.35,84.85,84.33,84.63,54.462,0.20%,1909850
