Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,56.074,56.607,55.864,56.422,47.094,0.61%,1302544
2015/3/25,56.648,56.68,55.775,56.099,46.824,-0.57%,1832319
2015/3/26,55.695,56.3,55.598,56.139,46.858,0.07%,1947591
2015/3/27,56.268,56.753,56.01,56.341,47.027,0.36%,1460430
2015/3/30,56.721,57.052,56.405,56.947,47.532,1.08%,1198773
2015/3/31,56.575,56.575,55.46,55.832,46.602,-1.96%,2226348
2015/4/1,55.808,56.474,55.363,56.074,46.804,0.43%,1390271
2015/4/2,56.09,57.044,55.735,56.284,46.98,0.37%,1641487
2015/4/6,55.994,58.263,55.945,57.666,48.132,2.46%,2003736
2015/4/7,57.391,58.174,57.351,57.649,48.119,-0.03%,1639020
2015/4/8,57.359,58.11,57.237,57.722,48.18,0.13%,2540761
2015/4/9,57.536,58.061,57.318,57.851,48.288,0.22%,1626421
2015/4/10,57.342,57.351,55.792,56.058,46.791,-3.10%,5594913
2015/4/13,56.058,56.947,55.784,56.454,47.121,0.71%,1713686
2015/4/14,56.3,57.447,56.252,57.278,47.809,1.46%,2010452
2015/4/15,57.754,59.96,57.536,59.766,49.885,4.34%,3267343
2015/4/16,59.548,59.935,59.079,59.2,49.413,-0.95%,2124681
2015/4/17,58.611,58.837,57.942,58.263,48.631,-1.58%,1919017
2015/4/20,58.522,59.152,58.522,58.958,49.211,1.19%,1836221
2015/4/21,58.869,59.37,57.779,58.102,48.497,-1.45%,2520336
2015/4/22,58.061,58.158,57.383,58.069,48.47,-0.06%,1863219
2015/4/23,58.134,60.441,58.11,60.081,50.148,3.46%,3093882
2015/4/24,59.911,60.267,59.079,59.645,49.784,-0.73%,1921891
2015/4/27,59.782,61.01,59.523,60.937,50.863,2.17%,2575770
2015/4/28,60.679,61.252,60.557,61.163,51.052,0.37%,2700300
2015/4/29,60.743,62.553,60.396,61.842,51.618,1.11%,3375361
2015/4/30,61.624,61.987,60.913,61.163,51.052,-1.10%,2616493
2015/5/1,61.163,61.712,60.501,60.832,50.775,-0.54%,3524845
2015/5/4,60.848,61.405,60.582,61.002,50.917,0.28%,1931918
2015/5/5,61.163,62.084,60.557,60.743,50.701,-0.42%,1473827
2015/5/6,61.333,61.389,60.489,60.872,50.809,0.21%,1695639
2015/5/7,60.654,60.792,59.96,60.057,50.128,-1.34%,2465998
2015/5/8,61.276,61.389,60.218,60.679,50.647,1.04%,2161850
2015/5/11,60.775,60.994,60.396,60.565,50.553,-0.19%,1153200
2015/5/12,60.315,61.147,60.283,60.913,50.843,0.57%,1152324
