Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,69.08,70.38,69.08,69.73,46.61,0.74%,2263629
2015/3/25,69.79,70,68.67,68.71,45.929,-1.46%,2432541
2015/3/26,68.32,68.7,67.53,68.26,45.628,-0.65%,1796538
2015/3/27,68.44,69.33,68.09,69.05,46.156,1.16%,1567649
2015/3/30,69.34,69.93,69.19,69.42,46.403,0.54%,1144980
2015/3/31,69.44,70.24,69.31,69.34,46.35,-0.12%,1998405
2015/4/1,69.13,69.18,67.359,67.47,45.1,-2.70%,1827194
2015/4/2,67.9,68.02,67.28,67.45,45.086,-0.03%,1979925
2015/4/6,67.16,67.49,66.45,66.55,44.485,-1.33%,1361997
2015/4/7,66.7,66.74,66.01,66.26,44.291,-0.44%,2481756
2015/4/8,65.93,67.53,65.91,67.49,45.481,1.86%,1612744
2015/4/9,67.22,67.51,66.47,67.18,45.272,-0.46%,2235716
2015/4/10,67.61,69.35,67.59,68.78,46.35,2.38%,2211414
2015/4/13,68.36,69.435,68.36,68.6,46.229,-0.26%,1306099
2015/4/14,68.49,68.61,67.78,67.9,45.757,-1.02%,1372380
2015/4/15,68,68.3,67.04,67.05,45.184,-1.25%,1184583
2015/4/16,67.01,67.34,66.24,66.43,44.766,-0.92%,1313347
2015/4/17,65.96,66.06,64.9,64.94,43.762,-2.24%,1672063
2015/4/20,65.31,65.494,65.01,65.22,43.951,0.43%,1378624
2015/4/21,65.22,65.53,64.65,65.29,43.998,0.11%,1354987
2015/4/22,65.29,65.41,64.84,65.2,43.938,-0.14%,1074723
2015/4/23,65.48,66,64.92,65.81,44.349,0.94%,1746056
2015/4/24,66.07,67.19,65.61,67.01,45.157,1.82%,1264466
2015/4/27,67.01,67.15,65.85,65.94,44.436,-1.60%,1221573
2015/4/28,65.78,66.38,65.5,66.37,44.726,0.65%,947650
2015/4/29,65.75,65.76,64.38,64.43,43.419,-2.92%,1784916
2015/4/30,64.13,64.62,63.5,63.77,42.974,-1.02%,1476077
2015/5/1,64.17,64.48,63.87,63.99,43.122,0.34%,1112750
2015/5/4,64.01,64.34,63.12,63.18,42.576,-1.27%,1128167
2015/5/5,63.13,63.17,61.72,61.75,41.613,-2.26%,1521850
2015/5/6,61.91,62.26,61.305,61.64,41.539,-0.18%,1386916
2015/5/7,61.82,63.37,61.66,63.07,42.502,2.32%,1575230
2015/5/8,63.59,64.82,63.59,63.96,43.102,1.41%,1200552
2015/5/11,63.83,64.65,63.8,64.16,43.237,0.31%,1292597
2015/5/12,63.65,63.97,62.88,63.68,42.913,-0.75%,851465
2015/5/13,63.73,64.11,62.66,62.76,42.293,-1.44%,1465518
2015/5/14,63.13,63.54,62.56,63.39,42.718,1.00%,946894
