Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,69.106,69.596,68.391,68.409,49.061,-1.24%,906870
2015/3/25,68.553,68.894,67.668,67.694,48.549,-1.05%,1083509
2015/3/26,67.787,68.302,67.209,67.617,48.494,-0.11%,1863201
2015/3/27,67.583,68.545,67.417,68.221,48.927,0.89%,1518042
2015/3/30,68.374,68.962,68.043,68.706,49.275,0.71%,781900
2015/3/31,68.323,69.234,68.213,68.672,49.251,-0.05%,1416308
2015/4/1,68.613,69.26,67.813,69.26,49.672,0.86%,913187
2015/4/2,69.234,70.094,69.081,69.855,50.099,0.86%,1786541
2015/4/6,70.068,71.719,69.923,70.962,50.892,1.58%,2185368
2015/4/7,70.885,70.97,69.838,69.915,50.142,-1.48%,1409378
2015/4/8,69.804,70.095,69.14,69.626,49.934,-0.41%,1152761
2015/4/9,69.66,69.668,68.834,69.268,49.678,-0.51%,1164229
2015/4/10,69.626,70.026,69.157,69.557,49.885,0.42%,907510
2015/4/13,69.566,69.643,68.936,68.979,49.47,-0.83%,1183038
2015/4/14,68.996,69.447,68.873,69.294,49.696,0.46%,988357
2015/4/15,69.328,70.017,69.311,69.345,49.733,0.07%,1216797
2015/4/16,69.191,69.226,68.179,68.885,49.403,-0.66%,1000969
2015/4/17,68.374,69.268,68.374,68.681,49.257,-0.30%,788803
2015/4/20,68.851,70.494,68.851,69.813,50.068,1.65%,1021644
2015/4/21,69.932,70.391,68.817,69.081,49.544,-1.05%,788226
2015/4/22,69.694,69.872,69.089,69.719,50.001,0.92%,972015
2015/4/23,69.813,70.579,69.711,70.485,50.551,1.10%,1648552
2015/4/24,69.728,71.2,68.655,70.477,50.545,-0.01%,1652361
2015/4/27,70.8,70.909,69.149,69.336,49.727,-1.62%,1448262
2015/4/28,69.038,69.779,68.715,69.677,49.971,0.49%,995773
2015/4/29,69.064,69.353,68.579,69.183,49.617,-0.71%,1128028
2015/4/30,68.987,68.987,67.396,67.77,48.604,-2.04%,1759737
2015/5/1,67.932,68.179,67.362,68.153,48.878,0.57%,1065501
2015/5/4,68.315,69.183,68.17,68.604,49.202,0.66%,763233
2015/5/5,68.647,68.647,66.877,66.97,48.03,-2.38%,1150114
2015/5/6,66.962,67.243,65.694,66.34,47.578,-0.94%,1733578
2015/5/7,66.596,67.268,66.57,66.715,47.847,0.57%,1123963
2015/5/8,67.489,67.97,67.106,67.413,48.347,1.05%,1433703
2015/5/11,67.251,68.17,66.979,67.047,48.085,-0.54%,1014386
2015/5/12,66.596,66.996,66.136,66.604,47.767,-0.66%,1168058
2015/5/13,66.791,67.166,65.345,65.694,47.114,-1.37%,1648143
2015/5/14,66.111,66.698,65.949,66.46,47.664,1.17%,1192048
2015/5/15,66.672,67.438,66.57,67.353,48.304,1.34%,2155929
2015/5/18,67.055,67.881,67.055,67.855,48.665,0.75%,1047237
2015/5/19,67.532,68.034,67.319,67.685,48.543,-0.25%,825701
2015/5/20,67.736,68.332,67.54,67.847,48.658,0.24%,883788
2015/5/21,67.787,67.991,67.302,67.796,48.622,-0.08%,664784
2015/5/22,67.668,67.974,67.226,67.753,48.591,-0.06%,747587
2015/5/26,67.736,67.736,67.055,67.37,48.317,-0.57%,799229
2015/5/27,67.583,67.668,67.183,67.404,48.341,0.05%,1380963
2015/5/28,67.506,67.889,67.217,67.685,48.543,0.42%,912012
2015/5/29,67.677,67.864,67.234,67.43,48.359,-0.38%,1019962
2015/6/1,67.515,67.847,67.285,67.455,48.378,0.04%,782786
2015/6/2,67.123,67.149,65.813,66.247,47.511,-1.79%,1299084
2015/6/3,66.128,66.366,64.783,65.251,46.797,-1.50%,1325851
2015/6/4,64.987,65.626,64.894,65.26,46.803,0.01%,1798328
2015/6/5,64.63,64.715,63.677,63.779,45.741,-2.27%,2160723
2015/6/8,63.779,63.949,63.413,63.43,45.491,-0.55%,1324573
2015/6/9,63.362,63.702,63.268,63.421,45.485,-0.01%,1738604
2015/6/10,63.796,64.085,63.404,63.855,45.796,0.68%,1717434
2015/6/11,63.711,64.085,63.362,63.668,46.083,-0.29%,1532306
2015/6/12,63.328,63.66,63.03,63.047,45.633,-0.98%,914254
2015/6/15,63.03,63.268,62.587,62.791,45.448,-0.41%,1075207
2015/6/16,62.664,63.106,62.323,63.064,45.645,0.43%,1116179
