Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,82.59,82.97,81.93,82.19,82.19,-0.78%,1045996
2015/3/25,82.29,82.48,80.95,81.05,81.05,-1.39%,1219670
2015/3/26,80.87,81.55,80.38,81.07,81.07,0.02%,864260
2015/3/27,81,81.87,80.89,81.83,81.83,0.94%,913674
2015/3/30,82.31,82.5,81.7,82.17,82.17,0.42%,979874
2015/3/31,81.76,82,81.23,81.28,81.28,-1.08%,814081
2015/4/1,81.25,81.44,79.83,80.05,80.05,-1.51%,2375547
2015/4/2,80.31,80.78,80.1,80.59,80.59,0.67%,1048135
2015/4/6,80.57,81.84,80.15,81.47,81.47,1.09%,969403
2015/4/7,81.75,82.48,81.75,81.86,81.86,0.48%,1000633
2015/4/8,82.14,82.63,81.63,81.74,81.74,-0.15%,715728
2015/4/9,81.61,81.94,80.95,81.52,81.52,-0.27%,1168392
2015/4/10,81.48,82.32,81.48,81.9,81.9,0.47%,720279
2015/4/13,81.9,82.39,81.66,81.76,81.76,-0.17%,650075
2015/4/14,82,82.3,81.59,82.01,82.01,0.31%,932173
2015/4/15,82.07,82.49,81.54,81.61,81.61,-0.49%,740265
2015/4/16,81.72,82.25,81.66,82.13,82.13,0.64%,596884
2015/4/17,81.5,81.89,80.77,81.26,81.26,-1.06%,624676
2015/4/20,81.71,82.08,81.51,81.84,81.84,0.71%,691669
2015/4/21,82.24,83.3,81.955,83.12,83.12,1.56%,952632
2015/4/22,83.14,83.58,82.63,83.22,83.22,0.12%,583073
2015/4/23,83.15,83.72,82.475,83.41,83.41,0.23%,614999
2015/4/24,83.5,84.1,83.128,83.91,83.91,0.60%,787021
2015/4/27,85.1,85.17,83.635,83.79,83.79,-0.14%,1357109
2015/4/28,83.69,84,82.06,83.59,83.59,-0.24%,744698
2015/4/29,83.26,83.36,81.81,82.64,82.64,-1.14%,577152
2015/4/30,82.49,82.7,80.99,81.1,81.1,-1.86%,1155483
2015/5/1,81.69,82.45,81.61,82.4,82.4,1.60%,1067893
2015/5/4,82.69,83.015,82.25,82.34,82.34,-0.07%,946386
2015/5/5,80.58,83.28,80.41,81.51,81.51,-1.01%,1510240
2015/5/6,81.92,82.06,81.17,81.41,81.41,-0.12%,1064089
2015/5/7,81.33,82.02,81.33,81.76,81.76,0.43%,1072645
2015/5/8,82.49,82.92,82.08,82.17,82.17,0.50%,716206
2015/5/11,82.18,82.37,81.51,81.59,81.59,-0.71%,824961
2015/5/12,81.07,81.3,80.62,80.92,80.92,-0.82%,1556636
2015/5/13,81.27,81.7,80.89,80.98,80.98,0.07%,824314
2015/5/14,81.4,81.91,81.21,81.86,81.86,1.09%,957917
2015/5/15,81.89,82.2,81.02,81.48,81.48,-0.46%,1317332
2015/5/18,81.61,82.94,81.26,82.7,82.7,1.50%,1114439
2015/5/19,83,83.53,82.7,83.2,83.2,0.60%,677581
2015/5/20,83.09,83.73,82.86,83.69,83.69,0.59%,785235
2015/5/21,83.46,83.68,83.05,83.49,83.49,-0.24%,681668
2015/5/22,83.39,84.34,83.31,84.09,84.09,0.72%,715288
2015/5/26,84.02,84.16,83.68,83.75,83.75,-0.40%,792618
2015/5/27,83.81,84.08,83.594,84.06,84.06,0.37%,672474
2015/5/28,84.01,84.34,83.77,84.23,84.23,0.20%,714807
2015/5/29,84.18,84.4,83.25,83.78,83.78,-0.53%,928784
2015/6/1,83.94,84.4,83.39,83.88,83.88,0.12%,684864
2015/6/2,83.84,83.92,83.27,83.82,83.82,-0.07%,679736
2015/6/3,84,84.12,83.57,83.96,83.96,0.17%,474314
2015/6/4,83.63,83.93,82.45,82.6,82.6,-1.62%,855383
2015/6/5,82.38,82.75,81.853,82.54,82.54,-0.07%,638114
2015/6/8,82.31,82.7,81.81,81.87,81.87,-0.81%,1068410
2015/6/9,82,82.47,81.43,81.49,81.49,-0.46%,797143
2015/6/10,81.75,82.02,81.435,81.68,81.68,0.23%,977049
2015/6/11,82.02,82.38,81.74,82.19,82.19,0.62%,699321
2015/6/12,81.74,82.14,81.31,81.4,81.4,-0.96%,489557
2015/6/15,81.04,81.51,80.78,81.28,81.28,-0.15%,736163
2015/6/16,81.21,82,81.21,81.51,81.51,0.28%,821005
2015/6/17,81.7,81.7,80.73,81.07,81.07,-0.54%,975786
2015/6/18,81.45,81.76,80.9,81.45,81.45,0.47%,887990
2015/6/19,81.44,82.37,81.015,82.19,82.19,0.91%,2876559
2015/6/22,83.33,83.33,82.04,82.13,82.13,-0.07%,1264841
2015/6/23,82.11,82.31,81.49,81.57,81.57,-0.68%,842644
2015/6/24,81.55,81.55,80.19,80.19,80.19,-1.69%,987087
2015/6/25,80.57,81.35,79.75,80.91,80.91,0.90%,1543783
2015/6/26,80.98,81.375,80.86,81.08,81.08,0.21%,1581606
2015/6/29,80.21,81.21,79.56,79.61,79.61,-1.81%,1216313
2015/6/30,79.97,80.15,79.31,79.47,79.47,-0.18%,1737549
2015/7/1,79.96,80.4,79.2,79.32,79.32,-0.19%,1735845
2015/7/2,79.54,79.77,78.94,78.94,78.94,-0.48%,1258547
2015/7/6,78.53,80.11,78.53,79.55,79.55,0.77%,2077168
2015/7/7,79.94,80.04,78.85,79.66,79.66,0.14%,1200476
2015/7/8,79.16,79.495,78.67,78.81,78.81,-1.07%,903674
2015/7/9,79.75,79.75,78.79,78.82,78.82,0.01%,897803
2015/7/10,79.5,79.52,79.12,79.3,79.3,0.61%,955308
2015/7/13,79.71,79.855,78.91,79.5,79.5,0.25%,985924
2015/7/14,79.71,80.22,79.44,80.07,80.07,0.72%,1177062
2015/7/15,80.26,80.4,79.62,79.67,79.67,-0.50%,981923
2015/7/16,79.99,80.41,79.6,79.84,79.84,0.21%,584936
2015/7/17,79.84,80.02,79.51,79.97,79.97,0.16%,1263466
2015/7/20,79.97,80.28,79.76,79.88,79.88,-0.11%,877968
2015/7/21,80,80.26,79.07,79.62,79.62,-0.33%,1129538
2015/7/22,79.66,80.25,79.631,80.06,80.06,0.55%,1034538
2015/7/23,80.29,80.99,79.91,80.13,80.13,0.09%,602689
2015/7/24,79.91,79.96,79.13,79.39,79.39,-0.92%,533324
2015/7/27,79.2,79.21,78.205,78.43,78.43,-1.21%,812490
2015/7/28,78.6,79.04,77.78,79.02,79.02,0.75%,579607
2015/7/29,79.16,79.41,78.67,79.07,79.07,0.06%,514440
2015/7/30,79.05,79.36,78.27,78.63,78.63,-0.56%,755871
2015/7/31,78.63,79.61,78.4,79.03,79.03,0.51%,671630
2015/8/3,79.07,79.75,78.94,79.71,79.71,0.86%,725937
2015/8/4,79.92,80.66,79.69,80.2,80.2,0.61%,942520
2015/8/5,79.99,80.986,79.61,80.49,80.49,0.36%,1803471
2015/8/6,80.49,81.29,80.49,81.14,81.14,0.81%,1514103
2015/8/7,80.99,81.35,80.31,81.02,81.02,-0.15%,1107146
2015/8/10,81.33,81.89,80.925,81.05,81.05,0.04%,950643
2015/8/11,80.72,81.1,80.5,80.77,80.77,-0.35%,1011364
2015/8/12,80.23,80.32,79.17,79.95,79.95,-1.02%,841011
2015/8/13,79.81,80.35,79.45,79.65,79.65,-0.38%,786392
2015/8/14,79.71,80.315,79.47,80.28,80.28,0.79%,533027
2015/8/17,79.95,80.3,79.61,80.28,80.28,0.00%,874348
2015/8/18,80.25,80.63,79.95,80,80,-0.35%,722723
2015/8/19,79.94,80.34,79.35,80.08,80.08,0.10%,1161425
2015/8/20,79.51,79.7,78.52,78.53,78.53,-1.94%,1522617
2015/8/21,78.04,78.13,75.89,75.99,75.99,-3.23%,1301700
2015/8/24,76,76.57,71.65,74.08,74.08,-2.51%,1989702
2015/8/25,75.27,76.01,74.17,74.33,74.33,0.34%,2151140
2015/8/26,75.18,76.3,74.11,76.12,76.12,2.41%,1581494
2015/8/27,76.56,77.13,75.55,76.65,76.65,0.70%,1266949
2015/8/28,76.46,76.8,75.87,76.29,76.29,-0.47%,1188067
