Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,57.43,58.38,57.11,57.96,56.537,1.20%,3347880
2015/3/25,57.88,58.25,56.07,56.085,54.708,-3.23%,2855865
2015/3/26,55.29,56.3,54.69,56.075,54.698,-0.02%,3926727
2015/3/27,56.43,58.28,56.2,58.235,56.805,3.85%,4672096
2015/3/30,58.72,60.21,58.58,59.47,58.01,2.12%,4117456
2015/3/31,59,59.44,58.49,58.815,57.371,-1.10%,2470955
2015/4/1,58.94,58.96,57.172,57.275,55.869,-2.62%,4341073
2015/4/2,57.24,57.98,56.95,57.65,56.235,0.65%,2709475
2015/4/6,57.11,58.07,57.01,57.12,55.718,-0.92%,2374932
2015/4/7,57.04,58.14,56.97,57.8,56.381,1.19%,2071190
2015/4/8,57.81,58.34,57.61,58.15,56.723,0.61%,2091301
2015/4/9,57.98,58.85,57.32,57.5,56.088,-1.12%,2008126
2015/4/10,57.74,58.39,57.25,58.355,56.922,1.49%,2546760
2015/4/13,58.29,58.44,57.23,57.33,55.923,-1.76%,1577766
2015/4/14,57.29,57.98,56.64,57.07,55.669,-0.45%,2287542
2015/4/15,57.14,57.69,56.62,56.86,55.464,-0.37%,2362095
2015/4/16,56.82,57.05,56.605,56.86,55.464,0.00%,1372213
2015/4/17,56.4,56.58,55.52,56.03,54.655,-1.46%,2853605
2015/4/20,56.44,57.32,56.1,57.29,55.884,2.25%,2048590
2015/4/21,57.54,59.13,57.36,59.03,57.581,3.04%,4089792
2015/4/22,59.34,59.89,59.03,59.805,58.337,1.31%,2569226
2015/4/23,59.76,60.275,59.44,59.88,58.41,0.13%,2476458
2015/4/24,59.9,59.91,59.38,59.89,58.42,0.02%,1824392
2015/4/27,59.99,60.63,59.69,59.84,58.371,-0.08%,3178187
2015/4/28,59.7,60.14,58.62,59.11,57.659,-1.22%,2695931
2015/4/29,58.88,59.51,58.2,58.615,57.176,-0.84%,1959630
2015/4/30,58.37,58.87,57.63,58.09,56.664,-0.90%,2578372
2015/5/1,58.25,59.52,58.11,59.33,57.874,2.13%,2257812
2015/5/4,59.52,59.58,58.49,59.31,57.854,-0.03%,3425831
2015/5/5,59.41,59.68,58.55,59.16,57.708,-0.25%,4662290
2015/5/6,61.35,63.25,60.54,60.93,59.434,2.99%,12687890
2015/5/7,61.21,61.45,60.162,60.27,58.79,-1.08%,4081456
2015/5/8,61,62.24,60.83,61.88,60.361,2.67%,3324294
2015/5/11,61.9,63.46,61.595,62.59,61.054,1.15%,4825052
2015/5/12,62.24,62.9,61.6,62.46,60.927,-0.21%,2674370
2015/5/13,62,62.22,60.84,61.73,60.215,-1.17%,3031630
2015/5/14,62.3,63.12,61.95,63.09,61.541,2.20%,2962311
2015/5/15,62.81,63.32,62.49,62.875,61.332,-0.34%,1979255
2015/5/18,62.55,63.5,62.54,63.3,61.746,0.68%,1986739
2015/5/19,62.56,62.98,62.4,62.61,61.073,-1.09%,4319323
2015/5/20,62.52,62.63,61.84,62.24,60.712,-0.59%,1796164
2015/5/21,62.26,62.91,61.61,62.69,61.151,0.72%,2427034
2015/5/22,62.6,63.13,62.38,62.56,61.024,-0.21%,2137262
2015/5/26,62.57,62.97,62.27,62.525,60.99,-0.06%,2306137
2015/5/27,62.61,63.97,62.61,63.86,62.292,2.14%,3481491
2015/5/28,63.33,64.3,63.23,63.27,61.717,-0.92%,1934088
2015/5/29,63.07,64.15,62.67,62.755,61.214,-0.81%,2381925
2015/6/1,63.06,63.3,62.2,62.89,61.346,0.22%,1962441
2015/6/2,62.5,63.46,62.46,62.975,61.429,0.14%,2123715
2015/6/3,63.33,63.69,63.02,63.37,61.814,0.63%,1221177
2015/6/4,63.09,63.45,62.5,62.63,61.093,-1.17%,1385152
2015/6/5,62.6,63.14,62.09,62.9,61.356,0.43%,2040397
2015/6/8,63.07,63.18,61.49,61.66,60.146,-1.97%,1956735
2015/6/9,61.58,62,61.11,61.78,60.263,0.19%,1540356
2015/6/10,62.14,62.68,61.51,62.53,60.995,1.21%,1613294
2015/6/11,62.48,62.82,62.15,62.59,61.054,0.10%,1512916
2015/6/12,62.54,63.01,62.04,62.75,61.21,0.26%,1659165
2015/6/15,62.06,62.06,61.38,61.57,60.059,-1.88%,2074881
2015/6/16,61.56,62.93,61.56,62.86,61.317,2.10%,2637057
2015/6/17,63.07,64.65,63.04,64.48,62.897,2.58%,3290432
2015/6/18,64.44,65.67,64.15,65.27,63.668,1.23%,3938979
2015/6/19,65.27,66.335,64.66,65.95,64.331,1.04%,4141938
2015/6/22,66.2,67.12,66.01,66.62,64.985,1.02%,2591744
2015/6/23,66.8,67.49,66.15,66.58,64.946,-0.06%,2514193
2015/6/24,67.73,68.25,67.06,67.68,66.019,1.65%,3317846
2015/6/25,67.94,68.27,67.43,67.45,65.794,-0.34%,2108621
2015/6/26,67.52,68,66.89,67.63,65.97,0.27%,4895379
2015/6/29,66.77,67.38,66.08,66.22,64.594,-2.08%,1955852
2015/6/30,66.6,66.98,66.18,66.5,64.868,0.42%,3140085
2015/7/1,67.37,68.22,67.09,67.995,66.326,2.25%,2618839
2015/7/2,68.48,68.48,67.22,67.8,66.136,-0.29%,1657914
2015/7/6,67.14,68.3,67.12,68.01,66.34,0.31%,3583116
2015/7/7,69.06,69.95,67.96,69.89,68.174,2.76%,4895489
2015/7/8,69.58,69.94,68.82,69,67.306,-1.27%,4506130
2015/7/9,69.89,70.94,69.68,70.5,68.769,2.17%,4400032
2015/7/10,71.25,72.5,70.81,72.07,70.301,2.23%,3838887
2015/7/13,72.41,73.849,72.41,73.54,71.735,2.04%,3612989
2015/7/14,73.56,73.6,72.03,72.25,70.476,-1.75%,6261317
2015/7/15,72.52,72.99,72.33,72.5,70.72,0.35%,4733619
2015/7/16,72.8,73.23,72.4,72.97,71.179,0.65%,4419026
2015/7/17,72.95,73.55,72.39,73.47,71.666,0.69%,3745198
2015/7/20,74.48,74.92,73.61,74.79,72.954,1.80%,2703387
2015/7/21,75.04,75.1,73.34,73.68,71.871,-1.48%,2453667
