Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,61.39,61.9,60.74,60.88,42.204,-1.06%,1730179
2015/3/25,61.02,61.5,60.56,60.58,41.996,-0.49%,2194620
2015/3/26,60.6,60.93,58.65,58.8,40.762,-2.94%,5881914
2015/3/27,59.44,60.59,59.4,59.8,41.455,1.70%,4756655
2015/3/30,59.85,60.87,59.77,60.79,42.142,1.66%,2895477
2015/3/31,60.79,61.55,60.58,61,42.287,0.35%,2434999
2015/4/1,60.97,61.42,60.31,61.15,42.391,0.25%,2220698
2015/4/2,61.07,61.34,60.82,60.95,42.253,-0.33%,1985742
2015/4/6,61.04,61.96,61.04,61.55,42.669,0.98%,1602069
2015/4/7,61.5,61.699,60.525,60.59,42.003,-1.56%,1321238
2015/4/8,60.65,60.8,60.08,60.6,42.01,0.02%,1567189
2015/4/9,60.51,60.54,59.91,60.26,41.774,-0.56%,1715025
2015/4/10,60.51,61.19,60.33,60.86,42.19,1.00%,389817
2015/4/13,60.91,61.1,60.41,60.46,41.913,-0.66%,374003
2015/4/14,60.61,61.07,60.5,60.82,42.163,0.60%,942730
2015/4/15,60.81,61.42,60.69,60.76,42.121,-0.10%,1143669
2015/4/16,60.69,61.03,60.15,60.91,42.225,0.25%,1756605
2015/4/17,60.73,61.48,60.62,60.94,42.246,0.05%,2314553
2015/4/20,61.15,62.27,61.13,61.8,42.842,1.41%,1590986
2015/4/21,61.8,62.44,61.2,61.47,42.613,-0.53%,1944107
2015/4/22,61.43,61.82,61.02,61.64,42.731,0.28%,1868515
2015/4/23,61.57,62.4,61.43,62.1,43.05,0.75%,1570227
2015/4/24,61.98,63.03,61.78,62.5,43.327,0.64%,1416137
2015/4/27,62.64,62.64,61.46,61.69,42.766,-1.30%,1541597
2015/4/28,61.5,62.28,61.14,62.27,43.168,0.94%,1752972
2015/4/29,61.88,62.25,61.46,62.08,43.036,-0.31%,1988794
2015/4/30,62,62,60.92,61.55,42.669,-0.85%,3625152
2015/5/1,61.52,61.78,61.11,61.66,42.745,0.18%,2065736
2015/5/4,61.64,62.54,61.46,62.1,43.05,0.71%,1791937
2015/5/5,61.84,61.95,60.58,60.82,42.163,-2.06%,2245282
2015/5/6,60.85,61.16,60.35,61.1,42.357,0.46%,2780361
2015/5/7,61.12,61.96,60.98,61.24,42.454,0.23%,2599520
2015/5/8,61.96,62.28,60.77,61.08,42.343,-0.26%,3377447
2015/5/11,61.03,61.82,60.94,61.51,42.641,0.70%,3338321
2015/5/12,61.21,61.41,60.6,61.13,42.377,-0.62%,2520775
2015/5/13,61.32,61.55,60.03,60.24,41.76,-1.46%,2651497
2015/5/14,60.66,61.21,60.48,61.1,42.357,1.43%,1842968
2015/5/15,61.31,61.81,61.09,61.47,42.613,0.61%,2119154
2015/5/18,60.66,61.39,60.56,61.05,42.773,-0.68%,2495354
2015/5/19,60.78,61.38,60.52,61.14,42.836,0.15%,1572052
2015/5/20,61.16,61.72,61.02,61.38,43.004,0.39%,1496019
2015/5/21,61.38,61.62,61.06,61.37,42.997,-0.02%,1237578
2015/5/22,61.16,61.37,60.77,61.14,42.836,-0.37%,1147339
2015/5/26,61.15,61.215,60.54,61.07,42.787,-0.11%,1576178
2015/5/27,61.07,61.49,60.8,61.34,42.976,0.44%,1899467
2015/5/28,61.38,61.845,61.32,61.81,43.305,0.77%,2051545
2015/5/29,61.84,62.17,61.52,61.84,43.326,0.05%,2401253
2015/6/1,61.87,62.175,61.63,61.71,43.235,-0.21%,1191251
2015/6/2,61.51,61.51,60.493,61.09,42.801,-1.00%,2460640
2015/6/3,60.89,60.95,59.53,59.77,41.876,-2.16%,2535075
2015/6/4,59.5,60.08,59.5,59.69,41.82,-0.13%,1690874
2015/6/5,59.35,59.41,58.52,58.61,41.063,-1.81%,3747155
2015/6/8,58.89,59.28,58.43,58.53,41.007,-0.14%,3324113
2015/6/9,58.59,59,57.37,58.44,40.944,-0.15%,6655930
