Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,92.59,92.85,92.18,92.19,83.705,-0.68%,400089
2015/3/25,92.11,92.48,91.14,91.24,82.842,-1.03%,801935
2015/3/26,91.13,92.22,90.709,91.83,83.378,0.65%,480271
2015/3/27,91.84,92.45,91.54,91.97,83.505,0.15%,674611
2015/3/30,92.38,93.56,92.35,93.33,84.74,1.48%,548651
2015/3/31,92.83,93.61,92.83,93,84.44,-0.35%,557366
2015/4/1,93.14,93.235,92,92.99,84.431,-0.01%,471903
2015/4/2,93,94.01,92.89,93.47,84.867,0.52%,400260
2015/4/6,92.96,94.65,92.76,93.81,85.175,0.36%,630894
2015/4/7,93.82,94.03,92.6,92.63,84.104,-1.26%,459425
2015/4/8,92.54,93.25,92.09,92.86,84.313,0.25%,554511
2015/4/9,92.86,93.05,92.02,92.94,84.385,0.09%,312592
2015/4/10,92.95,93.44,92.44,93.41,84.812,0.51%,377776
2015/4/13,93.32,93.95,93.2,93.5,84.894,0.10%,376558
2015/4/14,93.65,93.96,92.91,93.9,85.257,0.43%,368525
2015/4/15,93.9,94.35,93.33,93.83,85.194,-0.07%,284320
2015/4/16,93.58,93.82,92.81,93.33,84.74,-0.53%,254615
2015/4/17,93.03,93.42,91.61,91.84,83.387,-1.60%,267965
2015/4/20,93.13,93.78,93,93.34,84.749,1.63%,330130
2015/4/21,93.79,94.56,93.46,94.48,85.784,1.22%,478257
2015/4/22,94.37,94.72,93.2,94.19,85.52,-0.31%,708526
2015/4/23,98.09,99.29,97.21,98.4,89.343,4.47%,1147016
2015/4/24,98.52,98.97,98.1,98.49,89.425,0.09%,544963
2015/4/27,98.5,99.12,97.99,98.06,89.034,-0.44%,559461
2015/4/28,98.02,98.41,97.43,97.71,88.716,-0.36%,403614
2015/4/29,97.62,97.91,97.13,97.41,88.444,-0.31%,603574
2015/4/30,97.51,98.1,96.45,96.93,88.008,-0.49%,650866
2015/5/1,97.66,98.34,97.338,98.27,89.225,1.38%,502390
2015/5/4,98.93,100.21,98.67,99.78,90.596,1.54%,615982
2015/5/5,99.24,99.57,98.46,98.53,89.461,-1.25%,1001795
2015/5/6,98.53,99,97.9,98.54,89.47,0.01%,708504
2015/5/7,98,98.76,97.62,97.94,88.925,-0.61%,769553
2015/5/8,98.57,99.68,98.14,98.89,89.788,0.97%,417603
2015/5/11,98.7,99.94,98.7,99.4,90.251,0.52%,605598
2015/5/12,99,99.06,98.37,98.39,89.334,-1.02%,600795
2015/5/13,98.33,98.72,97.6,98.22,89.179,-0.17%,615999
2015/5/14,98.9,99.72,98.77,99.61,90.442,1.42%,565725
2015/5/15,99.74,100.19,98.74,98.9,89.797,-0.71%,609350
2015/5/18,98.98,100.58,98.89,100.35,91.113,1.47%,441537
2015/5/19,100.38,100.38,99.93,100.22,90.995,-0.13%,381361
2015/5/20,99.87,100.2,99.4,99.61,90.705,-0.61%,379601
2015/5/21,99.24,100.11,99.12,100.05,91.106,0.44%,355244
2015/5/22,100,100.78,99.99,100.27,91.306,0.22%,496608
2015/5/26,100.13,100.29,98.73,99.02,90.168,-1.25%,547015
2015/5/27,99.01,100.65,98.75,100.38,91.406,1.37%,397934
2015/5/28,100.38,100.93,99.83,100.29,91.324,-0.09%,372358
2015/5/29,100.06,100.59,99.63,100.33,91.36,0.04%,704822
2015/6/1,100.35,100.48,99.42,100.04,91.096,-0.29%,443022
2015/6/2,99.35,99.4,98.09,98.25,89.466,-1.79%,763241
2015/6/3,98.37,99.16,98.25,98.78,89.949,0.54%,623866
2015/6/4,98.38,98.75,97.44,97.58,88.856,-1.21%,341696
2015/6/5,97.48,97.952,96.85,97.82,89.075,0.25%,320086
2015/6/8,97.92,97.95,97.14,97.29,88.592,-0.54%,485779
2015/6/9,97.2,98.26,96.88,98.13,89.357,0.86%,538310
2015/6/10,98.3,99.07,98.23,98.82,89.985,0.70%,433155
2015/6/11,99.13,99.58,98.92,99.37,90.486,0.56%,278322
2015/6/12,99,99.06,98.39,98.54,89.731,-0.84%,282225
2015/6/15,98.13,98.71,97.16,97.55,88.829,-1.00%,517853
2015/6/16,97.34,97.79,97.034,97.5,88.783,-0.05%,456501
2015/6/17,97.78,97.99,97.214,97.65,88.92,0.15%,653431
2015/6/18,98.09,99.363,97.684,99.3,90.423,1.69%,677341
2015/6/19,99.15,100.17,98.814,99.71,90.796,0.41%,527850
2015/6/22,100.15,101.13,100.05,100.59,91.597,0.88%,410156
2015/6/23,100.84,100.84,99.93,100.22,91.26,-0.37%,405193
2015/6/24,99.92,100.4,99.281,99.3,90.423,-0.92%,396725
2015/6/25,97.48,99.92,97.48,99.63,90.723,0.33%,502630
2015/6/26,99.98,100.51,99.525,99.9,90.969,0.27%,1601681
2015/6/29,99.25,99.76,97.4,97.44,88.729,-2.46%,548368
2015/6/30,98.12,98.12,97.03,97.09,88.41,-0.36%,635033
2015/7/1,97.94,98.42,97.45,98.4,89.603,1.35%,543862
2015/7/2,98.47,98.944,97.5,98.21,89.43,-0.19%,369625
2015/7/6,97.45,98.01,97.24,97.8,89.057,-0.42%,491413
2015/7/7,98.03,98.62,96.75,97.95,89.193,0.15%,846271
2015/7/8,97.43,97.43,96.16,96.29,87.682,-1.69%,651800
2015/7/9,96.99,97.49,96.23,96.46,87.836,0.18%,707958
2015/7/10,97,97.99,96.73,97.77,89.029,1.36%,678890
2015/7/13,98.26,99.44,98.26,99.3,90.423,1.56%,572395
2015/7/14,99.55,99.55,98.5,98.56,89.749,-0.75%,704924
2015/7/15,98.44,99.03,97.66,98.63,89.812,0.07%,596759
2015/7/16,99.07,100.21,98.72,100.13,91.178,1.52%,610787
2015/7/17,100.18,100.18,97.97,98.55,89.74,-1.58%,788855
2015/7/20,98.58,99.29,98.53,98.75,89.922,0.20%,415694
2015/7/21,98.64,98.93,97.965,98.09,89.321,-0.67%,596281
2015/7/22,97.92,98.93,97.88,98.84,90.004,0.76%,488236
2015/7/23,101.81,102.96,99.19,100.13,91.178,1.31%,1993808
2015/7/24,99.2,100.15,98.91,100.04,91.096,-0.09%,1072342
2015/7/27,99.87,99.95,98.27,98.51,89.703,-1.53%,645238
2015/7/28,98.99,100.42,98.27,100.18,91.224,1.70%,928280
2015/7/29,100.61,102.38,100.46,102.21,93.072,2.03%,662415
2015/7/30,101.76,102.31,101.12,102.16,93.027,-0.05%,508822
2015/7/31,102.67,102.7,101.67,102.13,93,-0.03%,759579
2015/8/3,102.31,102.39,101.3,102,92.881,-0.13%,469146
2015/8/4,102.71,103.02,102.17,102.62,93.446,0.61%,627484
2015/8/5,103.58,104,103.08,103.52,94.265,0.88%,390574
2015/8/6,103.86,103.86,102.11,102.31,93.163,-1.17%,470915
2015/8/7,102.19,103.16,101.83,103.09,93.874,0.76%,452506
2015/8/10,104.22,105.18,103.96,104.64,95.285,1.50%,499873
2015/8/11,103.49,104.42,103.22,103.53,94.274,-1.06%,437303
2015/8/12,102.84,103.37,101.82,102.67,93.491,-0.83%,722624
2015/8/13,102.91,104.61,102.635,103.86,94.575,1.16%,440988
2015/8/14,103.65,104.5,103.22,104.48,95.139,0.60%,356471
2015/8/17,104.08,105.59,103.19,105.47,96.041,0.95%,506001
2015/8/18,105.58,105.864,105.12,105.21,95.804,-0.25%,516837
2015/8/19,104.67,105.33,103.92,104.73,95.631,-0.46%,468090
2015/8/20,103.73,104,101.78,101.82,92.974,-2.78%,588825
2015/8/21,101.13,101.98,99.26,99.36,90.728,-2.42%,712826
2015/8/24,96.37,97.4,90.94,93.83,85.678,-5.57%,1466504
2015/8/25,96.42,96.53,92.62,92.7,84.646,-1.20%,1115874
2015/8/26,94.5,96.55,93.61,96.37,87.998,3.96%,1202399
2015/8/27,97.1,98.95,96.76,98.85,90.262,2.57%,933261
2015/8/28,98.16,98.52,97.19,98.45,89.897,-0.40%,657588
2015/8/31,97.94,98.76,97.37,97.9,89.395,-0.56%,773037
2015/9/1,96.14,96.868,94.61,95.24,86.966,-2.72%,749174
2015/9/2,96.41,97.58,95.93,97.58,89.102,2.46%,841107
2015/9/3,97.7,99.09,97.09,98.31,89.769,0.75%,530686
2015/9/4,96.84,98.21,96.57,97.01,88.582,-1.32%,461718
2015/9/8,98.85,99.65,97.66,99.44,90.801,2.50%,541438
2015/9/9,100,100.5,98.27,98.5,89.942,-0.95%,470557
2015/9/10,98.45,98.68,97.45,97.86,89.358,-0.65%,920011
2015/9/11,97.49,98.33,97.08,98,89.486,0.14%,616554
2015/9/14,98.4,98.66,97.59,97.83,89.331,-0.17%,480536
2015/9/15,98.16,99.61,97.715,99.43,90.792,1.64%,492090
2015/9/16,99.55,99.68,98.94,99.22,90.6,-0.21%,793230
2015/9/17,99.39,99.7,98.14,98.36,89.815,-0.87%,826438
2015/9/18,98.92,99.07,96.84,97.04,88.609,-1.34%,1205958
2015/9/21,97.73,99.17,97.56,98.12,89.595,1.11%,416790
2015/9/22,97.05,98.55,96.74,97.73,89.239,-0.40%,575738
2015/9/23,97.61,98.43,97.42,98.15,89.623,0.43%,476525
2015/9/24,97.19,97.75,96.52,97.39,88.929,-0.77%,555776
2015/9/25,98.21,98.54,96.77,97.45,88.984,0.06%,633853
2015/9/28,97.27,97.37,95.12,95.33,87.048,-2.18%,685667
2015/9/29,95.33,96.4,94.59,95.8,87.477,0.49%,659411
2015/9/30,97.06,97.67,96,97.18,88.737,1.44%,878330
2015/10/1,97.24,98.44,96.87,98.38,89.833,1.23%,567958
2015/10/2,96.83,99.32,96.22,99.32,90.691,0.96%,785064
2015/10/5,100,101.1,98.8,100.95,92.18,1.64%,706411
2015/10/6,100.73,101.19,100.05,100.94,92.17,-0.01%,757694
2015/10/7,101.24,102.74,101.24,102.73,93.805,1.77%,487021
2015/10/8,102.55,104.93,102.216,104.7,95.604,1.92%,558807
2015/10/9,104.7,105.72,104.26,105.48,96.316,0.74%,498632
2015/10/12,105.39,105.9,105.21,105.78,96.59,0.28%,533386
2015/10/13,105.19,105.85,104.01,104.08,95.038,-1.61%,586792
2015/10/14,104.12,105.37,103.845,104.18,95.129,0.10%,665674
2015/10/15,104.77,105.86,104.13,105.83,96.636,1.58%,503605
2015/10/16,106.05,106.7,105.64,106.36,97.12,0.50%,850595
2015/10/19,106.25,106.9,105.77,106.86,97.576,0.47%,500982
2015/10/20,106.92,107.94,106.41,107.67,98.316,0.76%,615521
2015/10/21,108,108.62,105.7,105.9,96.7,-1.64%,942693
2015/10/22,104.4,105.84,102.23,103.29,94.316,-2.46%,1581918
2015/10/23,105.29,106.99,103.95,106.03,96.818,2.65%,1093435
2015/10/26,106.18,106.71,105.6,106.66,97.394,0.59%,980956
2015/10/27,106.55,106.99,106.17,106.92,97.631,0.24%,752680
2015/10/28,106.95,107.08,105.56,106.85,97.567,-0.07%,709217
2015/10/29,106.62,106.805,105.91,106.66,97.394,-0.18%,469577
2015/10/30,106.66,107.5,106.46,106.57,97.311,-0.08%,734392
2015/11/2,106.57,108.15,106.57,107.67,98.316,1.03%,646646
2015/11/3,107.67,107.67,106.37,106.72,97.448,-0.88%,612332
2015/11/4,106.99,107.4,106.2,106.35,97.11,-0.35%,548851
2015/11/5,106.33,106.77,105.6,106.09,96.873,-0.24%,388668
