Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,64.08,64.43,62.97,63.13,43.167,-1.70%,2528944
2015/3/25,63.33,63.79,62.5,62.58,42.791,-0.87%,2151206
2015/3/26,62.49,62.94,61.65,62.23,42.551,-0.56%,2117222
2015/3/27,62.01,62.785,61.79,62.18,42.803,-0.08%,1641209
2015/3/30,62.54,63.27,62.33,63.04,43.395,1.38%,1454853
2015/3/31,62.81,63.42,62.13,62.47,43.002,-0.90%,2558989
2015/4/1,62.43,63.18,61.58,62.93,43.319,0.74%,2127981
2015/4/2,62.96,63.18,62.7,63.04,43.395,0.17%,1250872
2015/4/6,63.16,64.55,63.16,64.24,44.221,1.90%,2033612
2015/4/7,64.14,64.32,63.55,63.73,43.87,-0.79%,2629948
2015/4/8,63.7,63.99,63.46,63.71,43.856,-0.03%,2210990
2015/4/9,63.62,63.66,63.09,63.37,43.622,-0.53%,1536678
2015/4/10,63.64,63.99,63.18,63.79,43.911,0.66%,1266932
2015/4/13,63.57,63.58,62.7,62.81,43.236,-1.54%,1430538
2015/4/14,62.91,63.33,62.68,62.99,43.36,0.29%,1697509
2015/4/15,63.11,63.59,62.39,62.49,43.016,-0.79%,1990093
2015/4/16,62.39,62.51,61.09,61.68,42.458,-1.30%,3399498
2015/4/17,61.36,61.97,60.765,61.07,42.039,-0.99%,3245048
2015/4/20,60.52,62.28,60.52,61.65,42.438,0.95%,2949405
2015/4/21,61.65,62.08,60.37,60.5,41.646,-1.87%,3722804
2015/4/22,60.55,60.81,59.78,60.01,41.309,-0.81%,4858125
2015/4/23,60.01,60.73,59.89,60.44,41.605,0.72%,3384604
2015/4/24,60.45,61.87,60.28,61.58,42.39,1.89%,2769477
2015/4/27,61.89,61.9,60.64,61.01,41.997,-0.93%,2091627
2015/4/28,60.82,61.94,60.72,61.66,42.445,1.07%,2384692
2015/4/29,62.83,62.97,61.33,62.01,42.686,0.57%,4306417
2015/4/30,61.87,61.93,60.42,60.94,41.949,-1.73%,3235869
2015/5/1,61.02,61.59,60.495,61.54,42.362,0.98%,2242672
2015/5/4,61.6,62.31,61.285,61.92,42.624,0.62%,2439099
2015/5/5,61.64,61.78,60.08,60.37,41.557,-2.50%,1925819
2015/5/6,60.24,60.36,59.05,59.6,41.027,-1.28%,2319565
2015/5/7,59.87,60.5,59.73,60.14,41.398,0.91%,2258139
2015/5/8,60.95,61.25,60.305,60.67,41.763,0.88%,2603827
2015/5/11,60.43,61.415,60.16,60.27,41.488,-0.66%,1391743
2015/5/12,59.85,59.97,58.98,59.52,40.972,-1.24%,3177048
2015/5/13,59.6,60.06,58.57,58.84,40.503,-1.14%,2090205
2015/5/14,59.09,59.76,59.05,59.75,41.13,1.55%,2047277
2015/5/15,59.9,60.615,59.6,60.44,41.605,1.15%,2472879
2015/5/18,60.16,61.05,60.11,60.77,41.832,0.55%,1397930
2015/5/19,60.46,60.98,60.22,60.58,41.701,-0.31%,1399080
2015/5/20,60.71,61.34,60.49,60.81,41.86,0.38%,1255330
2015/5/21,60.83,61.11,60.51,60.83,41.873,0.03%,1171740
2015/5/22,60.81,60.94,60.22,60.74,41.811,-0.15%,919476
2015/5/26,60.71,60.76,59.91,60.46,41.619,-0.46%,1746522
2015/5/27,60.48,60.92,60.31,60.78,41.839,0.53%,1625371
2015/5/28,60.83,61.25,60.58,61.05,42.025,0.44%,1766389
2015/5/29,61.06,61.34,60.74,60.81,41.86,-0.39%,2414437
2015/6/1,60.91,61.22,60.74,60.78,41.839,-0.05%,1253391
2015/6/2,60.38,60.47,59.18,59.54,40.985,-2.04%,1919109
2015/6/3,59.49,59.54,58.09,58.62,40.352,-1.55%,2113947
2015/6/4,58.17,59.09,58.17,58.84,40.503,0.38%,1811875
2015/6/5,58,58.34,57.5,57.68,39.705,-1.97%,1807435
2015/6/8,57.69,57.82,57.36,57.52,39.595,-0.28%,1775464
2015/6/9,57.43,57.6,57.25,57.26,39.416,-0.45%,1157333
2015/6/10,57.62,58.07,57.34,57.42,39.526,0.28%,1831252
2015/6/11,57.99,58.22,57.61,57.87,39.836,0.78%,1183559
2015/6/12,57.5,57.87,57.165,57.2,39.375,-1.16%,1085857
2015/6/15,57.24,57.48,56.88,57.36,39.485,0.28%,1674248
2015/6/16,57.3,57.81,57.1,57.58,39.636,0.38%,1371036
2015/6/17,57.54,58.13,57.25,57.99,39.918,0.71%,1657490
2015/6/18,58.05,59.2,58.03,58.86,40.517,1.50%,1966360
2015/6/19,58.89,59.43,58.53,58.61,40.345,-0.42%,2302954
2015/6/22,58.16,58.91,58.16,58.38,40.187,-0.39%,2389571
2015/6/23,58.2,58.48,57.35,57.63,39.671,-1.28%,2242434
2015/6/24,57.69,57.91,55.18,56.07,38.597,-2.71%,6909541
2015/6/25,56.34,56.41,55.71,56,38.548,-0.12%,4512782
2015/6/26,55.81,56.42,55.64,56.23,38.994,0.41%,4130454
2015/6/29,56.19,56.67,55.66,55.68,38.613,-0.98%,2642844
2015/6/30,55.75,55.84,55.33,55.58,38.543,-0.18%,2326352
2015/7/1,55.75,56.405,55.52,56.4,39.112,1.48%,2402064
2015/7/2,56.67,57.75,56.67,57.55,39.91,2.04%,3146197
2015/7/6,57.38,57.84,56.89,57.6,39.944,0.09%,2128389
2015/7/7,58.07,59.11,57.81,58.83,40.797,2.14%,2545919
2015/7/8,58.53,59.1,58.04,58.25,40.395,-0.99%,1938827
2015/7/9,58.25,58.51,57.38,57.58,39.93,-1.15%,1935242
2015/7/10,57.48,58.34,57.18,57.95,40.187,0.64%,1566703
2015/7/13,58.1,58.43,57.44,57.72,40.027,-0.40%,2305696
2015/7/14,57.83,58.31,57.775,57.94,40.18,0.38%,1838788
2015/7/15,57.85,58.15,57.36,58.11,40.298,0.29%,1337542
2015/7/16,58.21,59.19,58.15,59.14,41.012,1.77%,2322145
2015/7/17,59.17,59.17,58.47,58.54,40.596,-1.01%,1475617
2015/7/20,58.43,58.43,57.92,58.19,40.353,-0.60%,1403012
2015/7/21,58.19,58.3,57.83,57.99,40.215,-0.34%,1807589
2015/7/22,58.01,58.82,57.981,58.4,40.499,0.71%,2435944
2015/7/23,58.22,58.51,57.185,57.75,40.048,-1.11%,1723775
2015/7/24,57.65,57.995,57.41,57.65,39.979,-0.17%,2198225
2015/7/27,57.43,58.99,57.43,58.93,40.867,2.22%,2618146
2015/7/28,58.87,59.07,58.32,58.88,40.832,-0.08%,2066156
2015/7/29,58.75,59.1,58.342,59.08,40.971,0.34%,1718117
2015/7/30,58.84,59.76,58.64,59.53,41.283,0.76%,1162175
2015/7/31,59.7,61.24,59.7,60.01,41.616,0.81%,2500651
2015/8/3,60.05,60.64,59.89,60.15,41.713,0.23%,1855595
2015/8/4,60.01,60.051,59.5,59.67,41.38,-0.80%,1403595
2015/8/5,59.98,60.24,59.65,59.86,41.512,0.32%,1371765
2015/8/6,60.1,60.63,59.49,60.6,42.025,1.24%,2441760
2015/8/7,60.44,61.27,59.92,61.01,42.309,0.68%,2219027
2015/8/10,61,61.15,59.47,59.54,41.29,-2.41%,3270107
2015/8/11,59.21,59.97,58.41,59,40.915,-0.91%,4864912
2015/8/12,59,61.17,58.66,60.69,42.087,2.86%,4675606
2015/8/13,60.46,60.78,59.97,60.59,42.018,-0.16%,2139955
2015/8/14,60.54,61.21,60.235,61.14,42.399,0.91%,1783048
2015/8/17,60.97,61.863,60.48,61.74,42.815,0.98%,1584099
2015/8/18,61.46,61.74,60.94,61.23,42.462,-0.83%,1898855
2015/8/19,61.18,62.19,60.9,61.94,42.954,1.16%,2795054
2015/8/20,61.51,62.64,61.3,61.74,42.815,-0.32%,2576356
2015/8/21,61.23,63.18,60.77,62.14,43.093,0.65%,4399954
2015/8/24,61.665,62.81,59.32,59.68,41.387,-3.96%,7174433
2015/8/25,60.31,60.51,57.41,57.49,39.868,-3.67%,4176663
2015/8/26,58.06,58.88,57.28,58.7,40.707,2.10%,2978871
2015/8/27,59.43,60.19,59.1,59.87,41.518,1.99%,2824827
2015/8/28,59.76,60.2,58.86,59.64,41.359,-0.38%,1532667
2015/8/31,59.41,59.45,57.9,58.48,40.555,-1.95%,2038921
2015/9/1,57.87,58.16,56.88,57.21,39.674,-2.17%,2028809
2015/9/2,57.78,57.89,57.06,57.54,39.903,0.58%,2752624
2015/9/3,57.58,58.09,57.35,57.61,39.951,0.12%,1919515
2015/9/4,57.03,57.48,56.68,57.05,39.563,-0.97%,2339322
2015/9/8,57.82,58.36,57.35,57.87,40.132,1.44%,1936709
2015/9/9,58.16,58.32,57.13,57.29,39.729,-1.00%,2020715
2015/9/10,57.3,57.93,57.03,57.24,39.695,-0.09%,2153884
2015/9/11,56.84,57.93,56.69,57.92,40.166,1.19%,1650786
2015/9/14,58.02,58.46,57.79,58.22,40.374,0.52%,1600211
2015/9/15,58.26,59.305,57.9,59.16,41.026,1.61%,2859958
2015/9/16,59.23,59.89,59.16,59.71,41.408,0.93%,2561230
2015/9/17,59.78,61.84,59.55,61.1,42.371,2.33%,4289703
2015/9/18,59.94,62.16,59.88,61.29,42.503,0.31%,3917547
2015/9/21,61.47,62.055,61.17,61.61,42.725,0.52%,2764529
2015/9/22,61.15,61.52,60.59,60.85,42.198,-1.23%,2148667
2015/9/23,60.83,61.21,60.37,61.08,42.358,0.38%,2171614
2015/9/24,60.81,61.94,60.76,61.81,42.864,1.20%,2034787
2015/9/25,61.87,63.05,61.57,62.33,43.224,0.84%,2448768
2015/9/28,61.79,62.39,61.52,61.63,43.029,-1.12%,2006777
2015/9/29,61.58,62.13,61.3,61.79,43.14,0.26%,1657519
2015/9/30,62.1,63.15,61.91,63.07,44.034,2.07%,2433841
2015/10/1,63.08,63.26,61.37,62.18,43.413,-1.41%,2588862
2015/10/2,62.71,63.14,62.04,63.12,44.069,1.51%,1619921
2015/10/5,63.33,63.84,62.72,63.68,44.46,0.89%,1920691
2015/10/6,63.6,63.75,62.45,63.04,44.013,-1.01%,2467512
2015/10/7,63.25,63.4,62.66,62.94,43.943,-0.16%,2148985
2015/10/8,62.74,63.91,62.74,63.72,44.488,1.24%,1572426
2015/10/9,63.61,63.93,62.91,63.14,44.083,-0.91%,1678719
2015/10/12,63.18,64.09,63.18,63.59,44.397,0.71%,1474265
2015/10/13,63.41,63.65,63.15,63.56,44.376,-0.05%,1584317
2015/10/14,63.55,64.49,63.49,63.82,44.558,0.41%,1751585
2015/10/15,64.1,64.57,63.68,64.43,44.983,0.96%,1106282
2015/10/16,64.66,64.92,63.91,64.28,44.879,-0.23%,2576354
2015/10/19,64.18,64.98,63.76,64.98,45.367,1.09%,2115717
2015/10/20,64.66,65.74,64.515,65.45,45.696,0.72%,3212031
2015/10/21,65.73,66.12,64.96,65.02,45.395,-0.66%,1192876
2015/10/22,65,66.29,64.96,66.09,46.142,1.65%,1579813
2015/10/23,65.81,66.05,64.21,64.55,45.067,-2.33%,2305753
2015/10/26,64.76,65.1,64.035,65.05,45.416,0.77%,1605727
2015/10/27,64.98,65.29,64.19,64.38,44.948,-1.03%,1963695
2015/10/28,61.41,62.56,60.39,61.23,42.749,-4.89%,5939759
2015/10/29,60.79,61.23,59.84,60.64,42.337,-0.96%,3514295
2015/10/30,60.6,60.92,60.13,60.52,42.254,-0.20%,3141924
2015/11/2,60.45,61.03,60.01,60.89,42.512,0.61%,2599416
2015/11/3,60.48,60.96,60.13,60.62,42.323,-0.44%,2576970
2015/11/4,60.63,61.15,60.56,60.81,42.456,0.31%,2395736
2015/11/5,60.77,61.05,60.05,60.18,42.016,-1.04%,2303851
