Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,156.85,158.29,156.85,157.6,137.599,0.02%,1611343
2015/3/25,159.54,159.54,154.39,154.42,134.823,-2.02%,1457756
2015/3/26,154.18,154.42,152.64,152.82,133.426,-1.04%,1966784
2015/3/27,154.13,157.58,154.13,156.27,136.438,2.26%,1548700
2015/3/30,157.31,158.45,156.54,156.85,136.944,0.37%,1430967
2015/3/31,155.81,156.8,154.31,154.41,134.814,-1.56%,1466027
2015/4/1,154.08,154.39,152.53,153.99,134.447,-0.27%,1595425
2015/4/2,154.18,155.08,153.54,153.95,134.413,-0.03%,1628355
2015/4/6,152.9,156.07,152.9,155.43,135.705,0.96%,1373023
2015/4/7,156.7,157.56,154.84,155.19,135.495,-0.15%,1199930
2015/4/8,155,155.98,154.02,154.64,135.015,-0.35%,880019
2015/4/9,154.37,154.72,152.74,153.49,134.011,-0.74%,1249254
2015/4/10,154.12,154.27,152.97,153.92,134.386,0.28%,1371248
2015/4/13,154.5,155.82,153.5,153.51,134.028,-0.27%,1220591
2015/4/14,154.52,154.99,153.45,154.25,134.674,0.48%,1019780
2015/4/15,154.3,155,150.61,151.3,132.099,-1.91%,1701577
2015/4/16,155.35,155.43,153.955,154.93,135.268,2.40%,1602908
2015/4/17,153.81,154.31,151.37,152.48,133.129,-1.58%,1103263
2015/4/20,153.3,154.1,152.73,152.87,133.47,0.26%,693778
2015/4/21,153.05,153.63,152.55,152.88,133.478,0.01%,795710
2015/4/22,153,153.49,152.04,152.84,133.443,-0.03%,701037
2015/4/23,152.3,154.53,152.05,154.2,134.631,0.89%,889076
2015/4/24,154.04,154.58,153.55,154.28,134.701,0.05%,758346
2015/4/27,154.49,154.89,150.67,151.02,131.854,-2.11%,1585635
2015/4/28,150.15,154.52,149.19,154.22,134.648,2.12%,2249379
2015/4/29,155.96,157,148.29,151.07,131.898,-2.04%,3196897
2015/4/30,151.83,154.22,150.46,150.93,131.776,-0.09%,2032829
2015/5/1,151.92,153.28,151.49,153.23,133.784,1.52%,1362021
2015/5/4,153.45,156.17,153.01,155.84,136.063,1.70%,1865167
2015/5/5,154.67,155.7,153.91,154.2,134.631,-1.05%,1552425
2015/5/6,154.97,159.85,154.03,159.85,139.564,3.66%,6746497
2015/5/7,158.91,159.45,155.58,155.8,136.028,-2.53%,3969144
2015/5/8,157.21,158.595,156.36,158.4,138.298,1.67%,1969104
2015/5/11,158.24,160.53,158.08,158.81,138.656,0.26%,1398790
2015/5/12,157.92,159.69,157.33,158.47,138.359,-0.21%,1714785
2015/5/13,159.41,160.63,158.3,158.79,138.638,0.20%,2027845
2015/5/14,160.13,160.91,158.88,160,139.695,0.76%,2106470
2015/5/15,160.35,161.38,159.9,161.37,140.891,0.86%,1191233
2015/5/18,162,163.43,161.43,163.25,142.532,1.17%,1495003
2015/5/19,163.37,165.329,163.25,164.44,143.571,0.73%,1250392
2015/5/20,164.45,164.45,162.68,163.57,142.812,-0.53%,2315531
2015/5/21,163,164.855,162.5,164.62,143.728,0.64%,1123552
2015/5/22,164.13,165.47,163.46,164.19,143.353,-0.26%,1337263
2015/5/26,164.01,164.01,162.18,162.34,141.738,-1.13%,910739
2015/5/27,162.96,164.17,162.35,163.38,142.646,0.64%,1535065
2015/5/28,162.84,164.25,162.57,164.22,143.379,0.51%,1251025
2015/5/29,164.66,170.98,162.512,167.85,146.548,2.21%,5196050
2015/6/1,168.97,169,166.78,168.07,146.741,0.13%,1747129
2015/6/2,167.46,168.22,164.015,164.14,143.309,-2.34%,1910020
2015/6/3,164.45,165.11,162.23,163.76,142.978,-0.23%,2181874
2015/6/4,162.54,163.45,160.97,161.45,140.961,-1.41%,1174138
2015/6/5,161.4,163.38,159.65,162.82,142.157,0.85%,1367340
2015/6/8,162.54,163.9,161.71,161.89,141.891,-0.57%,1097377
2015/6/9,162.34,162.94,161.59,162.59,142.504,0.43%,1080879
2015/6/10,163.13,164.56,162.43,164.37,144.064,1.09%,1146011
2015/6/11,164.53,165.33,163.74,163.97,143.714,-0.24%,1200762
2015/6/12,163.31,163.8,160.65,160.71,140.856,-1.99%,1567478
2015/6/15,161.45,167.2,160.36,164.46,144.143,2.33%,3500529
2015/6/16,164.31,167.85,164.26,166.85,146.238,1.45%,1505708
2015/6/17,167.5,167.98,164.6,165.16,144.757,-1.01%,1170005
2015/6/18,165.49,167.06,164.95,165.24,144.827,0.05%,1275588
2015/6/19,165.1,165.86,164.45,165.06,144.669,-0.11%,1326619
2015/6/22,170.5,173.59,168.72,171.04,149.91,3.62%,5005951
2015/6/23,170.74,170.74,162.02,170,148.999,-0.61%,3527588
2015/6/24,170.06,170.91,167.47,167.97,147.219,-1.19%,1915636
2015/6/25,167.73,170.58,165.9,170.34,149.297,1.41%,2724549
2015/6/26,170.53,171,164.68,164.68,144.336,-3.32%,4343151
2015/6/29,165.25,165.38,162.44,163.06,142.916,-0.98%,2083716
2015/6/30,163.8,165.85,163.69,164.14,143.863,0.66%,1791623
2015/7/1,165.62,165.93,164.02,165.22,144.809,0.66%,1140648
2015/7/2,165.79,165.79,162.62,163.14,142.986,-1.26%,1559205
2015/7/6,160.82,162.43,157.37,161.6,141.636,-0.94%,2772791
2015/7/7,162.49,162.66,158.09,160.33,140.523,-0.79%,2611148
2015/7/8,159.5,160.55,159,159.39,139.699,-0.59%,1312481
2015/7/9,161.29,161.98,158.58,158.58,138.989,-0.51%,1675326
2015/7/10,159.67,161.005,159.3,159.73,139.997,0.73%,1539059
2015/7/13,160.2,160.822,155.07,156.45,137.123,-2.05%,2716201
2015/7/14,156.57,160.81,156.41,159.97,140.208,2.25%,1823305
2015/7/15,160.1,161.8,158.82,159.6,139.883,-0.23%,1292624
2015/7/16,159.43,160.06,157.01,157.6,138.131,-1.25%,1551337
2015/7/17,157.67,158.61,157.05,158.59,138.998,0.63%,1469595
2015/7/20,158.555,158.84,154.5,156.59,137.245,-1.26%,2109669
2015/7/21,156.35,157,154.39,155.78,136.535,-0.52%,1448557
2015/7/22,155.61,156.79,154.77,155.1,135.939,-0.44%,1092133
2015/7/23,156.6,157.12,154.01,155.21,136.036,0.07%,2284446
2015/7/24,152.31,154.15,148.78,150.86,132.223,-2.80%,4747563
2015/7/27,150.8,152.03,149.89,151.5,132.784,0.42%,2481103
2015/7/28,152.43,155,151,154.2,135.151,1.78%,3244521
2015/7/29,155.85,156.995,151.73,155.27,136.088,0.69%,3495214
2015/7/30,156.03,157.05,152.62,154.89,135.755,-0.24%,3408137
2015/7/31,155.86,156.12,153.64,154.27,135.212,-0.40%,2615967
2015/8/3,154.28,155.27,152.05,152.78,133.906,-0.97%,1868093
2015/8/4,153.8,154,151.77,152.5,133.661,-0.18%,1449088
2015/8/5,153.44,155.01,152.38,154.95,135.808,1.61%,2209179
2015/8/6,154.72,155.95,152.18,152.44,133.608,-1.62%,1423151
2015/8/7,152.29,153,151.89,152.63,133.774,0.12%,1864580
2015/8/10,152.6,153.77,152.2,152.33,133.512,-0.20%,997835
2015/8/11,152,152.76,151.43,152.42,133.59,0.06%,1153541
2015/8/12,151.58,152,148.8,149.47,131.005,-1.94%,2005484
2015/8/13,149.97,150.61,148.45,149.69,131.198,0.15%,1542790
2015/8/14,149.69,150.45,148.44,149.3,130.856,-0.26%,1687575
2015/8/17,149.39,152.25,149.27,151.9,133.135,1.74%,1860194
2015/8/18,152.18,154.5,151.87,153.3,134.362,0.92%,1996937
2015/8/19,152.43,152.87,150.78,151.95,133.178,-0.88%,1354901
2015/8/20,150.54,151.625,147.72,147.86,129.594,-2.69%,1939650
2015/8/21,145.67,147.5,144.77,146.62,128.507,-0.84%,3752818
2015/8/24,138.89,145.53,136.04,140.68,123.301,-4.05%,4219211
2015/8/25,142.51,143.86,137.94,138.14,121.075,-1.81%,2623509
2015/8/26,140.26,142.31,138.32,142.16,124.598,2.91%,2606054
2015/8/27,143,144.37,139.44,142.16,124.598,0.00%,2274006
2015/8/28,142.24,142.24,139.09,140.56,123.196,-1.13%,2018335
2015/8/31,140.09,143.69,139.95,141.05,123.625,0.35%,3228491
2015/9/1,138.38,139.75,137.03,138.06,121.004,-2.12%,3342880
2015/9/2,139.01,140.5,137.62,140.47,123.117,1.75%,2357855
2015/9/3,140.81,143.94,140.575,142.95,125.29,1.77%,2722172
2015/9/4,140.84,142.95,140.49,142.05,124.502,-0.63%,2201049
2015/9/8,143.49,146.55,142.74,146.43,128.888,3.08%,2216132
2015/9/9,147.27,147.96,145.17,145.6,128.158,-0.57%,2346216
2015/9/10,145.11,146.28,143.76,143.94,126.697,-1.14%,2030540
2015/9/11,147.75,147.75,143.01,147.09,129.469,2.19%,1582659
2015/9/14,147.44,147.8,145.388,145.87,128.395,-0.83%,1600885
2015/9/15,147.66,148.615,145.57,148.24,130.481,1.62%,1465779
2015/9/16,148.62,151.91,148.6,151.15,133.043,1.96%,1762392
2015/9/17,151.98,152.44,148.32,150.27,132.268,-0.58%,2275367
2015/9/18,148.79,149.49,146.23,146.86,129.267,-2.27%,2662382
2015/9/21,148.67,149.78,147.02,149.57,131.652,1.85%,2085484
2015/9/22,148.01,149.85,147.06,148.66,130.851,-0.61%,1832013
2015/9/23,148.24,150.41,147.8,149.28,131.397,0.42%,1533168
2015/9/24,147.52,149.98,144.792,147.06,129.443,-1.49%,1875523
2015/9/25,148.02,148.43,140.87,141.91,124.91,-3.50%,2209842
2015/9/28,141.21,142.03,134.62,136.31,119.981,-3.95%,2937830
2015/9/29,136.5,139.83,135.14,137.72,121.222,1.03%,2699886
2015/9/30,138.9,141.43,138.39,140,123.229,1.66%,1776530
2015/10/1,140.31,140.68,137,138.94,122.295,-0.76%,2142642
2015/10/2,138,141.87,136.707,141.85,124.857,2.09%,1429211
2015/10/5,142.89,143.96,142.02,142.85,125.737,0.70%,1499347
2015/10/6,142.88,142.92,138.19,139.46,122.753,-2.37%,1621667
2015/10/7,139.95,139.99,135.25,139.41,122.709,-0.04%,3364816
2015/10/8,139.22,139.38,136.18,137.33,120.878,-1.49%,1998384
2015/10/9,137.15,141.32,137.15,140.49,123.66,2.30%,1951461
2015/10/12,141,143.88,140.595,143.86,126.626,2.40%,1417997
2015/10/13,143.71,149.87,143.47,146.53,128.976,1.86%,2288156
2015/10/14,146.28,147.87,142.25,143.35,126.177,-2.17%,1579299
2015/10/15,143.13,145.56,137.11,145.23,127.832,1.31%,3427045
2015/10/16,146.86,147.755,145.88,147.05,129.434,1.25%,1494443
2015/10/19,146.35,149.37,146.35,148.81,130.983,1.20%,1308135
2015/10/20,148.98,149.5,147.44,148.24,130.481,-0.38%,945466
2015/10/21,149.31,149.38,138.75,142.79,125.684,-3.68%,3642170
2015/10/22,142.25,143.14,135.24,139.41,122.709,-2.37%,5605629
2015/10/23,140.08,143.28,139.28,140.95,124.065,1.10%,3150515
2015/10/26,140.96,142.34,139.54,141.74,124.76,0.56%,1991908
2015/10/27,141.33,146.1,141.33,144.69,127.357,2.08%,2727698
2015/10/28,141,144.98,134.74,141.8,124.813,-2.00%,5090932
2015/10/29,140.85,142.71,140.4,141.34,124.408,-0.32%,2397849
2015/10/30,141.92,141.92,139.03,139.15,122.48,-1.55%,2132626
2015/11/2,139,140.52,137.72,139.86,123.105,0.51%,1802467
2015/11/3,139.1,140.169,135.53,137.05,120.632,-2.01%,1982009
2015/11/4,138,138.04,133.09,135.34,119.127,-1.25%,3192761
2015/11/5,135.51,136.44,133.79,136.04,119.743,0.52%,1847295
2015/11/6,134.98,135.84,132.46,133.98,117.93,-1.51%,2074353
2015/11/9,133.49,134.31,131.95,133.77,117.745,-0.16%,2552443
2015/11/10,133.77,135.91,133.54,135.27,119.065,1.12%,1320614
2015/11/11,136.02,136.02,133.95,134.19,118.115,-0.80%,1751172
2015/11/12,134.36,135.7,133.26,133.43,117.446,-0.57%,1751855
2015/11/13,133.32,134.5,132,132.55,116.671,-0.66%,1784787
2015/11/16,132.76,135.27,132.76,135.06,118.88,1.89%,1028003
2015/11/17,134.68,138.2,134.05,136.25,119.928,0.88%,1533803
2015/11/18,136.3,137.66,134.65,137.3,120.852,0.77%,1799997
2015/11/19,130.52,131.985,126.25,127.86,112.543,-6.88%,5775078
2015/11/20,128.17,132,128.03,131.29,115.562,2.68%,2765550
2015/11/23,131.67,133.92,131.03,131.13,115.421,-0.12%,1511346
2015/11/24,130.81,131.88,129.76,131.63,115.861,0.38%,2028959
2015/11/25,131.5,131.82,130.32,131,115.307,-0.48%,1641164
2015/11/27,131.6,132.29,130.17,131.22,115.5,0.17%,554860
2015/11/30,131.22,131.58,130.1,130.38,114.761,-0.64%,2315557
2015/12/1,131.11,135.99,130.32,135.82,119.549,4.17%,2277703
2015/12/2,135.38,137.14,132.45,132.92,117.547,-2.14%,5880539
2015/12/3,132.78,133.81,129.04,129.43,114.46,-2.63%,2837560
2015/12/4,129.41,133.18,129.28,132.75,117.396,2.57%,1551070
2015/12/7,133.52,133.52,131.135,132.78,117.423,0.02%,1970697
2015/12/8,132,133.45,130.55,131.6,116.379,-0.89%,3459692
2015/12/9,130.8,133.96,130.455,132.46,117.14,0.65%,2050663
2015/12/10,132.03,135.2,131.33,134.84,119.245,1.80%,1687002
2015/12/11,134,137.48,133.15,135.78,120.076,0.70%,2629011
2015/12/14,136.23,137,134.16,135.53,119.855,-0.18%,1356846
2015/12/15,136.23,137.3,134.03,135.02,119.404,-0.38%,1528988
2015/12/16,136.31,138.12,135.54,137.78,121.845,2.04%,1459256
2015/12/17,137.7,140.49,137.255,139.01,122.932,0.89%,1631774
2015/12/18,139,139.83,137.75,137.75,121.818,-0.91%,1924338
2015/12/21,138.1,140.62,137.7,139.53,123.392,1.29%,1393774
2015/12/22,140.1,140.88,138,140.19,123.976,0.47%,1780359
2015/12/23,140.47,141.08,139.58,140.51,124.259,0.23%,901724
2015/12/24,140.68,141.49,140.45,140.56,124.303,0.04%,357532
2015/12/28,140.28,140.51,139.01,140.03,123.834,-0.38%,481051
2015/12/29,140.52,142.28,140.31,141.85,125.444,1.30%,669424
