Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,12.67,12.84,12.21,12.25,12.25,-2.78%,919852
2015/3/25,12.35,12.54,11.715,11.87,11.87,-3.10%,843701
2015/3/26,11.88,12.82,11.88,12.23,12.23,3.03%,1057751
2015/3/27,12.55,13.21,12.435,13.09,13.09,7.03%,1035810
2015/3/30,13.21,13.31,12.65,13.22,13.22,0.99%,1155851
2015/3/31,13.1,13.56,13.073,13.19,13.19,-0.23%,604434
2015/4/1,13.21,13.48,12.7,13.07,13.07,-0.91%,664597
2015/4/2,13.01,13.62,13.01,13.36,13.36,2.22%,559500
2015/4/6,13.27,13.52,12.89,12.95,12.95,-3.07%,369740
2015/4/7,13.3,13.338,12.94,13.27,13.27,2.47%,539820
2015/4/8,13.22,13.29,12.71,12.91,12.91,-2.71%,565882
2015/4/9,12.96,13.24,12.76,13.22,13.22,2.40%,274577
2015/4/10,13.26,13.38,13.1,13.23,13.23,0.08%,337016
2015/4/13,13.24,13.565,13.22,13.35,13.35,0.91%,232275
2015/4/14,13.34,13.45,12.965,13.02,13.02,-2.47%,494344
2015/4/15,13.6,13.96,13.49,13.65,13.65,4.84%,897907
2015/4/16,13.6,14.17,13.31,13.99,13.99,2.49%,708881
2015/4/17,13.93,14,13.4,13.65,13.65,-2.43%,620148
2015/4/20,13.7,13.72,13.14,13.31,13.31,-2.49%,495759
2015/4/21,13.35,13.6,13.31,13.35,13.35,0.30%,231675
2015/4/22,13.38,13.51,13.1,13.38,13.38,0.22%,302377
2015/4/23,13.34,13.98,13.34,13.9,13.9,3.89%,617391
2015/4/24,13.94,13.95,13.32,13.47,13.47,-3.09%,488149
2015/4/27,13.54,13.6,12.85,13,13,-3.49%,668330
2015/4/28,13.05,13.32,12.81,13.21,13.21,1.62%,636456
2015/4/29,13.11,13.26,12.76,12.85,12.85,-2.73%,418954
2015/4/30,12.81,12.965,12.31,12.57,12.57,-2.18%,806204
2015/5/1,12.39,13.14,11.99,12.75,12.75,1.43%,1302490
2015/5/4,12.89,12.9,12.1,12.18,12.18,-4.47%,1169430
2015/5/5,12.21,12.5,11.85,12.11,12.11,-0.57%,1283746
2015/5/6,11.38,11.52,10.39,10.62,10.62,-12.30%,3472692
2015/5/7,10.78,11.2,10.7,10.92,10.92,2.82%,1416385
2015/5/8,11,11.06,9.935,10.26,10.26,-6.04%,2085276
2015/5/11,10.34,10.74,10.1,10.58,10.58,3.12%,1040892
2015/5/12,10.43,10.52,10.06,10.2,10.2,-3.59%,750919
2015/5/13,10.25,10.43,9.75,9.82,9.82,-3.73%,1265557
2015/5/14,9.89,10.1,9.31,10.09,10.09,2.75%,1146860
2015/5/15,10.34,10.62,9.81,10.54,10.54,4.46%,1201553
2015/5/18,10.41,10.82,10.37,10.71,10.71,1.61%,997205
2015/5/19,11.2,11.5,10.22,10.37,10.37,-3.17%,1644728
2015/5/20,10.39,10.54,9.96,10.09,10.09,-2.70%,744786
2015/5/21,10.1,10.15,9.76,10.01,10.01,-0.79%,774650
2015/5/22,10,10.2,9.82,9.95,9.95,-0.60%,792721
2015/5/26,9.91,10.12,9.67,9.79,9.79,-1.61%,452477
2015/5/27,9.79,9.93,9.57,9.9,9.9,1.12%,518448
2015/5/28,9.95,10.1,9.66,9.82,9.82,-0.81%,597076
2015/5/29,9.81,9.82,9.45,9.47,9.47,-3.56%,674462
2015/6/1,9.52,9.63,9.03,9.29,9.29,-1.90%,1127232
2015/6/2,9.34,10.03,9.3,9.77,9.77,5.17%,805624
2015/6/3,9.81,9.996,9.75,9.89,9.89,1.23%,458331
2015/6/4,9.7,9.7,9.15,9.26,9.26,-6.37%,1076552
2015/6/5,9.01,9.25,8.87,9.13,9.13,-1.40%,1228135
2015/6/8,9.11,9.29,8.9,8.99,8.99,-1.53%,540345
2015/6/9,8.93,9.04,8.55,8.86,8.86,-1.45%,623613
2015/6/10,8.9,9.11,8.76,8.79,8.79,-0.79%,531590
2015/6/11,8.77,9.18,8.76,9.03,9.03,2.73%,453307
2015/6/12,9.01,9.26,8.98,9.15,9.15,1.33%,532959
2015/6/15,8.97,9.118,8.85,8.97,8.97,-1.97%,920072
2015/6/16,8.97,9.21,8.97,9.07,9.07,1.11%,624422
2015/6/17,9.1,9.25,8.97,9.05,9.05,-0.22%,540517
2015/6/18,9.06,9.15,8.95,9,9,-0.55%,453952
2015/6/19,9,9.2,8.89,9.09,9.09,1.00%,1091709
2015/6/22,9.31,9.36,8.8,8.89,8.89,-2.20%,553838
2015/6/23,8.89,9.06,8.86,8.87,8.87,-0.22%,417246
2015/6/24,8.85,8.87,8.51,8.68,8.68,-2.14%,525022
2015/6/25,8.72,8.79,8.45,8.5,8.5,-2.07%,592321
2015/6/26,8.48,8.48,7.96,8.06,8.06,-5.18%,1759146
2015/6/29,7.99,8.08,7.67,7.84,7.84,-2.73%,976117
2015/6/30,7.95,7.95,7.54,7.61,7.61,-2.93%,678845
2015/7/1,7.7,7.86,7.47,7.61,7.61,0.00%,575440
2015/7/2,7.62,7.75,7.54,7.62,7.62,0.13%,447111
2015/7/6,7.53,7.55,7.2,7.45,7.45,-2.23%,775545
2015/7/7,7.45,7.58,7.17,7.57,7.57,1.61%,908743
2015/7/8,7.17,7.35,6.15,6.2,6.2,-18.10%,2310491
2015/7/9,6.46,6.84,5.75,5.87,5.87,-5.32%,2326601
2015/7/10,6.17,6.26,5.945,5.99,5.99,2.04%,1230946
2015/7/13,6.02,6.45,6.02,6.33,6.33,5.68%,1115283
2015/7/14,6.36,6.72,6.34,6.68,6.68,5.53%,1077749
2015/7/15,6.65,6.71,6.12,6.3,6.3,-5.69%,774594
2015/7/16,6.31,6.44,6.12,6.33,6.33,0.48%,1256155
2015/7/17,6.35,6.51,6.26,6.45,6.45,1.90%,1186718
2015/7/20,6.58,6.66,6.15,6.16,6.16,-4.50%,948038
2015/7/21,6.09,6.278,6.03,6.21,6.21,0.81%,674185
2015/7/22,6.16,6.22,5.84,5.88,5.88,-5.31%,595321
2015/7/23,5.79,5.92,5.55,5.72,5.72,-2.72%,1211523
2015/7/24,5.72,5.85,5.59,5.76,5.76,0.70%,710410
2015/7/27,5.61,5.72,5.42,5.64,5.64,-2.08%,507834
2015/7/28,5.8,5.9,5.51,5.63,5.63,-0.18%,580102
2015/7/29,5.6,5.99,5.595,5.97,5.97,6.04%,483803
2015/7/30,5.98,6.25,5.78,5.99,5.99,0.34%,680894
2015/7/31,6,6.18,5.86,5.91,5.91,-1.34%,585041
2015/8/3,5.97,5.97,5.44,5.47,5.47,-7.45%,806623
2015/8/4,5.47,5.66,5.38,5.64,5.64,3.11%,866698
2015/8/5,6,7.1,5.76,6.98,6.98,23.76%,2642412
2015/8/6,6.96,7,6.45,6.84,6.84,-2.01%,1560342
2015/8/7,6.82,6.9,6.08,6.24,6.24,-8.77%,1427544
2015/8/10,6.41,6.45,5.98,6.14,6.14,-1.60%,837028
2015/8/11,5.95,6.11,5.66,5.67,5.67,-7.65%,676709
2015/8/12,5.46,5.6,5.1,5.57,5.57,-1.76%,1378231
2015/8/13,5.55,5.87,5.43,5.44,5.44,-2.33%,570909
2015/8/14,5.48,5.66,5.43,5.5,5.5,1.10%,411278
2015/8/17,5.49,5.62,5.33,5.6,5.6,1.82%,469935
2015/8/18,5.36,5.53,4.95,5.01,5.01,-10.54%,1127645
2015/8/19,4.99,5.07,4.86,4.97,4.97,-0.80%,450547
2015/8/20,4.9,4.91,4.47,4.51,4.51,-9.26%,787009
2015/8/21,4.52,4.61,4.24,4.42,4.42,-2.00%,931421
2015/8/24,4.01,5.18,3.9,4.86,4.86,9.95%,1652591
2015/8/25,5.1,5.26,4.33,4.34,4.34,-10.70%,1337782
2015/8/26,4.45,4.7,4.28,4.48,4.48,3.23%,909965
2015/8/27,4.5,4.737,4.39,4.63,4.63,3.35%,663185
2015/8/28,4.66,4.73,4.49,4.58,4.58,-1.08%,716761
2015/8/31,4.57,4.89,4.57,4.6,4.6,0.44%,1073646
2015/9/1,4.57,4.68,4.38,4.42,4.42,-3.91%,828927
2015/9/2,4.44,4.56,4.305,4.42,4.42,0.00%,785238
