Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,62.5,62.89,61.7,61.95,61.95,-1.18%,233378
2015/3/25,61.83,61.875,59.88,60.13,60.13,-2.94%,292946
2015/3/26,59.7,61.18,58.75,61.01,61.01,1.46%,241117
2015/3/27,60.91,62.12,60.36,61.97,61.97,1.57%,270669
2015/3/30,61.96,62.62,61.03,62.23,62.23,0.42%,407185
2015/3/31,61.91,62.22,60.51,61.29,61.29,-1.51%,341901
2015/4/1,61.23,61.8,59.51,61.4,61.4,0.18%,374037
2015/4/2,61.31,61.96,61.01,61.72,61.72,0.52%,1151604
2015/4/6,61.65,67.1,61.45,66.07,66.07,7.05%,2024731
2015/4/7,66.33,67.54,66.11,66.49,66.49,0.64%,825862
2015/4/8,66.75,67.47,66.06,66.88,66.88,0.59%,323841
2015/4/9,66.76,68.21,66.455,67.83,67.83,1.42%,287327
2015/4/10,68.12,68.78,67.76,68.77,68.77,1.39%,512306
2015/4/13,69.07,70.49,68.82,69.4,69.4,0.92%,547603
2015/4/14,69.4,69.91,67.1,67.29,67.29,-3.04%,559648
2015/4/15,67.51,68.08,67.28,67.57,67.57,0.42%,275711
2015/4/16,67.46,68.55,67.46,67.81,67.81,0.36%,219466
2015/4/17,67.45,67.46,65.48,66.61,66.61,-1.77%,414676
2015/4/20,66.78,68.24,66.78,67.76,67.76,1.73%,221235
2015/4/21,68.08,68.5,67,68.15,68.15,0.58%,262774
2015/4/22,68.32,68.79,67.84,67.99,67.99,-0.23%,242863
2015/4/23,67.75,67.89,67.41,67.56,67.56,-0.63%,229361
2015/4/24,67.92,67.94,66.42,66.61,66.61,-1.41%,161318
2015/4/27,66.6,67.43,64.75,64.89,64.89,-2.58%,344424
2015/4/28,65.11,67.09,64.61,66.91,66.91,3.11%,327027
2015/4/29,66.58,66.79,65.142,65.86,65.86,-1.57%,236928
2015/4/30,65.57,66.49,64.34,64.71,64.71,-1.75%,280842
2015/5/1,64.99,67.29,64.86,66.79,66.79,3.21%,352295
2015/5/4,66.8,68.23,66.55,67.18,67.18,0.58%,345732
2015/5/5,66.99,67.16,65.28,65.8,65.8,-2.05%,375041
2015/5/6,66.35,67.7,65.6,66.41,66.41,0.93%,448801
2015/5/7,66.13,66.47,57.58,65.25,65.25,-1.75%,2018330
