Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,237.46,238.6,231.25,231.34,183.11,-3.06%,646404
2015/3/25,231.35,232.09,227.69,228.86,181.147,-1.07%,628386
2015/3/26,226.31,228.92,225.02,227.86,180.355,-0.44%,555634
2015/3/27,226.57,230.6,226.57,229.725,181.832,0.82%,518078
2015/3/30,230.82,234.52,229.31,234.22,185.389,1.96%,647072
2015/3/31,232.74,236.54,231.46,232.85,184.305,-0.58%,913240
2015/4/1,233.31,233.95,230.61,233.59,184.891,0.32%,611292
2015/4/2,233.29,236.71,230.96,235.6,186.482,0.86%,470712
2015/4/6,233.33,236.54,231.92,235.15,186.125,-0.19%,306989
2015/4/7,235.61,237.2,234.18,234.29,185.445,-0.37%,301786
2015/4/8,235.11,239.67,233.72,239.09,189.244,2.05%,637696
2015/4/9,238.96,240.3,238.66,240.06,190.012,0.41%,440093
2015/4/10,240.06,241.24,236.48,239.65,189.687,-0.17%,524697
2015/4/13,239.76,242.32,239.46,239.77,189.782,0.05%,625277
2015/4/14,239.28,242.03,237.65,241.49,191.144,0.72%,503662
2015/4/15,242.33,242.95,241.03,241.19,190.906,-0.12%,509905
2015/4/16,240.11,242.96,240.11,241.56,191.199,0.15%,569440
2015/4/17,238.26,240.83,233.19,236.14,186.909,-2.24%,860036
2015/4/20,238,240.61,236.961,239.87,189.861,1.58%,508787
2015/4/21,240.59,244.98,239.63,243.78,192.956,1.63%,779701
2015/4/22,244.88,245.5,242.88,244.78,193.748,0.41%,596020
2015/4/23,244.01,248.3,242.49,246.925,195.446,0.88%,587708
2015/4/24,246.65,247.693,245.3,246.065,194.765,-0.35%,504680
2015/4/27,244.99,246.41,243.32,244.85,193.803,-0.49%,800748
2015/4/28,244.16,247.83,243.73,246.38,195.014,0.62%,731080
2015/4/29,244.45,246.98,242.77,244.8,193.764,-0.64%,716222
2015/4/30,255.25,262,249.7,255.93,202.573,4.55%,1743423
2015/5/1,258.93,260,256.24,258.88,204.908,1.15%,1149774
2015/5/4,260.3,260.3,257.8,259.13,205.106,0.10%,1009045
2015/5/5,258.24,259.86,257.17,257.18,203.563,-0.75%,978144
2015/5/6,258.81,259.47,256.04,258.28,204.433,0.43%,805838
2015/5/7,265.25,270.46,261.21,262,207.378,1.44%,1534227
2015/5/8,264.09,269.89,262.09,267.93,212.071,2.26%,862457
2015/5/11,268.28,269.798,263.25,263.42,208.502,-1.68%,601891
2015/5/12,261.05,261.688,258.265,259.3,205.241,-1.56%,945290
2015/5/13,259.61,261.56,256.9,259.68,205.541,0.15%,612100
2015/5/14,260.67,262.055,258.13,261.41,206.911,0.67%,409018
2015/5/15,261.62,261.62,259.585,260.4,206.111,-0.39%,386289
2015/5/18,260.49,264.11,259.16,262.29,207.607,0.73%,327054
2015/5/19,261.97,263.98,260.98,263.68,208.708,0.53%,377754
2015/5/20,269.91,270.15,266.19,269.9,213.631,2.36%,1201491
2015/5/21,266.88,268.75,263.21,268.22,212.301,-0.62%,2051936
2015/5/22,266.74,268.13,265.57,268,213.465,-0.08%,645092
2015/5/26,265.03,267.35,263.54,266.77,212.485,-0.46%,578307
2015/5/27,267.7,270.04,265.045,270.01,215.066,1.21%,390160
2015/5/28,269.69,270.515,267.71,269.19,214.412,-0.30%,590692
2015/5/29,268.03,269.36,265.645,268.07,213.52,-0.42%,1129408
2015/6/1,274.13,274.13,267.95,270.15,215.177,0.78%,557547
2015/6/2,266.68,269.96,265.84,268.95,214.221,-0.44%,1008624
2015/6/3,268.32,268.95,265.64,266.14,211.983,-1.04%,882563
2015/6/4,264.57,266.49,262.3,263.06,209.53,-1.16%,917185
2015/6/5,263.04,265.004,261.89,263.05,209.522,0.00%,656270
2015/6/8,263.61,264.81,261.37,261.45,208.247,-0.61%,402305
2015/6/9,260.85,262.82,257,257.81,205.348,-1.39%,514367
2015/6/10,258.46,262.18,257.63,260.37,207.387,0.99%,482799
2015/6/11,261.01,262.51,260.68,260.93,207.833,0.22%,314006
2015/6/12,259.92,261.81,259.07,260.72,207.666,-0.08%,458968
2015/6/15,258.1,260.65,255.76,255.86,203.795,-1.86%,555905
2015/6/16,252.8,257.79,252.62,255.7,203.667,-0.06%,817605
2015/6/17,257.95,258.22,255.69,257.12,204.799,0.56%,794974
2015/6/18,257.73,261.86,256.09,261.35,208.168,1.65%,1183564
2015/6/19,261.34,263.19,260.04,262.79,209.315,0.55%,2106422
2015/6/22,264.07,264.984,259.66,260.04,207.124,-1.05%,449040
2015/6/23,259.9,261.03,258.55,259.26,206.503,-0.30%,525472
2015/6/24,259.01,260.09,254.91,256.11,203.994,-1.21%,451629
2015/6/25,255.9,257.48,255.26,256.59,204.376,0.19%,517368
2015/6/26,256.53,258.89,254.81,258.87,206.192,0.89%,774986
2015/6/29,256.66,257,249.985,250.33,199.39,-3.30%,800913
2015/6/30,251.59,255.17,249.96,254,202.313,1.47%,699560
2015/7/1,255.54,256.15,253.14,255.64,203.62,0.65%,466348
2015/7/2,256.14,257.21,253.81,255.34,203.381,-0.12%,349549
2015/7/6,253.14,256.21,251.45,255.51,203.516,0.07%,544012
