Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,43.016,43.538,42.831,43.364,40.218,1.19%,1324271
2015/3/25,43.664,44.464,43.266,44.143,40.94,1.80%,1827969
2015/3/26,44.736,44.965,43.337,43.511,40.355,-1.43%,1607011
2015/3/27,43.163,43.887,42.89,43.587,40.425,0.17%,1600366
2015/3/30,43.936,45.09,43.772,45.019,41.753,3.29%,1980934
2015/3/31,44.529,45.416,44.281,45.112,41.839,0.21%,2451061
2015/4/1,45.378,45.939,44.807,45.073,41.804,-0.09%,2184580
2015/4/2,44.818,46.135,44.622,46.059,42.718,2.19%,2351835
2015/4/6,46.217,46.489,45.749,45.841,42.516,-0.47%,1862962
2015/4/7,46.004,46.233,45.765,45.841,42.516,0.00%,1795322
2015/4/8,45.89,46.064,45.351,45.389,42.097,-0.99%,2330522
2015/4/9,45.629,46.516,45.128,46.331,42.97,2.08%,3261159
2015/4/10,46.44,46.532,45.629,46.086,42.743,-0.53%,2018078
2015/4/13,46.233,46.402,45.275,45.313,42.026,-1.68%,1695729
2015/4/14,45.618,46.277,45.465,46.053,42.712,1.63%,2049368
2015/4/15,46.467,47.953,46.032,47.861,44.389,3.93%,2786139
2015/4/16,47.594,48.524,47.343,47.485,44.04,-0.79%,3105821
2015/4/17,47.011,47.659,46.897,47.567,44.116,0.17%,2226928
2015/4/20,47.365,47.511,46.621,47.142,43.722,-0.89%,2252149
2015/4/21,47.365,47.539,46.854,47.055,43.641,-0.18%,2283440
2015/4/22,47.354,47.774,46.892,47.518,44.071,0.98%,2244498
2015/4/23,48.356,49.45,47.55,47.654,44.197,0.29%,5582778
2015/4/24,47.784,48.312,46.712,47.137,43.717,-1.08%,2514887
2015/4/27,47.213,47.474,46.549,46.864,43.465,-0.58%,2590485
2015/4/28,46.826,47.627,46.592,47.616,44.161,1.60%,2067898
2015/4/29,47.485,48.704,47.246,48.666,45.136,2.21%,2230637
2015/4/30,48.819,49.766,47.779,48.96,45.409,0.60%,2696262
2015/5/1,49.075,49.379,48.732,48.982,45.429,0.04%,3004453
2015/5/4,48.998,49.336,48.688,48.824,45.282,-0.32%,1672627
2015/5/5,49.309,49.956,48.476,48.508,44.989,-0.65%,2148231
2015/5/6,48.889,48.987,48.019,48.242,44.742,-0.55%,1425194
2015/5/7,48.019,48.095,47.523,47.948,44.469,-0.61%,1735963
2015/5/8,48.574,49.494,47.588,49.456,45.868,3.15%,2075922
2015/5/11,49.532,49.559,48.209,48.922,45.373,-1.08%,2320481
2015/5/12,49.107,50.512,48.767,50.054,46.423,2.31%,3678825
2015/5/13,50.005,50.044,48.753,48.966,45.429,-2.17%,2306423
2015/5/14,49.058,49.69,48.557,49.428,45.858,0.94%,1949404
2015/5/15,49.091,49.428,48.459,49.347,45.782,-0.16%,1808100
2015/5/18,49.118,49.325,48.568,48.737,45.217,-1.24%,3311495
2015/5/19,48.367,48.666,47.588,47.98,44.515,-1.55%,3782502
2015/5/20,48.258,48.258,47.371,47.926,44.464,-0.11%,2066263
2015/5/21,48.242,48.508,47.757,48.198,44.717,0.57%,1666919
2015/5/22,47.708,48.454,47.654,48.127,44.651,-0.15%,915558
2015/5/26,47.621,48.068,47.082,47.343,43.924,-1.63%,1500678
2015/5/27,47.284,47.779,46.908,47.686,44.242,0.72%,1301242
2015/5/28,47.447,47.534,46.538,46.619,43.252,-2.24%,1909118
2015/5/29,46.843,47.12,45.993,46.309,42.964,-0.66%,2954722
