Date,Open,High,Low,Close,Adj. Close,Change,Volume
2018/6/5,54,54,54,54,41.885,0,2904786
2018/6/6,54.05,54.19,52.11,52.29,40.558,-3.17%,3642973
2018/6/7,52.25,52.56,51.74,51.93,40.279,-0.69%,2928630
2018/6/8,52.26,52.51,51.26,51.32,39.806,-1.17%,1830776
2018/6/11,51.46,51.76,50.89,51.57,40,0.49%,2490703
2018/6/12,51.83,52.46,51.47,52.25,40.527,1.32%,2956130
2018/6/13,52.4,53.12,51.67,52.18,40.473,-0.13%,2088989
2018/6/14,52.45,52.75,51.63,51.95,40.295,-0.44%,2494432
2018/6/15,52.06,53.16,51.65,52.78,40.939,1.60%,5928826
2018/6/18,52.78,53.22,52.26,52.93,41.055,0.28%,1874817
2018/6/19,53.24,54,53.09,53.97,41.862,1.96%,2585688
2018/6/20,53.72,54.46,53.3,54.2,42.04,0.43%,1355965
2018/6/21,54.39,54.77,53.91,54.17,42.017,-0.06%,1951191
2018/6/22,54.06,54.55,53.96,54.44,42.226,0.50%,2453877
2018/6/25,54.36,55.09,54.03,54.91,42.591,0.86%,2031643
2018/6/26,54.57,55.85,54.57,55.21,42.823,0.55%,2018132
2018/6/27,55.1,55.81,55.01,55.46,43.017,0.45%,1506724
2018/6/28,55.37,56.29,55.3,55.71,43.211,0.45%,1226498
2018/6/29,55.54,56.25,55.07,56.15,43.552,0.79%,2189669
2018/7/2,56.14,56.89,56.11,56.81,44.064,1.18%,1952092
2018/7/3,56.81,57.07,56.26,56.55,43.863,-0.46%,849502
2018/7/5,56.55,56.735,55.96,56.56,43.87,0.02%,1523880
2018/7/6,56.45,57.09,56.41,56.76,44.026,0.35%,1242355
2018/7/9,56.7,56.74,54.6,54.77,42.482,-3.51%,1309031
2018/7/10,54.37,55.04,54.17,55,42.66,0.42%,1776735
2018/7/11,55.18,56.14,54.93,55.97,43.413,1.76%,1061935
2018/7/12,55.71,56.07,55.35,55.75,43.242,-0.39%,1423293
2018/7/13,55.8,56.07,55.55,55.91,43.366,0.29%,888701
2018/7/16,55.76,56.09,55.55,56,43.436,0.16%,740531
2018/7/17,56.24,56.4,55.85,56.03,43.459,0.05%,1213722
2018/7/18,55.83,56.03,55.18,55.55,43.087,-0.86%,680418
2018/7/19,55.65,56.58,55.65,56.15,43.552,1.08%,874451
2018/7/20,55.77,56.16,55.56,55.71,43.211,-0.78%,817541
2018/7/23,55.79,55.8,54.93,55.05,42.699,-1.18%,1459946
2018/7/24,54.91,55.31,54.37,54.99,42.653,-0.11%,1560829
2018/7/25,54.95,55.53,54.84,55.04,42.692,0.09%,1947552
2018/7/26,55.31,55.88,55.11,55.48,43.033,0.80%,951611
2018/7/27,55.43,55.73,54.9,55.33,42.916,-0.27%,1013210
2018/7/30,55.3,55.89,54.82,55.41,42.979,0.14%,951443
2018/7/31,55.51,56.23,55.05,56.09,43.506,1.23%,1155699
2018/8/1,55.81,56.04,54.94,55.6,43.126,-0.87%,914627
2018/8/2,55.54,56.12,55.38,55.82,43.297,0.40%,1081343
2018/8/3,55.89,56.64,55.44,56.18,43.576,0.64%,1089819
2018/8/6,56.17,56.9,55.95,56.15,43.552,-0.05%,1159138
2018/8/7,56.15,56.77,55.91,56.62,43.917,0.84%,1412066
2018/8/8,56.41,56.62,56.11,56.37,43.723,-0.44%,1111468
2018/8/9,55.6,57.32,55.51,57.02,44.227,1.15%,1610132
2018/8/10,57.12,57.99,57.12,57.68,44.739,1.16%,1507528
2018/8/13,57.45,57.81,57.01,57.61,44.685,-0.12%,1977295
2018/8/14,57.64,57.96,57.34,57.44,44.553,-0.30%,1033225
2018/8/15,57.46,58.22,57.26,57.69,44.747,0.44%,1423625
2018/8/16,57.57,57.88,57.3,57.68,44.739,-0.02%,1828457
2018/8/17,57.57,58.22,57.37,57.87,44.887,0.33%,3784634
2018/8/20,57.87,58.24,57.64,57.85,44.871,-0.03%,1413355
2018/8/21,57.65,57.68,57.32,57.41,44.53,-0.76%,1729299
2018/8/22,57.53,57.63,56.81,56.99,44.204,-0.73%,1304378
2018/8/23,56.91,57.41,56.82,56.94,44.165,-0.09%,995955
2018/8/24,56.97,57.52,56.61,57.45,44.561,0.90%,1137851
2018/8/27,57.43,57.76,56.7,56.96,44.181,-0.85%,2003756
2018/8/28,56.44,57.28,56.27,56.9,44.491,-0.11%,1428868
2018/8/29,56.82,57.31,56.72,57.11,44.655,0.37%,1266092
2018/8/30,57.28,57.61,57.12,57.35,44.843,0.42%,994138
2018/8/31,57.46,57.64,56.93,57.05,44.608,-0.52%,1422216
2018/9/4,57.27,57.68,57.03,57.51,44.968,0.81%,1135348
2018/9/5,57.63,58.62,57.63,58.52,45.758,1.76%,1871963
2018/9/6,58.41,59.28,58.41,58.95,46.094,0.73%,1559552
2018/9/7,58.43,58.86,58.28,58.3,45.586,-1.10%,1598405
2018/9/10,58.43,58.98,58.3,58.48,45.726,0.31%,1660024
2018/9/11,58.34,58.75,58.34,58.41,45.672,-0.12%,1194773
2018/9/12,58.35,58.6,57.99,58.15,45.468,-0.45%,1221583
2018/9/13,58.24,58.33,57.8,58.1,45.429,-0.09%,1289140
2018/9/14,58.07,58.07,57.28,57.76,45.163,-0.59%,1268817
2018/9/17,57.92,58.13,57.48,57.7,45.117,-0.10%,1355089
2018/9/18,57.47,57.81,56.42,57.48,44.945,-0.38%,1420615
2018/9/19,57.5,57.5,55.71,55.91,43.717,-2.73%,3316033
2018/9/20,55.79,56.06,55.36,55.77,43.607,-0.25%,2740649
2018/9/21,55.61,56.16,55.27,55.87,43.686,0.18%,7317026
2018/9/24,55.95,55.98,55.31,55.65,43.514,-0.39%,2633488
2018/9/25,55.56,55.6,54.93,55.02,43.021,-1.13%,2801208
2018/9/26,55.14,55.42,54.19,54.23,42.403,-1.44%,1548346
2018/9/27,54.27,54.77,54.22,54.31,42.466,0.15%,2383141
2018/9/28,54.5,54.95,54.34,54.92,42.943,1.12%,2879376
2018/10/1,54.96,55.35,54.82,55.13,43.107,0.38%,1159288
2018/10/2,55.14,55.63,55.11,55.44,43.349,0.56%,1495552
2018/10/3,55.35,55.63,54.26,54.89,42.919,-0.99%,1927079
2018/10/4,54.74,55.49,54.26,55.25,43.201,0.66%,1303763
2018/10/5,55.09,55.87,55.08,55.72,43.568,0.85%,1660586
2018/10/8,55.76,56.42,55.74,56.12,43.881,0.72%,2176142
2018/10/9,56.28,56.75,56,56.38,44.084,0.46%,1290854
2018/10/10,56.19,56.97,56.06,56.11,43.873,-0.48%,1870055
2018/10/11,56.3,56.55,55.22,55.54,43.428,-1.02%,2516863
2018/10/12,55.46,55.86,54.89,55.62,43.49,0.14%,1758276
2018/10/15,55.64,56.12,55.64,55.73,43.576,0.20%,1239484
2018/10/16,55.57,56.44,55.38,56.14,43.897,0.74%,1639874
2018/10/17,56.04,56.3,55.84,56.01,43.795,-0.23%,1169590
2018/10/18,56.07,56.29,55.83,56.26,43.991,0.45%,1178520
2018/10/19,56.24,57.18,56.12,57.02,44.585,1.35%,1518972
2018/10/22,57.02,57.07,56.51,56.81,44.421,-0.37%,1479408
2018/10/23,56.85,57.24,56.11,56.43,44.124,-0.67%,1596209
2018/10/24,56.63,57.69,56.41,57.31,44.812,1.56%,1493426
2018/10/25,57.03,57.03,56.51,56.75,44.374,-0.98%,1185651
2018/10/26,56.93,57.24,55.58,56.12,43.881,-1.11%,1783331
