Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,24.413,24.658,24.22,24.3,24.3,-0.21%,4941234
2015/3/25,24.425,24.647,23.678,23.708,23.708,-2.44%,7768692
2015/3/26,23.462,23.8,23.022,23.65,23.65,-0.24%,6320838
2015/3/27,23.662,24.028,23.652,23.947,23.947,1.26%,4407612
2015/3/30,24.145,24.205,23.982,24.023,24.023,0.32%,3635298
2015/3/31,23.858,24.018,23.702,23.743,23.743,-1.17%,4330206
2015/4/1,23.677,23.705,23.152,23.45,23.45,-1.23%,6038316
2015/4/2,23.552,23.675,23.315,23.435,23.435,-0.06%,5048910
2015/4/6,23.373,23.438,23.209,23.308,23.308,-0.54%,5367252
2015/4/7,23.33,23.514,23.12,23.125,23.125,-0.79%,6049260
2015/4/8,23.192,23.427,23.007,23.17,23.17,0.19%,5981598
2015/4/9,23.152,23.333,22.95,23.228,23.228,0.25%,4818960
2015/4/10,23.333,23.667,23.227,23.613,23.613,1.66%,6250044
2015/4/13,23.665,24.312,23.632,23.85,23.85,1.00%,5551944
2015/4/14,23.835,23.942,23.549,23.792,23.792,-0.24%,3742254
2015/4/15,23.833,23.833,23.473,23.547,23.547,-1.03%,4213506
2015/4/16,23.503,23.712,23.461,23.622,23.622,0.32%,2756982
2015/4/17,23.463,23.521,23.17,23.323,23.323,-1.27%,3965784
2015/4/20,23.512,23.845,23.393,23.547,23.547,0.96%,4320864
2015/4/21,23.605,23.667,23.379,23.413,23.413,-0.57%,5257152
2015/4/22,23.498,23.583,23.268,23.478,23.478,0.28%,3558936
2015/4/23,23.458,23.868,23.443,23.653,23.653,0.75%,6622656
2015/4/24,24.062,24.072,22.72,23.055,23.055,-2.53%,13819278
2015/4/27,23.203,23.237,21.755,21.828,21.828,-5.32%,8472054
2015/4/28,21.818,21.91,21.375,21.65,21.65,-0.82%,10518954
2015/4/29,21.625,21.83,21.5,21.66,21.66,0.05%,6952836
2015/4/30,21.59,21.828,21.015,21.108,21.108,-2.55%,7431180
2015/5/1,21.187,21.513,21.077,21.198,21.198,0.43%,10633014
2015/5/4,21.273,21.557,21.262,21.292,21.292,0.44%,6504672
2015/5/5,21.147,21.413,20.458,20.643,20.643,-3.05%,9301182
2015/5/6,20.643,20.995,20.562,20.732,20.732,0.43%,7536654
2015/5/7,20.79,20.976,20.627,20.658,20.658,-0.36%,7421232
2015/5/8,20.793,21.107,20.712,21.067,21.067,1.98%,11318994
2015/5/11,21,21.405,21,21.178,21.178,0.53%,9754638
2015/5/12,21.85,22.283,21.742,21.745,21.745,2.68%,13159674
2015/5/13,21.833,21.905,21.315,21.387,21.387,-1.65%,9135504
2015/5/14,21.512,21.797,21.367,21.76,21.76,1.74%,6614340
2015/5/15,21.763,21.915,21.583,21.902,21.902,0.65%,5248512
2015/5/18,21.927,22.1,21.772,21.953,21.953,0.23%,3957060
2015/5/19,21.667,21.882,20.907,21.847,21.847,-0.48%,10796226
2015/5/20,21.905,22.378,21.84,22.06,22.06,0.97%,6684174
2015/5/21,21.985,22.037,21.715,21.97,21.97,-0.41%,6202530
2015/5/22,21.868,22.14,21.788,21.813,21.813,-0.71%,3507090
2015/5/26,21.717,21.925,21.302,21.427,21.427,-1.77%,4777380
2015/5/27,21.47,21.798,21.363,21.742,21.742,1.47%,6125484
2015/5/28,21.668,21.908,21.624,21.775,21.775,0.15%,5944380
2015/5/29,21.812,21.987,21.705,21.787,21.787,0.06%,6966978
2015/6/1,21.797,22.08,21.54,22.032,22.032,1.12%,5845950
2015/6/2,21.908,22.078,21.737,21.875,21.875,-0.71%,5223684
2015/6/3,21.907,22.112,21.821,22.028,22.028,0.70%,4128642
2015/6/4,21.843,21.993,21.715,21.933,21.933,-0.43%,5467764
2015/6/5,21.872,22.185,21.727,22.15,22.15,0.99%,4129002
2015/6/8,22.1,22.338,22.04,22.152,22.152,0.01%,7120866
2015/6/9,22.372,22.457,22.088,22.217,22.217,0.29%,3958038
2015/6/10,22.292,22.512,22.158,22.45,22.45,1.05%,3425064
2015/6/11,22.475,22.735,22.394,22.528,22.528,0.35%,3697056
2015/6/12,22.423,22.528,22.225,22.263,22.263,-1.18%,4562142
2015/6/15,22.122,22.317,22,22.267,22.267,0.02%,3615918
2015/6/16,22.243,23.045,22.193,22.985,22.985,3.22%,11986704
2015/6/17,22.998,24.067,22.667,23.6,23.6,2.68%,16913142
2015/6/18,23.608,24.478,23.511,24.183,24.183,2.47%,13847304
2015/6/19,24.207,24.432,24.063,24.362,24.362,0.74%,7557180
2015/6/22,24.53,24.549,23.97,24.053,24.053,-1.27%,8575830
2015/6/23,24.187,24.54,23.979,24.105,24.105,0.22%,5516400
2015/6/24,24.007,24.185,23.798,23.81,23.81,-1.22%,5742894
2015/6/25,23.937,24.346,23.82,24.102,24.102,1.23%,5756598
2015/6/26,24.218,24.442,24.073,24.347,24.347,1.02%,6133104
2015/6/29,24.075,24.352,23.695,23.725,23.725,-2.55%,4700352
2015/6/30,23.952,24.008,23.608,23.738,23.738,0.05%,3947580
2015/7/1,23.918,23.965,23.698,23.933,23.933,0.82%,4764252
2015/7/2,24.023,24.092,23.52,23.742,23.742,-0.80%,5143680
2015/7/6,23.992,24.405,23.897,24.187,24.187,1.87%,9874578
2015/7/7,24.2,24.607,23.953,24.58,24.58,1.62%,8043594
2015/7/8,24.41,24.568,23.76,23.837,23.837,-3.02%,6691782
2015/7/9,24.167,24.332,24,24.178,24.178,1.43%,5412516
2015/7/10,24.583,24.742,24.273,24.527,24.527,1.44%,5239890
2015/7/13,25.283,25.484,24.97,25.352,25.352,3.36%,9599496
2015/7/14,25.388,25.542,25.205,25.383,25.383,0.12%,6336342
2015/7/15,25.422,25.615,25.175,25.435,25.435,0.20%,6399666
2015/7/16,25.538,25.838,25.528,25.745,25.745,1.22%,5979978
2015/7/17,25.725,25.827,25.438,25.717,25.717,-0.11%,4627884
2015/7/20,25.788,25.788,25.613,25.668,25.668,-0.19%,3314466
2015/7/21,25.675,26.082,25.637,26.01,26.01,1.33%,5949654
2015/7/22,26.067,26.268,25.88,26.12,26.12,0.42%,4589448
2015/7/23,26.208,26.258,25.915,26.042,26.042,-0.30%,4243782
2015/7/24,26.018,26.237,25.783,25.85,25.85,-0.74%,4148814
