Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,49.06,49.48,49.056,49.32,43.366,0.33%,794434
2015/3/25,49.28,49.39,48.16,48.165,42.35,-2.34%,1067218
2015/3/26,48.02,48.23,47.73,48.055,42.253,-0.23%,871998
2015/3/27,47.96,48.22,47.83,47.97,42.179,-0.18%,706856
2015/3/30,48.2,48.62,48,48.44,42.592,0.98%,881732
2015/3/31,48.15,48.39,47.94,48.18,42.363,-0.54%,653549
2015/4/1,48,48.13,47.43,47.86,42.082,-0.66%,884975
2015/4/2,47.87,48.22,47.03,47.04,41.361,-1.71%,1372048
2015/4/6,46.64,47.15,46.25,46.91,41.247,-0.28%,1213176
2015/4/7,47.05,47.24,46.45,46.565,40.943,-0.74%,1466779
2015/4/8,46.53,46.75,46.24,46.64,41.009,0.16%,1008923
2015/4/9,46.48,46.98,46.36,46.64,41.009,0.00%,612382
2015/4/10,46.63,46.945,46.53,46.87,41.211,0.49%,653883
2015/4/13,46.85,47.32,46.6,46.705,41.066,-0.35%,1194489
2015/4/14,46.56,46.85,46.11,46.81,41.159,0.22%,897273
2015/4/15,46.75,47,46.26,46.69,41.053,-0.26%,972737
2015/4/16,46.62,46.85,46.33,46.4,40.798,-0.62%,786888
2015/4/17,46.09,46.23,45.27,45.6,40.095,-1.72%,1463025
2015/4/20,45.88,46.835,45.77,46.57,40.948,2.13%,1403825
2015/4/21,46.86,47.12,46.3,46.92,41.255,0.75%,1145397
2015/4/22,47,47,46.31,46.62,40.992,-0.64%,825071
2015/4/23,46.38,46.96,46.19,46.67,41.035,0.11%,679064
2015/4/24,46.62,46.64,46.21,46.46,40.851,-0.45%,766793
2015/4/27,46.57,46.7,46.105,46.38,40.781,-0.17%,636242
2015/4/28,46.24,46.66,46.01,46.64,41.009,0.56%,811321
2015/4/29,46.43,46.64,45.94,46.17,40.596,-1.01%,1057208
2015/4/30,46.05,46.12,45.51,45.83,40.297,-0.74%,1393272
2015/5/1,45.95,46.53,45.92,46.45,40.842,1.35%,847384
2015/5/4,46.42,47.01,46.331,47,41.326,1.18%,924674
2015/5/5,46.88,47.25,46.51,46.705,41.066,-0.63%,1709741
2015/5/6,48.27,49.11,47.9,48.11,42.302,3.01%,2900328
2015/5/7,48.11,49.08,47.88,48.09,42.284,-0.04%,1912062
2015/5/8,48.46,49.01,48.02,48.065,42.262,-0.05%,1205390
2015/5/11,48.01,48.46,47.84,47.94,42.152,-0.26%,948857
2015/5/12,47.8,47.8,47.23,47.72,41.959,-0.46%,1252367
2015/5/13,47.7,47.93,46.97,47.04,41.361,-1.42%,1625207
2015/5/14,47.25,47.59,47.07,47.565,41.822,1.12%,864767
2015/5/15,47.73,47.83,47.48,47.7,41.941,0.28%,744511
2015/5/18,47.56,48.08,47.4,47.95,42.161,0.52%,943337
2015/5/19,47.91,47.99,47.35,47.46,41.73,-1.02%,1033704
2015/5/20,47.4,47.57,47.08,47.27,41.563,-0.40%,1171313
2015/5/21,47.28,47.35,47.04,47.27,41.563,0.00%,666469
2015/5/22,47.19,47.24,46.68,46.81,41.159,-0.97%,530740
2015/5/26,46.81,46.9,46.43,46.51,40.895,-0.64%,1345600
2015/5/27,46.69,47.06,46.22,46.98,41.308,1.01%,1728863
2015/5/28,46.59,46.65,45.915,45.98,40.745,-2.13%,1381737
2015/5/29,45.86,46.27,45.72,45.84,40.621,-0.30%,1813568
2015/6/1,45.95,46.48,45.84,46.345,41.069,1.10%,2291174
2015/6/2,46.23,46.745,46.02,46.51,41.215,0.36%,1396034
2015/6/3,46.8,48.42,46.55,48.32,42.819,3.89%,2305941
2015/6/4,48.02,48.38,47.49,47.56,42.145,-1.57%,1625605
2015/6/5,47.5,48.18,47.5,47.945,42.487,0.81%,1559376
2015/6/8,47.85,47.91,46.775,46.79,41.463,-2.41%,1534400
2015/6/9,46.58,47.05,46.57,46.79,41.463,0.00%,1000997
