Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,69.26,69.26,68.4,68.42,47.702,-1.27%,748202
2015/3/25,68.58,68.76,66.98,67.14,46.81,-1.87%,554215
2015/3/26,66.85,67.35,66.65,67.25,46.887,0.16%,727928
2015/3/27,67.24,67.525,66.71,66.98,46.698,-0.40%,453740
2015/3/30,67.22,68.43,67.01,68.26,47.591,1.91%,567490
2015/3/31,68.21,68.52,67.315,67.57,47.11,-1.01%,1099200
2015/4/1,67.57,67.84,66.625,67.34,46.949,-0.34%,599922
2015/4/2,67.34,68.38,67.21,67.87,47.319,0.79%,935540
2015/4/6,67.92,68.46,67.62,68.4,47.688,0.78%,662425
2015/4/7,68.28,68.48,67.55,67.73,47.221,-0.98%,537187
2015/4/8,67.8,68.27,67.73,68.21,47.556,0.71%,510406
2015/4/9,67.96,68.2,66.58,66.91,46.65,-1.91%,520760
2015/4/10,67.3,67.86,66.8,67.08,46.768,0.25%,384806
2015/4/13,66.88,68.25,66.88,66.89,46.636,-0.28%,3343980
2015/4/14,66.88,67.5,66.64,66.97,46.691,0.12%,707324
2015/4/15,66.94,67.03,66.09,66.11,46.092,-1.28%,822700
2015/4/16,65.86,66.549,65.71,66.21,46.161,0.15%,596265
2015/4/17,65.93,66.105,65.18,65.82,45.89,-0.59%,554050
2015/4/20,65.91,66.55,65.74,66.22,46.168,0.61%,609490
2015/4/21,66.52,66.966,66.21,66.88,46.629,1.00%,485427
2015/4/22,66.8,67.34,66.66,66.97,46.691,0.13%,682818
2015/4/23,66.96,67.49,66.87,67.33,46.942,0.54%,407013
2015/4/24,67.41,67.9,66.88,67.61,47.138,0.42%,620402
2015/4/27,67.88,68.19,66.58,66.79,46.566,-1.21%,825590
2015/4/28,66.75,67.185,66.13,66.85,46.608,0.09%,515032
2015/4/29,66.33,67.37,64.81,65.09,45.381,-2.63%,916858
2015/4/30,66.01,67.8,65.74,65.93,45.966,1.29%,1433150
