Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,16.58,16.69,16.47,16.56,10.162,-0.06%,16653733
2015/3/25,16.53,16.55,16.18,16.18,9.929,-2.29%,21977806
2015/3/26,16.11,16.17,15.963,16.01,9.825,-1.05%,33326582
2015/3/27,16.06,16.1,15.85,15.98,9.806,-0.19%,53265589
2015/3/30,16.12,16.28,16.05,16.16,9.917,1.13%,20537506
2015/3/31,16.12,16.29,16.08,16.14,9.904,-0.12%,21790301
2015/4/1,16.16,16.16,15.85,15.91,9.763,-1.43%,27365883
2015/4/2,15.93,16.04,15.85,16.03,9.837,0.75%,15925403
2015/4/6,15.95,16.11,15.9,16,9.819,-0.19%,18521322
2015/4/7,15.95,15.97,15.78,15.9,9.757,-0.62%,26616010
2015/4/8,15.97,16.09,15.95,15.98,9.806,0.50%,25147004
2015/4/9,16,16.07,15.88,15.95,9.788,-0.19%,23447480
2015/4/10,15.97,16.05,15.95,16.03,9.837,0.50%,17651740
2015/4/13,16,16.08,15.87,15.87,9.739,-1.00%,22521087
2015/4/14,15.9,16.05,15.89,15.97,9.8,0.63%,21745933
2015/4/15,16.01,16.08,16,16.07,9.861,0.63%,25503494
2015/4/16,16.04,16.09,15.93,15.94,9.782,-0.81%,23494438
2015/4/17,15.88,15.88,15.71,15.76,9.671,-1.13%,32141561
2015/4/20,15.89,15.92,15.82,15.91,9.763,0.95%,15250750
2015/4/21,15.92,15.98,15.76,15.82,9.708,-0.57%,18509477
2015/4/22,15.83,15.93,15.72,15.91,9.763,0.57%,20310278
2015/4/23,15.84,15.9,15.7,15.76,9.671,-0.94%,28453435
2015/4/24,15.73,15.87,15.7,15.77,9.677,0.06%,20293343
2015/4/27,15.82,16,15.77,15.9,9.757,0.82%,34768339
2015/4/28,15.93,16.08,15.77,16.06,9.855,1.01%,56606705
2015/4/29,15.86,16.1,15.82,16.02,9.923,-0.25%,35122251
2015/4/30,15.97,16.04,15.74,15.8,9.787,-1.37%,30265757
2015/5/1,15.9,15.94,15.7,15.81,9.793,0.06%,20602237
2015/5/4,15.81,15.88,15.75,15.78,9.774,-0.19%,15076652
2015/5/5,15.77,15.82,15.52,15.53,9.619,-1.58%,32240491
2015/5/6,15.61,15.66,15.4,15.48,9.588,-0.32%,26380651
2015/5/7,15.46,15.561,15.14,15.51,9.607,0.19%,26996629
2015/5/8,15.62,15.71,15.59,15.67,9.706,1.03%,21336830
2015/5/11,15.65,15.84,15.64,15.65,9.694,-0.13%,17241212
2015/5/12,15.59,15.645,15.5,15.56,9.638,-0.58%,17666293
2015/5/13,15.54,15.62,15.37,15.41,9.545,-0.96%,20890438
2015/5/14,15.5,15.54,15.2,15.27,9.458,-0.91%,28784555
2015/5/15,15.27,15.49,15.27,15.48,9.588,1.38%,18935906
2015/5/18,15.47,15.64,15.45,15.58,9.65,0.65%,19491927
2015/5/19,15.59,15.625,15.445,15.5,9.601,-0.51%,15145265
2015/5/20,15.54,15.56,15.255,15.3,9.477,-1.29%,22378577
2015/5/21,15.28,15.55,15.26,15.51,9.607,1.37%,23960981
2015/5/22,15.5,15.5,15.27,15.27,9.458,-1.55%,24795803
2015/5/26,15.27,15.34,15.15,15.19,9.409,-0.52%,24936670
2015/5/27,15.23,15.37,15.2,15.32,9.489,0.86%,18761645
2015/5/28,15.28,15.335,15.24,15.29,9.471,-0.20%,13958970
2015/5/29,15.31,15.4,15.16,15.17,9.396,-0.78%,19056944
2015/6/1,15.33,15.45,15.19,15.36,9.514,1.25%,26681192
2015/6/2,15.44,15.5,15.21,15.26,9.452,-0.65%,34966254
2015/6/3,15.29,15.32,15.12,15.2,9.415,-0.39%,24311566
2015/6/4,15.13,15.17,15.01,15.05,9.322,-0.99%,23428404
2015/6/5,15.02,15.02,14.78,14.78,9.155,-1.79%,44736948
2015/6/8,14.83,15.01,14.8,14.9,9.229,0.81%,30240562
2015/6/9,14.92,15.01,14.835,14.88,9.217,-0.13%,20454699
2015/6/10,15.01,15.08,14.95,15.03,9.31,1.01%,20961099
2015/6/11,15.11,15.35,15.08,15.28,9.464,1.66%,27187071
2015/6/12,15.2,15.35,15.18,15.23,9.434,-0.33%,19847251
2015/6/15,15.06,15.11,14.97,15.05,9.322,-1.18%,23825392
2015/6/16,15.01,15.04,14.93,15,9.291,-0.33%,23359525
2015/6/17,15.01,15.08,14.86,15.02,9.303,0.13%,25842087
2015/6/18,15.03,15.24,15,15.14,9.378,0.80%,21360035
2015/6/19,15.09,15.25,15.06,15.11,9.359,-0.20%,23797596
2015/6/22,15.14,15.25,15.1,15.13,9.372,0.13%,18863379
2015/6/23,15.23,15.41,15.22,15.29,9.471,1.06%,21177833
2015/6/24,15.5,15.66,15.42,15.5,9.601,1.37%,35395393
2015/6/25,15.52,15.56,15.39,15.44,9.564,-0.39%,23923772
2015/6/26,15.43,15.49,15.35,15.4,9.539,-0.26%,20428011
2015/6/29,15.23,15.3,14.915,15.02,9.303,-2.47%,38115910
2015/6/30,15.17,15.18,14.9,15.01,9.297,-0.07%,28509259
2015/7/1,15.14,15.17,14.8,14.99,9.285,-0.13%,31744459
2015/7/2,15.01,15.08,14.81,14.87,9.211,-0.80%,18482431
2015/7/6,14.75,14.9,14.7,14.79,9.161,-0.54%,22603867
2015/7/7,14.77,14.9,14.52,14.85,9.198,0.41%,28150903
2015/7/8,14.67,14.72,14.27,14.37,8.901,-3.23%,42278529
2015/7/9,14.6,14.62,14.27,14.33,8.876,-0.28%,29660726
2015/7/10,14.48,14.54,14.33,14.48,8.969,1.05%,20092059
2015/7/13,14.64,14.65,14.42,14.64,9.068,1.10%,19864009
2015/7/14,14.71,14.86,14.59,14.81,9.173,1.16%,20829898
2015/7/15,14.83,14.86,14.614,14.75,9.136,-0.41%,21892051
2015/7/16,14.74,14.79,14.45,14.57,9.025,-1.22%,33938913
2015/7/17,14.51,14.69,14.48,14.69,9.099,0.82%,31716513
2015/7/20,14.71,14.75,14.53,14.57,9.025,-0.82%,25427424
2015/7/21,14.53,14.55,14.45,14.51,8.988,-0.41%,19325888
2015/7/22,14.49,14.51,14.35,14.42,8.932,-0.62%,30903785
2015/7/23,14.75,14.87,14.59,14.61,9.049,1.32%,29440367
2015/7/24,14.72,14.73,14.32,14.39,8.913,-1.51%,26041154
2015/7/27,14.35,14.6,14.23,14.55,9.012,1.11%,43857237
2015/7/28,14.96,15,14.604,14.83,9.186,1.92%,56391416
2015/7/29,14.83,15.3,14.81,15.21,9.514,2.56%,52125435
2015/7/30,15.21,15.3,14.96,15.1,9.445,-0.72%,34945815
2015/7/31,15.18,15.19,14.73,14.83,9.276,-1.79%,32654355
2015/8/3,14.97,15.04,14.85,14.94,9.345,0.74%,26698122
2015/8/4,14.94,15,14.84,14.91,9.326,-0.20%,18845048
2015/8/5,14.99,15.04,14.72,14.8,9.258,-0.74%,22370878
2015/8/6,14.8,14.88,14.62,14.83,9.276,0.20%,26752056
2015/8/7,14.85,14.92,14.75,14.8,9.258,-0.20%,14279247
2015/8/10,14.86,15,14.81,14.99,9.376,1.28%,16801119
2015/8/11,14.8,14.8,14.61,14.7,9.195,-1.93%,26971290
2015/8/12,14.55,14.71,14.37,14.68,9.183,-0.14%,21109693
2015/8/13,14.64,14.849,14.59,14.71,9.201,0.20%,20558797
2015/8/14,14.73,14.83,14.68,14.78,9.245,0.48%,18398886
2015/8/17,14.76,14.77,14.57,14.68,9.183,-0.68%,16028273
2015/8/18,14.69,14.84,14.66,14.83,9.276,1.02%,16852787
2015/8/19,14.78,14.977,14.76,14.77,9.239,-0.40%,22519886
2015/8/20,14.71,14.71,14.4,14.43,9.026,-2.30%,24108504
2015/8/21,14.29,14.38,13.84,13.86,8.67,-3.95%,42093967
2015/8/24,12.24,13.48,10.44,13.19,8.251,-4.83%,59798321
2015/8/25,13.85,13.86,12.9,12.9,8.069,-2.20%,47940348
2015/8/26,13.18,13.35,12.77,13.21,8.263,2.40%,48317298
2015/8/27,13.47,13.67,13.23,13.56,8.482,2.65%,42061510
2015/8/28,13.56,13.84,13.53,13.74,8.595,1.33%,25696725
