Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,21.075,21.425,21.075,21.195,16.167,0.40%,5745476
2015/3/25,21.29,21.35,20.945,20.945,15.976,-1.18%,6187540
2015/3/26,20.84,20.96,20.675,20.73,15.812,-1.03%,4455434
2015/3/27,20.65,20.755,20.51,20.585,15.701,-0.70%,3559696
2015/3/30,20.695,20.995,20.66,20.9,15.942,1.53%,3156248
2015/3/31,20.835,20.915,20.675,20.718,15.802,-0.87%,3411160
2015/4/1,20.645,20.775,20.47,20.62,15.728,-0.47%,4105064
2015/4/2,20.65,20.71,20.49,20.525,15.656,-0.46%,4071014
2015/4/6,20.465,20.685,20.415,20.565,15.686,0.19%,5209540
2015/4/7,20.35,20.545,20.03,20.173,15.387,-1.91%,6899082
2015/4/8,20.175,20.34,20.12,20.23,15.431,0.28%,4347798
2015/4/9,20.26,20.305,20.01,20.19,15.4,-0.20%,4811008
2015/4/10,20.195,20.25,19.945,20.005,15.259,-0.92%,8222758
2015/4/13,20.07,20.15,19.895,20.01,15.263,0.02%,9023242
2015/4/14,20.865,21,20.16,20.898,15.94,4.44%,19135304
2015/4/15,20.9,21,20.56,20.68,15.774,-1.04%,9002912
2015/4/16,20.73,20.8,20.395,20.51,15.644,-0.82%,6831208
2015/4/17,20.405,20.505,20.198,20.27,15.461,-1.17%,6430758
2015/4/20,20.38,20.48,20.22,20.4,15.56,0.64%,5244686
2015/4/21,20.505,20.73,20.435,20.63,15.736,1.13%,6157470
2015/4/22,20.68,20.915,20.62,20.79,15.858,0.78%,5463960
2015/4/23,20.705,21.13,20.67,21.035,16.045,1.18%,6128918
2015/4/24,20.935,20.935,20.59,20.815,15.984,-1.05%,5215936
2015/4/27,20.885,21.43,20.785,21.205,16.283,1.87%,8479846
2015/4/28,21.145,21.455,21,21.363,16.404,0.75%,7279144
2015/4/29,21.285,21.7,21.155,21.533,16.535,0.80%,7846536
2015/4/30,21.52,21.63,21.22,21.31,16.364,-1.04%,8514024
2015/5/1,21.355,21.495,21.223,21.42,16.448,0.52%,4924806
2015/5/4,21.415,21.62,21.38,21.575,16.567,0.72%,4277792
2015/5/5,21.385,21.41,20.773,20.82,15.987,-3.50%,8327442
2015/5/6,20.825,20.922,20.625,20.843,16.005,0.11%,3884570
2015/5/7,20.775,21.1,20.775,21.01,16.133,0.80%,3455876
2015/5/8,21.245,21.57,21.085,21.36,16.402,1.67%,4084236
2015/5/11,21.3,21.357,21.145,21.233,16.304,-0.59%,3178848
2015/5/12,21.175,21.59,21.04,21.505,16.513,1.28%,4239976
2015/5/13,21.505,21.585,21.375,21.415,16.444,-0.42%,5071932
2015/5/14,21.52,21.64,21.445,21.635,16.613,1.03%,2921770
2015/5/15,21.67,21.71,21.35,21.39,16.425,-1.13%,3742270
2015/5/18,21.32,21.48,21.148,21.335,16.383,-0.26%,3503180
2015/5/19,21.32,21.345,21.055,21.26,16.325,-0.35%,2491694
2015/5/20,21.35,21.36,21.215,21.285,16.344,0.12%,1864140
2015/5/21,21.265,21.48,21.245,21.345,16.391,0.28%,2289206
2015/5/22,21.27,21.37,21.18,21.2,16.279,-0.68%,1994230
2015/5/26,21.2,21.27,21.075,21.183,16.266,-0.08%,3703304
2015/5/27,21.215,21.333,21.08,21.31,16.364,0.60%,2152192
2015/5/28,21.25,21.37,21.2,21.275,16.337,-0.16%,2972444
2015/5/29,21.245,21.295,20.715,20.755,15.938,-2.44%,4725640
2015/6/1,21.115,21.115,20.65,20.84,16.003,0.41%,2790510
2015/6/2,20.72,21.15,20.717,21.058,16.17,1.05%,2737760
2015/6/3,21.17,21.275,20.945,21.265,16.329,0.98%,3586934
2015/6/4,21.18,21.245,21.04,21.07,16.179,-0.92%,2986506
2015/6/5,21.05,21.095,20.858,20.945,16.083,-0.59%,2007074
2015/6/8,20.9,20.975,20.755,20.76,15.941,-0.88%,2173740
2015/6/9,20.76,20.94,20.72,20.84,16.003,0.39%,3111562
2015/6/10,20.965,21.17,20.965,21.085,16.191,1.18%,2960694
2015/6/11,21.155,21.2,20.975,21.17,16.256,0.40%,3063486
2015/6/12,21.105,21.15,20.975,21.015,16.137,-0.73%,2314706
2015/6/15,20.9,20.97,20.68,20.94,16.08,-0.36%,2626350
2015/6/16,20.875,21.095,20.78,21.075,16.183,0.64%,2286784
2015/6/17,21.115,21.38,21.05,21.348,16.392,1.30%,3645150
2015/6/18,21.44,21.73,21.377,21.705,16.667,1.67%,4367958
2015/6/19,21.68,21.695,21.445,21.49,16.502,-0.99%,4505832
2015/6/22,21.65,21.748,21.505,21.678,16.646,0.87%,2698154
2015/6/23,21.75,21.75,21.545,21.62,16.602,-0.27%,1921434
2015/6/24,21.645,21.7,21.49,21.523,16.527,-0.45%,2925416
2015/6/25,21.575,21.58,21.315,21.37,16.41,-0.71%,2602414
2015/6/26,21.435,21.59,21.35,21.548,16.546,0.83%,2827332
2015/6/29,21.415,21.435,21.09,21.105,16.206,-2.06%,3736828
2015/6/30,21.31,21.325,21.065,21.09,16.195,-0.07%,2914616
2015/7/1,21.19,21.21,20.978,21.085,16.191,-0.02%,4490706
2015/7/2,21.085,21.19,20.85,21.05,16.164,-0.17%,3762894
2015/7/6,20.93,21.145,20.93,21.02,16.141,-0.14%,3389066
2015/7/7,21.115,21.395,20.921,21.37,16.41,1.67%,5002326
2015/7/8,21.29,21.355,20.89,21.005,16.129,-1.71%,5546028
2015/7/9,21.18,21.295,20.943,21,16.126,-0.02%,3299346
2015/7/10,21.2,21.275,21.047,21.165,16.252,0.79%,3355352
2015/7/13,21.305,21.44,21.165,21.41,16.44,1.16%,5878872
2015/7/14,20.76,21.125,20.485,20.555,15.784,-3.99%,13690578
2015/7/15,20.57,20.975,20.545,20.745,15.93,0.92%,9218982
2015/7/16,20.615,21.045,20.585,20.965,16.099,1.06%,4870562
2015/7/17,20.945,20.956,20.665,20.93,16.072,-0.17%,4186982
2015/7/20,20.96,21.178,20.875,21.095,16.199,0.79%,4383446
2015/7/21,21.01,21.1,20.635,20.72,15.911,-1.78%,6225156
2015/7/22,20.79,20.955,20.22,20.33,15.611,-1.88%,4663522
2015/7/23,20.29,20.37,20.063,20.2,15.511,-0.64%,6075614
2015/7/24,20.09,20.185,19.875,20.03,15.488,-0.84%,5605974
2015/7/27,20.03,20.16,19.865,20.05,15.504,0.10%,3362160
2015/7/28,20.14,20.44,20.08,20.423,15.792,1.86%,4155348
2015/7/29,20.405,20.645,20.29,20.61,15.937,0.92%,3434700
2015/7/30,20.515,20.635,20.415,20.445,15.809,-0.80%,3577012
2015/7/31,20.515,21.015,20.465,20.93,16.184,2.37%,4991006
2015/8/3,20.88,20.98,19.885,20.705,16.01,-1.08%,3282972
2015/8/4,20.63,20.89,20.56,20.67,15.983,-0.17%,3302936
2015/8/5,20.71,20.85,20.3,20.44,15.805,-1.11%,6565516
2015/8/6,20.44,20.51,20.045,20.06,15.511,-1.86%,5597674
2015/8/7,20.09,20.165,19.84,20,15.465,-0.30%,4012104
2015/8/10,20.15,20.405,20.14,20.285,15.685,1.43%,4976030
2015/8/11,20.165,20.178,19.77,19.885,15.376,-1.97%,4794966
2015/8/12,19.775,20.27,19.75,20.23,15.643,1.73%,4430514
2015/8/13,20.16,20.19,20.01,20.025,15.484,-1.01%,2172558
2015/8/14,19.965,20.165,19.955,20.105,15.546,0.40%,2298306
2015/8/17,20.015,20.288,19.93,20.18,15.604,0.37%,2306592
2015/8/18,20.17,20.395,20.17,20.36,15.743,0.89%,3000792
2015/8/19,20.27,20.355,19.965,20.17,15.597,-0.93%,3427648
2015/8/20,20.04,20.075,19.68,19.69,15.225,-2.38%,4269812
2015/8/21,19.625,19.865,19.53,19.59,15.148,-0.51%,8792188
2015/8/24,18.965,19.42,18.365,18.7,14.46,-4.54%,12435418
2015/8/25,18.585,19.02,18.455,18.5,14.305,-1.07%,14457742
2015/8/26,18.91,19.096,18.775,19.04,14.723,2.92%,7406788
2015/8/27,19.175,19.51,19.13,19.49,15.071,2.36%,5410426
2015/8/28,19.355,19.535,19.27,19.345,14.959,-0.74%,4013286
2015/8/31,19.23,19.441,19.055,19.27,14.901,-0.39%,3881362
2015/9/1,18.92,19.04,18.667,18.725,14.479,-2.83%,5375376
2015/9/2,19.035,19.26,18.975,19.165,14.819,2.35%,4533520
2015/9/3,19.08,19.205,18.745,18.82,14.553,-1.80%,5530212
2015/9/4,18.625,18.855,18.55,18.75,14.499,-0.37%,3920132
2015/9/8,19.045,19.45,19,19.42,15.017,3.57%,5505696
2015/9/9,19.545,19.62,19.145,19.18,14.831,-1.24%,3977570
2015/9/10,19.115,19.49,19.065,19.31,14.932,0.68%,3947392
2015/9/11,19.18,19.34,19.098,19.335,14.951,0.13%,2858956
2015/9/14,19.295,19.353,18.97,19.105,14.773,-1.19%,2533938
2015/9/15,19.175,19.42,19.075,19.34,14.955,1.23%,3597180
2015/9/16,19.27,19.465,19.22,19.45,15.04,0.57%,4536678
2015/9/17,19.485,19.485,19.125,19.185,14.835,-1.36%,4545158
2015/9/18,18.89,19.015,18.565,18.59,14.375,-3.10%,13005334
2015/9/21,18.67,18.81,18.515,18.59,14.375,0.00%,4024406
2015/9/22,18.45,18.585,18.233,18.305,14.154,-1.53%,3709808
2015/9/23,18.325,18.415,18.135,18.235,14.1,-0.38%,2848236
2015/9/24,18.125,18.385,17.99,18.34,14.181,0.58%,3860446
2015/9/25,18.39,18.505,18.215,18.355,14.193,0.08%,3176984
2015/9/28,18.32,18.365,17.935,18.065,13.969,-1.58%,7021760
2015/9/29,18.11,18.28,17.995,18.245,14.108,1.00%,6410392
2015/9/30,18.44,18.625,18.095,18.305,14.154,0.33%,8022518
2015/10/1,18.39,18.49,17.588,17.75,13.725,-3.03%,8380666
2015/10/2,17.485,17.995,17.225,17.99,13.911,1.35%,8635844
2015/10/5,18.055,18.443,18.035,18.405,14.232,2.31%,4423372
2015/10/6,18.5,18.605,18.3,18.53,14.328,0.68%,4539916
2015/10/7,18.62,19.035,18.61,19.02,14.707,2.64%,8571920
2015/10/8,18.89,19.53,18.283,19.515,15.09,2.60%,8307934
2015/10/9,19.485,19.695,19.325,19.49,15.071,-0.13%,6533010
2015/10/12,19.585,19.585,19.295,19.405,15.005,-0.44%,6797034
2015/10/13,19.1,19.395,18.61,18.975,14.673,-2.22%,12685668
2015/10/14,18.965,19.153,18.71,18.93,14.638,-0.24%,8922352
2015/10/15,19.01,19.075,18.725,19.055,14.734,0.66%,7912720
2015/10/16,18.95,18.95,18.537,18.745,14.495,-1.63%,6854346
2015/10/19,18.65,18.76,18.395,18.52,14.321,-1.20%,4003422
2015/10/20,18.45,18.755,18.385,18.525,14.325,0.03%,4911296
2015/10/21,18.55,18.703,18.335,18.455,14.27,-0.38%,4478416
2015/10/22,18.56,19.34,18.56,19.26,14.893,4.36%,8132240
2015/10/23,19.22,19.43,19,19.375,15.09,0.60%,6467412
2015/10/26,19.31,19.55,19.185,19.24,14.985,-0.70%,4151124
2015/10/27,19.065,19.21,18.83,19.16,14.923,-0.42%,4238212
2015/10/28,19.255,19.655,19.14,19.51,15.195,1.83%,4934862
2015/10/29,19.48,19.57,19.35,19.52,15.203,0.05%,3581442
2015/10/30,19.55,19.67,19.53,19.58,15.25,0.31%,4954056
2015/11/2,19.59,20.265,19.55,20.125,15.674,2.78%,7959850
2015/11/3,20.11,20.395,20.045,20.265,15.783,0.70%,4536390
2015/11/4,20.29,20.42,20.071,20.11,15.663,-0.76%,5071302
2015/11/5,20.155,20.82,20.02,20.615,16.056,2.51%,7061536
2015/11/6,20.7,20.7,20.238,20.54,15.997,-0.36%,5419010
2015/11/9,20.49,20.496,20.11,20.29,15.803,-1.22%,5377624
2015/11/10,20.25,20.42,20.075,20.23,15.756,-0.30%,3718044
2015/11/11,20.35,20.35,19.938,20.105,15.659,-0.62%,4135408
2015/11/12,19.995,20.245,19.301,19.325,15.051,-3.88%,11953516
2015/11/13,19.305,19.585,19.23,19.3,15.032,-0.13%,4563392
2015/11/16,19.285,19.585,19.25,19.585,15.254,1.48%,3472366
2015/11/17,19.305,19.63,19.305,19.425,15.129,-0.82%,2898798
2015/11/18,19.51,19.865,19.37,19.845,15.456,2.16%,3715982
2015/11/19,19.8,19.8,19.538,19.73,15.367,-0.58%,4460566
2015/11/20,19.845,20.045,19.77,19.855,15.464,0.63%,3444508
2015/11/23,19.82,19.95,19.745,19.86,15.468,0.03%,3923948
2015/11/24,19.795,19.985,19.64,19.905,15.503,0.23%,4379764
2015/11/25,19.995,20.095,19.9,20.035,15.604,0.65%,3049836
2015/11/27,20.05,20.205,20,20.165,15.705,0.65%,1535734
2015/11/30,20.205,20.335,20.095,20.29,15.803,0.62%,4867902
2015/12/1,20.41,20.55,20.265,20.46,15.935,0.84%,5845922
2015/12/2,20.395,20.475,20,20.07,15.631,-1.91%,4438084
2015/12/3,20.08,20.185,19.575,19.72,15.359,-1.74%,6040766
2015/12/4,19.8,20.145,19.755,20.07,15.631,1.77%,4806342
2015/12/7,20.055,20.45,19.949,20.415,15.9,1.72%,5984186
2015/12/8,20.1,20.275,19.97,20.1,15.655,-1.54%,4629818
2015/12/9,19.99,20.461,19.95,20.11,15.663,0.05%,4356696
2015/12/10,20.095,20.235,19.965,20.075,15.635,-0.17%,3222064
2015/12/11,19.77,20.055,19.633,19.735,15.37,-1.69%,4697462
2015/12/14,19.805,19.953,19.58,19.95,15.538,1.09%,3721378
2015/12/15,20.075,20.165,19.813,19.915,15.511,-0.18%,4289508
2015/12/16,20.075,20.27,19.815,20.145,15.69,1.15%,4135788
2015/12/17,20.215,20.245,19.84,19.995,15.573,-0.74%,6047468
2015/12/18,19.885,19.965,19.515,19.545,15.222,-2.25%,10781836
2015/12/21,19.615,19.755,19.22,19.42,15.125,-0.64%,5801114
2015/12/22,19.505,20.04,19.395,20.04,15.608,3.19%,5061996
2015/12/23,20.145,20.655,19.75,20.63,16.068,2.94%,7510692
2015/12/24,20.635,20.88,20.5,20.755,16.165,0.61%,2786668
2015/12/28,20.695,20.8,20.48,20.7,16.122,-0.26%,3209624
2015/12/29,20.805,20.98,20.745,20.82,16.215,0.58%,3394804
2015/12/30,20.84,20.967,20.735,20.755,16.165,-0.31%,3982262
2015/12/31,20.705,20.81,20.4,20.41,15.896,-1.66%,2983922
