Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,18.85,19.43,18.53,19.18,17.428,-0.78%,36477927
2015/3/25,19.16,19.55,18.99,19.09,17.346,-0.47%,21109752
2015/3/26,19.54,20,19.26,19.5,17.719,2.15%,21683363
2015/3/27,19.1,19.14,18.66,18.8,17.083,-3.59%,20852768
2015/3/30,18.85,19.56,18.81,19.38,17.61,3.09%,15990776
2015/3/31,19.18,19.18,18.79,18.95,17.219,-2.22%,11830161
2015/4/1,19.06,19.3,18.79,18.97,17.237,0.11%,3540139
2015/4/2,18.8,19.07,18.74,19,17.264,0.16%,14145924
2015/4/6,19.27,19.395,19.14,19.15,17.401,0.79%,13762660
2015/4/7,19.22,19.34,18.93,18.98,17.246,-0.89%,12553161
2015/4/8,19.28,19.4,18.79,18.82,17.101,-0.84%,11944069
2015/4/9,18.71,19.2,18.67,18.78,17.064,-0.21%,12318262
2015/4/10,18.74,18.9,18.23,18.3,16.628,-2.56%,13735819
2015/4/13,18.41,18.47,18.11,18.26,16.637,-0.22%,10781565
2015/4/14,18.45,18.97,18.27,18.95,17.266,3.78%,16930773
2015/4/15,19.04,21.07,19.03,20.67,18.833,9.08%,42863488
2015/4/16,20.72,21.21,20.49,20.83,18.979,0.77%,25937764
2015/4/17,20.51,20.77,20.36,20.67,18.833,-0.77%,17226569
2015/4/20,20.65,21.19,20.55,20.66,18.824,-0.05%,15294790
2015/4/21,20.56,20.625,20.04,20.23,18.432,-2.08%,19519108
2015/4/22,20.45,20.79,20.2,20.57,18.742,1.68%,15809986
2015/4/23,19.83,20.57,19.55,20.07,18.287,-2.43%,26066501
2015/4/24,20.45,21.27,20.44,20.82,18.97,3.74%,23043247
2015/4/27,21.25,22.12,21.155,21.82,19.881,4.80%,25999974
2015/4/28,22.46,22.82,22.33,22.68,20.665,3.94%,32509486
2015/4/29,22.46,23.1,22.39,22.89,20.856,0.93%,21388936
2015/4/30,22.68,23.66,22.42,23.27,21.202,1.66%,25068584
2015/5/1,23.38,23.95,23.29,23.66,21.558,1.68%,20194880
2015/5/4,23.82,23.97,23.25,23.39,21.312,-1.14%,13366071
2015/5/5,23.57,23.75,23.23,23.35,21.275,-0.17%,16119766
2015/5/6,23.65,23.67,23.04,23.26,21.193,-0.39%,13922728
2015/5/7,22.74,23.02,22.48,22.91,20.874,-1.50%,15409355
2015/5/8,23.27,23.61,23.12,23.29,21.22,1.66%,15817827
2015/5/11,23.4,23.6,22.87,22.97,20.929,-1.37%,15974187
2015/5/12,22.98,23.1,22.66,22.73,20.71,-1.04%,13758013
2015/5/13,22.82,23,22.46,22.61,20.601,-0.53%,14307626
2015/5/14,22.78,23.296,22.66,22.8,20.774,0.84%,14058745
2015/5/15,22.77,22.96,22.47,22.83,20.801,0.13%,9021534
2015/5/18,22.64,22.68,22.04,22.13,20.164,-3.07%,12559170
2015/5/19,21.72,21.85,21.2,21.29,19.398,-3.80%,22237977
