Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,170.29,170.5,169.16,169.16,146.784,-0.87%,1237353
2015/3/25,169.74,169.795,165.35,165.43,143.547,-2.21%,1978212
2015/3/26,164.28,166.63,163.6,165.49,143.599,0.04%,1752670
2015/3/27,165.05,165.62,164.51,164.59,142.818,-0.54%,915009
2015/3/30,165.05,167.38,164.98,166.75,144.693,1.31%,1530370
2015/3/31,166,166.47,164.995,165.45,143.565,-0.78%,1568212
2015/4/1,165.02,166.5,164.28,166.24,144.25,0.48%,1612488
2015/4/2,166.71,166.81,165.7,166.22,144.233,-0.01%,1642748
2015/4/6,165.37,167.26,165,166.67,144.623,0.27%,1270599
2015/4/7,172.75,173.84,170.712,171.16,148.519,2.69%,5488701
2015/4/8,171.08,171.89,169.31,171.84,149.109,0.40%,3196068
2015/4/9,171.46,173.45,171.09,172.92,150.047,0.63%,1944342
2015/4/10,173.31,174.5,172.52,174.37,151.305,0.84%,2235391
2015/4/13,173.64,175.3,173.01,173.13,150.229,-0.71%,1397697
2015/4/14,172.01,173.13,171.1,171.5,148.814,-0.94%,1816150
2015/4/15,171.58,172.36,169.32,169.52,147.096,-1.15%,2057985
2015/4/16,169.57,170.26,168.68,169.24,146.853,-0.17%,1760361
2015/4/17,168.23,168.58,167.325,168,145.777,-0.73%,1643084
2015/4/20,168.29,170,168.29,169.06,146.697,0.63%,1243997
2015/4/21,169.43,170.45,169.08,169.91,147.435,0.50%,1086554
2015/4/22,169.79,170.775,168.68,170.01,147.522,0.06%,1054635
2015/4/23,169.05,170.93,169.05,170.1,147.6,0.05%,1050449
2015/4/24,169.73,170.25,169.01,169.95,147.469,-0.09%,949492
2015/4/27,170.36,170.61,168.86,169.03,146.671,-0.54%,1472490
2015/4/28,169.27,171.96,168.51,171.24,148.589,1.31%,1522218
2015/4/29,169.84,170.94,168.72,169.57,147.14,-0.98%,1115325
2015/4/30,168.39,169.95,168.36,169.57,147.14,0.00%,1818598
2015/5/1,170,171.93,169.93,171.73,149.014,1.27%,1164647
2015/5/4,171.61,173.48,171.51,172.33,149.535,0.35%,1041388
2015/5/5,171.5,172.33,169.51,169.81,147.348,-1.46%,1166962
2015/5/6,170.69,170.77,168.46,169.56,147.131,-0.15%,1045670
2015/5/7,169.87,172.61,169.58,171.74,149.023,1.29%,1148646
2015/5/8,172.99,174.09,172.78,173.35,150.42,0.94%,1236259
2015/5/11,174.01,174.98,172.76,174.2,151.157,0.49%,1327542
2015/5/12,173.16,173.7,172.44,173.42,150.48,-0.45%,1126731
2015/5/13,172.99,173.5,171.67,171.93,149.188,-0.86%,1214183
2015/5/14,172.84,174,172.11,173.45,150.506,0.88%,1478767
2015/5/15,174.21,175.29,173.5,175.14,151.973,0.97%,1492242
2015/5/18,175.14,177.43,175.01,177.18,153.743,1.16%,1558037
2015/5/19,177.51,178.7,177,177.98,154.437,0.45%,1237492
2015/5/20,177.71,178.79,177.15,177.52,154.038,-0.26%,941665
2015/5/21,176.91,177.25,175.48,176.55,153.196,-0.55%,1112327
2015/5/22,176.48,176.72,174.68,175.18,152.008,-0.78%,775816
2015/5/26,175,175.04,173.78,174.11,151.079,-0.61%,953620
2015/5/27,174.63,176.89,173.92,176.66,153.292,1.46%,808808
2015/5/28,176.11,176.152,174.55,175.1,151.938,-0.88%,1300951
2015/5/29,174.52,174.88,173,173.22,150.307,-1.07%,1158219
2015/6/1,173.87,175.98,172.92,175.37,152.173,1.24%,1272487
2015/6/2,174.54,176.65,173.1,175.72,152.476,0.20%,1001537
2015/6/3,176.5,180.29,175.72,179.92,156.121,2.39%,1930902
2015/6/4,178.9,179.99,178.77,179.63,155.869,-0.16%,1354982
2015/6/5,179.52,183.025,178.6,182.24,158.134,1.45%,1940448
2015/6/8,181.92,182,179.64,179.89,156.095,-1.29%,1617691
2015/6/9,179.95,181.6,179,180.37,156.511,0.27%,991295
2015/6/10,180.34,183.9,179.69,182.32,158.203,1.08%,1869401
2015/6/11,184.29,185.19,182.84,184.98,160.511,1.46%,1918638
2015/6/12,184.05,184.82,182.761,183.63,159.34,-0.73%,1679965
2015/6/15,182.53,183.27,181.45,182.66,158.498,-0.53%,1407959
2015/6/16,182.02,183.5,179.84,182.13,158.255,-0.29%,2428109
2015/6/17,178.03,178.88,174.51,176.73,153.563,-2.96%,4032232
2015/6/18,176.56,180.19,176.56,178.39,155.006,0.94%,2986411
2015/6/19,177.36,178.34,175.94,175.94,152.877,-1.37%,2448551
2015/6/22,176.76,177.649,176,176.28,153.172,0.19%,1732624
2015/6/23,176.7,176.83,174.66,175.27,152.295,-0.57%,1532527
2015/6/24,175,175.78,172.42,173.42,150.687,-1.06%,1749641
2015/6/25,173.63,174.02,172.59,172.8,150.148,-0.36%,1528169
2015/6/26,173.67,174.11,173.17,173.66,150.896,0.50%,1678906
2015/6/29,171.62,173.12,170.69,171.02,148.602,-1.52%,2335685
2015/6/30,172.32,172.84,169.96,170.4,148.063,-0.36%,1552745
2015/7/1,172.11,172.46,169.64,169.81,147.55,-0.35%,1412469
2015/7/2,170.2,171.35,169.95,171.13,148.697,0.78%,1181990
2015/7/6,170,171.215,167.89,168.75,146.629,-1.39%,1945142
2015/7/7,169.37,170.73,167.76,170.34,148.011,0.94%,1754313
2015/7/8,168.32,169.98,166.67,166.99,145.1,-1.97%,1338436
