Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,87.68,88.25,86.89,87.19,87.056,-0.26%,225266
2015/3/25,87.08,87.84,84.79,85.11,84.979,-2.39%,217307
2015/3/26,85.19,86.66,84.66,85.85,85.718,0.87%,149841
2015/3/27,85.78,86.77,85.32,86.75,86.616,1.05%,183621
2015/3/30,87.13,89.01,86.75,88.84,88.703,2.41%,222810
2015/3/31,88.1,89.42,87.76,88.72,88.583,-0.14%,227701
2015/4/1,88.94,90.72,87.93,90.46,90.321,1.96%,368322
2015/4/2,90.5,91.77,89.72,91.24,91.099,0.86%,384837
2015/4/6,90.96,92.09,90.32,92.03,91.888,0.87%,319164
2015/4/7,91.81,92.122,91.12,91.62,91.479,-0.45%,161881
2015/4/8,91.44,92.84,91.12,92.8,92.657,1.29%,151345
2015/4/9,92.76,93.52,92,93.27,93.126,0.51%,269029
2015/4/10,93.92,94.283,92.58,93.19,93.046,-0.09%,168422
2015/4/13,92.95,93.36,91.92,92.45,92.308,-0.79%,179919
2015/4/14,92.6,92.84,91.45,92,91.858,-0.49%,177540
2015/4/15,92.35,93.02,91.68,92.4,92.258,0.43%,174665
2015/4/16,92.06,92.74,91.6,92.66,92.517,0.28%,142100
2015/4/17,91.82,92.46,90.8,92.23,92.088,-0.46%,182419
2015/4/20,92.58,92.71,91.89,92.34,92.198,0.12%,155888
2015/4/21,92.75,92.84,91.95,92.15,92.008,-0.21%,235295
2015/4/22,91.94,92.5,91.11,92,91.858,-0.16%,302002
2015/4/23,91.52,93.34,91.52,93.3,93.156,1.41%,450087
2015/4/24,94.25,96.53,92.961,93.85,93.705,0.59%,283779
2015/4/27,93.69,93.69,90.77,90.94,90.8,-3.10%,262523
2015/4/28,91.14,91.6,89.525,90.81,90.67,-0.14%,282292
2015/4/29,90.55,91.38,90.18,91.04,90.9,0.25%,198658
2015/4/30,90.81,91.8,88.31,88.46,88.324,-2.83%,203116
2015/5/1,88.68,89.91,88.21,88.61,88.474,0.17%,203315
2015/5/4,88.8,90.16,88.38,89.14,89.003,0.60%,248415
2015/5/5,89,89.83,87.33,87.59,87.455,-1.74%,147485
2015/5/6,87.59,87.93,86.11,87.02,86.886,-0.65%,135461
2015/5/7,86.62,88.25,86.62,87.78,87.645,0.87%,104686
2015/5/8,88.76,88.76,86.69,87.3,87.166,-0.55%,138675
2015/5/11,87,88.23,86.8,87.09,86.956,-0.24%,138546
2015/5/12,86.36,87.57,85.4,86.63,86.497,-0.53%,187278
2015/5/13,86.88,87.57,86.26,86.85,86.716,0.25%,122733
2015/5/14,87.42,88.43,86.75,88.37,88.234,1.75%,148643
2015/5/15,88.49,89.325,87.76,87.87,87.735,-0.57%,133840
2015/5/18,87.79,89.02,87.51,88.79,88.653,1.05%,151955
2015/5/19,88.28,88.84,87.38,87.87,87.735,-1.04%,141806
2015/5/20,87.98,88.4,87.32,88.07,87.934,0.23%,95513
2015/5/21,88,88.85,87.44,88.29,88.154,0.25%,121742
2015/5/22,87.8,88.87,87.8,88.48,88.364,0.22%,134019
2015/5/26,88.06,88.06,86.05,86.7,86.586,-2.01%,125692
2015/5/27,86.58,88.11,86.5,87.73,87.615,1.19%,108341
2015/5/28,87.43,87.73,86.43,87.28,87.165,-0.51%,80603
2015/5/29,87.06,88.03,86.38,87.72,87.605,0.50%,146232
2015/6/1,87.87,89.2,86.48,88.17,88.054,0.51%,195703
2015/6/2,87.97,89.99,87.83,88.73,88.613,0.64%,179754
2015/6/3,89,90.12,88.5,88.74,88.623,0.01%,242518
2015/6/4,88.11,88.32,86.93,87.46,87.345,-1.44%,154420
2015/6/5,87.37,88.02,86.44,87.75,87.635,0.33%,120594
2015/6/8,87.75,88.27,86.975,87.66,87.545,-0.10%,151758
2015/6/9,87.51,87.66,86.27,86.6,86.486,-1.21%,138337
2015/6/10,86.98,87.55,86.78,87.03,86.916,0.50%,206544
2015/6/11,86.94,87.82,86.94,87.38,87.265,0.40%,136317
2015/6/12,87.19,88.73,86.82,88.61,88.494,1.41%,188737
2015/6/15,87.74,87.74,85.69,86.98,86.866,-1.84%,114575
2015/6/16,86.75,88.205,86.39,87.76,87.645,0.90%,141506
2015/6/17,88.21,88.59,87.05,87.07,86.956,-0.79%,116260
2015/6/18,87.65,89.15,86.81,88.9,88.783,2.10%,231630
2015/6/19,89.18,90.97,89.08,90.33,90.211,1.61%,320294
2015/6/22,90.6,92.47,90.14,92.23,92.109,2.10%,250124
2015/6/23,92.26,92.76,91.32,92.52,92.398,0.31%,164988
2015/6/24,92.25,93.055,92.215,92.51,92.388,-0.01%,172029
2015/6/25,92.95,93.47,91.21,93.33,93.207,0.89%,176389
2015/6/26,93.62,94.13,92.951,93.89,93.767,0.60%,373516
2015/6/29,93.12,93.94,90.94,91.16,91.04,-2.91%,141707
2015/6/30,91.69,91.79,90.33,90.78,90.661,-0.42%,223484
2015/7/1,91.63,92.31,91.3,91.56,91.44,0.86%,149014
2015/7/2,91.84,92.78,90.405,91.03,90.91,-0.58%,85359
2015/7/6,90.37,91.08,89.93,90.69,90.571,-0.37%,144306
2015/7/7,90.72,91.765,89.61,91.7,91.579,1.11%,219237
2015/7/8,91.14,92.4,90.55,91.48,91.36,-0.24%,209151
2015/7/9,92.8,93.49,92.01,92.44,92.318,1.05%,133517
2015/7/10,93.54,94.15,92.8,93.83,93.707,1.50%,107409
2015/7/13,94.27,95.48,94.02,95.27,95.145,1.53%,237266
2015/7/14,95.37,96.06,94.04,95.7,95.574,0.45%,135842
2015/7/15,95.61,96.31,95.34,95.87,95.744,0.18%,97126
2015/7/16,96.82,97.56,95.59,97.25,97.122,1.44%,136855
2015/7/17,96.97,97.3,94.93,94.98,94.855,-2.33%,179783
2015/7/20,95.03,95.794,94.6,94.93,94.805,-0.05%,94464
2015/7/21,94.89,95.65,92.97,93.67,93.547,-1.33%,117942
2015/7/22,93.23,94.1,93.1,93.59,93.467,-0.09%,168610
2015/7/23,94.04,94.5,92.27,92.46,92.338,-1.21%,163195
2015/7/24,92.42,93.08,91.8,91.93,91.809,-0.57%,145781
2015/7/27,91.32,91.85,90.63,91.09,90.97,-0.91%,130128
2015/7/28,91.49,92.35,90.85,92,91.879,1.00%,153111
2015/7/29,92,94.39,91.49,93.97,93.846,2.14%,163849
2015/7/30,92.97,93.92,91.16,91.97,91.849,-2.13%,312107
2015/7/31,92.39,92.74,90.62,90.69,90.571,-1.39%,267332
2015/8/3,90.6,91.46,89.645,90.05,89.932,-0.71%,253581
2015/8/4,89.95,91.89,89.82,90.91,90.79,0.96%,153535
2015/8/5,91.63,92.38,91.19,91.58,91.46,0.74%,161402
2015/8/6,91.83,92.2,90.52,90.68,90.561,-0.98%,173569
2015/8/7,90.22,91.125,90.07,90.63,90.511,-0.06%,133715
2015/8/10,91.23,92.538,91.23,92.15,92.029,1.68%,198024
2015/8/11,91.18,92.65,90.57,90.85,90.731,-1.41%,144372
2015/8/12,90.19,91.9,88.31,89.62,89.502,-1.35%,149052
2015/8/13,89.45,90,88.73,89.02,88.903,-0.67%,116945
2015/8/14,88.86,89.84,88.41,89.58,89.462,0.63%,189936
2015/8/17,89.16,90.89,88.56,90.86,90.741,1.43%,96760
2015/8/18,90.61,91.08,89.435,89.54,89.422,-1.45%,88385
2015/8/19,89.11,89.11,87.78,87.87,87.754,-1.87%,108672
2015/8/20,86.7,87.2,85.22,85.27,85.158,-2.96%,157554
2015/8/21,83.89,84.77,82.664,83.19,83.081,-2.44%,198102
2015/8/24,78.66,82.38,77.57,80.69,80.584,-3.01%,335500
2015/8/25,81.7,83.995,81.18,81.19,81.083,0.62%,192333
2015/8/26,82.85,84.48,80.85,84.24,84.129,3.76%,183211
2015/8/27,84.99,86.47,84.56,86,85.887,2.09%,254460
2015/8/28,85.55,86.79,84.93,86.04,85.927,0.05%,191772
2015/8/31,85.75,86.12,84.8,85.57,85.458,-0.55%,146890
2015/9/1,84.38,84.81,82.23,82.32,82.212,-3.80%,293949
2015/9/2,83.48,83.62,82.47,83.3,83.19,1.19%,213407
2015/9/3,83.41,84.57,83.3,84.19,84.079,1.07%,169152
2015/9/4,82.98,84.04,82.23,82.53,82.422,-1.97%,71606
2015/9/8,83.85,85.2,83.4,84.94,84.828,2.92%,147998
2015/9/9,85.44,85.54,83.56,83.73,83.62,-1.42%,134458
2015/9/10,83.51,84.89,83.36,83.63,83.52,-0.12%,115753
2015/9/11,83.3,84.28,82.95,84.1,83.989,0.56%,124220
2015/9/14,84.14,84.32,83.5,83.85,83.76,-0.30%,60171
2015/9/15,83.87,84.6,83.53,84.24,84.149,0.47%,151018
2015/9/16,84.3,84.3,82.2,82.43,82.341,-2.15%,373634
2015/9/17,82.41,84.12,82.41,83.33,83.24,1.09%,198171
2015/9/18,82.24,84,81.99,82.2,82.112,-1.36%,270936
2015/9/21,82.8,84,82.34,83.53,83.44,1.62%,122398
2015/9/22,82.53,83.43,82.41,82.93,82.841,-0.72%,138064
2015/9/23,83.01,83.38,82.13,82.58,82.491,-0.42%,195392
2015/9/24,81.89,83.12,81.5,82.98,82.891,0.48%,137693
2015/9/25,83.45,84.29,82.08,82.4,82.311,-0.70%,130603
2015/9/28,82.16,83.48,81.68,81.72,81.632,-0.83%,185242
2015/9/29,81.75,82.96,80.85,82.82,82.731,1.35%,192618
2015/9/30,83.72,85.06,83.3,84.5,84.409,2.03%,303803
2015/10/1,84.51,85.565,83.95,84.95,84.859,0.53%,186686
2015/10/2,83.94,84.06,82.29,84.02,83.93,-1.09%,224575
2015/10/5,84.73,86.18,84.45,85.82,85.728,2.14%,218888
2015/10/6,85.85,87.375,85.33,86,85.907,0.21%,159497
2015/10/7,86.26,87.44,86.07,87.29,87.196,1.50%,178229
2015/10/8,87.06,89.01,86.88,88.64,88.545,1.55%,129925
2015/10/9,88.94,90.37,88.27,90.14,90.043,1.69%,114609
