Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,60.36,63.1,60.36,62.515,62.515,3.19%,2890326
2015/3/25,62.7,62.79,60.05,60.09,60.09,-3.88%,2662241
2015/3/26,59.53,60.39,58.61,59.62,59.62,-0.78%,2022704
2015/3/27,59.4,60.09,58.79,59.61,59.61,-0.02%,1321991
2015/3/30,59.72,61.05,59.72,60.69,60.69,1.81%,1535358
2015/3/31,60.03,60.69,59.422,59.79,59.79,-1.48%,1797348
2015/4/1,59.84,61.31,59.01,60.83,60.83,1.74%,1760435
2015/4/2,61,61.95,60.78,61.19,61.19,0.59%,1228124
2015/4/6,60.72,62,60.5,61.51,61.51,0.52%,1224486
2015/4/7,61.56,62.65,61.24,61.27,61.27,-0.39%,1456007
2015/4/8,61.58,61.77,60.01,60.645,60.645,-1.02%,1894449
2015/4/9,60.5,61.49,60.5,61.18,61.18,0.88%,968157
2015/4/10,61.36,61.7,61.02,61.3,61.3,0.20%,774350
2015/4/13,61.4,61.7,61.09,61.41,61.41,0.18%,823529
2015/4/14,61.54,61.7,60.52,61.07,61.07,-0.55%,918507
2015/4/15,61.46,64.09,60.9,63.735,63.735,4.36%,3716840
2015/4/16,63.71,63.71,62.13,62.89,62.89,-1.33%,1939281
2015/4/17,62.34,62.84,61.281,61.94,61.94,-1.51%,1798138
2015/4/20,62.26,62.57,61.52,62.25,62.25,0.50%,1077518
2015/4/21,62.45,63.12,61.8,63.11,63.11,1.38%,1453855
2015/4/22,63.44,64.4,63,63.885,63.885,1.23%,1934582
2015/4/23,64,65.09,63.3,64.75,64.75,1.35%,1584138
2015/4/24,65.42,65.5,63.16,63.43,63.43,-2.04%,1507253
2015/4/27,63.86,64.25,62.71,62.915,62.915,-0.81%,1332511
2015/4/28,62.87,63.71,62.1,63.57,63.57,1.04%,1585298
2015/4/29,63.13,63.47,61.69,61.94,61.94,-2.56%,1979674
2015/4/30,61.73,62.355,59.36,59.67,59.67,-3.66%,3440715
2015/5/1,57.5,59.97,56.6,57.34,57.34,-3.90%,6218669
2015/5/4,57.13,57.82,56.32,56.78,56.78,-0.98%,2829955
2015/5/5,56.83,57.78,56.5,56.81,56.81,0.05%,2777164
2015/5/6,57.03,57.22,55.15,55.66,55.66,-2.02%,2207895
2015/5/7,55.29,56.566,54.57,56.32,56.32,1.19%,2771852
2015/5/8,56.91,56.97,56.1,56.37,56.37,0.09%,1670813
2015/5/11,56.41,56.932,56.3,56.38,56.38,0.02%,1300116
2015/5/12,56.19,56.47,55.37,56.05,56.05,-0.59%,1259878
2015/5/13,56.14,57.15,56.01,56.77,56.77,1.28%,1040378
2015/5/14,57.05,57.09,56.23,56.56,56.56,-0.37%,1132042
2015/5/15,56.35,56.97,56.15,56.72,56.72,0.28%,839636
2015/5/18,56.82,56.83,56.03,56.18,56.18,-0.95%,1121314
2015/5/19,56.18,56.54,55,55.28,55.28,-1.60%,1326588
2015/5/20,55.41,55.727,54.7,54.92,54.92,-0.65%,1297399
2015/5/21,55.2,56.66,55.15,55.89,55.89,1.77%,1481451
2015/5/22,55.75,56.03,54.9,55.07,55.07,-1.47%,1188863
2015/5/26,53.03,53.03,50.71,51.06,51.06,-7.28%,5167624
2015/5/27,51.05,51.6,50.56,51.28,51.28,0.43%,2291615
2015/5/28,51.24,51.52,50.45,50.75,50.75,-1.03%,1650809
2015/5/29,50.52,50.7,49.7,49.71,49.71,-2.05%,1847874
2015/6/1,49.76,50.53,49.26,49.9,49.9,0.38%,1991139
2015/6/2,49.8,51.6,49.4,50.95,50.95,2.10%,1998579
2015/6/3,50.97,51.74,50.61,50.83,50.83,-0.24%,1570855
2015/6/4,50.6,50.792,49.5,49.67,49.67,-2.28%,2103629
2015/6/5,49.87,51.47,49.38,51.3,51.3,3.28%,2669534
