Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,100.49,102.85,100.07,101.41,71.912,1.15%,11784818
2015/3/25,101.99,103.11,99.78,99.86,70.813,-1.53%,15629330
2015/3/26,99.13,101.819,98.59,101.075,71.674,1.22%,10927965
2015/3/27,101,102.1,100.9,101,71.621,-0.07%,8815858
2015/3/30,101.12,101.66,99.57,100.69,71.401,-0.31%,9968236
2015/3/31,100.01,100.2,98.07,98.13,69.586,-2.54%,13559908
2015/4/1,98.16,98.16,95.38,97.72,69.295,-0.42%,15134187
2015/4/2,97.985,99.5,97.01,98.43,69.799,0.73%,10727280
2015/4/6,97.92,98.741,97.19,97.79,69.345,-0.65%,9697287
2015/4/7,98.28,99.74,98.01,98.69,69.983,0.92%,8264715
2015/4/8,98.7,100.9,98.56,99.87,70.82,1.20%,10967054
2015/4/9,100.17,101.18,99.92,101.16,71.734,1.29%,9178113
2015/4/10,101.75,102.45,101.06,101.77,72.167,0.60%,9257629
2015/4/13,102.01,103.82,102,102.28,72.529,0.50%,10648428
2015/4/14,102.34,102.66,101.47,102.21,72.479,-0.07%,7224660
2015/4/15,102.39,104.36,102.33,104.03,73.77,1.78%,12899718
2015/4/16,103.95,104.72,103.11,103.34,73.28,-0.66%,6670359
2015/4/17,102.35,102.81,100.61,101.38,71.89,-1.90%,9896452
2015/4/20,102.28,102.28,100.41,100.655,71.376,-0.72%,8752017
2015/4/21,101.42,105.71,100.89,105.2,74.599,4.52%,19722658
2015/4/22,105.24,105.415,103.83,104.18,73.876,-0.97%,8267266
2015/4/23,104.64,105.75,104.01,105.205,74.603,0.98%,8071809
2015/4/24,104.64,105.68,103.6,103.695,73.532,-1.44%,9734440
2015/4/27,104.18,104.53,102.01,102.94,72.997,-0.73%,10829233
2015/4/28,103.115,103.834,101.14,103.72,73.55,0.76%,9793738
2015/4/29,103.12,103.9,101.62,102.32,72.557,-1.35%,8932245
2015/4/30,102.15,102.7,99.8,100.51,71.274,-1.77%,14009454
2015/5/1,103.2,106.34,102.5,105.01,74.465,4.48%,22306478
2015/5/4,105.65,107.5,105.22,105.66,74.925,0.62%,13215612
2015/5/5,105.3,105.73,102.73,102.99,73.032,-2.53%,15046458
2015/5/6,103.45,103.83,101.52,102.27,72.522,-0.70%,10065240
2015/5/7,102.17,102.35,99.66,101.79,72.181,-0.47%,13878333
2015/5/8,103,103.96,102.88,103.85,73.642,2.02%,9651735
2015/5/11,104.19,105.36,104,104.73,74.266,0.85%,9956111
2015/5/12,104.21,106.15,103.45,105.56,74.855,0.79%,9552606
2015/5/13,105.97,107.43,105.95,106.39,75.443,0.79%,10814520
2015/5/14,107.27,108.85,106.66,108.74,77.11,2.21%,12761282
2015/5/15,109.05,110.24,108.29,109.3,77.507,0.51%,13419602
2015/5/18,109.59,111.33,109.36,111,78.712,1.56%,13715956
2015/5/19,111.12,111.55,110.05,110.56,78.4,-0.40%,8676903
2015/5/20,110.09,110.91,108.151,110.17,78.124,-0.35%,10335088
2015/5/21,109.9,111.47,109.81,111.22,78.868,0.95%,8373958
2015/5/22,110.7,112.66,110.7,111.71,79.216,0.44%,12079030
2015/5/26,111.49,111.53,109.54,109.77,77.84,-1.74%,16006879
2015/5/27,110.34,112.6,109.98,112.46,79.747,2.45%,11721958
2015/5/28,112.01,113.43,111.82,112.85,80.024,0.35%,8252431
2015/5/29,113.15,113.37,111.85,112.27,79.613,-0.51%,11343475
2015/6/1,113.17,114.76,112.65,114.08,80.896,1.61%,11417627
2015/6/2,113.85,114.2,113.139,113.94,80.797,-0.12%,10189763
2015/6/3,114.27,114.93,113.872,114.65,81.3,0.62%,7413390
2015/6/4,113.9,114.58,113.26,113.93,80.79,-0.63%,8637605
2015/6/5,113.82,114.28,112.52,113.96,80.811,0.03%,8435729
2015/6/8,113.96,114.77,113.53,113.7,80.627,-0.23%,10742939
2015/6/9,113.22,115.3,113.15,114.75,81.371,0.92%,9566695
2015/6/10,115.02,117.93,114.81,117.67,83.442,2.54%,11985988
2015/6/11,118.075,119.7,117.9,119.13,84.477,1.24%,14474682
2015/6/12,118.59,118.75,116.76,117.66,83.74,-1.23%,9266013
2015/6/15,116.72,118.39,116.4,118.16,84.096,0.42%,9605804
2015/6/16,118.27,119.45,117.42,119.07,84.743,0.77%,8447759
2015/6/17,119.09,119.45,117.86,118.88,84.608,-0.16%,12078264
2015/6/18,119.18,121.78,119.02,121.21,86.266,1.96%,13652974
2015/6/19,120.47,121,119.55,119.8,85.263,-1.16%,21019996
2015/6/22,120.77,121.867,120.56,121.49,86.466,1.41%,8040659
2015/6/23,121.82,122.4,121.1,122.21,86.978,0.59%,8429213
2015/6/24,121.89,123.37,121.65,122.01,86.836,-0.16%,8354839
2015/6/25,122.48,122.61,119.81,120.23,85.569,-1.46%,8574950
2015/6/26,120.3,120.61,118.89,119.5,85.049,-0.61%,9730830
2015/6/29,117.88,119.14,115.3,115.455,82.17,-3.38%,12491082
2015/6/30,117.29,118.3,116.78,117.08,83.327,1.41%,11345193
