Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,53.88,54.1,53.18,53.2,37.827,-1.00%,2850047
2015/3/25,53.77,54.83,53.33,53.74,38.211,1.02%,6753340
2015/3/26,53.53,54.04,53.51,53.94,38.353,0.37%,5693146
2015/3/27,53.91,55,53.86,54.99,39.1,1.95%,4990793
2015/3/30,55.03,56.38,54.73,56.35,40.067,2.47%,7165937
2015/3/31,56.22,57.25,56.16,56.6,40.244,0.44%,7898268
2015/4/1,56.39,56.515,55.685,56.48,40.159,-0.21%,4627861
2015/4/2,56.44,56.83,56.25,56.55,40.209,0.12%,3271114
2015/4/6,57.54,57.73,56.63,56.74,40.344,0.34%,4172963
2015/4/7,56.74,56.74,56,56.08,39.875,-1.16%,3109621
2015/4/8,55.7,55.86,55.43,55.83,40.01,-0.45%,2875322
2015/4/9,55.7,56.21,55.6,56.13,40.225,0.54%,2261509
2015/4/10,56.17,56.51,56.06,56.49,40.483,0.64%,2962907
2015/4/13,56.47,56.6,56.36,56.43,40.44,-0.11%,2555795
2015/4/14,56.49,56.86,56.28,56.63,40.583,0.35%,2443882
2015/4/15,56.78,56.84,56.35,56.45,40.454,-0.32%,2067564
2015/4/16,56.38,56.4,56.1,56.23,40.296,-0.39%,2704645
2015/4/17,55.86,56.19,55.69,56.09,40.196,-0.25%,2639300
2015/4/20,56.69,57.12,56.395,56.45,40.454,0.64%,2276570
2015/4/21,56.45,56.6,56.04,56.11,40.21,-0.60%,1805744
2015/4/22,56.37,56.37,55.95,56.21,40.282,0.18%,1891600
2015/4/23,55.98,56.5,55.88,56.29,40.339,0.14%,2411650
2015/4/24,56.46,56.64,56.195,56.38,40.404,0.16%,1754831
2015/4/27,56.44,56.5,56,56.05,40.167,-0.59%,1697139
2015/4/28,56,56.225,55.76,56.1,40.203,0.09%,1805548
2015/4/29,56.01,56.19,55.47,55.57,39.823,-0.94%,2069243
2015/4/30,55.58,55.68,55.105,55.34,39.659,-0.41%,1815572
2015/5/1,55.51,55.82,55.26,55.7,39.916,0.65%,2573874
2015/5/4,55.73,55.93,55.67,55.85,40.024,0.27%,1426134
2015/5/5,56,56.16,55.41,55.63,39.866,-0.39%,2097979
2015/5/6,55.86,55.926,54.94,55.3,39.63,-0.59%,2198364
2015/5/7,55.25,55.79,55.14,55.63,39.866,0.60%,1620913
2015/5/8,55.94,56.53,55.92,56.27,40.325,1.15%,1884796
2015/5/11,56.14,56.44,56.04,56.07,40.182,-0.36%,1351609
2015/5/12,55.92,56.493,55.77,56.4,40.418,0.59%,1780143
2015/5/13,56.36,56.8,56.11,56.22,40.289,-0.32%,1736601
2015/5/14,56.6,56.87,56.39,56.84,40.733,1.10%,2412593
2015/5/15,56.78,57.25,56.7,57.14,40.948,0.53%,2170522
2015/5/18,56.9,57.03,56.71,56.85,40.741,-0.51%,2545382
2015/5/19,56.79,56.96,56.61,56.86,40.748,0.02%,1566568
2015/5/20,56.84,57.25,56.83,56.97,40.827,0.19%,1391342
2015/5/21,56.95,57.02,56.66,56.82,40.719,-0.26%,1572454
2015/5/22,56.71,56.86,56.52,56.52,40.504,-0.53%,1813590
2015/5/26,56.51,56.57,55.93,55.98,40.117,-0.96%,2141322
2015/5/27,56.13,56.56,56.01,56.47,40.468,0.88%,1617217
2015/5/28,56.35,56.45,56.08,56.25,40.311,-0.39%,1841888
2015/5/29,56.22,56.28,55.87,56.15,40.239,-0.18%,3132336
2015/6/1,56.32,56.39,55.91,56.29,40.339,0.25%,2285449
2015/6/2,56.13,56.26,55.625,55.86,40.031,-0.76%,1244896
2015/6/3,56.05,56.1,55.571,55.7,39.916,-0.29%,1820355
2015/6/4,55.39,55.69,54.97,55.06,39.458,-1.15%,2186251
2015/6/5,54.87,54.92,54.14,54.42,38.999,-1.16%,2454862
2015/6/8,54.48,54.62,54.29,54.36,38.956,-0.11%,1609626
2015/6/9,54.54,54.89,54.35,54.45,39.021,0.17%,2178535
2015/6/10,54.67,55.29,54.5,55.09,39.479,1.18%,2287891
2015/6/11,55.15,55.32,55,55.11,39.494,0.04%,1843176
2015/6/12,55.01,55.1,54.74,54.92,39.358,-0.34%,1342435
2015/6/15,54.61,54.73,54.35,54.4,38.985,-0.95%,2200433
2015/6/16,54.51,55.145,54.44,55.09,39.479,1.27%,2302349
2015/6/17,55.06,55.4,54.85,55.25,39.594,0.29%,2301618
2015/6/18,55.47,56.15,55.31,55.85,40.024,1.09%,2999414
2015/6/19,55.85,56.42,55.67,56.13,40.225,0.50%,4183216
2015/6/22,56.39,56.86,56.28,56.57,40.54,0.78%,2170792
2015/6/23,56.57,56.79,56.42,56.56,40.533,-0.02%,2163998
2015/6/24,56.55,56.91,56.41,56.55,40.526,-0.02%,4657500
2015/6/25,57.02,57.02,56.31,56.49,40.483,-0.11%,3766741
2015/6/26,56.69,57.06,56.47,56.93,40.798,0.78%,5394657
2015/6/29,56.52,56.74,55.99,56.06,40.174,-1.53%,3735903
2015/6/30,56.36,56.49,55.65,55.72,39.931,-0.61%,3432097
2015/7/1,55.12,57.18,54.13,57.09,40.913,2.46%,10353204
2015/7/2,57.18,57.8,56.84,57.05,40.884,-0.07%,8850713
2015/7/6,56.91,57.3,56.31,56.59,40.554,-0.81%,3468728
2015/7/7,56.7,57.98,56.6,57.89,41.486,2.30%,4285696
2015/7/8,57.29,57.53,56.95,56.95,41.128,-1.62%,3604030
2015/7/9,57.41,57.67,56.905,56.93,41.113,-0.04%,2234564
2015/7/10,57.26,57.5,57.18,57.27,41.359,0.60%,2011038
2015/7/13,57.49,57.67,57.319,57.52,41.539,0.44%,2412840
2015/7/14,57.5,57.63,57.06,57.25,41.344,-0.47%,3175412
2015/7/15,57.07,57.38,56.65,56.81,41.027,-0.77%,3591667
2015/7/16,57.16,57.54,56.94,57.03,41.185,0.39%,2871475
2015/7/17,56.85,57,56.62,56.94,41.12,-0.16%,2514623
2015/7/20,56.98,57.2,56.7,56.83,41.041,-0.19%,4683781
2015/7/21,57.38,57.48,57.08,57.21,41.315,0.67%,4491236
2015/7/22,57.25,57.95,57.25,57.63,41.619,0.73%,2045297
2015/7/23,57.55,57.7,57.02,57.08,41.221,-0.95%,1717872
2015/7/24,56.94,57.25,56.78,56.92,41.106,-0.28%,1994631
2015/7/27,56.6,57.06,56.445,56.96,41.135,0.07%,2926971
2015/7/28,57.26,57.58,56.63,57.55,41.561,1.04%,2846348
2015/7/29,57.55,57.86,57.37,57.49,41.518,-0.10%,3360329
2015/7/30,57.3,58.36,57.11,58.26,42.074,1.34%,2716180
2015/7/31,58.49,58.53,58.04,58.21,42.038,-0.09%,3013919
2015/8/3,58.29,58.95,58.2,58.93,42.558,1.24%,2593296
2015/8/4,58.9,59.31,58.66,58.99,42.601,0.10%,2502440
2015/8/5,59.08,59.69,58.58,59.4,42.897,0.70%,2238441
2015/8/6,59.76,59.87,59.13,59.55,43.005,0.25%,2583663
2015/8/7,59.29,59.49,58.8,59.11,42.687,-0.74%,2325248
2015/8/10,59.23,59.55,59.16,59.4,42.897,0.49%,1895402
2015/8/11,58.97,59.31,58.75,59.14,42.709,-0.44%,1797996
2015/8/12,58.77,59.14,58.105,59.1,42.68,-0.07%,2914337
