Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,38.52,38.52,37.75,37.85,29.705,-1.92%,15835758
2015/3/25,37.88,37.91,37.37,37.38,29.336,-1.24%,10208299
2015/3/26,37.7,37.91,37.15,37.35,29.313,-0.08%,13813075
2015/3/27,37.34,37.48,37.08,37.31,29.281,-0.11%,9236863
2015/3/30,37.58,37.87,37.53,37.68,29.572,0.99%,9980116
2015/3/31,37.68,38.04,37.465,37.5,29.43,-0.48%,12633263
2015/4/1,37.27,37.37,36.56,36.74,28.834,-2.03%,16631209
2015/4/2,36.61,36.73,36.33,36.5,28.646,-0.65%,16517696
2015/4/6,36.26,36.97,36.21,36.66,28.771,0.44%,13010261
2015/4/7,35.99,36.09,35.64,35.73,28.041,-2.54%,56221606
2015/4/8,35.89,36.19,35.75,36.11,28.339,1.06%,27460319
2015/4/9,36.1,36.39,36.03,36.29,28.481,0.50%,15449805
2015/4/10,36.74,36.78,36.37,36.57,28.7,0.77%,16763805
2015/4/13,36.63,36.86,36.385,36.4,28.567,-0.46%,13530698
2015/4/14,36.46,36.82,36.44,36.48,28.63,0.22%,12989688
2015/4/15,36.82,37.08,36.65,36.94,28.991,1.26%,13734922
2015/4/16,37.13,37.18,36.74,37.08,29.101,0.38%,12225840
2015/4/17,36.83,36.85,36.5,36.64,28.755,-1.19%,14373907
2015/4/20,36.95,37.17,36.75,37.11,29.124,1.28%,13880809
2015/4/21,37.33,37.45,36.825,37.16,29.164,0.13%,17130529
2015/4/22,37.13,37.22,36.67,37.16,29.164,0.00%,16003025
2015/4/23,36.25,36.3,35.58,35.92,28.19,-3.34%,41805276
2015/4/24,35.72,35.81,35.44,35.59,27.931,-0.92%,21252471
2015/4/27,35.65,35.95,35.56,35.78,28.08,0.53%,15488491
2015/4/28,35.75,35.96,35.17,35.72,28.033,-0.17%,14857207
2015/4/29,35.5,35.7,35.245,35.51,27.869,-0.59%,11907293
2015/4/30,35.26,35.43,34.93,35.06,27.515,-1.27%,15783001
2015/5/1,35.17,35.47,34.81,35.42,27.798,1.03%,15307418
2015/5/4,35.5,35.72,35.4,35.4,27.782,-0.06%,12020149
2015/5/5,35.4,35.52,34.99,35.01,27.476,-1.10%,11067961
2015/5/6,35.14,35.23,34.55,34.77,27.288,-0.69%,13073844
2015/5/7,34.64,35.03,34.55,34.88,27.374,0.32%,14033685
2015/5/8,35.05,35.46,35.03,35.32,27.719,1.26%,12787003
2015/5/11,35.3,35.59,35.17,35.22,27.641,-0.28%,8831172
2015/5/12,34.96,34.96,34.51,34.74,27.264,-1.36%,14049198
2015/5/13,34.78,34.97,34.71,34.8,27.311,0.17%,9197485
2015/5/14,35,35.04,34.53,34.65,27.194,-0.43%,12645063
2015/5/15,34.7,34.98,34.7,34.91,27.398,0.75%,9767409
2015/5/18,34.97,35.205,34.85,35.05,27.508,0.40%,10285176
2015/5/19,35.17,35.24,34.96,35.12,27.562,0.20%,9856696
2015/5/20,35.24,35.3,34.66,35.02,27.484,-0.28%,12926284
2015/5/21,35,35.66,35,35.58,27.924,1.60%,16015876
2015/5/22,35.52,35.74,35.42,35.7,28.018,0.34%,9648182
2015/5/26,35.45,35.6,35.43,35.52,27.876,-0.50%,12536592
2015/5/27,35.52,35.81,35.43,35.81,28.104,0.82%,10057747
2015/5/28,36.11,36.48,35.97,36.39,28.559,1.62%,18063918
2015/5/29,36.49,36.575,35.85,35.97,28.23,-1.15%,15803569
2015/6/1,36.06,36.34,35.65,36.18,28.394,0.58%,12011912
2015/6/2,36.09,36.5,35.97,36.22,28.426,0.11%,16948014
2015/6/3,36.37,36.423,35.87,35.94,28.206,-0.77%,12817148
2015/6/4,35.66,35.87,35.47,35.54,27.892,-1.11%,10538543
2015/6/5,35.5,35.55,34.96,35.12,27.562,-1.18%,24629237
2015/6/8,34.86,35.12,34.8,34.99,27.743,-0.37%,15636138
2015/6/9,35.11,35.32,35,35.26,27.957,0.77%,12900991
2015/6/10,35.45,35.62,35.29,35.59,28.219,0.94%,11402184
2015/6/11,35.72,36.01,35.55,35.55,28.187,-0.11%,16819022
2015/6/12,35.38,35.9,35.38,35.71,28.314,0.45%,11170195
2015/6/15,35.35,35.73,35.01,35.46,28.116,-0.70%,14015996
2015/6/16,35.36,35.777,35.165,35.61,28.235,0.42%,6639180
2015/6/17,35.68,35.81,35.285,35.81,28.393,0.56%,10286618
2015/6/18,35.87,36.48,35.85,36.2,28.702,1.09%,15490827
2015/6/19,36.12,36.33,35.95,36.11,28.631,-0.25%,14830433
2015/6/22,36.29,36.54,36.13,36.19,28.694,0.22%,13783010
2015/6/23,36.37,36.48,36.27,36.3,28.782,0.30%,7279864
2015/6/24,35.91,35.97,35.11,35.16,27.878,-3.14%,16928375
2015/6/25,35.21,35.32,34.57,34.7,27.513,-1.31%,14582118
2015/6/26,34.7,34.82,34.28,34.38,27.259,-0.92%,11632610
2015/6/29,34.12,34.17,33.2,33.23,26.348,-3.34%,18714423
2015/6/30,33.5,33.57,33.06,33.33,26.427,0.30%,12911835
2015/7/1,33.61,33.61,32.679,33.04,26.197,-0.87%,16169466
2015/7/2,33.19,33.45,33.06,33.23,26.348,0.58%,8646353
2015/7/6,32.85,33.115,32.61,32.65,25.888,-1.75%,10431735
2015/7/7,32.62,32.95,32.01,32.86,26.054,0.64%,18589104
2015/7/8,32.39,32.41,30.94,31.19,24.73,-5.08%,29971354
2015/7/9,31.62,31.75,30.92,31.01,24.587,-0.58%,16934186
2015/7/10,31.3,31.42,30.99,31.4,24.897,1.26%,12236585
2015/7/13,31.87,31.9,31.46,31.68,25.119,0.89%,16327095
2015/7/14,31.59,31.99,31.43,31.77,25.19,0.28%,10832907
2015/7/15,31.85,31.9,31.3,31.43,24.92,-1.07%,18021954
2015/7/16,31.14,31.2,30.31,30.61,24.27,-2.61%,35920701
2015/7/17,30.64,30.8,30.43,30.65,24.302,0.13%,16230161
2015/7/20,30.85,30.85,30.42,30.5,24.183,-0.49%,15643919
2015/7/21,30.51,30.56,30.315,30.39,24.096,-0.36%,23468613
2015/7/22,30.33,30.52,29.885,30.3,24.024,-0.30%,20864281
2015/7/23,32.66,32.7,31.4,31.5,24.976,3.96%,38967572
2015/7/24,31.9,31.94,30.82,31.06,24.627,-1.40%,22967263
2015/7/27,30.95,31.32,30.6,31.05,24.619,-0.03%,23336099
2015/7/28,31.49,31.64,31.22,31.32,24.833,0.87%,23183548
2015/7/29,31.48,32.06,31.43,31.95,25.333,2.01%,20632721
2015/7/30,31.89,32.05,31.75,31.91,25.301,-0.13%,10122632
2015/7/31,32.08,32.13,31.43,31.51,24.984,-1.25%,12399288
2015/8/3,31.79,31.89,31.31,31.68,25.119,0.54%,14799463
2015/8/4,31.66,31.765,31.39,31.52,24.992,-0.51%,15105905
2015/8/5,31.77,31.77,31.2,31.6,25.055,0.25%,14385549
2015/8/6,31.59,31.93,31.14,31.86,25.261,0.82%,19567880
2015/8/7,32.09,32.14,31.6,31.74,25.166,-0.38%,12959962
2015/8/10,31.95,32.25,31.86,31.94,25.325,0.63%,11676370
2015/8/11,31.29,31.31,30.59,30.83,24.445,-3.48%,24340252
2015/8/12,30.43,31,29.79,30.87,24.476,0.13%,23199214
2015/8/13,30.87,31.25,30.81,31.06,24.627,0.62%,20431688
2015/8/14,31.14,31.55,31.06,31.49,24.968,1.38%,12222383
2015/8/17,31.47,31.68,31.17,31.61,25.063,0.38%,12057857
2015/8/18,31.41,31.77,31.34,31.71,25.142,0.32%,9279790
2015/8/19,31.61,32.05,31.37,31.63,25.079,-0.25%,13916872
2015/8/20,31.46,31.46,30.83,30.84,24.453,-2.50%,13352528
