Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,28.427,29.094,28.405,28.877,28.738,2.15%,79156880
2015/3/25,28.879,29.004,28.35,28.35,28.213,-1.82%,53069020
2015/3/26,28.232,28.36,27.915,28.182,28.046,-0.59%,49842820
2015/3/27,28.092,28.203,27.847,27.877,27.743,-1.08%,34552580
2015/3/30,28.013,28.108,27.839,28.057,27.922,0.65%,24787000
2015/3/31,27.897,28.123,27.734,27.735,27.601,-1.15%,34932440
2015/4/1,27.742,27.925,27.301,27.475,27.342,-0.94%,38901800
2015/4/2,27.371,27.4,27.022,27.065,26.935,-1.49%,47760380
2015/4/6,26.942,27.277,26.785,27.198,27.066,0.49%,33717880
2015/4/7,27.25,27.508,27.179,27.243,27.112,0.17%,27318320
2015/4/8,27.3,27.575,27.3,27.442,27.31,0.73%,28386320
2015/4/9,27.461,27.469,27.098,27.401,27.269,-0.15%,32365980
2015/4/10,27.479,27.493,27.249,27.427,27.295,0.09%,26104380
2015/4/13,27.353,27.664,27.315,27.432,27.3,0.02%,29325540
2015/4/14,27.329,27.329,26.787,26.989,26.859,-1.61%,47206580
2015/4/15,26.898,27.16,26.619,27.052,26.922,0.23%,46961740
2015/4/16,26.918,27.261,26.905,27.176,27.045,0.46%,31721760
2015/4/17,26.865,26.99,26.45,26.637,26.509,-1.98%,49233960
2015/4/20,26.688,27.29,26.668,27.226,27.095,2.21%,38521280
2015/4/21,27.315,27.389,27.111,27.146,27.015,-0.29%,29127740
2015/4/22,27.153,27.55,27.066,27.459,27.327,1.15%,31806400
2015/4/23,27.521,28.059,27.504,27.873,27.739,1.51%,78183100
2015/4/24,29.002,29.235,28.418,28.683,28.545,2.91%,92168060
2015/4/27,28.639,28.776,28.115,28.306,28.17,-1.31%,48062100
2015/4/28,28.216,28.392,28.048,28.219,28.083,-0.31%,37195740
2015/4/29,28.026,28.292,27.95,28.069,27.934,-0.53%,33621280
2015/4/30,27.928,28.056,27.336,27.438,27.306,-2.25%,47240480
2015/5/1,27.526,27.561,27.193,27.558,27.425,0.44%,36571320
2015/5/4,27.55,27.835,27.37,27.642,27.509,0.30%,35259040
2015/5/5,27.508,27.631,27.119,27.152,27.021,-1.77%,28528340
2015/5/6,27.132,27.196,26.612,26.754,26.625,-1.47%,39034560
2015/5/7,26.795,27.26,26.673,27.102,26.971,1.30%,31844400
2015/5/8,27.444,27.64,27.402,27.448,27.315,1.28%,28225280
2015/5/11,27.425,27.668,27.28,27.289,27.157,-0.58%,21858460
2015/5/12,27.14,27.148,26.75,26.937,26.807,-1.29%,35282460
2015/5/13,27.024,27.192,26.949,26.975,26.845,0.14%,24238400
2015/5/14,27.199,27.485,27.125,27.46,27.328,1.80%,31736660
2015/5/15,27.52,27.53,27.125,27.325,27.193,-0.49%,33439540
2015/5/18,27.191,27.417,27.113,27.333,27.202,0.03%,26705120
2015/5/19,27.4,27.67,27.356,27.464,27.332,0.48%,47125480
2015/5/20,27.546,27.803,27.255,27.626,27.492,0.59%,30839240
2015/5/21,27.51,27.881,27.465,27.841,27.706,0.78%,34170240
2015/5/22,27.723,27.912,27.681,27.726,27.592,-0.41%,24265760
2015/5/26,27.629,27.667,27.149,27.36,27.228,-1.32%,37474180
2015/5/27,27.434,27.764,27.329,27.713,27.579,1.29%,34844740
2015/5/28,27.69,27.788,27.54,27.709,27.575,-0.01%,23546360
2015/5/29,27.66,27.697,27.252,27.266,27.135,-1.60%,43445640
2015/6/1,27.437,27.529,27.179,27.461,27.328,0.72%,33210000
2015/6/2,27.371,27.94,27.327,27.698,27.564,0.86%,31856560
2015/6/3,27.755,27.9,27.607,27.764,27.631,0.24%,26709580
2015/6/4,27.609,27.798,27.456,27.585,27.452,-0.64%,26866340
2015/6/5,27.6,27.667,27.369,27.476,27.344,-0.40%,24396820
2015/6/8,27.481,27.494,27.148,27.174,27.043,-1.10%,27336320
2015/6/9,27.171,27.242,26.943,27.108,26.977,-0.24%,30016920
2015/6/10,27.285,27.739,27.256,27.63,27.497,1.93%,30316100
2015/6/11,27.725,27.742,27.458,27.502,27.369,-0.46%,25871200
2015/6/12,27.357,27.443,27.282,27.374,27.242,-0.47%,25467660
2015/6/15,27.137,27.202,26.961,27.15,27.019,-0.82%,27149620
2015/6/16,27.224,27.335,27.079,27.244,27.112,0.35%,32526980
2015/6/17,27.271,27.418,27.091,27.33,27.198,0.32%,24440980
2015/6/18,27.4,27.863,27.4,27.809,27.675,1.75%,41192060
2015/6/19,27.826,27.896,27.613,27.876,27.742,0.24%,59289780
2015/6/22,27.97,28.281,27.946,27.984,27.849,0.39%,34751380
2015/6/23,27.99,28.245,27.857,28.17,28.034,0.66%,31396160
2015/6/24,28.124,28.132,27.841,27.929,27.794,-0.86%,28923120
2015/6/25,28.015,28.157,27.873,27.898,27.763,-0.11%,26705400
2015/6/26,27.986,28,27.593,27.653,27.52,-0.88%,43675060
2015/6/29,27.338,27.545,27.012,27.063,26.932,-2.13%,37756320
2015/6/30,27.255,27.295,26.977,27.002,26.872,-0.23%,34509280
2015/7/1,27.183,27.29,26.988,27.165,27.034,0.60%,30759460
2015/7/2,27.237,27.4,27.179,27.367,27.235,0.74%,28124260
2015/7/6,27.113,27.429,27.105,27.281,27.15,-0.31%,25613740
2015/7/7,27.371,27.55,26.993,27.502,27.369,0.81%,33595180
2015/7/8,27.28,27.414,27.06,27.085,26.954,-1.52%,27661300
2015/7/9,27.432,27.444,27.231,27.232,27.101,0.54%,29766480
2015/7/10,27.686,27.964,27.6,27.806,27.671,2.11%,43435000
2015/7/13,27.976,28.643,27.935,28.587,28.449,2.81%,41792820
2015/7/14,28.725,29.485,28.708,29.209,29.068,2.18%,74831660
2015/7/15,29.187,29.435,29.011,29.198,29.057,-0.04%,41466600
2015/7/16,29.475,30.225,29.396,30.089,29.944,3.05%,112641080
2015/7/17,34,35.15,33.9,34.981,34.812,16.26%,257162720
2015/7/20,34.449,34.89,34.088,34.642,34.475,-0.97%,102435040
2015/7/21,34.244,35.28,34.207,34.768,34.6,0.36%,75604600
2015/7/22,34.701,35.667,34.581,34.755,34.588,-0.04%,83099740
2015/7/23,34.593,34.804,33.58,33.737,33.574,-2.93%,76231960
2015/7/24,33.838,33.89,32.659,32.739,32.581,-2.96%,82622740
2015/7/27,32.579,33.354,32.578,32.914,32.755,0.53%,58382200
2015/7/28,33.088,33.205,32.671,32.983,32.824,0.21%,34363860
2015/7/29,33.113,33.167,32.642,33.072,32.912,0.27%,36756100
2015/7/30,32.872,33.402,32.585,33.228,33.068,0.47%,39606900
2015/7/31,33.235,33.25,32.86,32.875,32.717,-1.06%,34921880
2015/8/3,32.883,33.334,32.883,33.236,33.076,1.10%,31348140
2015/8/4,33.217,33.4,33.026,33.064,32.905,-0.52%,26188200
