Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,45.765,46.065,45.475,45.55,43.668,-0.69%,1293180
2015/3/25,45.82,45.82,44.735,44.735,42.887,-1.79%,1916046
2015/3/26,44.54,45.05,44.125,44.93,43.074,0.44%,1714386
2015/3/27,44.935,45.315,44.7,44.985,43.127,0.12%,941252
2015/3/30,45.06,45.88,44.947,45.835,43.942,1.89%,1404302
2015/3/31,45.86,46.105,45.5,45.84,43.947,0.01%,844316
2015/4/1,45.86,45.96,45.205,45.915,44.018,0.16%,867014
2015/4/2,45.79,46.305,45.73,45.96,44.062,0.10%,699660
2015/4/6,45.62,46.605,45.48,46.295,44.383,0.73%,1856914
2015/4/7,46.405,46.505,45.955,46.115,44.21,-0.39%,2120516
2015/4/8,47.63,49.975,47.5,49.305,47.268,6.92%,4480390
2015/4/9,49.61,49.905,48.805,49.315,47.278,0.02%,2522960
2015/4/10,49.825,49.96,49.365,49.84,47.781,1.06%,1566256
2015/4/13,49.875,50,49.05,49.05,47.024,-1.59%,1311672
2015/4/14,49.045,49.52,48.835,49.325,47.288,0.56%,1074336
2015/4/15,49.505,50.43,49.22,50.03,47.963,1.43%,1828956
2015/4/16,50,50.22,49.691,49.855,47.796,-0.35%,1219712
2015/4/17,49.405,49.89,49.235,49.875,47.815,0.04%,2331736
2015/4/20,50.15,50.31,49.97,50.145,48.074,0.54%,1603886
2015/4/21,50.34,51,50.025,50.815,48.716,1.34%,1231858
2015/4/22,51,51.225,50.48,50.935,48.831,0.24%,939790
2015/4/23,50.89,51,50.749,50.855,48.754,-0.16%,671618
2015/4/24,50.91,51,50.475,50.895,48.793,0.08%,705146
2015/4/27,50.925,51.02,50.435,50.68,48.587,-0.42%,551346
2015/4/28,50.56,50.815,50.01,50.49,48.404,-0.37%,1044780
2015/4/29,50.375,51.15,49.99,50.95,48.845,0.91%,874944
2015/4/30,50.515,50.925,50.015,50.14,48.069,-1.59%,1293882
2015/5/1,50.44,50.855,50.075,50.535,48.448,0.79%,750796
2015/5/4,50.55,50.899,50.41,50.46,48.376,-0.15%,718496
2015/5/5,50.195,50.685,50.125,50.535,48.448,0.15%,1113440
2015/5/6,50.775,50.945,50.48,50.645,48.553,0.22%,1109870
2015/5/7,50.53,50.85,50.322,50.68,48.587,0.07%,1009862
2015/5/8,51.285,51.285,50.775,50.94,48.836,0.51%,1212058
2015/5/11,51.005,51.29,50.759,51.085,48.975,0.28%,820982
2015/5/12,50.74,50.915,50.42,50.74,48.644,-0.68%,904308
2015/5/13,50.72,51.38,50.66,51.365,49.253,1.23%,1001468
2015/5/14,51.89,52.435,51.6,52.28,50.13,1.78%,1378872
2015/5/15,52.32,52.735,51.995,52.1,49.958,-0.34%,1224138
2015/5/18,51.965,52.76,51.965,52.62,50.456,1.00%,1232824
2015/5/19,52.75,53.03,52.55,52.69,50.523,0.13%,1333892
2015/5/20,52.345,52.465,51.78,52.085,49.943,-1.15%,1703636
2015/5/21,51.945,52.875,51.91,52.7,50.533,1.18%,1320874
