Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,49.26,49.68,49.01,49.07,36.222,-0.66%,1202873
2015/3/25,49.21,49.39,48,48.02,35.447,-2.14%,1568366
2015/3/26,47.87,47.87,46.78,47.47,35.041,-1.15%,1249199
2015/3/27,47.27,47.78,47.1,47.66,35.181,0.40%,885245
2015/3/30,47.79,48.314,47.665,48.13,35.528,0.99%,650714
2015/3/31,47.88,48.29,47.46,47.52,35.078,-1.27%,1724509
2015/4/1,47.34,47.42,46.62,47.07,34.746,-0.95%,1174328
2015/4/2,46,46.79,45.92,46.485,34.314,-1.24%,1776509
2015/4/6,44.65,46.79,44.57,46.71,34.48,0.48%,2237062
2015/4/7,46.64,46.82,45.88,45.88,33.867,-1.78%,1278892
2015/4/8,46.05,46.57,45.84,46.33,34.199,0.98%,1596751
2015/4/9,46.46,46.63,46,46.59,34.391,0.56%,1109267
2015/4/10,46.45,46.88,46.15,46.66,34.443,0.15%,1203277
2015/4/13,46.54,47.07,46.49,46.795,34.543,0.29%,1633780
2015/4/14,46.7,47.03,46.52,46.86,34.591,0.14%,1185614
2015/4/15,47.02,47.87,46.89,47.63,35.159,1.64%,1165168
2015/4/16,47.48,47.71,47.21,47.61,35.144,-0.04%,816354
2015/4/17,47.23,47.34,46.41,46.67,34.45,-1.97%,949201
2015/4/20,46.94,47.63,46.94,47.57,35.115,1.93%,747249
2015/4/21,47.77,47.97,47.5,47.57,35.115,0.00%,917422
2015/4/22,47.5,47.5,46.74,46.95,34.657,-1.30%,844596
2015/4/23,46.79,47.43,46.65,47.14,34.797,0.40%,1151714
2015/4/24,47.15,47.15,46.08,46.19,34.096,-2.02%,2001022
2015/4/27,46.34,46.654,46.144,46.43,34.273,0.52%,1517943
2015/4/28,46.45,47.7,46.4,47.49,35.056,2.28%,2314622
2015/4/29,45.52,46.89,44.81,45.54,33.616,-4.11%,4021328
2015/4/30,45.77,46.14,44.96,45.19,33.358,-0.77%,2518327
2015/5/1,45.32,45.96,45.25,45.86,33.852,1.48%,913443
2015/5/4,45.79,46,45.55,45.7,33.734,-0.35%,1145053
2015/5/5,45.55,45.83,45.2,45.285,33.428,-0.91%,1313974
2015/5/6,45.35,45.52,44.96,45.3,33.439,0.03%,1103544
2015/5/7,45.3,45.62,45.17,45.405,33.517,0.23%,799311
2015/5/8,45.77,46.11,45.65,45.94,33.911,1.18%,827009
2015/5/11,45.89,46.76,45.76,46.72,34.487,1.70%,1702961
2015/5/12,46.57,46.65,45.9,45.94,33.911,-1.67%,878315
2015/5/13,45.96,46.3,45.75,46.12,34.044,0.39%,1321829
2015/5/14,46.38,46.508,45.99,46.17,34.081,0.11%,1166286
2015/5/15,46.35,46.46,45.91,46.2,34.103,0.06%,691224
2015/5/18,46.08,46.22,45.74,46.12,34.044,-0.17%,803291
