Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,43,43.21,42.79,42.81,34.477,-0.42%,2582277
2015/3/25,42.81,42.96,42.21,42.21,33.994,-1.40%,2310391
2015/3/26,42.11,42.27,41.9,42.12,33.921,-0.21%,2388647
2015/3/27,42.04,42.12,41.77,41.95,33.785,-0.40%,2448823
2015/3/30,42.1,42.48,42.02,42.37,34.123,1.00%,1836956
2015/3/31,42.08,42.145,41.7,41.82,33.68,-1.30%,3514572
2015/4/1,41.7,41.96,41.52,41.79,33.656,-0.07%,2142664
2015/4/2,41.8,42.19,41.68,42.13,33.93,0.81%,1433142
2015/4/6,41.72,42.58,41.56,42.33,34.091,0.47%,2432383
2015/4/7,42.33,42.55,42.01,42.02,33.841,-0.73%,1406990
2015/4/8,42.02,42.43,41.9,42.4,34.147,0.90%,1773049
2015/4/9,42.22,42.49,42.08,42.45,34.187,0.12%,2320912
2015/4/10,42.41,42.59,42.21,42.56,34.276,0.26%,1721228
2015/4/13,42.45,42.95,42.34,42.86,34.517,0.70%,1869360
2015/4/14,42.75,42.95,42.45,42.63,34.332,-0.54%,1569582
2015/4/15,42.64,42.91,42.54,42.69,34.381,0.14%,3060541
2015/4/16,42.65,42.81,42.37,42.66,34.356,-0.07%,1656822
2015/4/17,42.36,42.44,41.725,41.9,33.744,-1.78%,2364736
2015/4/20,42.15,42.23,42.01,42.09,33.897,0.45%,1329475
2015/4/21,42.17,42.29,41.37,41.42,33.358,-1.59%,2533426
2015/4/22,41.39,41.55,41.21,41.41,33.35,-0.02%,2629537
2015/4/23,41.25,41.67,41.25,41.47,33.398,0.14%,3749939
2015/4/24,41.47,41.905,41.4,41.84,33.696,0.89%,2574896
2015/4/27,41.89,41.92,41.365,41.4,33.342,-1.05%,3862565
2015/4/28,41.4,41.97,41.11,41.37,33.317,-0.07%,4425330
2015/4/29,41.13,41.67,41.1,41.37,33.317,0.00%,5071400
2015/4/30,41.19,41.43,40.63,40.77,32.834,-1.45%,3879168
2015/5/1,41.07,41.36,40.92,41.1,33.1,0.81%,2270921
2015/5/4,41.1,41.43,41.09,41.34,33.293,0.58%,2731928
2015/5/5,41.32,41.63,41.115,41.17,33.156,-0.41%,2123166
2015/5/6,41.36,41.47,40.665,40.87,32.915,-0.73%,3095874
2015/5/7,40.97,41.36,40.77,41.19,33.172,0.78%,2882724
2015/5/8,41.56,41.73,41.3,41.71,33.591,1.26%,1970916
2015/5/11,41.7,41.86,41.56,41.6,33.503,-0.26%,1655518
2015/5/12,41.47,41.52,41.15,41.23,33.205,-0.89%,1470594
2015/5/13,41.11,41.43,41.11,41.37,33.317,0.34%,1428045
2015/5/14,41.53,41.75,41.38,41.62,33.519,0.60%,1973304
2015/5/15,41.72,41.76,41.24,41.33,33.285,-0.70%,2519184
2015/5/18,41.29,41.65,41.28,41.64,33.535,0.75%,2861775
2015/5/19,41.79,42.17,41.71,42.12,33.921,1.15%,2533550
2015/5/20,42.18,42.46,41.87,42.38,34.131,0.62%,2157007
2015/5/21,42.26,42.5,42,42.04,33.857,-0.80%,1835273
2015/5/22,41.98,42.21,41.8,41.86,33.712,-0.43%,1648200
2015/5/26,41.78,41.84,41.145,41.2,33.181,-1.58%,2699210
2015/5/27,41.36,41.55,41.23,41.48,33.406,0.68%,2749261
2015/5/28,41.2,41.39,41.13,41.34,33.438,-0.34%,2532621
2015/5/29,41.24,41.37,40.985,41.11,33.252,-0.56%,2720149
2015/6/1,41.3,41.39,40.865,41.01,33.171,-0.24%,2494790
2015/6/2,41.02,41.46,40.95,41.03,33.188,0.05%,3309705
2015/6/3,41.27,42.01,41.17,41.65,33.689,1.51%,6589195
2015/6/4,41.4,41.595,41.17,41.21,33.333,-1.06%,2652198
2015/6/5,41.6,41.86,41.3,41.54,33.6,0.80%,2840850
2015/6/8,41.4,41.66,40.99,41,33.163,-1.30%,2431576
2015/6/9,40.92,41.18,40.85,41.01,33.171,0.02%,1523201
2015/6/10,41.23,42.07,41.23,42.03,33.996,2.49%,2681135
2015/6/11,42.05,42.435,41.95,42.33,34.239,0.71%,2104960
2015/6/12,42.16,42.34,42.02,42.2,34.134,-0.31%,1296509
2015/6/15,41.74,41.99,41.5,41.75,33.77,-1.07%,1744303
2015/6/16,41.75,42.12,41.67,42.03,33.996,0.67%,1644155
2015/6/17,42.16,42.24,41.75,41.87,33.867,-0.38%,2204436
2015/6/18,42,42.45,41.85,42.38,34.279,1.22%,2003405
2015/6/19,42.2,42.34,41.99,42.02,33.988,-0.85%,2425216
2015/6/22,42.39,44.13,42.28,42.69,34.53,1.59%,3346399
2015/6/23,42.81,42.86,42.44,42.55,34.417,-0.33%,2664799
2015/6/24,42.53,42.65,42.26,42.27,34.19,-0.66%,2069625
2015/6/25,42.32,42.46,41.82,41.83,33.835,-1.04%,2263647
2015/6/26,42,42.07,41.796,42.07,34.029,0.57%,2273346
2015/6/29,41.5,41.6,41.235,41.26,33.374,-1.93%,4505392
2015/6/30,41.7,41.88,41.26,41.57,33.624,0.75%,2901561
2015/7/1,42.62,44.24,42.53,44.19,35.743,6.30%,9824615
2015/7/2,44.3,44.9,43.98,44.03,35.614,-0.36%,7424976
2015/7/6,43.57,44.14,43.47,44.08,35.655,0.11%,3509103
2015/7/7,43.93,44.18,43.205,44.13,35.695,0.11%,3439146
2015/7/8,43.67,43.81,42.98,43.03,34.805,-2.49%,3397754
2015/7/9,43.62,43.85,43.08,43.15,34.902,0.28%,3008725
2015/7/10,43.8,43.92,43.615,43.78,35.412,1.46%,2000060
2015/7/13,44.19,45.79,44.01,45.1,36.48,3.02%,6930439
2015/7/14,45,45.795,44.81,45.7,36.965,1.33%,3981315
2015/7/15,45.69,47.35,45.39,46.68,37.758,2.14%,8212873
2015/7/16,46.87,47.42,46.79,47.28,38.243,1.29%,4928866
2015/7/17,47.04,47.17,46.44,46.84,37.887,-0.93%,3962149
