Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,32.96,32.97,32.47,32.59,32.59,-1.21%,1299171
2015/3/25,32.68,32.74,32,32.03,32.03,-1.72%,1575823
2015/3/26,31.84,32.145,31.3,31.94,31.94,-0.28%,1605191
2015/3/27,31.99,32.605,31.95,32.49,32.49,1.72%,956392
2015/3/30,32.72,33.24,32.66,33.165,33.165,2.08%,1122078
2015/3/31,33.15,33.335,32.86,33.025,33.025,-0.42%,1770482
2015/4/1,32.9,32.97,32.28,32.575,32.575,-1.36%,1494441
2015/4/2,32.65,33.145,32.57,32.945,32.945,1.14%,1256428
2015/4/6,32.74,33.41,32.562,33.21,33.21,0.80%,3411358
2015/4/7,33.2,33.58,32.995,33.03,33.03,-0.54%,1116436
2015/4/8,32.88,33.3,32.12,33.24,33.24,0.64%,1224607
2015/4/9,33.35,33.45,32.94,33.4,33.4,0.48%,629608
2015/4/10,33.5,33.568,33.23,33.3,33.3,-0.30%,647443
2015/4/13,33.27,33.46,33.1,33.175,33.175,-0.38%,679966
2015/4/14,33.2,33.31,32.95,33.18,33.18,0.02%,897354
2015/4/15,33.26,33.26,32.71,32.74,32.74,-1.33%,777139
2015/4/16,32.6,32.84,32.56,32.82,32.82,0.24%,804257
2015/4/17,32.66,32.86,32.36,32.465,32.465,-1.08%,657148
2015/4/20,32.58,33.16,32.51,33.08,33.08,1.89%,1219690
2015/4/21,33.24,33.52,32.97,33.33,33.33,0.76%,1636116
2015/4/22,33.37,33.5,33.12,33.26,33.26,-0.21%,2260065
2015/4/23,33.16,33.61,33.14,33.42,33.42,0.48%,2913868
2015/4/24,33.49,34.201,33.31,33.985,33.985,1.69%,1883896
2015/4/27,34.01,34.02,33.015,33.145,33.145,-2.47%,2387589
2015/4/28,33.08,33.3,32.72,33.04,33.04,-0.32%,2713785
2015/4/29,32.81,33.22,32.415,32.66,32.66,-1.15%,2263822
2015/4/30,34.37,34.65,33.39,33.74,33.74,3.31%,6511912
2015/5/1,33.99,34.347,33.84,34.005,34.005,0.79%,1968579
2015/5/4,34.14,34.56,34,34.395,34.395,1.15%,2102988
2015/5/5,34.36,34.66,33.46,33.63,33.63,-2.22%,2192047
2015/5/6,33.7,33.75,33.38,33.47,33.47,-0.48%,1467632
2015/5/7,33.35,33.88,32.95,33.64,33.64,0.51%,1062542
2015/5/8,33.95,34.15,33.71,33.99,33.99,1.04%,890346
2015/5/11,34.01,34.34,33.96,34.25,34.25,0.76%,1024057
2015/5/12,34.06,34.06,33.7,33.845,33.845,-1.18%,812483
2015/5/13,33.95,34.14,33.74,34.08,34.08,0.69%,1464467
2015/5/14,34.23,34.4,33.98,34.3,34.3,0.65%,1041645
2015/5/15,34.31,34.568,34.25,34.445,34.445,0.42%,835301
2015/5/18,34.31,34.71,34.22,34.62,34.62,0.51%,877800
2015/5/19,34.69,35.35,34.61,35.32,35.32,2.02%,1523215
2015/5/20,35.3,35.3,34.85,34.89,34.89,-1.22%,1272770
2015/5/21,34.85,35.01,34.57,34.96,34.96,0.20%,1146027
2015/5/22,34.87,35.24,34.849,35.05,35.05,0.26%,803233
2015/5/26,35.03,35.08,34.43,34.61,34.61,-1.26%,2086981
2015/5/27,34.64,35.5,34.64,35.45,35.45,2.43%,1721979
2015/5/28,35.34,35.45,35,35.29,35.29,-0.45%,1880005
2015/5/29,35.24,35.93,35,35.77,35.77,1.36%,2540473
2015/6/1,36,36.35,35.77,36.14,36.14,1.03%,1736754
2015/6/2,35.99,36.36,35.71,36.23,36.23,0.25%,1512131
2015/6/3,36.35,36.55,36.27,36.43,36.43,0.55%,3753851
2015/6/4,36.17,36.45,36.081,36.26,36.26,-0.47%,1630224
2015/6/5,36.29,36.44,36.025,36.365,36.365,0.29%,1495978
2015/6/8,36.33,36.45,36.19,36.25,36.25,-0.32%,1333537
2015/6/9,36.29,36.58,36.02,36.55,36.55,0.83%,1437302
2015/6/10,36.71,37.31,36.5,37.105,37.105,1.52%,3591225
2015/6/11,37.11,37.595,37.02,37.4,37.4,0.80%,1861563
2015/6/12,37.26,37.49,37.08,37.3,37.3,-0.27%,2375177
2015/6/15,37,37.21,36.83,37.075,37.075,-0.60%,2295178
2015/6/16,36.99,37.51,36.915,37.5,37.5,1.15%,1847926
