Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/10/20,16.25,16.93,16.25,16.87,7.617,1.93%,709632
2015/10/21,17.25,17.35,16.4,16.48,7.441,-2.31%,78598
2015/10/22,16.71,17.05,16.24,16.95,7.653,2.85%,110000
2015/10/23,17.25,17.25,16.85,17,7.676,0.29%,59910
2015/10/26,17.11,17.11,16.31,16.42,7.414,-3.41%,514799
2015/10/27,16.56,16.75,15.6,15.73,7.102,-4.20%,636017
2015/10/28,15.9,16.35,15.845,16.28,7.35,3.50%,296321
2015/10/29,16.01,16.27,15.55,15.95,7.201,-2.03%,290446
2015/10/30,15.9,16.1,14.72,14.72,6.646,-7.71%,2449278
2015/11/2,14.99,15.17,13.86,14.49,6.542,-1.56%,40865891
2015/11/3,14.07,14.71,13.675,14.36,6.484,-0.90%,40205612
2015/11/4,14.39,14.51,13.61,13.66,6.168,-4.87%,31516491
2015/11/5,13.64,13.89,13.12,13.28,5.996,-2.78%,22189959
2015/11/6,13.18,14.48,13.15,14.4,6.502,8.43%,30049669
2015/11/9,14.26,14.48,14.13,14.2,6.411,-1.39%,17528088
2015/11/10,14.13,14.44,14.01,14.41,6.506,1.48%,14777765
2015/11/11,14.2,14.31,14.09,14.11,6.371,-2.08%,11009387
2015/11/12,13.81,13.82,13.59,13.7,6.186,-2.91%,20371666
2015/11/13,13.61,13.76,13.15,13.39,6.046,-2.26%,14924533
2015/11/16,13.37,13.61,13.14,13.38,6.041,-0.07%,13781375
2015/11/17,13.38,13.49,13.12,13.22,5.969,-1.20%,12420759
2015/11/18,13.48,13.73,13.189,13.64,6.158,3.18%,13020475
2015/11/19,13.53,13.89,13.52,13.78,6.222,1.03%,13171491
2015/11/20,13.78,14.63,13.68,14.21,6.416,3.12%,18558586
2015/11/23,14.17,14.21,13.57,13.85,6.253,-2.53%,15317345
2015/11/24,13.58,14.025,13.5,13.69,6.181,-1.16%,24108918
2015/11/25,13.91,14.86,13.84,14.12,6.375,3.14%,22674894
2015/11/27,14.12,14.64,14.05,14.35,6.479,1.63%,6041718
2015/11/30,14.23,15,14.18,14.86,6.709,3.55%,29096030
2015/12/1,14.88,15.88,14.85,15.61,7.048,5.05%,25106264
2015/12/2,15.37,15.54,14.87,14.95,6.75,-4.23%,12681067
2015/12/3,15,15.34,14.58,14.62,6.601,-2.21%,18905240
2015/12/4,14.39,15.295,14.24,15.22,6.872,4.10%,12001085
2015/12/7,15,15.48,14.92,15.45,7.001,1.51%,9545947
2015/12/8,15.09,15.29,14.62,15.17,6.874,-1.81%,11617601
2015/12/9,14.99,15.39,14.68,14.85,6.729,-2.11%,14261925
2015/12/10,14.79,14.81,14.53,14.72,6.67,-0.88%,11350207
2015/12/11,14.99,15.4,14.14,14.18,6.425,-3.67%,10614763
2015/12/14,14.3,14.5,13.92,14.44,6.543,1.83%,11527694
2015/12/15,14.51,14.98,14.485,14.56,6.597,0.83%,12888739
2015/12/16,14.62,14.81,14.55,14.7,6.661,0.96%,7840968
2015/12/17,14.61,14.72,14.22,14.31,6.484,-2.65%,7625458
2015/12/18,14.27,14.385,14,14.16,6.416,-1.05%,19307237
2015/12/21,14.12,14.4,13.87,14.02,6.353,-0.99%,9863255
2015/12/22,14.04,14.14,13.92,14.06,6.371,0.29%,7292476
2015/12/23,14.19,14.97,14.05,14.91,6.756,6.05%,11252128
2015/12/24,14.81,15.17,14.79,15.02,6.806,0.74%,2178459
2015/12/28,14.89,15.28,14.82,15.23,6.901,1.40%,5930636
2015/12/29,15.29,15.437,15.18,15.2,6.887,-0.20%,6275753
2015/12/30,15.29,15.48,15.15,15.28,6.924,0.53%,6275778
2015/12/31,15.23,15.31,15.1,15.2,6.887,-0.52%,6767773
2016/1/4,14.97,15.15,14.74,15.13,6.856,-0.46%,15076835
2016/1/5,15.13,15.25,14.94,15.03,6.81,-0.66%,10285834
2016/1/6,14.62,15,14.51,14.8,6.706,-1.53%,11315099
2016/1/7,14.5,14.56,13.65,13.71,6.212,-7.36%,19844532
2016/1/8,13.77,14.02,13.31,13.54,6.135,-1.24%,16431854
2016/1/11,13.43,13.71,13.07,13.26,6.008,-2.07%,15110838
2016/1/12,13.35,13.42,13.09,13.26,6.008,0.00%,12458350
2016/1/13,13.35,13.35,12.53,12.75,5.777,-3.85%,17720765
2016/1/14,12.75,13.17,12.65,13,5.89,1.96%,13352501
2016/1/15,12.6,12.8,12.49,12.54,5.682,-3.54%,19729482
2016/1/19,12.68,12.78,12.2,12.32,5.582,-1.75%,12925129
