Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,101.94,102.7,100.57,100.61,79.655,-1.16%,724423
2015/3/25,101.19,102.99,100.76,101.69,80.51,1.07%,1850992
2015/3/26,101.62,102.15,100.85,101.01,79.971,-0.67%,892160
2015/3/27,100.95,102.04,100.83,101.89,80.668,0.87%,649007
2015/3/30,102.17,102.665,101.35,102.43,81.095,0.53%,585161
2015/3/31,102.25,102.72,100.91,100.91,79.892,-1.48%,843719
2015/4/1,100.14,100.89,99.38,100.89,79.876,-0.02%,1017636
2015/4/2,100.6,101.39,100.03,100.75,79.765,-0.14%,642999
2015/4/6,100.66,102.1,100.59,101.5,80.359,0.74%,1151205
2015/4/7,101.66,102.56,101.61,101.74,80.549,0.24%,675274
2015/4/8,101.71,101.94,100.09,100.56,79.615,-1.16%,846802
2015/4/9,100.45,100.98,99.9,100.74,79.757,0.18%,694402
2015/4/10,100.74,101.16,100.01,100.09,79.243,-0.65%,853573
2015/4/13,100.2,100.59,99.23,99.46,78.744,-0.63%,1147119
2015/4/14,99.37,101.36,99.34,101,79.963,1.55%,905103
2015/4/15,101.37,101.86,100.56,100.65,79.686,-0.35%,1138078
2015/4/16,100.92,101.97,100.48,101.42,80.296,0.77%,651773
2015/4/17,100.41,101.2,99.81,100.27,79.385,-1.13%,1093294
2015/4/20,99.98,100.08,98.06,98.21,77.754,-2.05%,2130938
2015/4/21,98.3,99,97.93,98.02,77.604,-0.19%,1232488
2015/4/22,98.06,98.49,97.74,98.33,77.849,0.32%,1568609
2015/4/23,95.85,97.52,93.82,94.93,75.158,-3.46%,3400842
2015/4/24,95.15,95.25,94.11,94.63,74.92,-0.32%,1713724
2015/4/27,94.67,94.78,93.18,93.71,74.192,-0.97%,2047031
2015/4/28,93.91,93.91,93.2,93.36,73.915,-0.37%,1648640
2015/4/29,93.31,93.44,91.25,91.37,72.339,-2.13%,3189894
2015/4/30,91.38,92.27,91.13,91.92,72.775,0.60%,2093844
2015/5/1,92.31,93.96,92.31,93.6,74.105,1.83%,2225749
2015/5/4,93.87,94.65,93.87,94.24,74.611,0.68%,1362050
2015/5/5,94.24,94.63,93.281,93.89,74.334,-0.37%,1314991
2015/5/6,94.15,94.37,93.42,94.2,74.58,0.33%,1179796
2015/5/7,93.85,94.52,93.54,94.37,74.714,0.18%,882382
2015/5/8,94.53,95.161,94.35,94.44,74.77,0.07%,1055622
2015/5/11,94.36,94.61,93.62,93.93,74.366,-0.54%,1076809
2015/5/12,93.73,94.63,93.51,94.37,74.714,0.47%,784044
2015/5/13,94.5,95.35,94.12,94.3,74.659,-0.07%,823927
2015/5/14,94.96,96.26,94.71,96.12,76.1,1.93%,1610227
2015/5/15,96.02,96.4,95.765,96.18,76.147,0.06%,708468
2015/5/18,95.94,96,95.25,95.26,75.419,-0.96%,696371
2015/5/19,95.23,95.39,94.53,95.25,75.411,-0.01%,1020133
2015/5/20,95.34,95.71,94.95,95.08,75.276,-0.18%,1219547
2015/5/21,94.61,95.06,93.99,94.06,74.892,-1.07%,997966
2015/5/22,94.23,94.5,93.35,93.53,74.47,-0.56%,753071
2015/5/26,93.57,93.89,92.51,93,74.048,-0.57%,755430
2015/5/27,93.195,93.61,92.81,93.47,74.423,0.51%,885641
2015/5/28,93.06,93.55,92.82,93.39,74.359,-0.09%,613892
2015/5/29,93.5,93.61,92.86,92.86,73.937,-0.57%,1015770
2015/6/1,92.92,93.23,92.45,92.73,73.833,-0.14%,696432
2015/6/2,92.49,92.73,92.11,92.53,73.674,-0.22%,570372
2015/6/3,92.29,92.54,91.37,91.7,73.013,-0.90%,1516792
2015/6/4,91.27,92.05,91.2,91.27,72.671,-0.47%,1076426
2015/6/5,91.19,91.34,90.79,90.87,72.352,-0.44%,1371329
2015/6/8,91,91.93,90.71,91.57,72.91,0.77%,964891
2015/6/9,91.43,91.572,90.98,91.07,72.512,-0.55%,857213
2015/6/10,91.33,91.9,91.07,91.11,72.544,0.04%,931823
2015/6/11,91.12,91.37,90.59,90.76,72.265,-0.38%,894956
2015/6/12,90.62,91.52,90.28,91.04,72.488,0.31%,1421637
2015/6/15,90.68,91.47,90.271,90.86,72.344,-0.20%,712904
2015/6/16,90.82,92.65,90.79,92.1,73.332,1.36%,1076934
2015/6/17,92.04,92.9,91.8,92.47,73.626,0.40%,817774
2015/6/18,92.66,93.02,92.194,92.26,73.459,-0.23%,1134797
2015/6/19,90.37,91.45,88.71,89.04,70.895,-3.49%,5658930
2015/6/22,89.54,89.59,88.78,89.24,71.055,0.22%,2170279
2015/6/23,89.35,89.48,89.1,89.12,70.959,-0.13%,1136146
2015/6/24,89.1,89.11,88.18,88.24,70.258,-0.99%,1235982
2015/6/25,88.43,88.5,87.79,87.86,69.956,-0.43%,1395758
2015/6/26,88.29,88.87,88.12,88.55,70.505,0.79%,987525
2015/6/29,87.81,88.76,87.8,87.91,69.996,-0.72%,1193225
2015/6/30,88.44,89.66,88.08,88.83,70.728,1.05%,1403167
2015/7/1,89.21,89.56,88.52,89.56,71.309,0.82%,1184527
2015/7/2,89.81,90.39,89.6,90.04,71.692,0.54%,1253485
2015/7/6,89.69,89.93,88.254,88.92,70.8,-1.24%,1018807
2015/7/7,89.21,91.42,88.95,91.29,72.687,2.67%,1592542
2015/7/8,90.9,91.18,90.04,90.37,71.954,-1.01%,954370
2015/7/9,91.2,91.43,90.62,90.81,72.305,0.49%,1155604
2015/7/10,92.15,92.39,91.12,91.87,73.149,1.17%,1164883
2015/7/13,92,92.47,91.74,92.13,73.356,0.28%,738888
2015/7/14,92.21,92.9,92.16,92.43,73.595,0.33%,766990
