Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,29.678,30.161,29.333,30.115,20.543,0.69%,14031372
2015/3/25,30.069,30.529,29.816,29.839,20.355,-0.92%,11359143
2015/3/26,29.586,29.931,29.54,29.632,20.213,-0.69%,13239211
2015/3/27,29.517,29.563,29.103,29.218,19.931,-1.40%,7385110
2015/3/30,29.563,29.931,29.402,29.816,20.339,2.05%,7009352
2015/3/31,29.494,29.885,29.448,29.724,20.276,-0.31%,10001293
2015/4/1,29.701,30.138,29.586,29.908,20.402,0.62%,16673335
2015/4/2,29.724,30.552,29.425,30.23,20.621,1.08%,10184017
2015/4/6,30.529,30.92,30.391,30.736,20.967,1.67%,9905657
2015/4/7,31.035,31.311,30.874,30.897,21.076,0.52%,9935168
2015/4/8,31.311,31.737,31.15,31.449,21.453,1.79%,18527091
2015/4/9,30.874,30.943,29.816,30.391,20.731,-3.36%,25347454
2015/4/10,30.46,30.529,29.908,30.253,20.637,-0.45%,15843271
2015/4/13,30.23,30.782,30.115,30.575,20.857,1.06%,9965647
2015/4/14,30.759,30.92,30.598,30.759,20.982,0.60%,9537022
2015/4/15,30.828,30.897,30.552,30.69,20.935,-0.22%,15041722
2015/4/16,31.357,31.518,30.92,30.943,21.108,0.82%,18883573
2015/4/17,30.805,31.104,30.598,30.966,21.124,0.07%,10331627
2015/4/20,31.127,31.587,30.966,31.242,21.312,0.89%,7692385
2015/4/21,31.449,31.449,30.92,31.104,21.218,-0.44%,7649189
2015/4/22,31.15,31.242,30.886,31.219,21.296,0.37%,5829030
2015/4/23,30.598,30.874,30.138,30.345,20.7,-2.80%,19992614
2015/4/24,30.529,30.575,30.299,30.414,20.747,0.23%,8894096
2015/4/27,30.552,31.357,30.529,30.943,21.108,1.74%,12414973
2015/4/28,31.15,31.599,30.943,31.012,21.155,0.22%,6486850
2015/4/29,30.713,31.357,30.667,31.288,21.343,0.89%,6470457
2015/4/30,31.219,31.219,30.644,30.874,21.061,-1.32%,10935033
2015/5/1,31.058,32.864,31.012,32.554,22.206,5.44%,21891392
2015/5/4,32.508,32.784,32.232,32.232,21.987,-0.99%,7612481
2015/5/5,32.508,32.576,31.748,31.794,21.689,-1.36%,6809003
2015/5/6,32.071,32.14,31.403,31.518,21.5,-0.87%,6027534
2015/5/7,31.288,31.702,30.966,31.541,21.563,0.07%,5582390
2015/5/8,31.84,31.933,31.403,31.794,21.736,0.80%,5447040
2015/5/11,31.887,31.956,31.323,31.403,21.469,-1.23%,4752039
2015/5/12,31.242,31.426,31.104,31.173,21.311,-0.73%,5343276
2015/5/13,31.265,31.91,31.265,31.357,21.437,0.59%,6660043
2015/5/14,31.656,31.863,31.357,31.38,21.453,0.07%,4846299
2015/5/15,31.38,31.404,31.081,31.15,21.296,-0.73%,4042894
2015/5/18,31.104,31.127,30.598,30.828,21.075,-1.03%,6825629
2015/5/19,30.69,30.759,29.977,30.092,20.572,-2.39%,13396536
2015/5/20,30.207,30.276,29.954,30.069,20.556,-0.08%,7071874
2015/5/21,30.138,30.161,29.885,29.908,20.446,-0.54%,7337396
2015/5/22,29.885,30.023,29.747,29.77,20.352,-0.46%,5703666
2015/5/26,29.701,29.701,29.126,29.356,20.069,-1.39%,9582212
2015/5/27,29.31,29.563,29.16,29.425,20.116,0.24%,7162133
2015/5/28,29.195,29.287,28.919,29.172,19.943,-0.86%,7853576
2015/5/29,29.034,29.103,28.62,28.758,19.66,-1.42%,9617485
2015/6/1,28.85,28.873,28.275,28.574,19.534,-0.64%,6093515
2015/6/2,28.574,29.448,28.551,29.034,19.849,1.61%,8251617
2015/6/3,29.057,29.448,28.988,29.011,19.833,-0.08%,6415157
2015/6/4,28.827,29.098,28.689,28.758,19.66,-0.87%,6100112
2015/6/5,28.643,28.723,28.413,28.574,19.534,-0.64%,7501369
2015/6/8,28.528,28.574,28.16,28.183,19.267,-1.37%,7674554
2015/6/9,28.229,28.387,27.952,28.044,19.172,-0.49%,6534634
2015/6/10,28.252,28.344,27.929,27.998,19.141,-0.16%,7091831
2015/6/11,27.998,28.044,27.676,27.814,19.015,-0.66%,6698866
2015/6/12,27.768,27.975,27.653,27.745,18.968,-0.25%,6321036
2015/6/15,27.538,27.849,27.423,27.607,18.874,-0.50%,5544256
2015/6/16,27.538,27.722,27.423,27.653,18.905,0.17%,5220707
2015/6/17,27.676,27.699,27.262,27.515,18.811,-0.50%,6408275
2015/6/18,27.607,27.768,27.308,27.423,18.748,-0.33%,5834526
2015/6/19,27.377,27.607,27.285,27.446,18.763,0.08%,8302538
2015/6/22,27.377,27.377,26.894,27.055,18.496,-1.42%,10470227
2015/6/23,27.124,27.216,26.94,27.009,18.465,-0.17%,7157098
2015/6/24,26.94,27.262,26.894,27.009,18.465,0.00%,7836803
2015/6/25,27.055,27.078,26.572,26.618,18.197,-1.45%,6730236
2015/6/26,26.641,27.055,26.595,26.894,18.386,1.04%,7064754
2015/6/29,26.411,26.71,26.089,26.112,17.851,-2.91%,8660669
2015/6/30,26.342,26.457,25.652,25.652,17.537,-1.76%,9833440
2015/7/1,25.767,25.836,25.169,25.468,17.411,-0.72%,12314513
2015/7/2,25.514,25.836,25.399,25.537,17.458,0.27%,6281365
2015/7/6,25.192,25.606,25.123,25.376,17.348,-0.63%,7840057
2015/7/7,25.215,25.56,24.34,25.445,17.395,0.27%,13667135
2015/7/8,25.192,25.295,23.903,24.156,16.514,-5.07%,19984513
2015/7/9,24.709,25.238,24.317,24.363,16.656,0.86%,17489978
2015/7/10,24.778,25.008,24.41,24.456,16.719,0.38%,10344485
2015/7/13,24.778,24.939,24.594,24.893,17.018,1.79%,8291584
2015/7/14,24.778,24.985,24.502,24.778,16.939,-0.46%,7546864
2015/7/15,24.778,24.824,24.202,24.317,16.624,-1.86%,8379746
2015/7/16,24.502,24.502,23.995,24.179,16.53,-0.57%,7104431
2015/7/17,24.133,24.271,23.834,24.133,16.499,-0.19%,6955815
2015/7/20,24.041,24.087,23.42,23.466,16.042,-2.76%,9895988
2015/7/21,23.466,24.018,23.374,23.535,16.09,0.29%,10539742
2015/7/22,23.374,23.374,22.914,22.983,15.712,-2.35%,17657565
2015/7/23,23.213,23.443,22.776,22.914,15.665,-0.30%,9559961
2015/7/24,22.799,22.799,22.201,22.569,15.429,-1.51%,11999381
2015/7/27,22.339,22.983,22.063,22.132,15.13,-1.94%,12117509
2015/7/28,22.431,22.845,22.097,22.707,15.523,2.60%,11796225
2015/7/29,22.822,23.512,22.753,23.374,15.98,2.94%,13737880
2015/7/30,23.443,23.581,22.719,22.96,15.696,-1.77%,8619509
2015/7/31,23.213,23.328,22.684,22.707,15.523,-1.10%,7969382
2015/8/3,22.592,22.592,22.04,22.178,15.162,-2.33%,9363997
2015/8/4,22.868,23.167,22.27,22.385,15.303,0.93%,10671772
2015/8/5,22.799,23.351,22.431,22.454,15.398,0.31%,10827550
2015/8/6,22.454,22.903,22.178,22.799,15.634,1.54%,9847419
2015/8/7,22.592,23.144,21.534,21.649,14.845,-5.04%,14450429
2015/8/10,21.925,23.213,21.649,23.19,15.902,7.12%,12143604
2015/8/11,22.316,22.408,21.672,21.81,14.956,-5.95%,17296102
2015/8/12,21.603,21.994,21.35,21.879,15.003,0.32%,12494981
2015/8/13,21.902,21.902,21.396,21.419,14.688,-2.10%,6289134
2015/8/14,21.442,21.695,21.35,21.649,14.845,1.07%,5758510
2015/8/17,21.419,21.833,21.304,21.695,14.877,0.21%,4751827
2015/8/18,21.396,21.522,21.258,21.327,14.625,-1.70%,7049433
2015/8/19,21.12,21.373,20.936,20.959,14.372,-1.73%,8083772
2015/8/20,21.143,21.212,20.66,20.775,14.246,-0.88%,7695015
2015/8/21,20.637,20.668,20.084,20.084,13.773,-3.33%,10948604
2015/8/24,18.865,19.647,18.336,18.865,12.937,-6.07%,17879114
2015/8/25,19.854,19.923,18.658,18.658,12.795,-1.10%,11423691
2015/8/26,19.003,19.072,18.439,19.003,13.031,1.85%,12025349
2015/8/27,19.325,20.521,19.279,20.383,13.978,7.26%,11914644
2015/8/28,20.429,21.672,20.245,21.649,14.845,6.21%,18290050
2015/8/31,21.327,21.925,21.212,21.741,14.909,0.42%,13241297
2015/9/1,21.051,21.442,20.867,21.212,14.546,-2.43%,14179987
2015/9/2,21.557,21.603,20.729,21.442,14.703,1.08%,17595111
2015/9/3,21.626,22.431,21.511,22.017,15.098,2.68%,12263076
2015/9/4,21.603,22.178,21.396,21.833,14.972,-0.84%,20906821
2015/9/8,22.707,22.707,22.086,22.362,15.335,2.42%,7840355
2015/9/9,22.822,22.857,21.925,22.017,15.098,-1.54%,12806640
2015/9/10,21.994,22.362,21.879,22.155,15.193,0.63%,12842932
2015/9/11,22.086,22.431,21.948,22.201,15.224,0.21%,8515286
2015/9/14,22.04,22.109,21.442,21.58,14.798,-2.80%,13590338
2015/9/15,21.603,22.339,21.557,22.155,15.193,2.66%,7801300
2015/9/16,22.316,22.73,22.316,22.684,15.555,2.39%,8644901
