Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,157.543,157.639,155.736,155.832,101.153,-0.99%,4536194
2015/3/25,155.908,155.908,152.199,152.199,98.795,-2.33%,5678451
2015/3/26,152.266,154.159,151.922,153.528,99.657,0.87%,4598241
2015/3/27,153.719,153.824,152.228,153.346,99.539,-0.12%,3637805
2015/3/30,154.216,156.405,154.159,155.516,100.948,1.42%,4328366
2015/3/31,153.996,155.191,153.346,153.442,99.602,-1.33%,4450895
2015/4/1,153.184,153.556,151.424,152.18,98.782,-0.82%,3871027
2015/4/2,152.505,155.392,151.902,153.394,99.571,0.80%,4886470
2015/4/6,152.667,155.641,151.723,154.914,100.557,0.99%,3625102
2015/4/7,154.56,156.635,154.512,154.943,100.576,0.02%,3292772
2015/4/8,154.608,156.358,153.929,154.732,100.439,-0.14%,2640441
2015/4/9,154.589,155.325,153.652,155.201,100.743,0.30%,2367610
2015/4/10,155.201,156.147,154.159,155.698,101.066,0.32%,2631320
2015/4/13,155.229,156.788,155.22,155.239,100.768,-0.29%,4046880
2015/4/14,155.277,155.579,153.719,155.163,100.719,-0.05%,2844374
2015/4/15,155.478,157.706,155.354,156.912,101.854,1.13%,3659698
2015/4/16,156.128,156.769,155.392,155.956,101.234,-0.61%,3281246
2015/4/17,154.637,154.742,152.992,153.604,99.707,-1.51%,4507088
2015/4/20,154.971,159.312,154.78,158.853,103.114,3.42%,10051227
2015/4/21,158.767,160.019,156.836,157.036,101.935,-1.14%,10129037
2015/4/22,157.161,158.7,155.727,158.088,102.618,0.67%,4209809
2015/4/23,157.964,164.35,157.878,162.753,105.646,2.95%,8608990
2015/4/24,162.744,163.337,161.319,162.314,105.36,-0.27%,4067307
2015/4/27,163.375,163.948,162.811,163.222,105.95,0.56%,3312251
2015/4/28,163.317,167.008,162.543,166.272,107.93,1.87%,6083858
2015/4/29,165.774,167.429,165.201,166.73,108.227,0.28%,4724980
2015/4/30,166.128,166.616,162.811,163.757,106.298,-1.78%,5295493
2015/5/1,165.583,166.348,164.837,166.033,107.774,1.39%,3464406
2015/5/4,166.797,168.547,166.061,166.319,107.961,0.17%,4208947
2015/5/5,165.88,166.568,164.398,165.468,107.408,-0.51%,3758764
2015/5/6,165.296,166.396,161.434,162.572,106.335,-1.75%,3777001
2015/5/7,162.17,164.417,161.606,163.47,106.923,0.55%,2586367
2015/5/8,165.335,165.707,164.665,165.086,107.979,0.99%,3234858
2015/5/11,165.057,165.382,163.346,163.595,107.004,-0.90%,2783437
2015/5/12,163.05,163.948,161.415,163.05,106.647,-0.33%,3097978
2015/5/13,163.709,165.143,163.241,164.704,107.729,1.01%,2570566
2015/5/14,165.87,166.73,165.602,166.396,108.836,1.03%,2550847
2015/5/15,166.262,166.74,165.01,165.641,108.342,-0.45%,3050256
2015/5/18,165.813,165.86,164.723,165.449,108.217,-0.12%,2061278
2015/5/19,165.363,166.109,164.369,165.851,108.48,0.24%,2639060
2015/5/20,165.707,166.769,164.876,166.119,108.655,0.16%,2406524
2015/5/21,165.698,166.482,165.425,165.717,108.392,-0.24%,2401187
2015/5/22,165.43,165.765,164.618,164.646,107.692,-0.65%,2980777
2015/5/26,164.541,164.551,161.692,162.648,106.385,-1.21%,4025779
2015/5/27,163.633,164.895,162.992,164.436,107.554,1.10%,2891539
2015/5/28,163.91,164.283,163.155,164.159,107.373,-0.17%,1811015
2015/5/29,163.815,163.815,162.189,162.189,106.085,-1.20%,4279636
2015/6/1,162.725,163.518,161.597,162.696,106.416,0.31%,3122811
2015/6/2,162.199,162.954,161.023,162.189,106.085,-0.31%,2690063
2015/6/3,163.002,164.015,162.17,162.447,106.253,0.16%,2229058
2015/6/4,162.075,163.098,160.545,160.975,105.29,-0.91%,3220983
2015/6/5,160.851,161.482,159.847,160.038,104.678,-0.58%,3243128
2015/6/8,159.818,159.924,157.763,158.069,103.39,-1.23%,3931627
2015/6/9,158.069,158.719,156.185,158.394,103.602,0.21%,3552112
2015/6/10,159.168,161.941,158.757,161.491,105.628,1.96%,4895850
2015/6/11,161.816,162.945,161.128,161.358,105.541,-0.08%,3623357
2015/6/12,160.832,160.899,159.359,159.646,104.421,-1.06%,3206078
2015/6/15,158.059,159.12,157.027,158.948,103.965,-0.44%,4440957
2015/6/16,159.015,160.038,158.614,159.503,104.327,0.35%,3399334
2015/6/17,159.656,160.466,158.795,159.818,104.534,0.20%,2994690
2015/6/18,159.704,161.3,159.704,160.851,105.209,0.65%,3484083
2015/6/19,160.249,161.013,159.436,159.646,104.421,-0.75%,7397332
2015/6/22,160.277,160.937,159.847,160.354,104.884,0.44%,2443242
2015/6/23,160.975,162.495,160.204,161.205,105.441,0.53%,3871912
2015/6/24,161.291,161.415,159.493,159.627,104.409,-0.98%,3711290
2015/6/25,160.421,160.736,158.776,158.776,103.852,-0.53%,2519583
2015/6/26,158.92,159.476,157.964,158.184,103.465,-0.37%,9356977
2015/6/29,156.711,158.078,155.727,155.803,101.908,-1.51%,3467154
2015/6/30,156.778,156.788,154.99,155.507,101.714,-0.19%,3762763
2015/7/1,156.759,158.327,156.405,157.256,102.858,1.12%,3362416
2015/7/2,157.792,158.05,157.189,157.83,103.233,0.37%,2983920
