Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,46.87,47.25,46.57,46.862,41.212,-0.43%,2964665
2015/3/25,46.834,47.056,45.942,46.19,40.621,-1.43%,4391815
2015/3/26,45.894,46.46,45.522,45.95,40.41,-0.52%,3433515
2015/3/27,45.78,46.532,45.768,46.396,40.802,0.97%,2413955
2015/3/30,46.7,47.03,46.508,46.996,41.33,1.29%,2421190
2015/3/31,46.684,46.86,46.396,46.654,41.029,-0.73%,3286070
2015/4/1,46.532,47.078,46.094,46.184,40.616,-1.01%,3358675
2015/4/2,46.216,46.38,45.494,45.774,40.255,-0.89%,2628095
2015/4/6,45.566,46.334,45.444,45.866,40.336,0.20%,2119490
2015/4/7,45.956,46.35,45.71,45.962,40.42,0.21%,2671370
2015/4/8,45.992,46.4,45.98,46.1,40.542,0.30%,2367430
2015/4/9,46,46.23,45.606,46.178,40.61,0.17%,1795450
2015/4/10,46.228,46.518,46.04,46.382,40.79,0.44%,1600985
2015/4/13,46.256,46.556,46.13,46.158,40.593,-0.48%,1972600
2015/4/14,46.126,46.502,45.528,45.776,40.257,-0.83%,2344995
2015/4/15,45.832,46.3,45.5,45.958,40.417,0.40%,3681730
2015/4/16,45.938,46.27,45.572,45.976,40.433,0.04%,1625860
2015/4/17,45.654,46.072,44.536,44.734,39.341,-2.70%,3454040
2015/4/20,44.864,45.21,44.656,45.134,39.692,0.89%,2669075
2015/4/21,45.134,45.22,44.64,44.824,39.42,-0.69%,2182775
2015/4/22,44.836,45.514,44.586,45.122,39.682,0.66%,3216820
2015/4/23,45.02,45.31,44.902,45.038,39.608,-0.19%,1976030
2015/4/24,44.946,45.174,44.256,44.678,39.291,-0.80%,3232135
2015/4/27,44.672,44.992,44.409,44.55,39.179,-0.29%,3160910
2015/4/28,44.55,44.888,44.231,44.858,39.45,0.69%,2640185
2015/4/29,44.616,45.3,44.572,44.952,39.532,0.21%,2303115
2015/4/30,44.75,45.406,44.43,44.906,39.492,-0.10%,2640365
2015/5/1,44.85,45.612,44.808,45.164,39.719,0.57%,2440625
2015/5/4,45.348,45.634,45.11,45.318,39.854,0.34%,4437115
2015/5/5,46,46.434,45.372,46.434,40.836,2.46%,9548600
2015/5/6,46.346,46.428,45.178,45.452,39.972,-2.11%,5050095
2015/5/7,45.61,46.798,45.384,46.618,40.997,2.57%,5091655
2015/5/8,47.152,47.992,46.811,47.648,41.903,2.21%,8813445
2015/5/11,47.406,48.396,47.34,48,42.213,0.74%,8104855
2015/5/12,47.8,48.19,47.334,47.988,42.202,-0.03%,3391980
2015/5/13,47.992,48.32,47.758,48.016,42.227,0.06%,2809515
2015/5/14,48.23,48.396,47.962,48.102,42.302,0.18%,3891210
2015/5/15,48.284,48.314,47.488,47.754,41.996,-0.72%,2378705
2015/5/18,47.626,48.15,47.504,47.536,41.805,-0.46%,2651395
2015/5/19,47.666,48,47.49,47.57,41.835,0.07%,2640775
2015/5/20,47.744,47.896,47.13,47.152,41.467,-0.88%,3382585
2015/5/21,47.03,47.382,46.836,47.07,41.395,-0.17%,2679145
2015/5/22,47.12,47.658,47.006,47.374,41.662,0.65%,1579415
2015/5/26,47.288,47.288,46.636,46.736,41.101,-1.35%,2596375
2015/5/27,46.818,47.15,46.464,46.936,41.277,0.43%,2343630
2015/5/28,47.068,47.36,46.716,47.288,41.587,0.75%,1856340
2015/5/29,47.268,47.684,46.828,47.356,41.646,0.14%,4178640
2015/6/1,47.498,47.534,47.064,47.108,41.428,-0.52%,2785560
2015/6/2,46.894,47.34,46.735,47.18,41.492,0.15%,1656135
2015/6/3,47.232,47.605,46.844,46.848,41.2,-0.70%,3500170
2015/6/4,46.628,47.206,46.353,47.056,41.383,0.44%,3192360
2015/6/5,47.4,47.6,46.874,47.31,41.606,0.54%,2354195
