Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,77.465,77.868,76.255,76.285,76.285,-1.20%,470840
2015/3/25,76.21,76.743,74.845,75.05,75.05,-1.62%,410378
2015/3/26,74.48,75.66,74.02,75.075,75.075,0.03%,343360
2015/3/27,75.085,76.725,74.75,76.585,76.585,2.01%,454430
2015/3/30,77.15,78.6,76.71,78.055,78.055,1.92%,662680
2015/3/31,77.58,78.66,77.19,77.24,77.24,-1.04%,670796
2015/4/1,76.885,76.885,75.025,75.88,75.88,-1.76%,650958
2015/4/2,76.025,76.825,75.74,76.54,76.54,0.87%,398968
2015/4/6,76.08,77.305,76.03,76.54,76.54,0.00%,729242
2015/4/7,76.47,76.95,75.435,75.535,75.535,-1.31%,428198
2015/4/8,75.5,77.305,75.285,76.705,76.705,1.55%,587062
2015/4/9,77.02,77.03,75.69,76.39,76.39,-0.41%,232180
2015/4/10,76.63,77.26,76.57,76.78,76.78,0.51%,213944
2015/4/13,76.58,77.35,76.325,76.405,76.405,-0.49%,220642
2015/4/14,76.46,76.521,75.09,75.905,75.905,-0.65%,354340
2015/4/15,76.005,76.555,75.33,75.495,75.495,-0.54%,209664
2015/4/16,75.095,76.11,74.89,75.995,75.995,0.66%,325384
2015/4/17,75.455,75.658,74.173,74.71,74.71,-1.69%,383984
2015/4/20,75.04,77.075,74.68,76.06,76.06,1.81%,503824
2015/4/21,76.43,77.87,76.185,77.61,77.61,2.04%,389916
2015/4/22,77.85,78.055,76.713,77.985,77.985,0.48%,490768
2015/4/23,77.505,81,77.505,79.7,79.7,2.20%,834148
2015/4/24,80,82.238,79.41,82.025,82.025,2.92%,1067990
2015/4/27,81.92,81.97,80.295,80.53,80.53,-1.82%,1062384
2015/4/28,73.505,74.75,66.731,66.78,66.78,-17.07%,4907948
2015/4/29,64.885,65.955,61.37,65.29,65.29,-2.23%,3964536
2015/4/30,65.025,65.3,62.495,62.685,62.685,-3.99%,1908006
2015/5/1,62.5,66.53,62.5,66.465,66.465,6.03%,1930122
2015/5/4,66.495,66.95,65.1,65.26,65.26,-1.81%,1316380
2015/5/5,65.705,65.75,63.085,63.48,63.48,-2.73%,1132604
2015/5/6,65.91,66.823,63.22,63.95,63.95,0.74%,1349934
2015/5/7,64.25,65.975,64.125,65.13,65.13,1.85%,1209310
2015/5/8,65.795,66.535,64.816,65.1,65.1,-0.05%,810574
2015/5/11,65,65.515,64.64,65.27,65.27,0.26%,708324
2015/5/12,65,66.245,64.785,65.845,65.845,0.88%,793662
2015/5/13,66,66.68,65.165,65.37,65.37,-0.72%,1237082
2015/5/14,65.945,66.91,65.06,66.64,66.64,1.94%,560434
2015/5/15,66.865,68.085,66.11,67.62,67.62,1.47%,938412
2015/5/18,67.51,68.24,67.09,67.77,67.77,0.22%,504000
2015/5/19,67.98,68.31,66.805,67.675,67.675,-0.14%,661682
2015/5/20,68.015,69.625,67.893,68.57,68.57,1.32%,975496
2015/5/21,68.4,69.06,67.48,69.015,69.015,0.65%,673444
2015/5/22,69.235,69.815,68.66,69.36,69.36,0.50%,703432
2015/5/26,68.92,69.6,68.145,68.905,68.905,-0.66%,748562
2015/5/27,68.805,68.875,67.845,68.67,68.67,-0.34%,748816
2015/5/28,68.74,68.838,66.905,68.025,68.025,-0.94%,1145752
2015/5/29,68.17,68.685,67.45,67.8,67.8,-0.33%,966014
2015/6/1,67.89,68.515,67.085,67.765,67.765,-0.05%,670702
2015/6/2,67.28,68.17,66.89,67.035,67.035,-1.08%,741978
2015/6/3,67.49,67.49,65.5,66.085,66.085,-1.42%,1631964
2015/6/4,66.02,66.675,65.58,66.205,66.205,0.18%,829028
2015/6/5,65.945,66.175,65.315,65.6,65.6,-0.91%,1018374
2015/6/8,65.42,66.115,65.195,65.495,65.495,-0.16%,775526
2015/6/9,65.24,65.585,64.39,64.63,64.63,-1.32%,724596
2015/6/10,64.66,65.35,64.065,65.145,65.145,0.80%,829912
2015/6/11,65.18,65.885,64.805,65.4,65.4,0.39%,704066
2015/6/12,64.965,65.39,64.76,64.815,64.815,-0.89%,733556
2015/6/15,64.5,66.22,64,66.22,66.22,2.17%,965556
2015/6/16,66.4,66.97,66.01,66.435,66.435,0.32%,409478
2015/6/17,66.34,67.16,66.2,66.4,66.4,-0.05%,425025
2015/6/18,66.47,67.95,66.47,67.26,67.26,1.30%,611372
2015/6/19,67.47,67.78,66.4,66.5,66.5,-1.13%,853877
2015/6/22,66.5,66.73,66.08,66.51,66.51,0.02%,675930
2015/6/23,66.37,66.48,65.53,65.77,65.77,-1.11%,533191
2015/6/24,65.83,65.91,64.57,64.78,64.78,-1.51%,460484
2015/6/25,65.12,65.63,64.26,64.38,64.38,-0.62%,608770
2015/6/26,64.35,64.722,63.465,63.69,63.69,-1.07%,1250700
2015/6/29,63.5,65.85,63.385,63.52,63.52,-0.27%,1283524
2015/6/30,64.17,64.628,63.37,64.14,64.14,0.98%,1181837
2015/7/1,64.97,65.252,62.9,63.13,63.13,-1.57%,985185
2015/7/2,62.96,63.481,62.09,62.4,62.4,-1.16%,768366
2015/7/6,62,63.07,61.91,62.59,62.59,0.30%,1942033
2015/7/7,62.9,63.12,61.58,62.64,62.64,0.08%,641598
2015/7/8,62.11,63.33,61.77,61.96,61.96,-1.09%,655500
2015/7/9,62.51,63.45,62.31,62.87,62.87,1.47%,688198
2015/7/10,63.5,64.39,62.97,64.09,64.09,1.94%,561063
2015/7/13,64.57,65.047,64.06,64.9,64.9,1.26%,387373
2015/7/14,64.86,65.24,64.57,64.72,64.72,-0.28%,487556
2015/7/15,64.64,65.356,63.54,64.12,64.12,-0.93%,690903
2015/7/16,64.76,64.89,63.01,63.83,63.83,-0.45%,718659
2015/7/17,63.92,64.14,63.05,63.25,63.25,-0.91%,508348
2015/7/20,63.14,63.58,62.63,63.4,63.4,0.24%,762688
2015/7/21,63.47,64.39,63.47,63.99,63.99,0.93%,776153
2015/7/22,63.89,70.36,63.89,70.36,70.36,9.95%,2241007
2015/7/23,70.88,71.17,66.79,67.05,67.05,-4.70%,2217644
2015/7/24,66.6,66.8,65.54,66.27,66.27,-1.16%,848541
2015/7/27,66.25,67.11,65.61,66.3,66.3,0.05%,607787
