Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,75.76,75.77,75.208,75.45,66.352,-0.41%,307826
2015/3/25,75.56,75.68,74.59,74.59,65.596,-1.14%,209506
2015/3/26,74.2,74.65,74.14,74.57,65.578,-0.03%,415959
2015/3/27,74.63,75.09,74.29,75.02,65.974,0.60%,242585
2015/3/30,75.48,76.47,75.12,76.27,67.073,1.67%,299509
2015/3/31,76,76.242,75.37,75.83,66.686,-0.58%,324775
2015/4/1,75.76,75.76,74.719,75.25,66.176,-0.76%,385683
2015/4/2,75.1,76.33,74.86,75.74,66.607,0.65%,343968
2015/4/6,75.37,77.615,75.206,77.17,67.865,1.89%,473307
2015/4/7,77.05,77.17,76.26,76.43,67.214,-0.96%,265806
2015/4/8,76.16,76.61,75.84,76.34,67.135,-0.12%,318353
2015/4/9,76.43,76.89,75.82,75.94,66.783,-0.52%,413725
2015/4/10,76,76.57,76,76.1,66.924,0.21%,261612
2015/4/13,76.16,76.88,75.6,76.08,66.906,-0.03%,233009
2015/4/14,76.1,76.5,75.79,76.5,67.275,0.55%,150390
2015/4/15,76.64,77.63,76.64,77.37,68.041,1.14%,230597
2015/4/16,77.06,77.514,76.36,76.78,67.522,-0.76%,246150
2015/4/17,75.79,75.79,75.01,75.42,66.607,-1.77%,264524
2015/4/20,75.94,76.8,75.62,76.59,67.64,1.55%,361327
2015/4/21,75.44,76.135,73.8,75.92,67.049,-0.87%,865478
2015/4/22,75.8,76.17,75.16,76.06,67.172,0.18%,386222
2015/4/23,75.77,76.65,75.59,76.37,67.446,0.41%,335223
2015/4/24,76.42,76.45,75.44,75.89,67.022,-0.63%,274432
2015/4/27,75.95,76.59,75.59,76.05,67.163,0.21%,317215
2015/4/28,75.76,76.19,75.44,76.01,67.128,-0.05%,288824
2015/4/29,75.61,76.17,75.23,75.9,67.031,-0.14%,339100
2015/4/30,75.34,75.81,74.87,75.01,66.245,-1.17%,392000
2015/5/1,75.21,75.81,74.89,75.2,66.413,0.25%,376454
2015/5/4,75.22,75.88,75.21,75.53,66.704,0.44%,220016
2015/5/5,75.46,76.37,74.99,75.24,66.448,-0.38%,316416
2015/5/6,75.44,76.09,75.05,76.04,67.155,1.06%,424540
2015/5/7,75.76,76.03,75.44,75.77,66.916,-0.36%,279817
2015/5/8,76.5,76.92,76.33,76.49,67.552,0.95%,300903
2015/5/11,76.38,76.74,76.07,76.57,67.623,0.10%,251624
2015/5/12,76.27,76.75,75.825,76.55,67.605,-0.03%,350414
2015/5/13,76.61,77.64,76.61,77.48,68.426,1.21%,276523
2015/5/14,78,78.741,77.82,78.63,69.442,1.48%,252744
2015/5/15,78.77,78.77,77.88,78.15,69.018,-0.61%,198173
2015/5/18,77.94,78.45,77.73,78.4,69.239,0.32%,215522
2015/5/19,78.45,78.66,77.72,78.19,69.053,-0.27%,237764
2015/5/20,78.25,78.72,77.638,78.63,69.442,0.56%,305806
2015/5/21,78.51,79.355,78.51,79.19,69.937,0.71%,185410
2015/5/22,79.12,79.35,78.72,78.93,69.707,-0.33%,184562
2015/5/26,78.46,78.46,77.39,77.52,68.462,-1.79%,368736
2015/5/27,77.83,78.36,77.4,78.24,69.098,0.93%,236423
2015/5/28,78.11,78.4,77.41,77.8,68.709,-0.56%,230376
2015/5/29,77.72,78.09,77,77.26,68.232,-0.69%,296203
