Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,119.41,120.56,119.07,119.51,106.489,-0.15%,427482
2015/3/25,119.43,120.96,117.08,117.08,104.324,-2.03%,482343
2015/3/26,116.84,117.345,116.01,116.7,103.985,-0.32%,528528
2015/3/27,117.06,117.79,116.55,117.18,104.413,0.41%,354408
2015/3/30,117.84,119.27,117.24,118.5,105.589,1.13%,300774
2015/3/31,118.29,118.5,117,117.4,104.609,-0.93%,473910
2015/4/1,117.1,118.105,116.08,116.97,104.226,-0.37%,462791
2015/4/2,116.96,118.81,116.74,117.39,104.6,0.36%,334134
2015/4/6,116.76,118.96,116.76,118.62,105.696,1.05%,317297
2015/4/7,118.38,119.545,118.16,118.19,105.313,-0.36%,520111
2015/4/8,118.56,118.96,117.41,118.21,105.331,0.02%,376165
2015/4/9,118.14,118.5,117.335,118.26,105.375,0.04%,297391
2015/4/10,118.54,119.03,118.205,118.97,106.008,0.60%,296276
2015/4/13,119.13,120.42,118.75,118.77,105.83,-0.17%,297739
2015/4/14,118.89,119.45,118.06,118.91,105.954,0.12%,277277
2015/4/15,119.73,120.14,118.52,118.67,105.741,-0.20%,222941
2015/4/16,118.34,119.33,118.01,118.66,105.732,-0.01%,256259
2015/4/17,117.91,118.62,115.89,116.28,103.611,-2.01%,437820
2015/4/20,117.09,117.87,117.09,117.67,104.849,1.20%,204862
2015/4/21,117.75,118.31,116.64,116.82,104.092,-0.72%,237476
2015/4/22,117,117.26,115.16,115.99,103.353,-0.71%,475127
2015/4/23,116.03,117.06,115.442,116.57,103.869,0.50%,223123
2015/4/24,116.62,117.2,115.04,115.85,103.228,-0.62%,379551
2015/4/27,116.35,117.22,115.236,116.18,103.522,0.28%,261720
2015/4/28,115.96,116.98,115.64,116.95,104.208,0.66%,345041
2015/4/29,116,116.94,115.6,116.24,103.575,-0.61%,297057
2015/4/30,115.66,116.61,114.11,114.75,102.248,-1.28%,438768
2015/5/1,115.48,117.55,115.48,117.42,104.627,2.33%,310191
2015/5/4,117.51,118.6,117.24,118.23,105.348,0.69%,345297
2015/5/5,118.02,118.87,116.19,116.6,103.896,-1.38%,268251
2015/5/6,117.36,118.12,115.8,118.1,105.233,1.29%,410088
2015/5/7,117.66,118.41,116.81,118.22,105.34,0.10%,256090
2015/5/8,119.54,120.61,119.01,119.44,106.427,1.03%,298369
2015/5/11,119.02,119.61,118.49,119.3,106.302,-0.12%,536523
2015/5/12,115.68,117.32,113.34,114.4,101.936,-4.11%,1013532
2015/5/13,114.03,114.03,110.57,112.69,100.412,-1.49%,971115
2015/5/14,113.31,115.16,112.62,115.05,102.515,2.09%,467945
2015/5/15,114.99,115.44,114.69,115.43,102.854,0.33%,295372
2015/5/18,115.02,115.49,114.82,115.28,102.72,-0.13%,222653
2015/5/19,115.36,116.31,115.03,115.89,103.263,0.53%,266731
2015/5/20,116.05,117.86,115.59,117.53,104.725,1.42%,419420
2015/5/21,117.29,118.46,117.29,118.26,105.375,0.62%,492181
2015/5/22,117.99,118.72,117.78,118.35,105.455,0.08%,365123
2015/5/26,117.47,117.97,116.47,117.1,104.342,-1.06%,419578
2015/5/27,116.92,119.06,116.85,118.82,105.874,1.47%,382760
2015/5/28,118.87,119.765,118.74,119.27,106.275,0.38%,337176
2015/5/29,119.45,120.2,118.5,119.04,106.07,-0.19%,556126
2015/6/1,119.29,119.29,116.74,117.51,104.707,-1.29%,432181
2015/6/2,117.18,118.04,116.4,116.44,103.753,-0.91%,382430
2015/6/3,116.65,117.05,113.97,114.47,101.998,-1.69%,952325
2015/6/4,113.67,114.36,112.34,112.48,100.225,-1.74%,856462
2015/6/5,112.15,112.44,111.01,111.12,99.013,-1.21%,627679
2015/6/8,111.2,112.26,110.31,110.34,98.318,-0.70%,562413
2015/6/9,110.34,110.44,109.41,109.76,97.801,-0.53%,607402
2015/6/10,110.27,111.04,109.88,110.83,98.755,0.97%,1131347
2015/6/11,110.9,112.07,110.69,111.45,99.307,0.56%,754322
2015/6/12,111.32,111.59,110.08,110.33,98.309,-1.00%,363132
2015/6/15,109.39,109.92,108.82,109.37,97.454,-0.87%,420483
2015/6/16,109.43,111.92,109.38,111.24,99.12,1.71%,634450
2015/6/17,111.6,112.57,111.35,111.58,99.423,0.31%,625459
2015/6/18,112.22,113.66,111.46,113.34,100.991,1.58%,552674
2015/6/19,113.48,114.6,112.8,112.82,100.528,-0.46%,536304
2015/6/22,113.59,114.09,113,113.53,101.161,0.63%,355592
2015/6/23,113.98,114.04,113.03,113.21,100.875,-0.28%,376398
2015/6/24,112.64,113.9,112.25,112.65,100.376,-0.49%,422197
2015/6/25,112.73,113.53,112.5,112.62,100.35,-0.03%,339327
2015/6/26,113,113.4,112.454,112.62,100.35,0.00%,400965
2015/6/29,111.6,112.36,109.23,109.29,97.382,-2.96%,326223
2015/6/30,110.22,110.56,108.87,109.29,97.382,0.00%,441270
2015/7/1,110.28,110.79,109.66,110.22,98.211,0.85%,362337
2015/7/2,110.77,110.87,109.84,110.33,98.309,0.10%,374495
2015/7/6,109.17,110.64,108.91,109.7,97.748,-0.57%,279066
2015/7/7,109.62,110.12,108.2,109.66,97.712,-0.04%,410792
2015/7/8,108.67,109.24,108.25,108.45,96.634,-1.10%,515243
2015/7/9,109.73,110.31,108.81,108.91,97.044,0.42%,333776
2015/7/10,110.4,111.35,109.58,111.15,99.04,2.06%,278089
2015/7/13,112.15,112.92,111.17,112.65,100.376,1.35%,331171
2015/7/14,112.51,113.33,112.4,113.16,100.831,0.45%,270706
2015/7/15,112.93,113.77,112.57,112.69,100.412,-0.42%,315030
2015/7/16,112.98,113.55,112.18,113.35,101,0.59%,374051
2015/7/17,113.07,113.435,112.41,112.64,100.368,-0.63%,220291
2015/7/20,112.18,112.39,111.42,111.61,99.45,-0.91%,404083
2015/7/21,111.93,114.31,111.52,111.6,99.441,-0.01%,493579
2015/7/22,112.4,113.99,111.5,112.27,100.038,0.60%,340185
2015/7/23,112.59,113,111.85,112.18,99.958,-0.08%,379976
2015/7/24,112.04,112.07,110,111.1,98.995,-0.96%,381417
2015/7/27,110.51,111.42,110.11,111.11,99.004,0.01%,365470
2015/7/28,111.56,113.84,110.97,113.7,101.312,2.33%,439867
2015/7/29,113.65,114.82,112.75,114.57,102.087,0.77%,350865
2015/7/30,114.29,116.06,114.06,115.51,102.925,0.82%,468147
2015/7/31,116.38,116.87,115.37,115.59,102.996,0.07%,474645
2015/8/3,115.45,115.75,114.68,115.3,102.738,-0.25%,258431
2015/8/4,115.51,116.8,115.51,116,103.361,0.61%,258603
2015/8/5,117.19,118.08,116.61,117.24,104.466,1.07%,382688
2015/8/6,117.23,118.09,115.72,116.42,103.736,-0.70%,458997
2015/8/7,116.53,116.926,115.85,116.28,103.611,-0.12%,283293
2015/8/10,116.74,118.87,116.33,118.81,105.865,2.18%,390909
2015/8/11,115.54,117.11,112.78,114.05,101.624,-4.01%,888108
2015/8/12,112.99,114.43,112.42,113.74,101.348,-0.27%,552176
2015/8/13,113.36,114.09,112.432,113.22,100.884,-0.46%,501792
2015/8/14,113.23,114.69,113.045,114.36,101.9,1.01%,350052
2015/8/17,113.95,115.195,113.83,114.99,102.461,0.55%,368233
2015/8/18,114.73,115.85,114.73,115.53,102.943,0.47%,324676
2015/8/19,114.21,115.16,113.67,114.11,101.677,-1.23%,403658
2015/8/20,113.61,113.88,111.62,112,99.797,-1.85%,705497
2015/8/21,113.12,114.12,111.92,111.95,99.753,-0.04%,1065488
2015/8/24,106.87,110.45,106.2,108,96.233,-3.53%,1178260
2015/8/25,110.59,110.64,107,107.05,95.387,-0.88%,813237
2015/8/26,109.19,109.64,107.16,108.91,97.044,1.74%,553839
2015/8/27,110.02,112.248,108.94,110.7,98.639,1.64%,495431
2015/8/28,110.3,111.01,109.58,110.96,98.871,0.23%,350251
2015/8/31,110.61,110.61,109.49,109.55,97.614,-1.27%,297799
2015/9/1,107.04,107.96,105.83,106.23,94.656,-3.03%,546258
2015/9/2,107.52,108.54,106.51,108.5,96.679,2.14%,549891
2015/9/3,109.4,110.43,108.89,109.46,97.534,0.88%,316503
2015/9/4,107.78,108.105,106.65,106.95,95.297,-2.29%,493695
2015/9/8,108.99,109.33,108.39,109.25,97.347,2.15%,545069
2015/9/9,110.36,110.81,108.62,108.73,96.884,-0.48%,283518
2015/9/10,108.32,109.18,106.85,107.19,95.511,-1.42%,591830
2015/9/11,106.53,107.255,105.97,107.13,95.458,-0.06%,436018
2015/9/14,107.1,107.36,105.92,106.12,94.558,-0.94%,241017
2015/9/15,106.16,106.56,105.22,106.33,94.745,0.20%,357234
2015/9/16,106.21,107.86,106.17,107.69,95.957,1.28%,338422
2015/9/17,107.41,109.17,107.3,107.58,95.859,-0.10%,267645
2015/9/18,106.1,106.48,104.84,105.17,93.711,-2.24%,489875
2015/9/21,105.88,106.731,104.91,106.06,94.504,0.85%,283534
2015/9/22,105.27,105.47,104.52,105.07,93.622,-0.93%,357150
2015/9/23,104.69,105.7,104.23,104.71,93.301,-0.34%,562815
2015/9/24,104.15,105.08,103.39,104.8,93.382,0.09%,437360
2015/9/25,105.17,106.53,105.07,105.76,94.237,0.92%,444755
2015/9/28,104.25,104.35,100.5,100.59,89.63,-4.89%,793952
2015/9/29,100.59,101.33,100.02,101.09,90.076,0.50%,336053
2015/9/30,101.95,103.325,101.45,103.26,92.009,2.15%,471207
2015/10/1,104.07,104.38,102.46,103.88,92.562,0.60%,657279
2015/10/2,102.47,106.89,102.442,106.81,95.173,2.82%,389698
2015/10/5,107.18,108.28,106.91,108.21,96.42,1.31%,382914
2015/10/6,108.18,108.83,107.13,107.98,96.215,-0.21%,338549
2015/10/7,108.47,109.75,108.47,109.75,97.792,1.64%,518367
2015/10/8,109.21,109.91,108.75,109.51,97.579,-0.22%,536674
2015/10/9,109.57,110.22,109.042,109.53,97.596,0.02%,341366
2015/10/12,109.31,110.64,108.83,110.1,98.104,0.52%,338346
2015/10/13,109.31,111.14,109.18,110.24,98.229,0.13%,388239
2015/10/14,110.06,111.14,109.86,109.98,97.997,-0.24%,208163
2015/10/15,110.7,111.2,110.152,111.07,98.969,0.99%,413884
2015/10/16,112,112.56,111.47,112.53,100.269,1.31%,317595
2015/10/19,111.88,113.17,111.88,112.96,100.653,0.38%,389103
2015/10/20,112.9,113.41,112.45,112.78,100.492,-0.16%,304773
2015/10/21,113.42,113.79,111.58,111.76,99.583,-0.90%,269657
2015/10/22,112.73,113.76,112.49,113.73,101.339,1.76%,485827
2015/10/23,114.81,114.91,113.48,113.52,101.152,-0.18%,360184
2015/10/26,113.56,114.92,113.465,114.67,102.176,1.01%,271332
2015/10/27,114,114.5,112.91,113.71,101.321,-0.84%,340279
2015/10/28,113.65,115.52,113.44,115.05,102.515,1.18%,397135
2015/10/29,115.04,115.815,114.2,115.51,102.925,0.40%,288452
2015/10/30,115.67,117.049,115.07,116.06,103.415,0.48%,418335
2015/11/2,116.2,116.97,115.23,116.05,103.406,-0.01%,320680
2015/11/3,115.91,116.56,115.69,116.18,103.522,0.11%,414926
2015/11/4,116.29,116.81,115.71,116.18,103.522,0.00%,285517
2015/11/5,116.21,116.36,115.31,115.97,103.335,-0.18%,291896
2015/11/6,115.26,115.582,111.98,113.2,100.866,-2.39%,881271
2015/11/9,113.4,114.26,112.34,114.11,101.677,0.80%,603405
2015/11/10,112.8,116.86,112,113.61,101.232,-0.44%,750723
2015/11/11,114.44,116.44,114.21,115.9,103.272,2.02%,391388
2015/11/12,114.46,115.68,113.2,113.28,100.938,-2.26%,388930
2015/11/13,113.34,113.86,111.33,111.75,99.574,-1.35%,415871
2015/11/16,111.78,114.55,111.78,114.5,102.025,2.46%,360601
2015/11/17,114.05,116.49,114,115.45,102.871,0.83%,437188
2015/11/18,115.67,117.52,115.12,117.44,104.645,1.72%,463320
2015/11/19,117.48,119.4,116.34,117.84,105.001,0.34%,505475
2015/11/20,118.1,118.29,116.65,117.05,104.297,-0.67%,280720
2015/11/23,117.23,119.1,116.33,118.56,105.642,1.29%,335432
2015/11/24,118.22,120.48,117.59,120.09,107.006,1.29%,573385
2015/11/25,120.54,120.76,119.62,120.25,107.148,0.13%,328783
2015/11/27,120.23,120.87,119.15,119.85,106.792,-0.33%,170594
2015/11/30,120.34,121.03,119.46,120.01,106.935,0.13%,427990
2015/12/1,117.89,122.2,117.89,122,108.708,1.66%,673783
2015/12/2,121.56,122.21,120.1,120.41,107.291,-1.30%,396921
2015/12/3,120.42,120.8,118.26,119.14,106.159,-1.05%,355852
2015/12/4,119.48,121.53,119.48,121.25,108.039,1.77%,321150
2015/12/7,120.81,121.69,120.08,121.28,108.066,0.02%,435466
2015/12/8,120.57,121.64,119.71,121.03,107.843,-0.21%,398567
2015/12/9,121.18,122.64,119.72,120.72,107.567,-0.26%,559532
2015/12/10,120.57,120.98,118.04,118.31,105.42,-2.00%,503177
2015/12/11,116.69,117.795,115.635,116.12,103.468,-1.85%,1034195
2015/12/14,116.23,117.38,115.2,116.32,103.647,0.17%,1144005
2015/12/15,117.64,119,117.52,118.18,105.304,1.60%,534307
2015/12/16,119.19,121.16,118.845,120.95,107.772,2.34%,344298
2015/12/17,120.81,121.09,118.08,118.09,105.224,-2.36%,356517
2015/12/18,117.75,118.41,115.84,115.88,103.254,-1.87%,601446
2015/12/21,116.6,117.41,116.13,117.23,104.457,1.16%,337665
2015/12/22,117.91,119.8,117.08,119.51,106.489,1.94%,292705
2015/12/23,119.88,120.05,118.65,119.66,106.623,0.13%,293044
2015/12/24,119.45,120.31,119.24,119.97,106.899,0.26%,82704
2015/12/28,119.08,120.4,118.88,120.35,107.237,0.32%,189877
2015/12/29,121.34,122.08,120.47,121.12,107.924,0.64%,156241
2015/12/30,121.03,122.09,120.36,120.62,107.478,-0.41%,196044
2015/12/31,120.26,121.06,119.6,119.64,106.605,-0.81%,232865
2016/1/4,118.31,118.36,116.94,118.03,105.17,-1.35%,505538
2016/1/5,118.4,119.12,117.73,118.93,105.972,0.76%,268079
2016/1/6,117.15,118.01,116.37,117.17,104.404,-1.48%,450240
2016/1/7,115.61,116.99,114.38,116.59,103.887,-0.50%,668081
2016/1/8,116.99,117.35,116.175,116.34,103.664,-0.21%,689454
2016/1/11,117.28,118.14,116.6,117.62,104.805,1.10%,457859
2016/1/12,118.67,119.57,117.35,118.33,105.438,0.60%,630459
2016/1/13,118.85,118.92,115.82,116.05,103.406,-1.93%,675081
2016/1/14,116.09,117.8,115.65,117.2,104.431,0.99%,388985
2016/1/15,114.93,115.73,112.53,115.31,102.747,-1.61%,625630
2016/1/19,116.08,117.3,112.24,113.48,101.116,-1.59%,692993
2016/1/20,111.43,112.66,109.73,111.78,99.601,-1.50%,695713
2016/1/21,112.1,113.9,111.1,111.75,99.574,-0.03%,591859
2016/1/22,113.46,114.96,112.867,114.07,101.642,2.08%,411351
2016/1/25,110.14,111.31,108.08,110.4,98.372,-3.22%,1261364
2016/1/26,110.49,112.48,110.49,111.87,99.681,1.33%,615369
2016/1/27,111.69,112.43,110.65,111.52,99.37,-0.31%,606002
2016/1/28,112.43,113.04,110.69,112.19,99.967,0.60%,638625
2016/1/29,113.15,117,112.77,116.96,104.217,4.25%,681642
2016/2/1,116.39,119.04,115.36,118.46,105.553,1.28%,836853
2016/2/2,117.12,117.745,116.23,117.22,104.448,-1.05%,445518
2016/2/3,117.76,120.6,116.89,120.6,107.46,2.88%,604333
2016/2/4,119.99,122.38,119.89,121.28,108.066,0.56%,551364
2016/2/5,121.28,121.69,117.75,119.38,106.373,-1.57%,694241
2016/2/8,117.96,118.4,115.6,116.61,103.905,-2.32%,592361
2016/2/9,115.21,117.285,115.18,116.83,104.101,0.19%,746346
2016/2/10,116.81,119.75,114.32,115.33,102.764,-1.28%,1070442
2016/2/11,100.5,105.3,97.24,100.49,89.541,-12.87%,4518990
2016/2/12,101,107.81,101,106.75,95.119,6.23%,1957831
2016/2/16,105.68,108.035,104.48,106.54,94.932,-0.20%,1101803
2016/2/17,107.5,108.84,105.89,106.08,94.522,-0.43%,1026419
2016/2/18,106.3,107.01,104.35,105.39,93.907,-0.65%,721290
2016/2/19,105.34,105.55,104.04,105.4,93.916,0.01%,768435
2016/2/22,106.27,107.54,105.2,105.28,93.809,-0.11%,1020764
2016/2/23,104.36,105.14,102.77,103.42,92.152,-1.77%,566055
2016/2/24,102.64,106.82,102.31,106.21,94.638,2.70%,1028145
2016/2/25,106.25,106.728,104.2,105.02,93.578,-1.12%,550881
2016/2/26,105.5,105.75,103.85,104.12,92.776,-0.86%,691699
2016/2/29,104.15,105.39,103.26,103.29,92.036,-0.80%,605186
2016/3/1,104.32,107.29,104.055,106.62,95.003,3.22%,664776
2016/3/2,105.81,106.48,104.59,105.82,94.291,-0.75%,592269
2016/3/3,105.94,106.09,104.6,105.15,93.694,-0.63%,764272
2016/3/4,105.54,106.85,104.93,106.41,94.816,1.20%,549107
2016/3/7,105.93,107.4,105.7,106.43,94.834,0.02%,695654
2016/3/8,105.27,109.18,104.93,107.17,95.493,0.70%,1127523
2016/3/9,107.26,107.98,106.11,107.5,95.788,0.31%,563462
2016/3/10,108,108.99,106.59,107.68,95.948,0.17%,480242
2016/3/11,109.07,110.62,108.27,109.98,97.997,2.14%,435929
2016/3/14,109.36,111.33,109.18,110.33,98.309,0.32%,412695
2016/3/15,110.05,110.755,109.53,110.3,98.282,-0.03%,514167
2016/3/16,109.7,111.96,109.7,111.45,99.307,1.04%,345018
2016/3/17,111.57,113.03,110.91,112.88,100.581,1.28%,403320
2016/3/18,113.16,115.115,112.84,113.68,101.294,0.71%,962386
2016/3/21,113.68,114.13,112.812,113.94,101.526,0.23%,490652
2016/3/22,113.86,115.33,111.825,114.9,102.381,0.84%,596291
2016/3/23,113.91,114.49,112.81,113.63,101.25,-1.11%,405172
2016/3/24,112.59,113.78,111.74,113.24,100.902,-0.34%,671804
2016/3/28,113.4,114.115,113.31,113.84,101.437,0.53%,239540
2016/3/29,113.36,114.9,112.91,114.79,102.283,0.83%,361584
2016/3/30,115.42,116.18,114.21,114.58,102.096,-0.18%,456564
2016/3/31,114.67,115.11,113.39,113.77,101.374,-0.71%,383975
2016/4/1,113.19,116.51,112.95,116.38,103.7,2.29%,480300
2016/4/4,116.44,116.44,114.65,115.85,103.228,-0.46%,454449
