Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,93.7,94.24,92.01,92.81,92.81,-0.63%,796273
2015/3/25,92.87,93,89.4,90.47,90.47,-2.52%,1520520
2015/3/26,89.59,90.95,87.79,89.2,89.2,-1.40%,1353003
2015/3/27,89.72,95.72,89.05,94.36,94.36,5.78%,1401500
2015/3/30,95.85,96.68,92.54,94.19,94.19,-0.18%,1256212
2015/3/31,92.9,93.97,91.5,91.66,91.66,-2.69%,1038390
2015/4/1,92.3,92.48,87.415,89.44,89.44,-2.42%,1227089
2015/4/2,89.56,89.7,87.18,88.79,88.79,-0.73%,764691
2015/4/6,88.34,90.12,87.41,88.46,88.46,-0.37%,1001825
2015/4/7,88.83,91.32,88.29,89.39,89.39,1.05%,662290
2015/4/8,89.64,92.14,89.34,91.63,91.63,2.51%,862228
2015/4/9,91.5,92.38,90.5,92.28,92.28,0.71%,501970
2015/4/10,92.35,94.13,91.05,93.81,93.81,1.66%,781872
2015/4/13,94.14,102.79,93.95,99.83,99.83,6.42%,2427925
2015/4/14,98.72,101.4,97.66,98.97,98.97,-0.86%,1388813
2015/4/15,99.43,101.38,98.5,100.29,100.29,1.33%,1156026
2015/4/16,100.84,103.74,100.4,102.76,102.76,2.46%,1752498
2015/4/17,101.76,102.74,101.01,101.66,101.66,-1.07%,1768573
2015/4/20,104.12,105.96,102.01,105.51,105.51,3.79%,1250520
2015/4/21,106.76,109.89,104.73,109.185,109.185,3.48%,1350979
2015/4/22,109.97,111.93,107.5,107.98,107.98,-1.10%,1152716
2015/4/23,107.6,108.43,106.581,107.85,107.85,-0.12%,1108069
2015/4/24,107.59,108.55,106.75,107.34,107.34,-0.47%,854645
2015/4/27,107.42,107.84,100.63,101.38,101.38,-5.55%,1431343
2015/4/28,101.73,104.01,97.14,99.6,99.6,-1.76%,1931151
2015/4/29,99.64,102.24,98.04,101.67,101.67,2.08%,1502902
2015/4/30,99.64,102.72,96.02,97.16,97.16,-4.44%,1916724
2015/5/1,98.86,101,96.83,98.28,98.28,1.15%,1622154
2015/5/4,99.26,104.77,98.51,101,101,2.77%,1449525
2015/5/5,100.36,100.81,97.21,97.5,97.5,-3.47%,940699
2015/5/6,98.81,100.69,98.38,100.54,100.54,3.12%,1322698
2015/5/7,100.63,103.64,100.32,102.08,102.08,1.53%,1202535
2015/5/8,104.16,106.9,102.44,103.83,103.83,1.71%,1363057
2015/5/11,104,105.424,103.615,104.61,104.61,0.75%,780426
2015/5/12,103.59,105.7,102.75,105,105,0.37%,794322
2015/5/13,105.63,106.17,103.07,104.26,104.26,-0.70%,598201
2015/5/14,104.99,107.7,102.88,106.78,106.78,2.42%,1199885
2015/5/15,107.3,107.65,105.663,106.86,106.86,0.07%,779054
2015/5/18,106.51,108.52,106.33,107.65,107.65,0.74%,829598
2015/5/19,108.11,109.1,107.3,108.25,108.25,0.56%,556793
2015/5/20,108.33,111.11,106.281,109.67,109.67,1.31%,767739
2015/5/21,110.17,110.88,108.18,108.41,108.41,-1.15%,611970
2015/5/22,108,109.11,107.19,107.69,107.69,-0.66%,694683
2015/5/26,107.46,108.4,104.73,107.29,107.29,-0.37%,879939
2015/5/27,107.54,108.58,106.58,107.92,107.92,0.59%,1075718
2015/5/28,107.92,108.69,106.11,108.14,108.14,0.20%,639191
2015/5/29,107.9,111.075,107.06,110.15,110.15,1.86%,1246321
2015/6/1,111.63,113.55,108.3,109.68,109.68,-0.43%,1135267
2015/6/2,109.52,111,107.8,108,108,-1.53%,1103578
2015/6/3,107.93,109.09,106.75,108.98,108.98,0.91%,937341
2015/6/4,108.09,109.01,105.89,106.84,106.84,-1.96%,1183450
2015/6/5,107.29,109.14,106.01,108.94,108.94,1.97%,1101187
2015/6/8,108.87,109.805,105.64,107,107,-1.78%,873029
2015/6/9,107.14,107.192,104.34,106.25,106.25,-0.70%,797489
2015/6/10,106.25,106.25,102.57,105.53,105.53,-0.68%,1078901
2015/6/11,105.69,106.18,103.828,106.11,106.11,0.55%,795528
2015/6/12,105.31,106.508,104.29,105.49,105.49,-0.58%,568639
2015/6/15,105.17,105.76,103.23,103.68,103.68,-1.72%,822976
2015/6/16,103.09,104.55,103,104.07,104.07,0.38%,769632
2015/6/17,104.42,105.79,104.062,105.39,105.39,1.27%,492590
2015/6/18,105.68,110.99,105.4,108.9,108.9,3.33%,880597
2015/6/19,109.5,109.5,106.564,107.77,107.77,-1.04%,1387995
2015/6/22,108.53,109.835,108.11,109.22,109.22,1.35%,680420
2015/6/23,109.51,109.74,107.11,109.31,109.31,0.08%,791093
2015/6/24,109.19,109.34,105.17,105.29,105.29,-3.68%,849636
2015/6/25,105.43,107.23,103.17,104.45,104.45,-0.80%,943246
2015/6/26,104.86,105.59,102.42,104.05,104.05,-0.38%,1865830
2015/6/29,101.86,104.55,100.59,100.82,100.82,-3.10%,874993
2015/6/30,103.01,104.34,101.71,104.21,104.21,3.36%,1182340
