Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,51.61,51.894,51.373,51.705,33.916,-0.11%,1769784
2015/3/25,51.667,51.686,51.004,51.042,33.481,-1.28%,2693148
2015/3/26,50.928,51.425,50.833,51.335,33.674,0.57%,2188683
2015/3/27,51.297,51.714,51.222,51.534,33.804,0.39%,2506963
2015/3/30,51.733,52.453,51.638,52.282,34.295,1.45%,1823826
2015/3/31,52.188,53.078,52.102,52.547,34.469,0.51%,3168477
2015/4/1,52.273,52.32,51.439,51.989,34.102,-1.06%,2531085
2015/4/2,51.951,52.169,51.572,51.771,33.959,-0.42%,1542168
2015/4/6,51.402,51.629,51.326,51.43,33.736,-0.66%,2125339
2015/4/7,51.42,51.799,51.098,51.108,33.525,-0.63%,1818649
2015/4/8,51.089,51.714,50.956,51.6,33.848,0.96%,2196414
2015/4/9,51.61,51.922,51.487,51.6,33.848,0.00%,2156261
2015/4/10,51.847,53.494,51.771,53.295,34.96,3.28%,5225252
2015/4/13,53.314,53.485,52.519,52.67,34.55,-1.17%,4775783
2015/4/14,52.633,52.936,52.017,52.083,34.164,-1.11%,2893501
2015/4/15,52.083,52.33,51.742,51.828,33.997,-0.49%,2861237
2015/4/16,51.818,52.235,51.638,51.771,33.959,-0.11%,3335865
2015/4/17,51.525,51.695,50.9,51.184,33.574,-1.13%,3847690
2015/4/20,51.6,52.159,51.42,51.752,33.947,1.11%,2772928
2015/4/21,51.335,51.572,49.555,49.735,32.624,-3.90%,6475820
2015/4/22,49.773,50.36,49.669,50.227,32.947,0.99%,3987127
2015/4/23,50.133,50.35,49.83,50.076,32.848,-0.30%,2279289
2015/4/24,50.104,50.862,49.773,50.824,33.338,1.49%,2638128
2015/4/27,50.814,50.87,50.398,50.492,33.121,-0.65%,2171835
2015/4/28,50.511,50.739,49.924,50.625,33.208,0.26%,3169115
2015/4/29,50.483,51.136,50.095,50.256,32.966,-0.73%,2431576
2015/4/30,50.237,51.259,50.189,50.871,33.369,1.22%,3062694
2015/5/1,51.08,51.515,51.023,51.165,33.562,0.58%,2335849
2015/5/4,50.956,51.184,50.777,50.89,33.382,-0.54%,2311941
2015/5/5,50.795,50.89,48.068,48.248,31.649,-5.19%,11120833
2015/5/6,48.381,49.205,48.106,49.063,32.183,1.69%,7186974
2015/5/7,49.148,49.347,48.864,49.242,32.301,0.36%,6499374
2015/5/8,49.981,50.369,49.564,49.706,32.605,0.94%,3418949
2015/5/11,49.659,50.166,49.583,50.057,32.835,0.71%,3092132
2015/5/12,49.896,49.896,49.347,49.356,32.375,-1.40%,2011033
2015/5/13,49.508,49.991,49.403,49.773,32.649,0.84%,2411466
2015/5/14,50.246,51.013,50.18,50.777,33.307,2.02%,4585794
2015/5/15,50.748,50.909,49.811,50.445,33.09,-0.65%,3266998
2015/5/18,50.218,50.852,49.962,50.777,33.307,0.66%,1936810
2015/5/19,50.691,51.136,50.606,50.777,33.307,0.00%,2789976
2015/5/20,50.72,50.748,50.227,50.417,33.071,-0.71%,2164734
2015/5/21,49.991,50.369,49.725,50.284,33.233,-0.26%,2347328
2015/5/22,50.284,50.388,50.137,50.284,33.233,0.00%,2022722
2015/5/26,50.009,50.237,49.536,49.735,32.87,-1.09%,2305486
2015/5/27,50.009,50.346,49.839,50.104,33.114,0.74%,2002141
2015/5/28,49.848,50.104,49.754,49.915,32.989,-0.38%,1328139
2015/5/29,50.095,50.275,48.911,49.081,32.438,-1.67%,2685183
2015/6/1,49.034,49.328,48.57,49.072,32.432,-0.02%,2627540
2015/6/2,49.015,49.1,48.352,48.456,32.025,-1.26%,3411375
2015/6/3,48.532,48.703,48.239,48.523,32.069,0.14%,2401378
2015/6/4,48.144,48.485,48.075,48.437,32.012,-0.18%,2499865
2015/6/5,48.134,48.731,47.917,48.456,32.025,0.04%,2036498
2015/6/8,48.201,48.419,47.822,47.85,31.624,-1.25%,2884154
2015/6/9,47.68,48.03,47.623,47.689,31.518,-0.34%,2798109
2015/6/10,48.03,48.49,47.85,48.201,31.856,1.07%,3403183
2015/6/11,48.258,49.006,48.191,48.816,32.263,1.28%,3221556
2015/6/12,48.674,48.858,48.437,48.437,32.012,-0.78%,2146650
2015/6/15,48.049,48.286,47.746,47.888,31.649,-1.13%,2029215
2015/6/16,47.945,48.182,47.623,47.86,31.63,-0.06%,2378162
2015/6/17,47.936,48.329,47.737,48.22,31.868,0.75%,2454208
2015/6/18,48.428,48.665,48.097,48.333,31.943,0.23%,2637484
2015/6/19,48.248,49.072,48.239,48.428,32.006,0.20%,3853085
2015/6/22,46.733,47.765,46.127,47.036,31.086,-2.87%,8840204
2015/6/23,47.15,47.405,46.581,46.686,30.854,-0.74%,3777843
2015/6/24,46.676,47.15,46.449,46.487,30.723,-0.43%,3087323
2015/6/25,46.506,46.619,45.795,45.805,30.272,-1.47%,4659789
2015/6/26,46.023,46.165,45.663,45.691,30.197,-0.25%,8923636
2015/6/29,45.53,45.691,45.142,45.17,29.853,-1.14%,4475678
2015/6/30,45.653,45.814,44.877,45.066,29.784,-0.23%,3622216
2015/7/1,45.464,46.127,45.369,45.975,30.385,2.02%,2959972
2015/7/2,45.975,46.231,45.417,45.417,30.016,-1.21%,2899532
2015/7/6,45.123,45.597,44.934,45.142,29.834,-0.61%,2760112
2015/7/7,45.208,45.492,44.489,45.455,30.041,0.69%,3213804
2015/7/8,44.934,45.161,44.299,44.337,29.302,-2.46%,2872916
2015/7/9,44.858,44.915,44.11,44.129,29.165,-0.47%,2808716
2015/7/10,44.64,44.839,44.299,44.451,29.377,0.73%,2721262
2015/7/13,44.82,45.331,44.744,45.265,29.916,1.83%,2568611
2015/7/14,45.17,45.445,45.123,45.218,29.884,-0.10%,2466366
2015/7/15,45.208,45.303,44.46,44.716,29.553,-1.11%,2930181
2015/7/16,44.669,45.862,44.669,45.559,30.11,1.89%,3684361
2015/7/17,45.35,45.549,45.009,45.114,29.816,-0.98%,2679177
2015/7/20,45.294,46.316,45.284,46.07,30.448,2.12%,3424076
2015/7/21,45.814,45.89,45.313,45.54,30.097,-1.15%,2581098
2015/7/22,46.402,46.866,45.956,46.222,30.548,1.50%,4266306
2015/7/23,46.231,46.506,45.852,46.032,30.423,-0.41%,2821943
2015/7/24,45.786,46.07,45.019,45.218,29.884,-1.77%,2934085
2015/7/27,44.801,45.455,44.754,44.848,29.64,-0.82%,3125839
2015/7/28,45.047,46.373,45.009,46.146,30.498,2.89%,3590325
2015/7/29,45.227,45.63,43.684,44.498,29.409,-3.57%,7408860
2015/7/30,44.28,44.991,44.28,44.953,29.709,1.02%,3381386
2015/7/31,45.161,45.549,45.028,45.331,29.959,0.84%,2911698
2015/8/3,45.341,45.341,44.339,44.83,29.628,-1.11%,2286815
2015/8/4,44.612,45.18,44.593,44.896,29.672,0.15%,2419926
2015/8/5,45.218,45.616,44.934,45.256,29.909,0.80%,3205655
2015/8/6,45.275,45.511,44.508,44.763,29.584,-1.09%,2199356
2015/8/7,44.669,45.17,44.531,45.019,29.753,0.57%,2764652
2015/8/10,45.246,45.672,45.246,45.445,30.035,0.95%,1824416
