Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,22,22.085,21.78,22.04,15.256,-0.09%,3911583
2015/3/25,22.04,22.16,21.65,21.67,15,-1.68%,4435732
2015/3/26,21.54,21.8,21.44,21.76,15.062,0.42%,2703532
2015/3/27,21.74,22.12,21.71,22.06,15.27,1.38%,4174979
2015/3/30,22.18,22.27,21.955,22.1,15.297,0.18%,2871989
2015/3/31,22.05,22.44,21.942,22.12,15.311,0.09%,3253996
2015/4/1,22.04,22.11,21.77,21.96,15.201,-0.72%,2173386
2015/4/2,21.99,22.24,21.94,22.12,15.311,0.73%,2599038
2015/4/6,21.97,22.215,21.9,22.14,15.325,0.09%,2624562
2015/4/7,22.16,22.16,21.75,21.79,15.083,-1.58%,2139256
2015/4/8,21.87,22,21.81,21.93,15.18,0.64%,2089568
2015/4/9,21.93,21.97,21.645,21.75,15.055,-0.82%,2430351
2015/4/10,21.74,21.84,21.63,21.81,15.097,0.28%,2569751
2015/4/13,21.57,21.91,21.45,21.61,14.958,-0.92%,3683416
2015/4/14,21.55,21.68,21.365,21.66,14.993,0.23%,2857586
2015/4/15,21.72,21.73,21.3,21.35,14.778,-1.43%,3705370
2015/4/16,21.35,21.35,21.07,21.07,14.585,-1.31%,6501019
2015/4/17,20.9,20.97,20.66,20.83,14.418,-1.14%,4164424
2015/4/20,20.96,20.98,20.71,20.86,14.439,0.14%,7513780
2015/4/21,20.99,21.26,20.9,21.14,14.633,1.34%,5613913
2015/4/22,21.15,21.38,20.93,21.34,14.771,0.95%,4457942
2015/4/23,21.33,21.39,21.09,21.16,14.647,-0.84%,5045744
2015/4/24,21.91,21.98,21.71,21.79,15.083,2.98%,6778095
2015/4/27,21.78,21.815,20.72,20.8,14.398,-4.54%,8381762
2015/4/28,20.72,21.1,20.445,21.06,14.578,1.25%,5853233
2015/4/29,21,21.155,20.72,20.75,14.363,-1.47%,4868175
2015/4/30,20.75,21.13,20.68,20.84,14.425,0.43%,6042693
2015/5/1,21,21.035,20.85,21.01,14.543,0.82%,5173217
2015/5/4,21.06,21.28,21.06,21.07,14.585,0.29%,2796398
2015/5/5,21,21.28,20.81,20.83,14.418,-1.14%,3997245
2015/5/6,20.94,20.96,20.52,20.68,14.315,-0.72%,4275030
2015/5/7,20.64,20.89,20.53,20.71,14.335,0.15%,3340831
2015/5/8,20.98,21.13,20.84,21.01,14.543,1.45%,2521851
2015/5/11,21,21.28,21,21.03,14.557,0.10%,5792703
2015/5/12,20.88,20.92,20.59,20.85,14.432,-0.86%,3287764
2015/5/13,20.84,20.95,20.68,20.8,14.398,-0.24%,3545012
2015/5/14,20.96,21.2,20.93,21.14,14.633,1.63%,2336433
2015/5/15,21.18,21.27,21.03,21.08,14.591,-0.28%,3215602
2015/5/18,21.09,21.315,20.93,21.26,14.716,0.85%,3498723
2015/5/19,21.34,21.35,20.93,20.95,14.501,-1.46%,2541437
2015/5/20,21.02,21.07,20.86,20.91,14.474,-0.19%,5831580
2015/5/21,20.91,21.21,20.78,21.02,14.55,0.53%,2850256
2015/5/22,20.99,21.07,20.82,20.92,14.481,-0.48%,3514926
