Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,56.463,56.728,55.814,55.967,55.967,-0.89%,1382365
2015/3/25,55.892,56.478,54.905,55.026,55.026,-1.68%,1864729
2015/3/26,54.951,56.218,54.671,55.443,55.443,0.76%,2466407
2015/3/27,54.933,56.075,54.933,55.25,55.25,-0.35%,2380754
2015/3/30,55.619,56.444,55.329,56.24,56.24,1.79%,1788562
2015/3/31,55.974,57.221,55.974,56.114,56.114,-0.22%,1945414
2015/4/1,55.771,56.563,55.102,56.28,56.28,0.30%,2575748
2015/4/2,56.48,56.775,55.633,56.477,56.477,0.35%,1512496
2015/4/6,56.019,57.323,55.889,57.148,57.148,1.19%,2445725
2015/4/7,57.404,57.504,56.9,56.94,56.94,-0.36%,1689949
2015/4/8,56.644,57.26,56.61,56.829,56.829,-0.19%,1572202
2015/4/9,56.917,57.49,56.579,57.01,57.01,0.32%,1467946
2015/4/10,57.01,59.271,56.559,58.929,58.929,3.37%,4259353
2015/4/13,58.984,60.931,58.778,60.257,60.257,2.25%,4954405
2015/4/14,60.008,60.555,58.791,59.561,59.561,-1.16%,3445671
2015/4/15,59.639,59.928,59.037,59.301,59.301,-0.44%,1833778
2015/4/16,59.59,60.682,58.697,60.388,60.388,1.83%,3430830
2015/4/17,59.533,60.28,59.365,60.078,60.078,-0.51%,3419364
2015/4/20,60.433,61.575,60.083,61.442,61.442,2.27%,4075429
2015/4/21,61.643,62.116,60.415,60.748,60.748,-1.13%,4314352
2015/4/22,58.998,59.615,57.352,57.437,57.437,-5.45%,6385245
2015/4/23,57.255,57.698,56.944,56.974,56.974,-0.81%,3642276
2015/4/24,56.148,57.155,56.024,56.213,56.213,-1.34%,3005049
2015/4/27,56.213,56.868,55.528,55.613,55.613,-1.07%,2783549
2015/4/28,55.667,56.484,54.881,56.104,56.104,0.88%,3103104
2015/4/29,56.104,56.148,55,55.503,55.503,-1.07%,2240543
2015/4/30,55.432,55.458,54.61,55.109,55.109,-0.71%,2920448
2015/5/1,54.946,55.489,54.759,55.329,55.329,0.40%,2530199
2015/5/4,55.556,55.73,54.778,55.373,55.373,0.08%,2439884
2015/5/5,55.059,55.373,54.694,54.773,54.773,-1.08%,2413550
2015/5/6,54.928,55.194,53.652,54.301,54.301,-0.86%,3752301
2015/5/7,54.348,55.041,53.947,54.348,54.348,0.09%,2671850
2015/5/8,54.829,55.039,54.328,54.924,54.924,1.06%,2240327
2015/5/11,54.869,55.368,54.337,55.152,55.152,0.42%,2636201
2015/5/12,54.778,55.462,54.496,54.982,54.982,-0.31%,3047133
2015/5/13,54.899,55.602,54.792,55.384,55.384,0.73%,2581976
2015/5/14,55.638,56.217,55.09,55.817,55.817,0.78%,2718083
2015/5/15,56.095,56.095,55.492,55.962,55.962,0.26%,1797778
2015/5/18,55.85,56.044,55.567,55.85,55.85,-0.20%,2083511
2015/5/19,55.924,55.999,55.515,55.873,55.873,0.04%,1380025
2015/5/20,56,56.007,54.574,54.708,54.708,-2.09%,3203607
2015/5/21,54.553,55.267,54.528,54.994,54.994,0.52%,1836667
2015/5/22,54.977,55.33,54.739,55.03,55.03,0.07%,1843030
2015/5/26,54.889,54.915,54.05,54.13,54.13,-1.64%,2045810
2015/5/27,54.129,54.893,53.944,54.851,54.851,1.33%,2742482
2015/5/28,54.613,54.777,53.823,53.978,53.978,-1.59%,2620370
2015/5/29,54.007,54.778,53.704,54.194,54.194,0.40%,3918531
2015/6/1,54.596,56.62,54.371,55.798,55.798,2.96%,5115398
2015/6/2,55.615,55.66,55.111,55.459,55.459,-0.61%,2137151
2015/6/3,55.438,55.82,55.098,55.682,55.682,0.40%,1262854
2015/6/4,55.414,55.511,54.858,55.138,55.138,-0.98%,1350037
2015/6/5,55.26,55.371,54.568,55.009,55.009,-0.23%,1056925
2015/6/8,55.103,55.402,54.44,54.507,54.507,-0.91%,1420939
2015/6/9,54.382,55.413,54.159,55.247,55.247,1.36%,2508113
2015/6/10,55.306,56.438,54.944,56.023,56.023,1.40%,3337212
2015/6/11,55.821,56.531,55.268,55.36,55.36,-1.18%,2608535
2015/6/12,55.061,55.321,54.604,55.073,55.073,-0.52%,2436581
2015/6/15,54.809,55.064,54.114,54.631,54.631,-0.80%,1710703
2015/6/16,54.721,55.078,54.473,54.537,54.537,-0.17%,1437274
2015/6/17,54.663,55.293,54.111,54.314,54.314,-0.41%,2870642
2015/6/18,54.591,55.264,54.408,55.111,55.111,1.47%,2076482
2015/6/19,55.081,55.414,54.773,54.972,54.972,-0.25%,3506925
2015/6/22,55.306,55.759,54.961,55.494,55.494,0.95%,1705969
2015/6/23,55.397,55.928,55.111,55.18,55.18,-0.57%,1589950
2015/6/24,55.297,55.549,54.704,54.717,54.717,-0.84%,1103068
2015/6/25,54.794,56.111,54.794,54.984,54.984,0.49%,2327132
2015/6/26,55.27,55.914,55.041,55.239,55.239,0.46%,3351585
2015/6/29,54.657,55.022,53.698,53.753,53.753,-2.69%,1740331
2015/6/30,54.269,54.269,53.343,53.833,53.833,0.15%,2894312
2015/7/1,54.159,54.472,53.642,53.982,53.982,0.28%,2497889
2015/7/2,54.207,54.249,53.567,54.032,54.032,0.09%,1957429
2015/7/6,53.07,53.624,52.31,53.122,53.122,-1.68%,4225027
2015/7/7,53.382,53.549,52.348,53.497,53.497,0.71%,1650727
2015/7/8,53.373,53.802,52.747,53.183,53.183,-0.59%,1841689
2015/7/9,53.877,54.062,53.286,53.497,53.497,0.59%,1211203
2015/7/10,54.056,54.353,53.778,54.208,54.208,1.33%,1145593
2015/7/13,53.45,55.453,53.45,55.282,55.282,1.98%,1990270
2015/7/14,55.444,55.489,54.295,54.661,54.661,-1.12%,2924219
2015/7/15,54.823,55.129,54.329,54.498,54.498,-0.30%,2905634
2015/7/16,54.757,54.929,54.307,54.446,54.446,-0.10%,1979191
2015/7/17,54.434,54.644,54.093,54.423,54.423,-0.04%,2668178
2015/7/20,54.379,55.442,54.159,55.29,55.29,1.59%,1976617
2015/7/21,55.299,56.41,55.107,56.121,56.121,1.50%,4389052
2015/7/22,62.333,62.762,60.82,61.098,61.098,8.87%,11735219
2015/7/23,61.11,62.285,60.618,61.911,61.911,1.33%,4451467
2015/7/24,58.788,61.4,58.171,60.675,60.675,-2.00%,6120951
2015/7/27,59.917,60.611,59.755,60.461,60.461,-0.35%,4217908
2015/7/28,60.144,60.389,59.778,60.029,60.029,-0.71%,3214209
2015/7/29,59.844,60.485,59.535,60.032,60.032,0.00%,1646479
2015/7/30,60.012,60.191,59.572,59.958,59.958,-0.12%,1627723
2015/7/31,60.009,60.009,59.11,59.241,59.241,-1.20%,2163080
2015/8/3,59.073,59.277,57.905,58.5,58.5,-1.25%,2942471
2015/8/4,58.24,58.774,58.018,58.528,58.528,0.05%,1640179
2015/8/5,58.817,59.383,58.817,59.008,59.008,0.82%,1652590
2015/8/6,58.851,59.169,58.167,58.23,58.23,-1.32%,1585144
2015/8/7,58.238,59.332,57.903,59.221,59.221,1.70%,2170982
2015/8/10,59.328,59.333,58.787,59.14,59.14,-0.14%,2571590
2015/8/11,59.111,59.333,58.435,58.871,58.871,-0.45%,1682848
2015/8/12,58.657,58.934,58.333,58.809,58.809,-0.11%,2582669
2015/8/13,58.758,59.065,58.422,58.652,58.652,-0.27%,1569052
2015/8/14,58.7,58.928,58.369,58.874,58.874,0.38%,1108162
2015/8/17,58.658,59.3,58.112,59.228,59.228,0.60%,1389673
2015/8/18,59.362,59.362,58.725,58.855,58.855,-0.63%,1312588
2015/8/19,58.967,58.967,58.093,58.513,58.513,-0.58%,2454815
2015/8/20,58.009,58.287,57.093,57.135,57.135,-2.36%,2111645
2015/8/21,56.627,57.117,55.87,56.315,56.315,-1.44%,3151686
2015/8/24,53.514,55.568,52.781,54.534,54.534,-3.16%,4437769
2015/8/25,55.556,56.657,54.778,54.94,54.94,0.74%,4410841
2015/8/26,56.243,56.532,55.107,56.494,56.494,2.83%,2914292
2015/8/27,56.967,57.299,56.632,57.285,57.285,1.40%,2210600
2015/8/28,56.932,57.388,56.754,57.138,57.138,-0.26%,1221688
2015/8/31,56.909,57.522,56.717,56.772,56.772,-0.64%,2059904
