Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,88.74,88.816,87.69,87.76,79.984,-1.24%,636203
2015/3/25,87.96,87.96,85.61,85.66,78.07,-2.39%,860877
2015/3/26,85.42,85.86,84.76,85.39,77.824,-0.32%,1025966
2015/3/27,85.48,85.56,84.71,84.79,77.277,-0.70%,746489
2015/3/30,85.39,85.76,85.092,85.33,77.769,0.64%,701544
2015/3/31,84.87,85.54,84.87,85.395,77.828,0.08%,515431
2015/4/1,85.46,85.67,83.98,85.235,77.682,-0.19%,628901
2015/4/2,85.46,85.81,84.13,84.17,76.712,-1.25%,672548
2015/4/6,83.75,85.68,83.57,84.77,77.259,0.71%,987107
2015/4/7,84.72,85.28,84.62,84.69,77.186,-0.09%,694617
2015/4/8,84.97,86.18,84.74,86.16,78.525,1.74%,746471
2015/4/9,85.92,86.58,85.84,86.45,78.79,0.34%,788340
2015/4/10,86.78,87.73,86.55,87.665,79.897,1.41%,661611
2015/4/13,87.95,88.18,87.5,87.73,79.956,0.07%,1619432
2015/4/14,88.79,92.5,88.584,91.82,83.684,4.66%,2466031
2015/4/15,92.45,93.5,91.54,91.7,83.575,-0.13%,1521462
2015/4/16,91.77,92.2,91.02,91.32,83.228,-0.41%,966121
2015/4/17,90.75,90.94,89.85,90.18,82.189,-1.25%,1108883
2015/4/20,92.21,92.28,90.84,91.5,83.392,1.46%,1322379
2015/4/21,91.99,92.44,91.77,92,83.848,0.55%,586496
2015/4/22,92.39,92.39,91.23,91.78,83.647,-0.24%,643410
2015/4/23,91.75,92.15,91.16,91.47,83.365,-0.34%,799270
2015/4/24,91.75,91.75,90.75,90.925,82.868,-0.60%,730017
2015/4/27,90.95,91,89.12,89.26,81.351,-1.83%,961513
2015/4/28,88.81,89.86,88.42,89.13,81.232,-0.15%,978466
2015/4/29,89.08,89.08,87.79,87.8,80.02,-1.49%,570466
2015/4/30,87.58,88.27,86.855,87.2,79.473,-0.68%,744356
2015/5/1,87.52,88.42,87.432,88.13,80.321,1.07%,680350
2015/5/4,88.25,89.39,88.213,88.29,80.467,0.18%,655548
2015/5/5,88.15,88.35,86.94,87.11,79.391,-1.34%,477672
2015/5/6,87.3,87.75,86.69,87.21,79.674,0.11%,829683
2015/5/7,87.02,87.88,86.876,87.31,79.765,0.11%,717954
2015/5/8,87.99,88.62,87.41,87.43,79.875,0.14%,651575
2015/5/11,87.51,88.05,87.25,87.4,79.847,-0.03%,680849
2015/5/12,87.05,87.39,86.18,86.35,78.888,-1.20%,1028256
2015/5/13,86.37,86.72,85.53,85.815,78.399,-0.62%,822809
2015/5/14,87.2,88.39,86.68,87.75,80.167,2.25%,1024102
2015/5/15,87.85,88.65,87.55,88.63,80.971,1.00%,687729
2015/5/18,88.4,89.06,88.13,88.97,81.282,0.38%,417243
2015/5/19,89.18,89.28,88.42,88.55,80.898,-0.47%,386440
2015/5/20,88.44,88.68,86.73,86.77,79.272,-2.01%,796391
2015/5/21,86.63,86.71,85.82,86.48,79.007,-0.33%,788003
2015/5/22,86.21,86.44,85.1,85.24,77.874,-1.43%,639842
2015/5/26,84.89,85.19,84.15,84.73,77.408,-0.60%,888485
2015/5/27,84.75,85.55,84.35,85.32,77.947,0.70%,620195
2015/5/28,85.41,85.61,84.09,84.59,77.28,-0.86%,533668
2015/5/29,83.63,84.17,82.91,84.02,76.759,-0.67%,1817589
2015/6/1,84.16,84.475,83.16,83.65,76.421,-0.44%,829158
2015/6/2,83.49,84.9,83.36,84.66,77.344,1.21%,898691
2015/6/3,84.89,86.2,84.54,85.52,78.13,1.02%,792598
2015/6/4,85.5,85.9,84.98,85.45,78.066,-0.08%,728463
2015/6/5,85.28,86.34,85.16,86.07,78.632,0.73%,535594
2015/6/8,85.8,86.13,84.8,84.8,77.472,-1.48%,439335
2015/6/9,85.09,85.56,84.68,84.85,77.518,0.06%,477257
2015/6/10,86.06,86.78,85.74,86.18,78.733,1.57%,717457
2015/6/11,86.22,87.49,86.1,86.93,79.418,0.87%,898941
2015/6/12,86.5,86.59,85.66,86.26,78.806,-0.77%,640001
2015/6/15,85.83,85.83,84.82,85.44,78.057,-0.95%,414993
2015/6/16,85.16,85.62,84.83,85.32,77.947,-0.14%,392328
2015/6/17,85.47,85.47,84.88,85.21,77.847,-0.13%,595895
2015/6/18,85.33,86.7,84.942,86.32,78.861,1.30%,459363
2015/6/19,86.55,87.88,86.07,87.06,79.537,0.86%,775409
2015/6/22,87.37,88.04,86.79,87.615,80.044,0.64%,536910
2015/6/23,87.4,87.63,87.08,87.59,80.021,-0.03%,583246
2015/6/24,87.47,87.61,84.12,84.97,77.627,-2.99%,1314814
2015/6/25,85,85.36,83.83,83.92,76.668,-1.24%,1066459
2015/6/26,84.08,84.25,83.73,83.82,76.577,-0.12%,689609
2015/6/29,83.6,85.17,82.96,83.05,75.873,-0.92%,2435421
2015/6/30,83.88,84.23,82.06,82.09,74.996,-1.16%,19062317
2015/7/1,82.49,83.55,82.26,82.87,75.709,0.95%,1750489
2015/7/2,82.91,83.335,81.9,82.11,75.015,-0.92%,1104620
