Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,102.83,103.23,101.93,101.96,77.295,-0.99%,8379742
2015/3/25,101.85,102.5,100.34,100.34,76.067,-1.59%,8443719
2015/3/26,99.95,100.81,99.56,100.14,75.915,-0.20%,9972371
2015/3/27,100.28,100.95,100.15,100.34,76.067,0.20%,5847382
2015/3/30,101.24,101.86,100.76,101.55,76.984,1.21%,6060862
2015/3/31,100.97,101.49,100.59,100.6,76.264,-0.94%,8027487
2015/4/1,100.46,100.46,98.61,99.15,75.165,-1.44%,11368126
2015/4/2,99.44,99.99,98.89,99.64,75.536,0.49%,6097146
2015/4/6,98.84,99.56,98.04,99.16,75.173,-0.48%,9697048
2015/4/7,99.55,100.87,99.433,100.1,75.885,0.95%,7900288
2015/4/8,99.84,100.45,99.6,100.16,75.931,0.06%,7354110
2015/4/9,100.57,101.65,100.33,101.33,76.818,1.17%,8062314
2015/4/10,101.33,102.14,100.93,102.06,77.371,0.72%,6786446
2015/4/13,101.54,101.98,100.55,100.55,76.226,-1.48%,10753497
2015/4/14,101.05,101.46,100.185,100.52,76.204,-0.03%,9322175
2015/4/15,100.54,101.24,100.33,100.6,76.264,0.08%,8237103
2015/4/16,100.27,100.32,99.77,99.79,75.65,-0.81%,7324783
2015/4/17,99.37,99.852,99.11,99.58,75.491,-0.21%,11079673
2015/4/20,100.26,100.88,100.05,100.21,75.969,0.63%,6668541
2015/4/21,100.66,100.99,100.16,100.3,76.037,0.09%,6532698
2015/4/22,100.63,100.8,99.96,100.43,76.135,0.13%,4764283
2015/4/23,100.5,100.82,99.91,100.46,76.158,0.03%,7342331
2015/4/24,100.11,101.529,100,101.08,76.628,0.62%,6566915
2015/4/27,101.16,101.6,100.47,100.58,76.249,-0.49%,9109833
2015/4/28,100.45,100.946,99.31,100.74,76.37,0.16%,7484581
2015/4/29,100.51,100.61,99.9,100.39,76.105,-0.35%,8919531
2015/4/30,100.07,100.15,98.77,99.2,75.203,-1.19%,10170210
2015/5/1,99.62,100.39,99.62,100.13,75.908,0.94%,6255973
2015/5/4,100.33,100.55,100.16,100.35,76.075,0.22%,5524492
2015/5/5,100.13,100.29,99.29,99.5,75.43,-0.85%,8828129
2015/5/6,99.62,99.87,98.66,99.17,75.18,-0.33%,8030106
2015/5/7,98.94,100,98.91,99.66,75.552,0.49%,6401552
2015/5/8,100.48,101.67,100.443,101.47,76.924,1.82%,7508622
