Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,23.78,23.89,23.4,23.4,18.25,-1.89%,6038928
2015/3/25,23.42,23.5,22.7,22.71,17.712,-2.95%,4227936
2015/3/26,22.55,22.56,22.13,22.31,17.4,-1.76%,6027248
2015/3/27,22.3,22.47,22.185,22.29,17.384,-0.09%,4002811
2015/3/30,22.47,22.62,22.205,22.53,17.571,1.08%,4449987
2015/3/31,22.45,22.67,22.43,22.58,17.61,0.22%,3940296
2015/4/1,22.5,22.625,22.21,22.5,17.548,-0.35%,3832624
2015/4/2,22.51,22.68,22.43,22.58,17.61,0.36%,3644899
2015/4/6,22.49,22.74,22.32,22.7,17.704,0.53%,6025183
2015/4/7,22.73,23.66,22.7,23.42,18.265,3.17%,6326993
2015/4/8,23.42,23.62,23.25,23.34,18.203,-0.34%,7304576
2015/4/9,23.37,23.73,23.26,23.67,18.46,1.41%,5063006
2015/4/10,23.76,23.86,23.61,23.77,18.538,0.42%,3746314
2015/4/13,23.77,23.95,23.59,23.6,18.406,-0.72%,3587898
2015/4/14,23.78,24.185,23.72,23.99,18.71,1.65%,8376649
2015/4/15,24.38,24.48,24.09,24.38,19.014,1.63%,10147475
2015/4/16,24.27,24.49,24.18,24.29,18.944,-0.37%,5969393
2015/4/17,24.05,24.1,23.55,23.73,18.507,-2.31%,6149146
2015/4/20,23.9,24.16,23.74,24.14,18.827,1.73%,3204068
2015/4/21,24.15,24.29,23.93,24.17,18.85,0.12%,4276062
2015/4/22,24.25,24.45,23.78,24.39,19.022,0.91%,5181908
2015/4/23,24.13,24.24,23.62,24,18.718,-1.60%,9059273
2015/4/24,25.7,26.27,25.67,26.14,20.387,8.92%,18566612
2015/4/27,26.18,26.635,26.04,26.44,20.621,1.15%,9979328
2015/4/28,26.3,26.93,26.15,26.83,20.925,1.48%,6954092
2015/4/29,26.66,26.83,26.35,26.63,20.769,-0.75%,6384308
2015/4/30,26.46,26.7,26.28,26.43,20.613,-0.75%,3959164
2015/5/1,26.7,27,26.7,26.91,20.987,1.82%,5920130
2015/5/4,26.9,27.09,26.87,27.07,21.112,0.59%,3973734
2015/5/5,26.99,27.19,26.62,26.68,20.808,-1.44%,5360909
2015/5/6,26.84,27.06,26.51,26.67,20.8,-0.04%,4718560
2015/5/7,26.71,26.89,26.66,26.73,20.847,0.22%,3343470
2015/5/8,26.95,27.23,26.94,26.98,21.042,0.94%,4197123
2015/5/11,27.02,27.284,26.97,27.09,21.128,0.41%,4597930
2015/5/12,27.36,27.38,26.8,27.05,21.096,-0.15%,4882727
2015/5/13,27.17,27.3,27.09,27.16,21.182,0.41%,3682710
2015/5/14,27.23,27.44,27.17,27.44,21.401,1.03%,3529639
2015/5/15,27.45,27.47,27.12,27.32,21.307,-0.44%,3546613
2015/5/18,27.35,27.69,27.27,27.62,21.541,1.10%,3685407
2015/5/19,27.67,27.7,27.36,27.53,21.471,-0.33%,3720889
2015/5/20,27.51,27.735,27.38,27.6,21.525,0.25%,3277655
2015/5/21,27.55,27.66,27.23,27.59,21.518,-0.04%,3318097
2015/5/22,27.59,27.67,27.32,27.6,21.525,0.04%,2977687
2015/5/26,27.46,27.46,26.87,26.98,21.042,-2.25%,4404673
2015/5/27,27.25,28.26,27.25,27.81,21.689,3.08%,10933378
2015/5/28,27.84,27.93,27.61,27.65,21.564,-0.58%,5143604
2015/5/29,27.54,28,27.54,27.8,21.759,0.54%,8199186
2015/6/1,27.33,27.55,26.65,27.06,21.18,-2.66%,8274113
2015/6/2,27.07,27.415,27.06,27.25,21.329,0.70%,3735424
2015/6/3,27.36,27.5,27.23,27.38,21.431,0.48%,3979518
2015/6/4,27.38,27.47,27.07,27.15,21.251,-0.84%,3415446
2015/6/5,27.12,27.515,27.03,27.38,21.431,0.85%,3447726
2015/6/8,27.42,27.56,27.03,27.18,21.274,-0.73%,2741924
2015/6/9,27.24,27.45,26.996,27.4,21.446,0.81%,3662270
2015/6/10,27.52,27.74,27.51,27.68,21.665,1.02%,3447646
2015/6/11,27.8,28.105,27.77,27.92,21.853,0.87%,3626446
2015/6/12,27.69,27.76,27.37,27.39,21.438,-1.90%,3577218
2015/6/15,27.12,27.22,26.72,27.18,21.274,-0.77%,4614664
2015/6/16,27.17,27.505,27.09,27.44,21.478,0.96%,3892778
2015/6/17,27.54,27.59,27.11,27.42,21.462,-0.07%,4931756
2015/6/18,27.96,28.1,27.45,27.89,21.83,1.71%,6995630
2015/6/19,27.9,27.91,27.18,27.26,21.337,-2.26%,8004823
2015/6/22,26.89,27.18,26.66,27.02,21.149,-0.88%,8598323
2015/6/23,27.04,27.2,26.93,27.19,21.282,0.63%,4089457
2015/6/24,27.15,27.3,26.785,26.88,21.039,-1.14%,4820051
2015/6/25,26.82,27.12,26.78,26.96,21.102,0.30%,3403759
2015/6/26,26.93,26.93,26.32,26.59,20.812,-1.37%,6455222
2015/6/29,26.32,26.465,26.03,26.11,20.437,-1.81%,4607300
2015/6/30,26.28,26.3,25.96,25.97,20.327,-0.54%,4493467
2015/7/1,26.32,26.44,26.07,26.3,20.585,1.27%,3708764
2015/7/2,26.34,26.39,25.99,26.11,20.437,-0.72%,4327430
2015/7/6,25.9,25.91,25.51,25.75,20.155,-1.38%,5210848
2015/7/7,25.77,25.97,25.085,25.89,20.264,0.54%,4510872
2015/7/8,25.7,25.9,25.49,25.61,20.045,-1.08%,4803188
2015/7/9,26.01,26.21,25.61,25.71,20.123,0.39%,5845379
2015/7/10,26,26.25,25.92,26.15,20.468,1.71%,4682616
2015/7/13,26.21,26.3,25.98,26.14,20.46,-0.04%,3566810
2015/7/14,26.16,26.265,25.91,26.06,20.397,-0.31%,5192117
2015/7/15,26.05,26.38,26.02,26.15,20.468,0.35%,2929294
2015/7/16,26.27,26.545,26.2,26.35,20.624,0.76%,3646161
2015/7/17,26.44,26.535,26.18,26.39,20.656,0.15%,3261488
2015/7/20,26.4,26.56,26.3,26.36,20.632,-0.11%,6132916
2015/7/21,26.29,26.59,26.15,26.34,20.617,-0.08%,3935975
2015/7/22,26.05,26.19,25.85,26.19,20.499,-0.57%,4267867
2015/7/23,26.39,26.61,26.34,26.49,20.734,1.15%,5959658
2015/7/24,28.63,29.13,27.37,27.54,21.556,3.96%,35124008
2015/7/27,27.51,27.75,27.37,27.43,21.47,-0.40%,10584543
2015/7/28,27.59,27.62,27.07,27.57,21.579,0.51%,15045228
2015/7/29,27.35,27.6,26.95,27.48,21.509,-0.33%,10531312
2015/7/30,27.47,27.99,27.24,27.96,21.885,1.75%,6948096
2015/7/31,28,28.6,27.98,28.42,22.245,1.65%,8135146
2015/8/3,28.35,28.38,28.02,28.17,22.049,-0.88%,5259467
2015/8/4,28.24,28.29,27.955,27.98,21.9,-0.67%,4091608
2015/8/5,28.25,28.565,28.125,28.25,22.112,0.96%,5919644
2015/8/6,28.36,28.46,27.96,28.01,21.924,-0.85%,4192748
2015/8/7,27.95,28.11,27.74,28.06,21.963,0.18%,4085640
2015/8/10,28.22,28.433,28.12,28.39,22.221,1.18%,5460030
2015/8/11,28.26,28.26,27.69,27.88,21.822,-1.80%,2573221
2015/8/12,27.73,28.18,27.42,28.15,22.033,0.97%,4986941
2015/8/13,28.4,28.61,28.14,28.17,22.049,0.07%,3649538
2015/8/14,28.15,28.26,27.97,28.19,22.065,0.07%,2772607
2015/8/17,28,28.345,27.93,28.32,22.166,0.46%,2234800
2015/8/18,28.32,28.34,28.1,28.12,22.01,-0.71%,3746211
2015/8/19,28.07,28.26,27.942,28.05,21.955,-0.25%,5209035
2015/8/20,27.88,28,27.145,27.36,21.415,-2.46%,6168101
2015/8/21,27.14,27.28,26.53,26.56,20.789,-2.92%,6081558
2015/8/24,25.43,26.24,24.78,25.56,20.006,-3.77%,11250680
2015/8/25,26.21,26.29,24.86,24.88,19.474,-2.66%,6940694
2015/8/26,25.57,25.605,24.79,25.57,20.014,2.77%,6444660
2015/8/27,25.77,26.23,25.47,26,20.35,1.68%,5284154
2015/8/28,25.91,26.09,25.71,25.98,20.413,-0.08%,5214272
2015/8/31,25.75,26,25.64,25.71,20.201,-1.04%,3166449
2015/9/1,25.18,25.534,24.74,24.94,19.596,-2.99%,6496152
2015/9/2,25.35,25.35,24.82,25.31,19.887,1.48%,4232833
2015/9/3,25.21,25.55,25.07,25.27,19.855,-0.16%,5024697
2015/9/4,24.98,25.265,24.89,25.06,19.69,-0.83%,4442184
2015/9/8,25.4,25.58,25.14,25.55,20.075,1.96%,4157413
2015/9/9,25.89,26,25.2,25.25,19.839,-1.17%,4724269
2015/9/10,25.33,25.77,25.225,25.62,20.13,1.47%,4334886
2015/9/11,25.29,25.45,25.07,25.26,19.847,-1.41%,3083798
2015/9/14,25.37,25.4,25.153,25.33,19.902,0.28%,3569275
2015/9/15,25.34,25.855,25.32,25.8,20.272,1.86%,3766676
2015/9/16,25.79,26.02,25.75,25.96,20.397,0.62%,4660496
2015/9/17,25.83,26.15,25.7,25.81,20.28,-0.58%,4404949
2015/9/18,25.5,25.97,25.45,25.54,20.067,-1.05%,7529401
2015/9/21,25.6,26,25.55,25.76,20.24,0.86%,4944026
2015/9/22,25.37,25.49,25.03,25.25,19.839,-1.98%,4036092
2015/9/23,25.33,25.45,25.13,25.36,19.926,0.44%,3768802
2015/9/24,25.13,25.365,24.84,25.31,19.887,-0.20%,3936840
2015/9/25,25.53,25.68,25.14,25.28,19.863,-0.12%,4795462
2015/9/28,25.22,25.44,24.875,24.91,19.572,-1.46%,3734946
2015/9/29,24.91,25.209,24.84,25.04,19.674,0.52%,5227191
2015/9/30,25.31,25.81,25.31,25.71,20.201,2.68%,7291305
2015/10/1,25.71,26.06,25.48,26.04,20.46,1.28%,6796943
2015/10/2,25.74,27.19,25.56,27.17,21.348,4.34%,9329685
2015/10/5,27.62,28.61,27.5,28.5,22.393,4.90%,8587523
2015/10/6,28.5,28.78,28.16,28.42,22.33,-0.28%,7184297
2015/10/7,29.21,29.55,28.43,29.42,23.116,3.52%,13833582
2015/10/8,29.38,30.03,29.3,29.8,23.415,1.29%,8679017
2015/10/9,29.76,29.81,29.11,29.4,23.1,-1.34%,5825271
2015/10/12,29.4,29.75,29.3,29.73,23.36,1.12%,3434743
2015/10/13,29.51,29.98,29.47,29.79,23.407,0.20%,3614614
2015/10/14,29.77,30.18,29.5,29.55,23.218,-0.81%,5187818
2015/10/15,29.62,30.13,29,30,23.572,1.52%,4502402
