Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,60.97,61.24,60.45,60.46,45.92,-1.11%,12113298
2015/3/25,60.53,60.64,59.59,59.61,45.274,-1.41%,14949272
2015/3/26,59.46,59.79,58.87,59.54,45.221,-0.12%,14039559
2015/3/27,59.49,59.78,59,59.55,45.229,0.02%,11755819
2015/3/30,60.88,61.46,60.61,60.96,46.299,2.37%,20653590
2015/3/31,60.72,60.94,60.42,60.58,46.011,-0.62%,17343118
2015/4/1,60.41,60.57,59.73,59.95,45.836,-1.04%,18100587
2015/4/2,60.07,60.7,60,60.52,46.272,0.95%,12697771
2015/4/6,59.92,60.75,59.65,60.47,46.234,-0.08%,12025025
2015/4/7,61.15,61.5,60.85,60.85,46.524,0.63%,11504003
2015/4/8,61.06,61.56,60.94,61.05,46.677,0.33%,11733950
2015/4/9,61.27,61.575,60.83,61.47,46.998,0.69%,11717830
2015/4/10,61.35,61.78,61.2,61.7,47.174,0.37%,9868670
2015/4/13,61.64,62.27,61.5,62.07,47.457,0.60%,15468702
2015/4/14,62.96,63.61,62.74,63.04,48.199,1.56%,33775406
2015/4/15,63.08,64.48,63.01,64.21,49.093,1.86%,28732225
2015/4/16,64.08,64.27,63.66,63.81,48.787,-0.62%,16640454
2015/4/17,63.25,63.4,62.49,62.84,48.046,-1.52%,20210114
2015/4/20,63.22,63.52,63.14,63.24,48.352,0.64%,12755309
2015/4/21,63.33,63.6,62.13,62.31,47.641,-1.47%,14985119
2015/4/22,62.65,63.15,62.03,62.94,48.122,1.01%,14484658
2015/4/23,62.79,63.21,62.6,62.8,48.015,-0.22%,12832789
2015/4/24,62.63,62.84,62.34,62.6,47.862,-0.32%,9597525
2015/4/27,62.7,63.15,62.31,62.34,47.663,-0.42%,11129732
2015/4/28,62.49,62.78,61.77,62.76,47.985,0.67%,12307828
2015/4/29,62.56,63.89,62.46,63.6,48.627,1.34%,17584942
2015/4/30,63.58,63.88,62.92,63.26,48.367,-0.53%,16839165
2015/5/1,63.7,63.87,63.33,63.61,48.634,0.55%,11640805
2015/5/4,63.68,64.87,63.64,64.72,49.483,1.75%,14948111
2015/5/5,64.51,65.32,64.29,64.4,49.238,-0.49%,17692169
2015/5/6,64.53,65.07,63.42,63.92,48.872,-0.75%,18085612
2015/5/7,63.67,64.595,63.25,64.5,49.315,0.91%,15038636
2015/5/8,64.97,65.65,64.6,65.49,50.072,1.53%,16802261
2015/5/11,65.26,65.64,65.075,65.45,50.041,-0.06%,13799675
2015/5/12,65.31,65.54,64.76,65.36,49.972,-0.14%,12762184
2015/5/13,65.42,65.63,65.06,65.52,50.095,0.24%,11874274
