Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,14.5,14.5,14.31,14.31,9.673,-1.65%,10217816
2015/3/25,14.3,14.31,13.98,14.03,9.484,-1.96%,11280065
2015/3/26,14,14.195,13.9,14.15,9.565,0.86%,10578974
2015/3/27,14.12,14.12,13.92,14,9.464,-1.06%,7237394
2015/3/30,14.14,14.28,14.095,14.2,9.599,1.43%,4981766
2015/3/31,14.02,14.18,14.01,14.16,9.572,-0.28%,8104263
2015/4/1,14.09,14.18,13.99,14.16,9.572,0.00%,17691359
2015/4/2,14.1,14.28,14.1,14.25,9.632,0.64%,8030403
2015/4/6,14.09,14.2,13.93,14.16,9.572,-0.63%,7257573
2015/4/7,14.21,14.34,14.115,14.25,9.632,0.64%,8558727
2015/4/8,14.23,14.36,14.15,14.19,9.592,-0.42%,6580370
2015/4/9,14.18,14.25,14.07,14.19,9.592,0.00%,6776493
2015/4/10,14.18,14.21,14.01,14.06,9.504,-0.92%,9370341
2015/4/13,14.05,14.26,14.03,14.25,9.632,1.35%,15194081
2015/4/14,14.24,14.3,14.06,14.1,9.531,-1.05%,14361195
2015/4/15,14.07,14.29,14.06,14.19,9.592,0.64%,10846257
2015/4/16,14.06,14.53,13.9,14.4,9.734,1.48%,21619429
2015/4/17,14.29,14.37,14,14.09,9.524,-2.15%,11848421
2015/4/20,14.19,14.335,14.13,14.21,9.605,0.85%,8117884
2015/4/21,14.26,14.315,14.18,14.18,9.585,-0.21%,7977793
2015/4/22,14.16,14.37,14.06,14.34,9.693,1.13%,10232017
2015/4/23,14.32,14.39,14.22,14.34,9.693,0.00%,9558082
2015/4/24,14.33,14.33,14.22,14.23,9.619,-0.77%,7453170
2015/4/27,14.25,14.32,14.11,14.11,9.538,-0.84%,6984658
2015/4/28,14.1,14.28,14.005,14.26,9.639,1.06%,7509746
2015/4/29,14.21,14.56,14.21,14.49,9.795,1.61%,11081790
2015/4/30,14.54,14.62,14.37,14.45,9.768,-0.28%,11544523
2015/5/1,14.52,14.57,14.36,14.4,9.734,-0.35%,6469561
2015/5/4,14.5,14.64,14.41,14.63,9.889,1.60%,7626092
2015/5/5,14.57,14.83,14.54,14.65,9.903,0.14%,16124288
2015/5/6,14.41,14.71,14.38,14.46,9.774,-1.30%,19322078
2015/5/7,14.49,14.5,14.29,14.35,9.7,-0.76%,11857379
2015/5/8,14.45,14.6,14.33,14.58,9.856,1.60%,9149169
2015/5/11,14.59,14.805,14.53,14.74,9.964,1.10%,7701600
2015/5/12,14.65,14.79,14.51,14.72,9.95,-0.14%,14789775
2015/5/13,14.72,14.97,14.66,14.92,10.085,1.36%,16406268
2015/5/14,14.96,15.06,14.845,14.93,10.092,0.07%,11426382
2015/5/15,15,15,14.64,14.7,9.937,-1.54%,12852921
2015/5/18,14.73,14.9,14.7,14.86,10.045,1.09%,6735511
2015/5/19,14.92,15.11,14.88,15.11,10.214,1.68%,9194127
2015/5/20,15.08,15.1,14.93,14.97,10.119,-0.93%,6145384
2015/5/21,14.92,15.03,14.86,14.92,10.085,-0.33%,6833276
2015/5/22,14.94,15,14.84,14.9,10.072,-0.13%,4169181
2015/5/26,14.8,14.86,14.68,14.82,10.018,-0.54%,10448996
2015/5/27,14.88,15,14.83,14.95,10.106,0.88%,8899316
2015/5/28,14.94,14.98,14.83,14.86,10.045,-0.60%,6664831
2015/5/29,14.78,14.815,14.58,14.58,9.906,-1.88%,12133012
2015/6/1,14.64,14.675,14.35,14.51,9.859,-0.48%,9810478
