Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,38.94,38.99,38.3,38.68,38.68,-0.54%,569447
2015/3/25,38.63,38.78,37.21,37.26,37.26,-3.67%,441840
2015/3/26,37.09,37.25,36.6,36.72,36.72,-1.45%,479507
2015/3/27,36.73,36.73,36.22,36.27,36.27,-1.23%,413528
2015/3/30,36.36,36.7,36.05,36.12,36.12,-0.41%,630743
2015/3/31,36.09,37.32,35.94,37.15,37.15,2.85%,809102
2015/4/1,37.18,37.48,36.43,36.61,36.61,-1.45%,593701
2015/4/2,36.73,37.47,36.62,36.79,36.79,0.49%,395303
2015/4/6,36.7,36.89,36.45,36.73,36.73,-0.16%,933511
2015/4/7,36.68,36.88,36.29,36.38,36.38,-0.95%,556471
2015/4/8,36.52,36.72,36.34,36.49,36.49,0.30%,497850
2015/4/9,36.4,37.24,36.4,37.18,37.18,1.89%,336832
2015/4/10,37.17,37.39,36.75,37.05,37.05,-0.35%,505049
2015/4/13,36.98,37.45,36.58,36.59,36.59,-1.24%,228258
2015/4/14,36.46,36.76,36.051,36.15,36.15,-1.20%,351237
2015/4/15,36.25,36.54,36.11,36.19,36.19,0.11%,370633
2015/4/16,36.31,36.31,36,36.07,36.07,-0.33%,389873
2015/4/17,35.93,36.12,35.28,35.36,35.36,-1.97%,616442
2015/4/20,35.47,36.31,35.47,36.13,36.13,2.18%,594623
2015/4/21,36.18,36.36,35.79,36.21,36.21,0.22%,494362
2015/4/22,36.2,36.23,35.89,36.01,36.01,-0.55%,486749
2015/4/23,35.75,35.75,35.355,35.44,35.44,-1.58%,512901
2015/4/24,35.45,35.45,34.97,34.99,34.99,-1.27%,444091
2015/4/27,35.02,35.23,34.15,34.34,34.34,-1.86%,1144725
2015/4/28,34.22,34.42,33.91,33.94,33.94,-1.16%,1625489
2015/4/29,33.9,33.95,33.58,33.78,33.78,-0.47%,1244676
2015/4/30,33.61,33.98,33.37,33.46,33.46,-0.95%,790119
2015/5/1,33.59,33.87,33.43,33.61,33.61,0.45%,882321
2015/5/4,34.44,35.358,34.44,34.48,34.48,2.59%,1342099
2015/5/5,34.48,34.81,33.98,34,34,-1.39%,880128
2015/5/6,34.11,34.11,33.595,33.65,33.65,-1.03%,587188
2015/5/7,33.71,34.09,33.7,33.91,33.91,0.77%,726347
2015/5/8,34.24,34.7,34.11,34.58,34.58,1.98%,597879
2015/5/11,34.59,35.11,34.52,35.02,35.02,1.27%,586612
2015/5/12,34.85,34.92,34.26,34.76,34.76,-0.74%,670139
2015/5/13,34.9,35.63,34.8,35.25,35.25,1.41%,697799
2015/5/14,35.41,35.49,35.1,35.19,35.19,-0.17%,584748
2015/5/15,35.31,35.45,35.15,35.33,35.33,0.40%,418228
2015/5/18,35.36,36.31,35.35,36.22,36.22,2.52%,905438
2015/5/19,36.2,36.275,34.61,34.99,34.99,-3.40%,1747414
2015/5/20,33.04,33.07,32.25,32.38,32.38,-7.46%,5979425
2015/5/21,32.34,33.11,32.17,33.03,33.03,2.01%,2218580
2015/5/22,33,33.12,32.74,33.08,33.08,0.15%,2249485
2015/5/26,33.01,33.15,32.34,32.61,32.61,-1.42%,1020681
2015/5/27,32.6,33,32.55,32.97,32.97,1.10%,619065
2015/5/28,32.98,32.988,32.7,32.9,32.9,-0.21%,695987
2015/5/29,32.84,33.13,32.78,32.86,32.86,-0.12%,699257
2015/6/1,32.87,32.98,32.69,32.84,32.84,-0.06%,1046705
2015/6/2,32.69,33.105,32.63,32.97,32.97,0.40%,535414
2015/6/3,33.15,33.41,32.94,33.22,33.22,0.76%,837736
2015/6/4,33.06,33.3,32.77,32.88,32.88,-1.02%,498229
2015/6/5,32.93,33.068,32.5,32.89,32.89,0.03%,514843
2015/6/8,32.92,32.98,32.65,32.77,32.77,-0.36%,384661
2015/6/9,32.82,33.005,32.66,32.86,32.86,0.27%,721346
2015/6/10,32.89,33.195,32.79,33.11,33.11,0.76%,1087170
2015/6/11,33.12,33.22,32.94,33.15,33.15,0.12%,1596128
2015/6/12,33.11,33.16,32.92,33.03,33.03,-0.36%,454243
2015/6/15,32.79,32.922,32.35,32.62,32.62,-1.24%,634872
2015/6/16,32.53,32.74,32.28,32.62,32.62,0.00%,472467
2015/6/17,32.68,33.11,32.655,33.01,33.01,1.20%,768042
2015/6/18,32.99,33.4,32.95,33.4,33.4,1.18%,701208
2015/6/19,33.49,33.49,33.16,33.29,33.29,-0.33%,844788
2015/6/22,33.4,33.71,33.19,33.5,33.5,0.63%,898955
2015/6/23,33.55,33.55,32.76,32.89,32.89,-1.82%,903113
2015/6/24,32.94,33,32.441,32.46,32.46,-1.31%,622076
2015/6/25,32.53,32.73,31.955,32.16,32.16,-0.92%,693845
2015/6/26,32.25,32.38,31.73,32.25,32.25,0.28%,3082893
2015/6/29,31.85,32.07,31.38,31.4,31.4,-2.64%,988176
2015/6/30,31.65,31.8,31.02,31.19,31.19,-0.67%,1050594
2015/7/1,31.35,31.394,30.84,31.25,31.25,0.19%,1025434
2015/7/2,31.37,31.59,31.33,31.47,31.47,0.70%,449653
2015/7/6,31.09,31.45,31.01,31.25,31.25,-0.70%,1126768
2015/7/7,31.22,31.48,30.82,31.23,31.23,-0.06%,1156753
2015/7/8,30.93,31.22,30.25,30.38,30.38,-2.72%,936235
2015/7/9,30.62,30.62,30.25,30.32,30.32,-0.20%,1021752
2015/7/10,30.59,30.653,30.29,30.35,30.35,0.10%,707724
2015/7/13,30.53,30.84,30.42,30.74,30.74,1.29%,574172
2015/7/14,30.75,30.94,30.68,30.93,30.93,0.62%,463988
2015/7/15,30.9,31.16,30.5,30.51,30.51,-1.36%,733508
2015/7/16,30.73,31.01,30.69,30.79,30.79,0.92%,2007322
2015/7/17,30.87,30.971,30.5,30.56,30.56,-0.75%,988452
2015/7/20,30.64,30.89,30.55,30.76,30.76,0.65%,499099
2015/7/21,30.7,30.86,30.39,30.42,30.42,-1.11%,709907
2015/7/22,30.18,30.78,30.13,30.74,30.74,1.05%,582881
2015/7/23,30.73,30.86,30.2,30.3,30.3,-1.43%,599445
2015/7/24,30.25,30.44,30.05,30.06,30.06,-0.79%,703438
2015/7/27,30,30,29.65,29.68,29.68,-1.26%,441984
2015/7/28,29.74,30.2,29.515,30.06,30.06,1.28%,773221
2015/7/29,30.07,30.53,29.9,30.49,30.49,1.43%,487508
2015/7/30,30.35,30.66,30.18,30.64,30.64,0.49%,572853
2015/7/31,30.7,31,30.51,30.54,30.54,-0.33%,616121
2015/8/3,30.71,30.89,30.39,30.49,30.49,-0.16%,633658
2015/8/4,30.35,30.71,30.17,30.41,30.41,-0.26%,428593
2015/8/5,30.47,30.9,30.32,30.35,30.35,-0.20%,656723
2015/8/6,30.31,30.38,29.58,29.72,29.72,-2.08%,750055
2015/8/7,29.6,29.86,29.415,29.86,29.86,0.47%,459840
2015/8/10,30.05,30.81,30.04,30.64,30.64,2.61%,463550
2015/8/11,30.17,30.49,29.97,30.08,30.08,-1.83%,584697
2015/8/12,29.69,29.99,29.28,29.88,29.88,-0.66%,636685
2015/8/13,29.91,30.14,29.8,29.91,29.91,0.10%,457191
2015/8/14,29.91,30.39,29.85,30.37,30.37,1.54%,448229
2015/8/17,30.29,30.49,30.15,30.38,30.38,0.03%,601530
2015/8/18,30.38,30.66,29.98,30,30,-1.25%,531508
2015/8/19,29.97,30,29.42,29.54,29.54,-1.53%,805452
2015/8/20,32.55,33.24,32.44,32.77,32.77,10.93%,2895064
