Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/7/7,73.73,74.71,72.96,74.63,48.98,2.29%,5794811
2015/7/8,74.3,75.5,74.04,75.4,49.485,1.03%,4277461
2015/7/9,76.47,77.066,74.5,74.8,49.091,-0.80%,4267057
2015/7/10,75.05,77.8,75,77.31,50.739,3.36%,4982979
2015/7/13,79.5,79.7,77.91,78.83,51.736,1.97%,9078901
2015/7/14,79.45,79.5,77.65,78,51.192,-1.05%,18746119
2015/7/15,77.65,78.17,76.4,76.71,50.345,-1.65%,6330496
2015/7/16,76.97,78.84,76.95,78.75,51.684,2.66%,5634050
2015/7/17,79.43,79.69,77.26,79.63,52.261,1.12%,6100876
2015/7/20,79.95,81.2,79.13,80.11,52.576,0.60%,10284545
2015/7/21,79.97,80.68,79.4,80.22,52.649,0.14%,6123210
2015/7/22,80.83,80.9,78.58,78.64,51.612,-1.97%,5201248
2015/7/23,78.42,78.57,76.64,76.74,50.726,-2.42%,2975649
2015/7/24,76.92,77.43,75.95,76.41,50.507,-0.43%,3116008
2015/7/27,76.63,77.98,76.29,77.38,51.149,1.27%,5774342
2015/7/28,78.44,78.65,77.5,78.32,51.77,1.21%,1895916
2015/7/29,78.26,78.3,77,77.91,51.499,-0.52%,2278559
2015/7/30,78.21,79.69,77.6,79.21,52.358,1.67%,3246987
2015/7/31,79.94,79.94,78.865,79.47,52.53,0.33%,2685520
2015/8/3,80,81.03,79.91,80.37,53.125,1.13%,2681801
2015/8/4,80.57,81,79.67,79.81,52.755,-0.70%,2429632
2015/8/5,80.01,81,79.85,80.48,53.198,0.84%,2684886
2015/8/6,81.05,81.19,79.51,79.76,52.722,-0.89%,3708640
2015/8/7,79.14,79.38,77.29,78.46,51.862,-1.63%,3274134
2015/8/10,79.43,79.8,78.57,78.81,52.094,0.45%,3252284
2015/8/11,77.63,80.48,77.07,77.97,51.539,-1.07%,3889072
2015/8/12,77.83,78.31,76.09,76.69,50.692,-1.64%,3688888
2015/8/13,77.01,77.07,75.8,75.99,50.23,-0.91%,2917485
2015/8/14,76.07,76.74,75.117,76.42,50.514,0.57%,2573375
2015/8/17,75.86,76.41,75.51,75.8,50.104,-0.81%,2260346
2015/8/18,75.72,75.953,75.06,75.19,49.701,-0.80%,2009695
2015/8/19,75,75.29,73.92,74.78,49.43,-0.55%,3026467
2015/8/20,74.02,74.764,73.78,74.25,49.08,-0.71%,2206972
2015/8/21,73.31,74.25,72.26,72.27,47.771,-2.67%,5564549
2015/8/24,68.24,72.24,61.42,70.87,46.845,-1.94%,9844588
2015/8/25,71.54,72.4,70,70.21,46.409,-0.93%,4423354
2015/8/26,71.72,74.11,69.53,73.91,48.855,5.27%,5356315
2015/8/27,73.17,75.25,73.12,75.18,49.694,1.72%,5937763
2015/8/28,74.4,75.19,73.82,74.69,49.37,-0.65%,2150122
2015/8/31,74.21,74.43,72.57,72.66,48.029,-2.72%,2688401
2015/9/1,71.23,72.54,69.64,70.12,46.35,-3.50%,4671422
2015/9/2,70.84,72.07,70.31,72.07,47.639,2.78%,2986466
2015/9/3,72.56,73.89,71.79,72.16,47.698,0.12%,2595274
2015/9/4,71.14,71.69,70.129,70.57,46.647,-2.20%,2997042
2015/9/8,71.85,74.33,70.81,74.07,48.961,4.96%,4450669
2015/9/9,74.45,74.5,71.98,72.17,47.705,-2.57%,2936421
2015/9/10,72.13,73.05,71.78,72.16,47.698,-0.01%,3619666
2015/9/11,72.25,73.93,71.6,73.76,48.756,2.22%,2146733
2015/9/14,73.5,74.71,72.555,74.55,49.278,1.07%,2927415
2015/9/15,74.94,75.52,73.755,75.39,49.833,1.13%,3393323
2015/9/16,75.2,76.71,74.3,76.37,50.481,1.30%,2302883
2015/9/17,76.58,77.76,76,76.43,50.521,0.08%,3142630
2015/9/18,75.55,76.5,75.01,75.44,49.866,-1.30%,7231726
2015/9/21,75.69,76.19,74.96,75.2,49.708,-0.32%,3256338
2015/9/22,74.15,74.87,73.66,74.31,49.119,-1.18%,2628741
2015/9/23,74.17,74.598,73.255,73.31,48.458,-1.35%,3713174
2015/9/24,73,73.14,71.7,72.92,48.2,-0.53%,4416111
2015/9/25,73.8,73.85,72.78,73.35,48.485,0.59%,3517027
2015/9/28,72.81,73.27,69.99,69.99,46.264,-4.58%,4974381
2015/9/29,70.16,70.98,68.65,69.2,45.742,-1.13%,3870926
2015/9/30,69.67,70.8,69.46,70.54,46.627,1.94%,3052710
2015/10/1,71.27,71.97,69.77,70.83,46.819,0.41%,2519675
2015/10/2,70.19,71.46,69.37,71.41,47.202,0.82%,2593109
2015/10/5,72,73.25,71.35,72.24,47.751,1.16%,6323458
2015/10/6,72.29,73.05,71.89,72.47,47.903,0.32%,2819787
2015/10/7,72.74,73.74,72.48,73.15,48.353,0.94%,2325233
2015/10/8,73.16,74.47,72.74,74.43,49.199,1.75%,2239703
2015/10/9,74.41,75.22,73.99,74.39,49.172,-0.05%,2938086
2015/10/12,74.41,74.41,73.31,73.72,48.729,-0.90%,2081888
2015/10/13,73.61,73.93,73.18,73.38,48.505,-0.46%,2147545
2015/10/14,73.12,74.3,73,73.77,48.762,0.53%,1956846
2015/10/15,74.15,75.22,73.922,75.22,49.721,1.97%,2135670
2015/10/16,75.68,78,74.87,77.39,51.155,2.88%,3435205
2015/10/19,76.89,77.2,76.29,76.8,50.765,-0.76%,1951906
2015/10/20,76.2,77.16,76.11,76.87,50.811,0.09%,1922053
2015/10/21,77,77.74,76.63,77.05,50.93,0.23%,2371767
2015/10/22,77.22,79.94,77.22,79.94,52.841,3.75%,3951738
2015/10/23,79.15,79.89,77.43,77.98,51.545,-2.45%,3179036
2015/10/26,78.18,78.18,76.48,76.81,50.772,-1.50%,2563812
2015/10/27,76.21,77.48,76.21,77.17,51.01,0.47%,2435227
