Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,23.15,23.203,22.79,23.02,18.098,-0.43%,1651729
2015/3/25,23.06,23.1,22.66,22.83,17.949,-0.83%,1986722
2015/3/26,22.76,22.76,22.36,22.59,17.76,-1.05%,1409905
2015/3/27,22.52,22.72,22.47,22.65,17.808,0.27%,1497314
2015/3/30,22.68,22.89,22.56,22.77,17.902,0.53%,2100373
2015/3/31,22.7,22.9,22.57,22.81,17.933,0.18%,2004653
2015/4/1,22.79,23.15,22.76,23.08,18.146,1.18%,2081180
2015/4/2,23.1,23.14,22.821,22.95,18.043,-0.56%,1400268
2015/4/6,22.84,23.08,22.76,22.85,17.965,-0.44%,3688509
2015/4/7,22.82,22.85,22.52,22.61,17.776,-1.05%,2220425
2015/4/8,22.53,22.61,22.38,22.51,17.697,-0.44%,1828108
2015/4/9,22.47,22.65,22.35,22.48,17.674,-0.13%,1727493
2015/4/10,22.5,22.767,22.46,22.7,17.847,0.98%,1460406
2015/4/13,22.7,22.9,22.64,22.87,17.98,0.75%,1724769
2015/4/14,22.91,22.94,22.55,22.79,17.918,-0.35%,1791650
2015/4/15,22.81,23.06,22.69,22.93,18.028,0.61%,1876990
2015/4/16,23.06,23.5,22.96,23.36,18.366,1.88%,4012868
2015/4/17,23.25,23.321,22.98,23.11,18.169,-1.07%,1449029
2015/4/20,23.24,23.44,23.03,23.2,18.24,0.39%,1625688
2015/4/21,23.25,23.32,22.97,23.16,18.208,-0.17%,1869388
2015/4/22,23.12,23.4,22.95,23.37,18.374,0.91%,2290740
2015/4/23,23.37,23.79,23.23,23.54,18.507,0.73%,3119506
2015/4/24,23.62,23.62,23.17,23.39,18.389,-0.64%,2685778
2015/4/27,23.31,23.38,23.09,23.27,18.295,-0.51%,2617679
2015/4/28,23.18,23.35,22.98,23.32,18.334,0.21%,1967770
2015/4/29,23.29,23.44,23.17,23.24,18.271,-0.34%,2770709
2015/4/30,22.96,22.96,22.51,22.51,18.059,-3.14%,2022069
2015/5/1,22.59,22.78,22.59,22.62,18.147,0.49%,1670648
2015/5/4,22.7,22.96,22.7,22.77,18.268,0.66%,2152104
2015/5/5,22.85,23.08,22.78,22.82,18.308,0.22%,2645453
2015/5/6,22.9,22.98,22.62,22.67,18.187,-0.66%,1754806
2015/5/7,22.61,22.73,22.455,22.5,18.051,-0.75%,2437535
2015/5/8,22.67,22.77,22.57,22.62,18.147,0.53%,2624773
2015/5/11,22.65,22.69,22.56,22.65,18.171,0.13%,1870108
2015/5/12,22.58,22.69,22.47,22.68,18.195,0.13%,1715423
2015/5/13,22.69,22.87,22.67,22.77,18.268,0.40%,2165950
2015/5/14,22.87,23,22.81,22.91,18.38,0.61%,2194492
2015/5/15,22.91,23.03,22.81,23.01,18.46,0.44%,2158176
2015/5/18,23.08,23.19,22.9,23.12,18.548,0.48%,3556576
2015/5/19,23.15,23.34,23.03,23.12,18.548,0.00%,3037317
2015/5/20,23.15,23.151,22.96,23,18.452,-0.52%,2040829
2015/5/21,22.96,23.02,22.85,22.98,18.436,-0.09%,2733672
2015/5/22,22.98,23,22.84,22.94,18.404,-0.17%,1554390
2015/5/26,22.9,22.99,22.75,22.93,18.396,-0.04%,2425164
2015/5/27,22.94,23.08,22.9,22.98,18.436,0.22%,4007090
2015/5/28,22.91,23,22.85,23,18.452,0.09%,1941244
2015/5/29,22.86,23,22.85,22.95,18.412,-0.22%,1807323
2015/6/1,22.99,23.04,22.83,22.87,18.348,-0.35%,1362857
2015/6/2,22.92,22.99,22.75,22.92,18.388,0.22%,2386931
2015/6/3,23.05,23.21,23.01,23.19,18.605,1.18%,3168499
2015/6/4,23.2,23.35,23.1,23.21,18.621,0.09%,2241740
2015/6/5,23.3,23.31,23.11,23.25,18.653,0.17%,2657555
2015/6/8,23.25,23.355,22.95,23.07,18.508,-0.77%,1820634
2015/6/9,23.05,23.07,22.595,22.85,18.332,-0.95%,1813658
2015/6/10,22.95,23.09,22.81,23.05,18.492,0.88%,2205810
2015/6/11,23.05,23.33,23.05,23.31,18.701,1.13%,1394417
2015/6/12,23.28,23.28,22.98,23.1,18.532,-0.90%,1321434
2015/6/15,22.89,23.03,22.86,22.97,18.428,-0.56%,2060380
2015/6/16,22.94,23,22.845,22.91,18.38,-0.26%,1531910
2015/6/17,22.99,23,22.67,22.79,18.284,-0.52%,2486255
2015/6/18,22.85,23.12,22.805,23.01,18.46,0.97%,2513761
2015/6/19,23.04,23.08,22.86,23,18.452,-0.04%,1999804
2015/6/22,23.14,23.15,22.95,23.13,18.557,0.57%,1376577
2015/6/23,23.16,23.37,23.11,23.28,18.677,0.65%,2142187
2015/6/24,23.23,23.29,23.07,23.29,18.685,0.04%,2656975
2015/6/25,23.3,23.4,23.16,23.26,18.661,-0.13%,5208617
2015/6/26,23.33,23.37,22.96,23.09,18.524,-0.73%,1691823
2015/6/29,22.85,23.03,22.63,22.79,18.284,-1.30%,2760446
2015/6/30,23,23,22.65,22.85,18.332,0.26%,1479543
2015/7/1,23.08,23.09,22.89,23.03,18.476,0.79%,1462910
2015/7/2,23.07,23.27,22.93,23.27,18.669,1.04%,1700357
2015/7/6,23.1,23.27,23.01,23.15,18.573,-0.52%,1585729
2015/7/7,23.23,23.27,22.75,23.08,18.516,-0.30%,2219963
2015/7/8,22.96,22.99,22.35,22.42,17.987,-2.86%,2416797
2015/7/9,22.61,22.81,22.52,22.81,18.3,1.74%,1459314
2015/7/10,23.05,23.255,22.81,23.17,18.589,1.58%,2218146
2015/7/13,23.23,23.56,23.2,23.51,18.861,1.47%,2350293
2015/7/14,23.51,23.82,23.46,23.82,19.11,1.32%,2958553
2015/7/15,23.82,24.12,23.74,24.04,19.287,0.92%,2909792
2015/7/16,24.15,24.19,23.93,24.14,19.367,0.42%,2200512
2015/7/17,24.14,24.15,24,24.15,19.375,0.04%,1263206
2015/7/20,24.19,24.2,23.7,23.76,19.062,-1.61%,1892054
2015/7/21,23.83,24.24,23.76,24.2,19.415,1.85%,2291242
2015/7/22,24.14,24.33,23.97,24.09,19.327,-0.45%,2246596
2015/7/23,24.4,24.79,24.18,24.27,19.471,0.75%,4224639
2015/7/24,24.52,24.67,24.08,24.12,19.351,-0.62%,2960785
2015/7/27,23.95,23.96,23.505,23.75,19.054,-1.53%,3287557
2015/7/28,24,24.31,23.8,24.2,19.415,1.89%,3464450
2015/7/29,24.32,24.7,24.28,24.6,19.736,1.65%,3228665
2015/7/30,24.29,24.39,24.02,24.04,19.624,-2.28%,2040111
2015/7/31,24.08,24.19,23.86,23.9,19.509,-0.58%,1898122
2015/8/3,23.9,24.06,23.76,23.99,19.583,0.38%,1931893
2015/8/4,24.01,24.12,23.85,23.94,19.542,-0.21%,1503101
2015/8/5,23.97,24,23.625,23.8,19.428,-0.58%,2948202
2015/8/6,23.93,23.99,23.04,23.25,18.979,-2.31%,2987449
2015/8/7,23.27,23.47,22.6,23,18.775,-1.08%,2824945
2015/8/10,23.19,23.33,23.02,23.27,18.995,1.17%,2375491
2015/8/11,22.84,23,22.71,22.78,18.595,-2.11%,1927396
2015/8/12,22.57,22.695,21.9,22.64,18.481,-0.61%,3463063
2015/8/13,22.74,22.82,22.33,22.74,18.562,0.44%,1810528
2015/8/14,22.8,22.92,22.61,22.86,18.66,0.53%,1856234
2015/8/17,22.12,22.49,22.12,22.19,18.113,-2.93%,4749548
2015/8/18,22.15,22.15,21.666,21.9,17.877,-1.31%,4233075
2015/8/19,21.8,21.89,21.41,21.5,17.55,-1.83%,3407925
2015/8/20,21.26,21.26,20.05,20.27,16.546,-5.72%,6836647
2015/8/21,19.94,20.04,19.18,19.55,15.958,-3.55%,7959889
2015/8/24,17.73,19.43,8,18.69,15.256,-4.40%,7070510
2015/8/25,19.5,19.76,18.89,18.9,15.428,1.12%,5663499
2015/8/26,19.51,19.72,18.95,19.55,15.958,3.44%,4871700
2015/8/27,20.08,20.75,19.77,20.34,16.603,4.04%,4551860
2015/8/28,20.31,20.33,19.86,19.91,16.252,-2.11%,1889116
2015/8/31,19.73,19.88,19.08,19.09,15.583,-4.12%,2954202
2015/9/1,18.79,19.13,18.4,18.52,15.118,-2.99%,3758077
2015/9/2,18.82,18.93,18.21,18.52,15.118,0.00%,3677771
2015/9/3,18.62,19.28,18.55,18.94,15.46,2.27%,3926836
2015/9/4,18.77,18.93,18.457,18.74,15.297,-1.06%,2674386
2015/9/8,19.12,19.55,18.97,19.48,15.901,3.95%,1800095
2015/9/9,19.8,19.99,18.74,18.91,15.436,-2.93%,2881708
2015/9/10,18.93,19.02,18.31,18.37,14.995,-2.86%,4058685
2015/9/11,18.35,18.57,18.25,18.5,15.101,0.71%,2477245
2015/9/14,18.51,18.68,18.23,18.4,15.02,-0.54%,1167902
2015/9/15,18.44,18.94,18.33,18.89,15.42,2.66%,1492767
2015/9/16,18.85,19.004,18.6,18.96,15.477,0.37%,1465465
2015/9/17,18.97,19.715,18.84,19.46,15.885,2.64%,2594360
2015/9/18,19.15,19.15,18.64,18.84,15.379,-3.19%,2129482
2015/9/21,18.93,19.06,18.65,18.84,15.379,0.00%,2088393
2015/9/22,18.54,18.6,18.3,18.43,15.044,-2.18%,1805896
2015/9/23,18.48,18.52,17.855,17.99,14.685,-2.39%,3608565
2015/9/24,17.79,17.81,17.2,17.65,14.407,-1.89%,2773084
2015/9/25,17.9,18.03,17.39,17.45,14.244,-1.13%,2417908
2015/9/28,17.39,17.45,16.38,16.52,13.485,-5.33%,3808897
2015/9/29,16.6,16.66,15.97,16.13,13.167,-2.36%,4786711
2015/9/30,16.25,16.855,16.02,16.78,13.697,4.03%,3064042
2015/10/1,16.81,17.28,16.7,17.16,14.007,2.26%,3509300
2015/10/2,16.9,17.45,16.63,17.44,14.236,1.63%,1837128
2015/10/5,17.58,18.27,17.5,18.26,14.905,4.70%,2183838
2015/10/6,18.24,18.63,18.2,18.34,14.971,0.44%,4527157
2015/10/7,18.49,19.08,18.45,18.62,15.199,1.53%,2548789
2015/10/8,18.55,18.94,18.42,18.76,15.314,0.75%,1447612
2015/10/9,18.9,18.95,18.59,18.67,15.24,-0.48%,1215091
2015/10/12,18.68,18.7,18.07,18.35,14.979,-1.71%,2016023
2015/10/13,18.14,18.34,17.83,17.9,14.612,-2.45%,1987493
2015/10/14,18,18.13,17.56,17.61,14.375,-1.62%,2292052
2015/10/15,17.7,17.82,17.42,17.7,14.448,0.51%,4175010
2015/10/16,17.8,17.855,17.585,17.8,14.53,0.56%,2838841
2015/10/19,17.8,17.8,17.22,17.23,14.065,-3.20%,3286150
2015/10/20,17.25,17.35,16.91,16.97,13.852,-1.51%,4148633
2015/10/21,17.04,17.287,17,17.05,13.918,0.47%,1723715
2015/10/22,17.21,17.541,17.14,17.39,14.195,1.99%,1915893
2015/10/23,17.64,18,17.57,17.79,14.522,2.30%,2232555
2015/10/26,17.8,17.92,17.66,17.77,14.505,-0.11%,3010684
2015/10/27,17.69,17.85,17.24,17.6,14.367,-0.96%,1981349
2015/10/28,15.97,17.23,15.89,16.85,13.754,-4.26%,15274820
2015/10/29,16.5,17.97,16.14,17.3,14.122,2.67%,11625743
2015/10/30,17.38,17.77,16.95,17.15,13.999,-0.87%,6755505
2015/11/2,17.33,18.79,17.3,18.33,14.963,6.88%,8464010
2015/11/3,18.29,19.14,18.16,18.9,15.428,3.11%,5826660
2015/11/4,18.75,18.79,17.96,18.45,15.346,-2.38%,6088402
2015/11/5,18.72,19.2,18.64,18.88,15.704,2.33%,5082847
