Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,66.4,67.84,66.23,67.3,67.3,1.28%,1623359
2015/3/25,67.23,67.45,66.18,66.35,66.35,-1.41%,2103537
2015/3/26,65.87,66.19,65.26,65.8,65.8,-0.83%,1862781
2015/3/27,65.74,66.81,65.66,66.69,66.69,1.35%,1824395
2015/3/30,67.19,69.29,66.97,69.22,69.22,3.79%,1894570
2015/3/31,69.19,69.6,68.751,69.01,69.01,-0.30%,3272650
2015/4/1,69.01,69.21,67.67,68.39,68.39,-0.90%,2713463
2015/4/2,71.98,75.4,71.97,74.73,74.73,9.27%,9037218
2015/4/6,74.16,75.22,73.77,73.95,73.95,-1.04%,3102414
2015/4/7,73.95,74.25,73.28,73.42,73.42,-0.72%,2881281
2015/4/8,73.62,74.07,73.36,74.07,74.07,0.89%,2574709
2015/4/9,74,74.55,73.4,74.11,74.11,0.05%,1486608
2015/4/10,74.01,74.135,73.11,73.19,73.19,-1.24%,1175008
2015/4/13,73.34,73.74,72.91,73.01,73.01,-0.25%,1241775
2015/4/14,72.82,73.09,71.86,72.46,72.46,-0.75%,887131
2015/4/15,72.57,72.92,72.375,72.4,72.4,-0.08%,1016502
2015/4/16,72.42,72.45,71.57,71.68,71.68,-0.99%,926642
2015/4/17,71.22,71.39,70.13,70.61,70.61,-1.49%,1418022
2015/4/20,70.97,71.25,70.77,70.97,70.97,0.51%,1264952
2015/4/21,71.33,71.91,70.75,70.88,70.88,-0.13%,1175783
2015/4/22,71.2,71.515,70.46,70.84,70.84,-0.06%,1366810
2015/4/23,70.78,71.05,70.3,70.72,70.72,-0.17%,1024513
2015/4/24,70.83,70.83,69.81,69.97,69.97,-1.06%,845487
2015/4/27,70,70.224,68.74,68.81,68.81,-1.66%,941495
2015/4/28,68.96,69.61,68.35,69.39,69.39,0.84%,1221841
2015/4/29,69.21,69.28,68.37,68.76,68.76,-0.91%,947448
2015/4/30,68.44,68.83,67.69,68.11,68.11,-0.95%,1416418
2015/5/1,68.25,69.82,68.17,69.81,69.81,2.50%,1296019
2015/5/4,70.05,71.36,69.93,71.33,71.33,2.18%,1610838
2015/5/5,71.11,71.84,70.205,70.3,70.3,-1.44%,1637321
2015/5/6,70.35,70.71,69.4,69.97,69.97,-0.47%,1337090
2015/5/7,69.93,71.03,69.78,70.84,70.84,1.24%,1240268
2015/5/8,71.56,72.14,71.46,71.53,71.53,0.97%,1105094
2015/5/11,71.35,72.25,71.26,71.35,71.35,-0.25%,1350884
2015/5/12,70.96,71.65,70.73,71.27,71.27,-0.11%,834889
2015/5/13,71.82,71.87,70.84,71.11,71.11,-0.22%,960884
2015/5/14,71.91,72.05,71.28,71.72,71.72,0.86%,1597930
2015/5/15,71.91,72.45,71.74,72.26,72.26,0.75%,1741154
2015/5/18,72.45,73.2,72.32,73,73,1.02%,1520231
2015/5/19,72.94,73.05,72.12,72.26,72.26,-1.01%,1036617
2015/5/20,72.38,72.63,72.1,72.3,72.3,0.06%,996679
2015/5/21,72.01,72.94,71.92,72.51,72.51,0.29%,1298392
2015/5/22,72.56,72.849,71.93,72.41,72.41,-0.14%,1286237
2015/5/26,72.36,72.68,71.61,71.71,71.71,-0.97%,868351
2015/5/27,72.15,72.99,71.87,72.84,72.84,1.58%,1839431
2015/5/28,72.92,73.15,72.16,72.38,72.38,-0.63%,858798
2015/5/29,72.14,72.41,71.04,71.04,71.04,-1.85%,1481215
2015/6/1,71.44,72.05,70.83,71.7,71.7,0.93%,856197
2015/6/2,71.37,72.23,71.36,72.1,72.1,0.56%,874008
2015/6/3,72.15,73.14,72.1,72.81,72.81,0.98%,1064667
2015/6/4,72.48,73.2,72.39,73.09,73.09,0.38%,1287132
2015/6/5,73.11,73.76,72.85,73.7,73.7,0.83%,1376775
2015/6/8,73.15,73.48,72.15,72.16,72.16,-2.09%,1706521
2015/6/9,72.05,72.85,72.05,72.59,72.59,0.60%,819107
2015/6/10,72.85,73.341,72.81,73.15,73.15,0.77%,1078753
2015/6/11,73.47,73.69,72.67,72.78,72.78,-0.51%,798687
2015/6/12,72.53,73.12,72.37,72.86,72.86,0.11%,1182289
2015/6/15,72.45,72.45,71.4,71.55,71.55,-1.80%,1685539
2015/6/16,71.57,72.22,71.54,72.2,72.2,0.91%,1189307
2015/6/17,72.38,73.19,72.04,72.28,72.28,0.11%,1370814
2015/6/18,72.4,72.876,71.72,71.96,71.96,-0.44%,2926779
2015/6/19,69.14,70.88,68.25,69.27,69.27,-3.74%,6854550
2015/6/22,69.51,69.74,67.89,68.03,68.03,-1.79%,4527527
2015/6/23,68.25,68.84,68.1,68.73,68.73,1.03%,1999944
2015/6/24,68.66,69.15,68.11,68.12,68.12,-0.89%,1225120
2015/6/25,68.49,68.68,67.898,68.07,68.07,-0.07%,1157991
2015/6/26,68.03,68.45,67.76,68.41,68.41,0.50%,2478619
2015/6/29,67.62,68.12,66.31,66.35,66.35,-3.01%,1533146
2015/6/30,66.82,67.19,65.96,66.21,66.21,-0.21%,1769418
2015/7/1,66.95,67.08,66.275,67.04,67.04,1.25%,1447584
2015/7/2,67.34,67.52,66.54,66.67,66.67,-0.55%,1064529
2015/7/6,66.08,66.905,66,66.32,66.32,-0.52%,1422275
2015/7/7,66.64,66.71,65.49,66.6,66.6,0.42%,1763756
2015/7/8,66.95,67.05,65.44,65.57,65.57,-1.55%,2080343
2015/7/9,66.71,66.71,66.17,66.25,66.25,1.04%,1676802
2015/7/10,67.01,67.17,66.68,66.92,66.92,1.01%,1106400
2015/7/13,67.68,68.36,67.36,68.27,68.27,2.02%,1640974
2015/7/14,68.3,68.55,68,68.02,68.02,-0.37%,1267945
2015/7/15,68,68.04,67.43,67.55,67.55,-0.69%,1032100
2015/7/16,67.82,68.99,67.63,68.87,68.87,1.95%,1198747
2015/7/17,68.48,68.64,67.76,67.95,67.95,-1.34%,851104
2015/7/20,68.09,68.8,67.83,68.17,68.17,0.32%,724050
2015/7/21,68.16,68.33,66.78,66.88,66.88,-1.89%,897598
2015/7/22,66.88,66.905,66.1,66.32,66.32,-0.84%,1372886
2015/7/23,66.66,66.82,65.11,65.19,65.19,-1.70%,1818728
2015/7/24,65.57,65.67,63.08,63.18,63.18,-3.08%,1998320
2015/7/27,63.05,63.17,61.625,61.96,61.96,-1.93%,2074699
2015/7/28,62.31,62.81,61.045,62.67,62.67,1.15%,1613250
2015/7/29,62.87,64.36,62.87,64.26,64.26,2.54%,1548060
2015/7/30,64.11,64.23,63.55,63.99,63.99,-0.42%,1017889
2015/7/31,64.19,64.87,63.85,64.51,64.51,0.81%,967104
2015/8/3,65.58,65.58,63.7,64.13,64.13,-0.59%,1061594
2015/8/4,64.13,65.29,64.13,64.76,64.76,0.98%,1278885
2015/8/5,65.15,65.8,64.55,64.77,64.77,0.02%,1005182
2015/8/6,64.25,64.32,61.64,62.1,62.1,-4.12%,2448376
2015/8/7,62.1,62.89,61.64,62.15,62.15,0.08%,1193908
2015/8/10,62.61,63.81,62.5,63.41,63.41,2.03%,1255786
2015/8/11,62.86,63,62.15,62.76,62.76,-1.03%,1494692
2015/8/12,62.11,62.66,60.85,62.51,62.51,-0.40%,1636193
2015/8/13,62.65,63.18,62.04,62.62,62.62,0.18%,1076059
2015/8/14,62.54,63.37,62.23,63.13,63.13,0.81%,1068121
2015/8/17,62.93,63.55,62.34,63.53,63.53,0.63%,923838
2015/8/18,63.65,64.07,63.3,63.5,63.5,-0.05%,1174211
2015/8/19,63.09,63.09,61.83,62.53,62.53,-1.53%,965085
2015/8/20,61.77,62.44,61.26,61.32,61.32,-1.94%,994970
2015/8/21,60.85,61.22,59.5,59.58,59.58,-2.84%,2233023
2015/8/24,56.11,60.07,55.265,57.7,57.7,-3.16%,2524919
2015/8/25,59.5,60.1,57.12,57.18,57.18,-0.90%,1633053
2015/8/26,58.61,58.79,56.79,58.5,58.5,2.31%,1870708
2015/8/27,59.15,60.41,58.64,60,60,2.56%,1617959
2015/8/28,60,61.18,59.93,61.02,61.02,1.70%,1501810
2015/8/31,60.66,62,60.63,61,61,-0.03%,1936801
2015/9/1,59.83,60.21,58.28,58.56,58.56,-4.00%,2182960
2015/9/2,59.17,59.84,58.32,59.84,59.84,2.19%,2811610
2015/9/3,60.1,61.38,59.94,60.58,60.58,1.24%,1357655
2015/9/4,59.46,60.39,59.28,60.02,60.02,-0.92%,1258094
2015/9/8,59.64,60.28,58.53,60.11,60.11,0.15%,3181395
