Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,40.91,40.985,40.47,40.47,29.475,-0.37%,13471308
2015/3/25,40.59,40.7,40.24,40.45,29.46,-0.05%,22811118
2015/3/26,40.34,40.56,40.23,40.35,29.388,-0.25%,17359635
2015/3/27,40.48,40.48,39.97,40.08,29.191,-0.67%,14375717
2015/3/30,40.11,40.61,39.94,40.51,29.504,1.07%,12560731
2015/3/31,40.51,40.9,40.35,40.55,29.533,0.10%,16604480
2015/4/1,40.79,40.81,40.23,40.68,29.628,0.32%,14300701
2015/4/2,40.73,40.87,40.48,40.68,29.628,0.00%,14343102
2015/4/6,40.77,41.61,40.59,41.17,29.985,1.20%,19843131
2015/4/7,41.05,41.37,40.97,41.01,29.868,-0.39%,9773391
2015/4/8,40.98,41.09,40.74,40.89,29.781,-0.29%,8954659
2015/4/9,40.8,41.08,40.63,41.05,29.897,0.39%,12710885
2015/4/10,41.09,41.16,40.85,40.88,29.774,-0.41%,8719980
2015/4/13,40.97,40.97,40.7,40.7,29.643,-0.44%,9616271
2015/4/14,40.59,40.65,40.32,40.51,29.504,-0.47%,11209674
2015/4/15,40.59,40.81,40.32,40.4,29.424,-0.27%,11189056
2015/4/16,40.41,40.86,40.3,40.6,29.57,0.50%,13120966
2015/4/17,40.47,40.66,40.104,40.3,29.351,-0.74%,15228749
2015/4/20,40.42,40.9,40.41,40.66,29.613,0.89%,13023939
2015/4/21,40.67,40.99,40.54,40.78,29.701,0.30%,19673063
2015/4/22,41.56,41.57,41.07,41.31,30.087,1.30%,26886208
2015/4/23,41.23,41.41,40.92,40.95,29.825,-0.87%,17407846
2015/4/24,41.04,41.12,40.81,40.89,29.781,-0.15%,11623319
2015/4/27,41,41.15,40.78,40.83,29.737,-0.15%,10013222
2015/4/28,40.95,40.97,40.6,40.77,29.694,-0.15%,12174693
2015/4/29,40.66,40.75,40.4,40.49,29.49,-0.69%,11370897
2015/4/30,40.4,40.58,40.28,40.56,29.541,0.17%,12700657
2015/5/1,40.58,40.93,40.5,40.91,29.796,0.86%,10848323
2015/5/4,40.88,41.1,40.77,40.96,29.832,0.12%,10175431
2015/5/5,41.14,41.14,40.68,40.75,29.679,-0.51%,11721254
2015/5/6,41.04,41.09,40.39,40.66,29.613,-0.22%,11905974
2015/5/7,40.53,40.91,40.51,40.7,29.643,0.10%,13834439
2015/5/8,41,41.17,40.85,40.98,29.846,0.69%,11144434
2015/5/11,40.98,41.39,40.88,40.94,29.817,-0.10%,10113526
2015/5/12,40.77,40.96,40.52,40.69,29.635,-0.61%,12384199
