Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,38.5,38.748,38.375,38.585,31.762,0.30%,6394094
2015/3/25,38.775,38.775,37.925,37.96,31.248,-1.62%,7537274
2015/3/26,37.75,38.37,37.625,38.045,31.318,0.22%,6642638
2015/3/27,38.02,38.39,38.005,38.165,31.417,0.32%,4995304
2015/3/30,38.31,38.73,38.125,38.62,31.791,1.19%,4762224
2015/3/31,38.51,38.738,38.325,38.33,31.553,-0.75%,4677368
2015/4/1,38.365,38.44,37.75,38.385,31.598,0.14%,7851634
2015/4/2,38.28,38.735,38.28,38.565,31.746,0.47%,4526814
2015/4/6,38.355,38.78,38.225,38.485,31.68,-0.21%,5562880
2015/4/7,38.565,38.625,38.175,38.18,31.429,-0.79%,4660364
2015/4/8,38.245,38.465,37.99,38.45,31.651,0.71%,4771424
2015/4/9,38.46,38.67,38.345,38.405,31.614,-0.12%,4529462
2015/4/10,38.315,38.635,38.205,38.535,31.721,0.34%,3831686
2015/4/13,38.485,38.73,38.15,38.165,31.417,-0.96%,5316614
2015/4/14,38.265,38.365,37.54,37.61,30.96,-1.45%,7363224
2015/4/15,37.655,37.745,36.94,36.955,30.421,-1.74%,10180068
2015/4/16,36.85,37.015,36.36,36.685,30.198,-0.73%,10875498
2015/4/17,36.5,36.525,35.793,35.92,29.569,-2.09%,11049852
2015/4/20,36.17,36.245,35.617,35.64,29.338,-0.78%,11356396
2015/4/21,35.705,36.1,35.675,35.915,29.565,0.77%,9569226
2015/4/22,35.965,36.025,34.8,35.195,28.972,-2.00%,14504366
2015/4/23,35.17,35.61,35.17,35.465,29.194,0.77%,9217048
2015/4/24,35.695,35.945,35.665,35.85,29.511,1.09%,7126486
2015/4/27,35.93,36.1,35.195,35.275,29.038,-1.60%,8192264
2015/4/28,35.145,35.365,34.695,34.71,28.573,-1.60%,11790990
2015/4/29,34.615,34.675,34.08,34.395,28.313,-0.91%,14043450
2015/4/30,34.36,34.835,34.235,34.455,28.363,0.17%,13398428
2015/5/1,34.525,35.263,34.525,35.065,28.865,1.77%,10484012
2015/5/4,35.035,35.29,34.9,35.005,28.815,-0.17%,5368820
2015/5/5,34.78,34.815,34.048,34.105,28.075,-2.57%,8428900
2015/5/6,34.42,34.94,34.245,34.9,28.729,2.33%,11619310
2015/5/7,34.725,35.33,34.465,35.325,29.079,1.22%,11484964
2015/5/8,35.515,36.175,35.5,35.895,29.548,1.61%,12133548
2015/5/11,35.95,36.365,35.855,35.92,29.569,0.07%,9476986
