Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,40.93,41.05,40.61,40.61,38.243,-0.95%,751812
2015/3/25,40.63,40.75,40.26,40.26,37.913,-0.86%,824417
2015/3/26,40.2,40.51,40.12,40.4,38.045,0.35%,1210734
2015/3/27,40.29,40.425,40,40.19,37.847,-0.52%,850472
2015/3/30,40.36,40.89,40.33,40.76,38.384,1.42%,535870
2015/3/31,40.54,40.96,40.4,40.83,38.45,0.17%,1117243
2015/4/1,40.83,40.83,40.27,40.43,38.073,-0.98%,1337826
2015/4/2,40.34,41.31,40.34,41.15,38.751,1.78%,1088543
2015/4/6,40.86,41.71,40.8,41.53,39.109,0.92%,998300
2015/4/7,41.51,41.56,41.31,41.34,38.93,-0.46%,804672
2015/4/8,41.45,41.83,41.34,41.52,39.1,0.44%,799102
2015/4/9,41.4,41.49,41.09,41.44,39.024,-0.19%,791898
2015/4/10,41.43,41.55,41.05,41.17,38.77,-0.65%,556580
2015/4/13,41.12,41.57,41.12,41.51,39.09,0.83%,635381
2015/4/14,41.44,41.77,41.39,41.65,39.222,0.34%,1134749
2015/4/15,41.71,42.59,41.67,42.4,39.928,1.80%,1174717
2015/4/16,42.28,42.41,41.95,42.24,39.778,-0.38%,1039776
2015/4/17,41.95,42.09,41.64,41.84,39.401,-0.95%,931468
2015/4/20,41.93,42.24,41.85,41.9,39.457,0.14%,862620
2015/4/21,42,42.18,41.16,41.21,38.808,-1.65%,775765
2015/4/22,41.25,41.44,40.83,41.36,38.949,0.36%,817176
2015/4/23,41.29,41.825,41.26,41.65,39.222,0.70%,595258
2015/4/24,41.56,41.785,41.45,41.62,39.194,-0.07%,492125
2015/4/27,41.67,41.73,41.38,41.43,39.015,-0.46%,773940
2015/4/28,41.37,41.97,41.37,41.96,39.514,1.28%,558678
2015/4/29,41.76,42.14,41.59,41.89,39.448,-0.17%,573226
2015/4/30,41.83,41.98,41.47,41.64,39.213,-0.60%,725125
2015/5/1,41.89,41.99,41.54,41.73,39.297,0.22%,666502
2015/5/4,41.6,41.96,41.33,41.67,39.241,-0.14%,803193
2015/5/5,41.57,41.8,41.17,41.27,38.864,-0.96%,871769
2015/5/6,41.4,41.48,40.87,41.09,38.695,-0.44%,643911
2015/5/7,41.11,41.46,40.81,41.22,38.817,0.32%,750389
2015/5/8,41.48,41.568,41.11,41.42,39.005,0.49%,1044174
2015/5/11,41.37,41.42,41.02,41.15,38.751,-0.65%,1334399
2015/5/12,40.99,41.21,40.82,40.95,38.563,-0.49%,680093
2015/5/13,40.94,41.04,40.52,40.57,38.205,-0.93%,1320579
2015/5/14,40.78,40.92,40.53,40.9,38.516,0.81%,1084313
2015/5/15,40.87,40.99,40.625,40.64,38.271,-0.64%,1037688
2015/5/18,40.65,41.14,40.615,41.05,38.657,1.01%,916347
2015/5/19,41.08,41.31,40.9,41.1,38.704,0.12%,951031
2015/5/20,41.28,41.28,40.92,41.17,38.77,0.17%,1033079
2015/5/21,41.12,41.265,41.01,41.05,38.657,-0.29%,886477
2015/5/22,40.91,41.03,40.69,40.7,38.327,-0.85%,613764
2015/5/26,40.53,40.7,40.01,40.05,37.715,-1.60%,1201602
2015/5/27,40.06,40.3,39.888,40.23,37.885,0.45%,855666
2015/5/28,40.06,40.38,39.83,40.33,38.038,0.25%,906274
2015/5/29,40.32,40.32,39.98,40.12,37.84,-0.52%,2262218
2015/6/1,40.21,40.35,39.85,40.01,37.736,-0.27%,1050760
2015/6/2,39.96,40.64,39.9,40.43,38.132,1.05%,1149714
2015/6/3,40.44,40.91,40.19,40.73,38.415,0.74%,1134852
2015/6/4,40.55,40.68,40.07,40.14,37.859,-1.45%,1005043
