Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,72.74,72.97,71.66,71.87,58.915,-1.40%,1436868
2015/3/25,71.91,72.11,70.61,70.64,57.907,-1.71%,1054937
2015/3/26,70.45,73.32,69.84,73.28,60.071,3.74%,2865049
2015/3/27,73.22,77.1,73.09,76.75,62.916,4.74%,4094457
2015/3/30,77.08,78.21,76.665,77.63,63.637,1.15%,2285268
2015/3/31,78.11,79.35,77.78,78.76,64.563,1.46%,2668297
2015/4/1,78.5,78.6,77.77,78.59,64.424,-0.22%,1581510
2015/4/2,78.5,79.52,78.37,78.7,64.514,0.14%,1580165
2015/4/6,79.02,81.43,78.351,80.71,66.162,2.55%,1710939
2015/4/7,80.09,80.58,79.281,79.78,65.399,-1.15%,1235483
2015/4/8,79.66,80.48,79.395,80.13,65.686,0.44%,979783
2015/4/9,79.93,80.75,79.54,80.68,66.137,0.69%,711047
2015/4/10,80.54,81.11,80.21,81,66.4,0.40%,673545
2015/4/13,81.13,81.89,80.33,80.35,65.867,-0.80%,760368
2015/4/14,80.31,80.92,80.14,80.5,65.99,0.19%,723347
2015/4/15,80.59,81.35,80.48,81.11,66.49,0.76%,904405
2015/4/16,80.99,81.1,80.09,80.35,65.867,-0.94%,720721
2015/4/17,79.78,79.78,78.17,78.55,64.391,-2.24%,1326530
2015/4/20,79.3,80.14,79.135,79.3,65.006,0.95%,790021
2015/4/21,79.56,82.12,79.15,81.93,67.162,3.32%,2230104
2015/4/22,82.73,82.79,81.69,82.46,67.596,0.65%,1426506
2015/4/23,81.88,82.24,81.12,82,67.219,-0.56%,792257
2015/4/24,82.12,82.12,80.68,81.1,66.481,-1.10%,967780
2015/4/27,81.14,81.84,80.5,80.74,66.186,-0.44%,879066
2015/4/28,80.87,81.17,80.22,81.09,66.473,0.43%,739069
2015/4/29,80.69,80.9,78.76,79.26,64.973,-2.26%,906348
2015/4/30,79.09,80.79,78.75,80.24,65.777,1.24%,1358963
2015/5/1,80.77,81.43,80.16,80.45,65.949,0.26%,838364
2015/5/4,80.67,80.97,80.3,80.47,65.965,0.02%,694954
2015/5/5,80.32,81.42,78.59,79.27,64.981,-1.49%,1035099
2015/5/6,79.18,80.06,78.28,78.5,64.35,-0.97%,746668
2015/5/7,78.4,79.11,77.58,78.2,64.104,-0.38%,1184777
2015/5/8,78.53,79.17,78.41,78.87,64.653,0.86%,1131781
2015/5/11,79.04,79.05,77.97,78.26,64.153,-0.77%,746978
2015/5/12,77.93,78.2,77.17,77.77,63.752,-0.63%,700820
2015/5/13,77.81,78.31,77.2,77.35,63.407,-0.54%,1251550
2015/5/14,77.87,78.79,77.71,78.75,64.555,1.81%,854028
2015/5/15,78.96,79.3,78.25,78.67,64.49,-0.10%,533022
2015/5/18,78.69,79.43,78.46,79.21,64.932,0.69%,727343
2015/5/19,79.4,79.5,78.47,79.4,65.088,0.24%,742908
2015/5/20,78.93,79.84,78.88,79.41,65.481,0.01%,691156
2015/5/21,79.44,79.67,78.98,79.32,65.407,-0.11%,580326
2015/5/22,79.31,80.74,79.31,80.26,66.182,1.19%,1323673
2015/5/26,79.94,80.23,78.47,79.09,65.218,-1.46%,1334373
2015/5/27,79.38,80.89,79.355,80.19,66.125,1.39%,1479041
2015/5/28,80.03,80.47,79,79.25,65.349,-1.17%,5354616
2015/5/29,79.47,80.465,78.74,79.22,65.325,-0.04%,1635306
2015/6/1,79.92,79.99,78,79.7,65.721,0.61%,1206313
2015/6/2,79.2,79.63,78.24,78.81,64.987,-1.12%,876456
2015/6/3,78.81,78.99,78.12,78.55,64.772,-0.33%,941042
2015/6/4,78.45,78.77,77.42,77.8,64.154,-0.95%,909254
2015/6/5,77.92,78.66,77.8,78.49,64.723,0.89%,854100
2015/6/8,78.56,78.715,77.88,78,64.319,-0.62%,1392857
2015/6/9,78.11,78.19,77.83,78.01,64.327,0.01%,667410
2015/6/10,77.94,79.36,77.94,78.91,65.069,1.15%,714025
2015/6/11,78.89,78.99,78.515,78.64,64.846,-0.34%,590073
2015/6/12,78.33,78.73,78.11,78.25,64.525,-0.50%,516656
2015/6/15,77.82,78.26,77.47,78.02,64.335,-0.29%,728992
2015/6/16,78.02,78.66,78,78.6,64.813,0.74%,449593
2015/6/17,78.78,79.06,78.19,78.6,64.813,0.00%,490206
2015/6/18,78.6,79.18,78.55,79.03,65.168,0.55%,656447
2015/6/19,79.03,79.49,78.86,79.17,65.284,0.18%,1103683
2015/6/22,80,80.67,79.56,80.18,66.116,1.28%,657778
2015/6/23,80.18,80.45,79.33,79.65,65.679,-0.66%,469413
2015/6/24,79.52,79.59,78.76,78.97,65.119,-0.85%,770936
2015/6/25,79.08,79.5,78.3,78.4,64.649,-0.72%,592880
2015/6/26,78.36,78.4,77.75,78.27,64.541,-0.17%,1322845
2015/6/29,77.6,78.16,77.05,77.11,63.585,-1.48%,846465
2015/6/30,77.39,77.67,76.35,76.91,63.42,-0.26%,1616503
2015/7/1,77.53,77.78,77.19,77.38,63.807,0.61%,830239
2015/7/2,77.74,77.84,77.5,77.74,64.104,0.47%,661912
2015/7/6,76.97,77.12,76.49,76.67,63.222,-1.38%,246372
2015/7/7,76.7,77.479,75.67,77.41,63.832,0.97%,311107
2015/7/8,76.92,77.59,76.8,76.84,63.362,-0.74%,1329829
2015/7/9,78.15,78.93,78.09,78.49,64.723,2.15%,1271472
2015/7/10,79.25,79.44,78.77,79.35,65.432,1.10%,761698
2015/7/13,79.78,80.29,79.7,80.26,66.182,1.15%,788471
2015/7/14,80.39,80.83,80.1,80.79,66.619,0.66%,841129
2015/7/15,81.01,82.15,80.7,82.1,67.7,1.62%,1250804
2015/7/16,82.38,82.418,81.64,82.32,67.881,0.27%,944422
2015/7/17,82.07,82.53,81.59,82.17,67.757,-0.18%,594594
2015/7/20,82.11,82.41,81.48,81.55,67.246,-0.75%,615979
2015/7/21,81.77,82.2,80.93,81.29,67.032,-0.32%,552464
2015/7/22,81.15,81.753,80.763,81.61,67.296,0.39%,670500
2015/7/23,81.62,82.43,81.326,82.09,67.691,0.59%,711371
2015/7/24,82,82.41,80.6,81.04,66.826,-1.28%,562717
2015/7/27,80.79,80.93,79.76,79.91,65.894,-1.39%,486150
2015/7/28,79.93,80.54,79.37,80.5,66.38,0.74%,760575
2015/7/29,80.67,81.83,80.16,81.78,67.436,1.59%,663032
2015/7/30,81.69,82.49,81.38,82.34,67.897,0.68%,619994
2015/7/31,82.49,83.33,82.25,82.94,68.392,0.73%,908247
2015/8/3,82.75,82.75,81.54,82.29,67.856,-0.78%,575911
2015/8/4,82.18,82.76,82,82.28,67.848,-0.01%,414607
2015/8/5,82.61,83.82,82.16,83.06,68.491,0.95%,561703
2015/8/6,83.04,83.22,82.28,82.94,68.392,-0.14%,820878
2015/8/7,82.88,82.88,78.61,81.57,67.263,-1.65%,2539519
2015/8/10,82.75,84.777,82.24,84.59,69.753,3.70%,1857805
2015/8/11,84.06,84.2,82.375,82.93,68.384,-1.96%,1128113
2015/8/12,82.55,83.47,81.67,83.41,68.78,0.58%,697370
2015/8/13,83.53,83.97,82.54,82.58,68.095,-1.00%,666592
2015/8/14,82.84,83.02,81.975,82.87,68.335,0.35%,523848
2015/8/17,82.27,83.1,81.83,83.02,68.458,0.18%,579855
2015/8/18,82.85,83.22,82.37,82.63,68.137,-0.47%,645080
2015/8/19,82.34,82.52,81.24,81.99,67.609,-0.77%,667745
2015/8/20,81.46,81.66,80.16,80.21,66.141,-2.17%,570668
2015/8/21,79.6,79.9,78.26,78.42,64.665,-2.23%,1273783
2015/8/24,74.03,77.76,72.49,75.18,61.993,-4.13%,1581614
2015/8/25,76.35,77.08,73.73,73.76,60.822,-1.89%,1754061
2015/8/26,75.52,75.93,73.51,75.84,62.538,2.82%,1119380
2015/8/27,76.23,77.1,75.52,77.06,63.544,1.61%,740294
2015/8/28,76.67,77.58,76.5,77.54,63.939,0.62%,735110
2015/8/31,77.11,77.45,76.53,76.82,63.346,-0.93%,768317
2015/9/1,75.22,75.82,74.15,74.64,61.548,-2.84%,1504725
2015/9/2,75.38,75.7,74.44,75.34,62.125,0.94%,768367
2015/9/3,75.41,76.58,75.31,75.75,62.463,0.54%,899234
2015/9/4,74.57,75.03,73.68,73.96,60.987,-2.36%,794225
2015/9/8,75.78,77.24,74.42,76.98,63.478,4.08%,2097739
2015/9/9,77.42,77.64,75.36,75.53,62.694,-1.88%,1213358
2015/9/10,75.43,75.87,74.83,75.07,62.312,-0.61%,727620
2015/9/11,74.34,74.81,73.5,74.09,61.499,-1.31%,794600
2015/9/14,74.03,74.48,73.53,73.9,61.341,-0.26%,652272
2015/9/15,70.25,74.42,70.25,73.93,61.366,0.04%,697431
2015/9/16,73.87,74.66,73.65,74.54,61.873,0.83%,675663
2015/9/17,74.58,75.545,74.2,74.65,61.964,0.15%,1131924
2015/9/18,73.64,74.37,72.96,73.17,60.735,-1.98%,1174142
2015/9/21,73.44,74.24,73.21,73.49,61.001,0.44%,808645
2015/9/22,72.56,72.9,72.08,72.28,59.997,-1.65%,838330
2015/9/23,72.48,72.62,71.905,72.45,60.138,0.24%,701288
2015/9/24,71.84,72.28,71.2,71.55,59.391,-1.24%,953411
2015/9/25,72.24,73.15,72.06,72.22,59.947,0.94%,1634098
2015/9/28,71.66,72.1,70.2,70.28,58.336,-2.69%,665240
2015/9/29,70.25,71.22,70.1,71.07,58.992,1.12%,1193907
2015/9/30,71.99,73.26,71.66,73.15,60.719,2.93%,998661
2015/10/1,72.99,73.62,72.68,73.24,60.793,0.12%,1300214
2015/10/2,72.27,74.03,71.89,73.96,61.391,0.98%,929502
2015/10/5,74.54,75.445,74.26,74.74,62.039,1.05%,882730
2015/10/6,74.5,74.92,74.01,74.44,61.789,-0.40%,807638
2015/10/7,75.08,75.145,73.72,74.73,62.03,0.39%,998265
2015/10/8,74.43,75.66,74.35,75.5,62.669,1.03%,478114
2015/10/9,75.53,75.8,75.08,75.73,62.86,0.30%,558550
2015/10/12,76.49,77.89,76.32,77,63.914,1.68%,1366561
2015/10/13,76.37,76.82,75.5,75.57,62.727,-1.86%,1075583
2015/10/14,75.54,76.5,75.35,76.03,63.109,0.61%,720920
2015/10/15,76.53,76.61,75.27,76.44,63.45,0.54%,655101
2015/10/16,76.54,76.79,75.89,76.58,63.566,0.18%,659445
2015/10/19,76.14,76.57,75.17,75.33,62.528,-1.63%,830278
2015/10/20,75.23,76.53,75.01,76.3,63.333,1.29%,774973
2015/10/21,76.79,76.79,74.88,74.97,62.229,-1.74%,536462
2015/10/22,75.71,76.51,75.57,76,63.084,1.37%,719201
2015/10/23,77.04,77.04,75.63,76.49,63.491,0.64%,595843
2015/10/26,76.61,76.98,75.39,75.5,62.669,-1.29%,593027
2015/10/27,75,75.34,74.37,74.91,62.18,-0.78%,734949
2015/10/28,75.38,78.73,75,78.67,65.301,5.02%,1121776
2015/10/29,78.24,79.81,77.88,79.37,65.882,0.89%,1024759
2015/10/30,79.56,80.1,79.09,79.13,65.682,-0.30%,1195201
2015/11/2,79.3,80,78.69,79.71,66.164,0.73%,889682
2015/11/3,78.39,82.23,77,81,67.235,1.62%,1849313
2015/11/4,81.53,82.09,79.58,79.81,66.247,-1.47%,1116491
2015/11/5,79.78,80.22,78.93,79.49,65.981,-0.40%,1042985
2015/11/6,79.45,79.61,79.02,79.58,66.056,0.11%,703598
2015/11/9,78.8,79.949,78.8,79.49,65.981,-0.11%,946959
2015/11/10,79.28,79.43,78.78,79.05,65.616,-0.55%,1289984
2015/11/11,79.5,79.78,79.07,79.45,65.948,0.51%,668856
2015/11/12,78.87,79.31,78.68,78.71,65.334,-0.93%,767920
2015/11/13,78.47,78.8,77.75,78.23,64.935,-0.61%,694236
2015/11/16,78.2,80.71,77.94,80.61,66.911,3.04%,1154546
2015/11/17,81.5,81.99,80.04,81.19,67.807,0.72%,1461813
