Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,76.27,76.7,75.365,75.56,62.799,-1.05%,5105110
2015/3/25,75.66,76.48,74.36,74.36,61.801,-1.59%,5431522
2015/3/26,74,74.35,73.42,73.44,61.037,-1.24%,4023488
2015/3/27,73.62,73.99,73.2,73.58,61.153,0.19%,4171638
2015/3/30,74,74.2,73.67,73.87,61.394,0.39%,3370676
2015/3/31,73.35,73.98,72.65,72.65,60.38,-1.65%,4347972
2015/4/1,72.92,72.97,71.07,71.53,59.449,-1.54%,5875832
2015/4/2,71.46,71.78,70.53,71.24,59.208,-0.41%,3781771
2015/4/6,71.13,71.71,70.84,71.31,59.266,0.10%,3936936
2015/4/7,71.25,72.08,71.18,71.7,59.591,0.55%,3128125
2015/4/8,71.92,72.28,71.54,72.15,59.965,0.63%,3215367
2015/4/9,72.22,72.56,71.9,72.36,60.139,0.29%,2595768
2015/4/10,72.5,73.98,72.25,73.92,61.436,2.16%,3956443
2015/4/13,73.28,73.64,73.11,73.52,61.103,-0.54%,4351469
2015/4/14,73.3,73.75,73.1,73.46,61.053,-0.08%,3950577
2015/4/15,73.54,74.02,73.3,73.71,61.261,0.34%,4358672
2015/4/16,73.61,74,73.39,73.49,61.078,-0.30%,2880028
2015/4/17,73.01,73.2,71.96,72.47,60.231,-1.39%,4379024
2015/4/20,73,73.26,72.295,72.41,60.181,-0.08%,2540441
2015/4/21,72.98,73.12,72.06,72.21,60.014,-0.28%,4048368
2015/4/22,72.47,72.47,71.88,72.3,60.089,0.12%,3505546
2015/4/23,72.88,72.94,71.07,72.4,60.172,0.14%,5448691
2015/4/24,72.22,72.43,71.26,71.58,59.491,-1.13%,3816293
2015/4/27,71.93,72.17,70.63,70.89,58.917,-0.96%,5323938
2015/4/28,70.62,71.28,70.2,71.18,59.158,0.41%,4557987
2015/4/29,71.86,72.82,71.84,72.28,60.073,1.55%,6784012
2015/4/30,71.96,72.605,71.43,71.87,59.732,-0.57%,5479276
2015/5/1,72.26,73.33,71.25,73.12,60.771,1.74%,6533359
2015/5/4,73.25,73.59,72.85,73.05,60.713,-0.10%,4040680
2015/5/5,72.83,72.97,71.82,71.91,59.765,-1.56%,3735944
2015/5/6,71.97,72.28,71.54,72.05,59.882,0.19%,3567635
2015/5/7,71.75,72.29,71.715,71.82,59.69,-0.32%,3628081
2015/5/8,72.5,73.7,72.5,73.26,60.887,2.01%,3713259
2015/5/11,73.26,73.99,73.19,73.47,61.062,0.29%,2958556
2015/5/12,73.14,73.14,72.31,72.44,60.206,-1.40%,3152763
2015/5/13,72.76,73.23,72.485,72.8,60.505,0.50%,2682120
2015/5/14,72.68,73.22,72.43,73.06,61.136,0.36%,3364320
2015/5/15,73.23,73.421,72.59,72.9,61.003,-0.22%,3464436
2015/5/18,73.05,73.09,72.62,72.94,61.036,0.05%,2161951
2015/5/19,72.82,73.58,72.63,73.45,61.463,0.70%,3548349
2015/5/20,73.45,73.69,73.18,73.36,61.388,-0.12%,1980264
2015/5/21,73.34,74.35,73.18,74.27,62.149,1.24%,3288096
2015/5/22,74.05,74.33,73.87,74.3,62.174,0.04%,3023455
2015/5/26,73.96,74.37,73.82,74.31,62.182,0.01%,4194593
2015/5/27,74.36,74.985,74.14,74.9,62.676,0.79%,2901144
2015/5/28,74.8,76.48,74.74,76.41,63.94,2.02%,4823625
2015/5/29,76.15,79.55,76.02,78.9,66.023,3.26%,11916906
2015/6/1,78.92,79.85,78.78,79,66.107,0.13%,4866456
2015/6/2,78.76,78.76,77.51,77.95,65.228,-1.33%,4467506
2015/6/3,78,78.17,77.28,77.83,65.128,-0.15%,3270783
2015/6/4,77.34,78.6,77.33,77.68,65.002,-0.19%,3786541
2015/6/5,77.56,78.26,76.99,78.12,65.371,0.57%,2788911
2015/6/8,77.98,78.85,77.83,78.52,65.705,0.51%,6065922
2015/6/9,78.37,82.89,78.01,82.77,69.262,5.41%,10109116
2015/6/10,81.99,83.49,81.31,83.18,69.605,0.50%,13169403
2015/6/11,83.11,87.24,83.08,86.59,72.458,4.10%,16740826
2015/6/12,85.89,86,83.09,84.21,70.467,-2.75%,12630477
2015/6/15,83.57,84.61,83.09,84.08,70.358,-0.15%,5462684
2015/6/16,83.91,85.32,83.63,84.78,70.944,0.83%,5694510
2015/6/17,84.68,84.68,83.01,83.53,69.898,-1.47%,5968167
2015/6/18,83.89,84.37,82.75,83.04,69.488,-0.59%,7251541
2015/6/19,82.47,83.21,82.32,82.63,69.145,-0.49%,6906636
2015/6/22,83.3,83.44,82.85,82.92,69.387,0.35%,3537136
2015/6/23,83.75,83.75,82.45,82.67,69.178,-0.30%,3643465
2015/6/24,82.5,83.08,82.26,82.26,68.835,-0.50%,4212053
2015/6/25,84.16,86.9,84.08,84.8,70.96,3.09%,9625022
2015/6/26,85.19,85.93,84.58,85.85,71.839,1.24%,14369757
2015/6/29,85.35,85.58,83.73,83.78,70.107,-2.41%,4441878
2015/6/30,84.5,84.57,83.385,83.49,69.864,-0.35%,4261232
2015/7/1,83.8,84.96,83.6,84.85,71.002,1.63%,3629052
2015/7/2,85.21,86.24,84.69,86.14,72.082,1.52%,5128085
2015/7/6,85.31,86.44,85.25,86.35,72.258,0.24%,5062808
2015/7/7,86.64,88.78,86.06,88.73,74.249,2.76%,6911762
2015/7/8,88.27,88.5,87.17,87.25,73.011,-1.67%,5330041
2015/7/9,88,88.31,86.9,87.48,73.203,0.26%,4767588
2015/7/10,88.3,88.46,87.7,88.29,73.881,0.93%,4471173
2015/7/13,89.14,90.18,88.67,88.82,74.324,0.60%,5940508
2015/7/14,89.05,89.1,87.85,88.76,74.274,-0.07%,6028749
2015/7/15,87.79,88.17,86.1,86.38,72.283,-2.68%,6615885
2015/7/16,86.8,87.46,86.58,87.17,72.944,0.91%,5578027
2015/7/17,87,87.435,86.62,87.37,73.111,0.23%,4430068
2015/7/20,87.7,87.92,87.27,87.87,73.529,0.57%,4318829
2015/7/21,87.58,87.69,85.52,85.57,71.605,-2.62%,8064243
2015/7/22,83.32,86.8,81.5,86.38,72.283,0.95%,12677130
2015/7/23,89.06,89.87,85.62,86.76,72.601,0.44%,5258534
2015/7/24,86,86.21,84.16,84.72,70.894,-2.35%,3460139
2015/7/27,84.5,84.61,83.34,84.15,70.417,-0.67%,5420647
2015/7/28,84.71,85.7,84.5,85.68,71.697,1.82%,3027811
2015/7/29,85.91,85.99,84.71,85.09,71.203,-0.69%,2711842
2015/7/30,84.26,84.97,83.975,84.54,70.743,-0.65%,3867841
2015/7/31,84.88,85.255,84.38,84.51,70.718,-0.04%,4113617
2015/8/3,84.81,85,83.53,84.14,70.408,-0.44%,4815748
2015/8/4,84.49,84.99,83.85,84.05,70.333,-0.11%,2848178
2015/8/5,84.68,85.08,83.97,84.73,70.902,0.81%,3771986
2015/8/6,85.14,85.14,81.24,82.7,69.203,-2.40%,3862324
2015/8/7,82.5,82.69,80.65,82.27,68.843,-0.52%,4545326
2015/8/10,82.82,83.77,82.44,83.51,69.881,1.51%,3211620
2015/8/11,82.81,83.75,82.73,83.54,69.906,0.04%,3205573
2015/8/12,82.71,83.5,81.64,83.38,70.191,-0.19%,2870245
2015/8/13,83.2,83.75,82.89,83.03,69.896,-0.42%,2253924
2015/8/14,82.91,83.95,82.79,83.91,70.637,1.06%,2280244
2015/8/17,83.26,83.78,82.93,83.47,70.266,-0.52%,2814715
2015/8/18,83.83,83.99,83.23,83.39,70.199,-0.10%,2241397
2015/8/19,83.14,84.532,82.57,83.77,70.519,0.46%,2651346
2015/8/20,86.86,88.95,85.81,87.33,73.516,4.25%,10887657
2015/8/21,86.98,87.7,84.53,84.53,71.159,-3.21%,8313608
2015/8/24,81.6,82.964,79.5,80.73,67.96,-4.50%,8620721
2015/8/25,82.19,82.6,77.86,78.26,65.881,-3.06%,6438637
2015/8/26,79.88,81.3,77.77,81.1,68.271,3.63%,7211518
2015/8/27,81.79,84.04,81.71,83.74,70.494,3.26%,4703371
2015/8/28,83.3,84,82.77,83.19,70.031,-0.66%,4861398
2015/8/31,83.46,84.42,82.05,82.35,69.324,-1.01%,3445314
2015/9/1,80.6,81.25,79.4,79.8,67.177,-3.10%,4300485
2015/9/2,80.71,81.83,80.3,81.81,68.869,2.52%,3257865
2015/9/3,82.05,82.86,81.34,81.6,68.692,-0.26%,3227676
2015/9/4,80.64,81.11,79.68,80.32,67.615,-1.57%,3416402
2015/9/8,81.46,82.975,81.26,82.88,69.77,3.19%,2643617
2015/9/9,83.45,83.5,80.89,81.09,68.263,-2.16%,2839556
2015/9/10,81.12,81.67,80.5,80.84,68.052,-0.31%,3667668
2015/9/11,80.65,81.85,78.74,81.8,68.861,1.19%,3645932
2015/9/14,81.92,82.28,81.28,81.89,68.936,0.11%,3197225
2015/9/15,82.43,83.36,82.11,82.96,69.837,1.31%,3532562
2015/9/16,84.1,84.53,82.61,84.45,71.091,1.80%,3844983
2015/9/17,84.47,92.85,84.28,89.98,75.747,6.55%,16918092
2015/9/18,90.7,91.45,88.38,88.49,74.492,-1.66%,11578013
2015/9/21,89.1,89.81,87.11,87.59,73.735,-1.02%,6644099
2015/9/22,86.82,87.98,86.62,87.8,73.911,0.24%,5059529
2015/9/23,88,88.42,86.575,86.69,72.977,-1.26%,4863319
2015/9/24,86.45,86.54,85.08,85.35,71.849,-1.55%,5691534
2015/9/25,86.24,86.43,83.229,84.06,70.763,-1.51%,5794800
2015/9/28,83.68,83.86,78.5,79.74,67.126,-5.14%,8250814
2015/9/29,80.37,82.2,79.19,80.28,67.581,0.68%,7314071
2015/9/30,81.53,83.77,81.5,83.69,70.452,4.25%,6745657
2015/10/1,83.6,85.32,83.4,85.18,71.706,1.78%,5350444
2015/10/2,84.16,87.55,83.59,87.52,73.676,2.75%,5616534
2015/10/5,88.08,88.48,85.595,86.57,72.876,-1.09%,5298248
2015/10/6,86.39,86.505,82.08,84.17,70.856,-2.77%,5521178
2015/10/7,84.3,84.85,82.4,83.99,70.704,-0.21%,5131882
2015/10/8,83.15,83.99,81.79,83.77,70.519,-0.26%,4595447
2015/10/9,85.33,86.57,85,86.14,72.514,2.83%,5115109
2015/10/12,78.58,80.75,78.3,79.44,66.874,-7.78%,26477392
2015/10/13,79.79,81.25,79.54,79.62,67.025,0.23%,10104709
2015/10/14,80.97,82,79.05,79.25,66.714,-0.46%,9492494
2015/10/15,79.34,80.08,78.81,79.86,67.227,0.77%,6408613
2015/10/16,80.58,81.53,79.96,81.51,68.616,2.07%,5519788
2015/10/19,81.13,81.3,79.47,80.25,67.556,-1.55%,5869929
2015/10/20,80.15,80.34,77.625,77.79,65.485,-3.07%,7458024
2015/10/21,78.23,78.38,75.92,77.01,64.828,-1.00%,8971393
2015/10/22,77.22,77.84,75.16,76.98,64.803,-0.04%,10075325
2015/10/23,77.55,79.08,77.27,78.31,65.923,1.73%,5679211
2015/10/26,78.31,79.863,77.773,79.11,66.596,1.02%,4755216
