Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,31.59,31.805,31.25,31.27,22.743,-1.40%,1137256
2015/3/25,31.585,31.638,30.995,31.01,22.554,-0.83%,1425224
2015/3/26,30.95,31.125,30.53,30.65,22.292,-1.16%,1781058
2015/3/27,30.765,31.085,30.595,30.82,22.416,0.55%,1823684
2015/3/30,30.96,31.38,30.8,31.29,22.758,1.52%,1325536
2015/3/31,31.24,31.69,31.02,31.5,22.91,0.67%,2547700
2015/4/1,31.485,31.535,31.08,31.425,22.856,-0.24%,1747088
2015/4/2,31.43,31.675,31.33,31.455,22.878,0.10%,1147612
2015/4/6,31.5,32.07,31.475,31.825,23.147,1.18%,1321006
2015/4/7,31.82,31.92,31.275,31.3,22.765,-1.65%,1381092
2015/4/8,31.295,31.335,30.955,31.26,22.736,-0.13%,1450720
2015/4/9,31.255,31.31,30.935,31.255,22.732,-0.02%,1635158
2015/4/10,31.35,31.64,31.14,31.57,22.961,1.01%,968202
2015/4/13,31.555,31.675,31.345,31.37,22.816,-0.63%,1213172
2015/4/14,31.465,31.635,31.31,31.505,22.914,0.43%,912890
2015/4/15,31.525,31.77,31.37,31.405,22.841,-0.32%,1223572
2015/4/16,31.305,31.33,30.86,31.185,22.681,-0.70%,1293056
2015/4/17,31,31.28,30.945,31.075,22.601,-0.35%,1134752
2015/4/20,31.19,31.88,31.19,31.54,22.939,1.50%,287566
2015/4/21,31.56,31.765,31.18,31.3,22.765,-0.76%,320836
2015/4/22,31.43,31.51,31.1,31.375,22.819,0.24%,889028
2015/4/23,31.37,31.605,31.284,31.44,22.867,0.21%,1571470
2015/4/24,31.415,31.845,31.29,31.665,23.03,0.72%,836668
2015/4/27,31.775,31.86,31.095,31.155,22.659,-1.61%,1346852
2015/4/28,30.855,31.196,30.665,31.11,22.827,-0.14%,1207512
2015/4/29,30.85,31.04,30.64,30.88,22.658,-0.74%,856118
2015/4/30,30.715,30.945,30.1,30.235,22.185,-2.09%,2226854
2015/5/1,30.165,30.505,30.04,30.505,22.383,0.89%,1453434
2015/5/4,30.525,31.19,30.515,30.935,22.698,1.41%,2048756
2015/5/5,30.795,30.895,30.11,30.22,22.174,-2.31%,1299388
2015/5/6,30.26,30.4,29.81,30.095,22.082,-0.41%,839340
2015/5/7,30.155,30.385,30.055,30.145,22.119,0.17%,1144694
2015/5/8,30.49,30.7,29.95,30.13,22.108,-0.05%,2431880
2015/5/11,30.06,30.46,29.95,30.045,22.045,-0.28%,1255412
2015/5/12,29.885,30.075,29.64,29.95,21.975,-0.32%,1080266
2015/5/13,30.075,30.2,29.672,29.735,21.818,-0.72%,1000612
2015/5/14,29.835,30.135,29.813,30.135,22.111,1.35%,930014
2015/5/15,30.15,30.535,30.125,30.5,22.379,1.21%,1158318
2015/5/18,30.355,30.7,30.32,30.615,22.463,0.38%,1119256
2015/5/19,30.495,30.705,30.39,30.63,22.474,0.05%,852562
2015/5/20,30.61,30.885,30.58,30.7,22.526,0.23%,616854
2015/5/21,30.645,30.765,30.48,30.665,22.5,-0.11%,575852
2015/5/22,30.565,30.67,30.38,30.605,22.456,-0.20%,648876
2015/5/26,30.56,30.56,30.095,30.34,22.262,-0.87%,1002418
2015/5/27,30.45,30.68,30.31,30.63,22.474,0.96%,1306926
2015/5/28,30.625,30.802,30.54,30.73,22.548,0.33%,693574
2015/5/29,30.71,30.845,30.545,30.65,22.489,-0.26%,1151406
2015/6/1,30.7,30.82,30.545,30.695,22.522,0.15%,1267848
2015/6/2,30.545,30.545,30.02,30.26,22.203,-1.42%,2647554
2015/6/3,30.225,30.26,29.685,29.805,21.869,-1.50%,1444630
2015/6/4,29.645,29.92,29.49,29.53,21.667,-0.92%,1422486
2015/6/5,29.325,29.398,29.035,29.145,21.385,-1.30%,1827214
2015/6/8,29.125,29.2,28.98,29.02,21.293,-0.43%,934934
2015/6/9,28.995,29.16,28.905,28.905,21.209,-0.40%,1284836
2015/6/10,29.1,29.225,29,29.02,21.293,0.40%,987168
2015/6/11,29.21,29.455,29.16,29.395,21.568,1.29%,1525886
2015/6/12,29.225,29.305,29.04,29.06,21.322,-1.14%,666130
2015/6/15,29.03,29.105,28.84,28.935,21.231,-0.43%,917252
2015/6/16,28.865,29.2,28.78,29.14,21.381,0.71%,1204526
2015/6/17,29.15,29.4,28.985,29.295,21.495,0.53%,1106624
2015/6/18,29.365,29.885,29.318,29.715,21.803,1.43%,1402052
2015/6/19,29.8,29.865,29.57,29.57,21.697,-0.49%,2195602
2015/6/22,29.69,29.69,29.445,29.525,21.664,-0.15%,691410
2015/6/23,29.485,29.5,29.025,29.06,21.322,-1.57%,1135056
2015/6/24,29.005,29.2,28.835,28.84,21.161,-0.76%,959452
2015/6/25,28.86,28.94,28.65,28.685,21.047,-0.54%,1059252
2015/6/26,28.615,28.965,28.53,28.92,21.22,0.82%,1019506
2015/6/29,28.905,29.23,28.76,28.77,21.11,-0.52%,1208578
2015/6/30,28.945,29.005,28.725,28.86,21.176,0.31%,1752286
2015/7/1,28.945,29.12,28.794,29.065,21.326,0.71%,1241774
2015/7/2,29.255,29.55,29.09,29.505,21.649,1.51%,1427454
2015/7/6,29.52,29.63,29.255,29.55,21.682,0.15%,1133510
2015/7/7,29.695,30.425,29.67,30.39,22.298,2.84%,1388152
2015/7/8,30.265,30.43,30.115,30.205,22.163,-0.61%,949594
2015/7/9,30.29,30.385,29.715,29.795,21.862,-1.36%,802752
2015/7/10,29.795,30.21,29.565,30.045,22.045,0.84%,1074300
2015/7/13,30.135,30.285,29.965,30.135,22.111,0.30%,1121392
2015/7/14,30.12,30.285,30.062,30.15,22.122,0.05%,963842
2015/7/15,30.095,30.215,29.925,30.2,22.159,0.17%,1699774
2015/7/16,30.235,30.74,30.235,30.67,22.504,1.56%,1234932
2015/7/17,30.56,30.67,30.215,30.235,22.185,-1.42%,1361896
2015/7/20,30.215,30.215,29.915,30.125,22.104,-0.36%,561510
2015/7/21,30.09,30.178,29.705,29.815,21.876,-1.03%,734436
2015/7/22,29.81,30.18,29.805,30.035,22.038,0.74%,833026
2015/7/23,29.935,29.935,29.42,29.585,21.708,-1.50%,1148282
2015/7/24,29.595,29.765,29.43,29.63,21.741,0.15%,938234
2015/7/27,29.685,30.19,29.5,30.125,22.104,1.67%,1186658
2015/7/28,30.095,30.295,29.96,30.27,22.21,0.48%,1238294
2015/7/29,29.925,30.22,29.715,30.21,22.368,-0.20%,1220870
2015/7/30,30.125,30.625,30.065,30.485,22.572,0.91%,970064
2015/7/31,30.73,31.035,30.59,30.755,22.772,0.89%,866302
2015/8/3,30.75,31.03,30.625,30.795,22.801,0.13%,768246
2015/8/4,30.72,30.72,30.335,30.4,22.509,-1.28%,805828
2015/8/5,30.52,30.75,30.4,30.54,22.612,0.46%,1107370
2015/8/6,30.235,30.545,29.878,30.315,22.446,-0.74%,3701698
2015/8/7,30.295,30.605,30.04,30.36,22.479,0.15%,2373698
2015/8/10,30.4,30.585,30.225,30.315,22.446,-0.15%,1271580
2015/8/11,30.385,30.695,30.195,30.325,22.453,0.03%,1301630
2015/8/12,30.28,30.73,30.22,30.66,22.701,1.10%,1592772
2015/8/13,30.56,30.89,30.35,30.76,22.775,0.33%,1617682
2015/8/14,30.68,30.9,30.52,30.87,22.857,0.36%,1642028
2015/8/17,30.99,31.47,30.865,31.46,23.294,1.91%,1944172
2015/8/18,31.46,31.46,31.145,31.165,23.075,-0.94%,1168542
2015/8/19,31.045,31.405,30.945,31.245,23.134,0.26%,1517802
2015/8/20,31.08,31.33,30.855,30.92,22.894,-1.04%,1197176
2015/8/21,30.77,30.93,30.36,30.365,22.483,-1.79%,1571134
2015/8/24,29.615,29.95,28.92,29.02,21.487,-4.43%,2026934
2015/8/25,29.385,29.395,27.99,28.05,20.769,-3.34%,2495344
2015/8/26,28.24,28.42,27.76,28.33,20.976,1.00%,1695182
2015/8/27,28.415,28.88,28.325,28.865,21.372,1.89%,1902122
2015/8/28,28.85,28.985,28.485,28.9,21.398,0.12%,1311114
2015/8/31,28.785,28.785,28.115,28.335,20.98,-1.96%,1442808
2015/9/1,27.94,28.055,27.44,27.56,20.406,-2.74%,1497942
2015/9/2,27.85,27.955,27.33,27.565,20.41,0.02%,1632494
2015/9/3,27.61,27.88,27.58,27.69,20.502,0.45%,1188332
2015/9/4,27.455,27.52,27.135,27.275,20.195,-1.50%,1190538
2015/9/8,27.48,27.82,27.425,27.8,20.584,1.92%,1171632
2015/9/9,27.87,27.96,27.466,27.505,20.365,-1.06%,1209808
2015/9/10,27.39,27.74,27.35,27.42,20.302,-0.31%,984280
2015/9/11,27.325,27.63,27.25,27.625,20.454,0.75%,985840
2015/9/14,27.7,27.84,27.505,27.7,20.51,0.27%,1018666
2015/9/15,27.695,27.853,27.465,27.8,20.584,0.36%,712056
2015/9/16,27.795,28.17,27.705,28.105,20.809,1.10%,1002716
2015/9/17,28.055,28.91,28.048,28.54,21.132,1.55%,1100986
2015/9/18,28.245,28.71,28.19,28.375,21.009,-0.58%,1775642
2015/9/21,28.475,28.75,28.395,28.575,21.157,0.70%,942058
2015/9/22,28.375,28.6,28.28,28.35,20.991,-0.79%,774224
2015/9/23,28.36,28.51,28.275,28.39,21.02,0.14%,1096790
2015/9/24,28.325,28.735,28.256,28.68,21.235,1.02%,1085786
2015/9/25,28.73,29.32,28.555,28.99,21.465,1.08%,881670
2015/9/28,28.895,29.098,28.8,29.02,21.487,0.10%,1263334
2015/9/29,29.005,29.16,28.68,28.87,21.376,-0.52%,1315952
2015/9/30,29.03,29.305,28.93,29.245,21.654,1.30%,1682650
2015/10/1,29.28,29.305,28.59,28.795,21.32,-1.54%,1453518
2015/10/2,28.985,29.185,28.635,29.185,21.609,1.35%,1800636
2015/10/5,29.285,29.53,29.1,29.48,21.828,1.01%,1363020
2015/10/6,29.41,29.495,29.135,29.235,21.646,-0.83%,1165530
2015/10/7,29.29,29.35,29.02,29.11,21.554,-0.43%,954024
2015/10/8,29.05,29.54,29.008,29.47,21.82,1.24%,743498
2015/10/9,29.475,29.515,29.29,29.36,21.739,-0.37%,829816
2015/10/12,29.44,29.835,29.405,29.685,21.979,1.11%,818624
2015/10/13,29.65,29.83,29.565,29.7,21.99,0.05%,1502118
2015/10/14,29.775,30.015,29.725,29.765,22.039,0.22%,1248660
2015/10/15,29.91,30.285,29.765,30.265,22.409,1.68%,1082642
2015/10/16,30.32,30.51,30.205,30.36,22.479,0.31%,1033126
2015/10/19,30.28,30.495,30.075,30.495,22.579,0.44%,818752
