Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,55.89,56.44,55.43,55.69,41.723,-0.52%,5823262
2015/3/25,55.9,55.936,55.03,55.13,41.304,-1.01%,3465204
2015/3/26,55.17,55.34,54.6,54.69,40.974,-0.80%,3459402
2015/3/27,55.02,55.27,54.5,54.75,41.019,0.11%,3057077
2015/3/30,55.01,55.55,53.98,55.29,41.423,0.99%,3307248
2015/3/31,55.21,56.54,54.9,55.04,41.236,-0.45%,5096160
2015/4/1,55.28,55.65,54.07,54.97,41.184,-0.13%,4879681
2015/4/2,55.1,56.44,54.72,56.17,42.083,2.18%,3518145
2015/4/6,56.11,57.16,55.64,56.85,42.592,1.21%,2850909
2015/4/7,56.72,56.92,55.97,56.01,41.963,-1.48%,2681122
2015/4/8,56.8,57.6,55.75,56.93,42.652,1.64%,6103470
2015/4/9,57.61,59.9,57.6,59.56,44.623,4.62%,10923059
2015/4/10,59.4,59.43,58.67,59.29,44.42,-0.45%,5727847
2015/4/13,58.93,59,57.76,58.05,43.491,-2.09%,4253267
2015/4/14,56.03,56.5,55.22,55.8,41.806,-3.88%,8293344
2015/4/15,55.66,57.3,55.04,56.77,42.532,1.74%,6781680
2015/4/16,56.75,57.15,56.01,56.22,42.12,-0.97%,4769067
2015/4/17,55.68,56.45,54.654,55.16,41.326,-1.89%,5889369
2015/4/20,55.6,57.25,55.54,56.34,42.21,2.14%,5629623
2015/4/21,56.47,56.65,55.06,55.44,41.536,-1.60%,6059279
2015/4/22,55.55,56.64,55.24,56.39,42.248,1.71%,4770208
2015/4/23,54.79,55.82,53.99,55.12,41.296,-2.25%,8784557
2015/4/24,55.62,56.39,55.185,55.25,41.393,0.24%,4236391
2015/4/27,55.5,55.7,54.25,54.49,40.824,-1.38%,3897833
2015/4/28,54.54,55.79,54.51,55.39,41.498,1.65%,6177252
2015/4/29,53.5,53.51,52.01,52.9,39.633,-4.50%,10475422
2015/4/30,52.81,53.34,52.53,52.88,39.618,-0.04%,5489924
2015/5/1,53.29,53.43,52.72,52.86,39.603,-0.04%,4308075
2015/5/4,53.47,54.727,53.33,53.48,40.067,1.17%,7254216
2015/5/5,53.46,53.83,52.51,53.07,39.76,-0.77%,4373645
2015/5/6,53.42,53.49,51.65,52.15,39.071,-1.73%,5017359
2015/5/7,52.2,53.07,52.06,52.17,39.086,0.04%,4226302
2015/5/8,52.87,53,52.12,52.74,39.513,1.09%,3470320
2015/5/11,52.64,52.689,51.84,51.85,38.846,-1.69%,3491142
2015/5/12,51.71,52.56,51.31,52.09,39.026,0.46%,3242713
2015/5/13,52.28,52.89,51.79,52.04,38.989,-0.10%,4235476
2015/5/14,52.42,52.44,51.43,51.54,38.614,-0.96%,3312665
2015/5/15,51.51,51.8,50.86,50.97,38.187,-1.11%,4266768
2015/5/18,50.37,50.99,50.31,50.66,37.955,-0.61%,5279838
2015/5/19,50.64,50.76,50.12,50.46,37.805,-0.39%,3241859
2015/5/20,50.69,52.115,50.6,51.73,38.756,2.52%,4801397
2015/5/21,51.85,52.75,51.81,52.54,39.363,1.57%,3727283
2015/5/22,52.6,52.68,51.88,51.95,38.921,-1.12%,3492015
2015/5/26,51.58,51.64,49.57,49.93,37.408,-3.89%,8365745
2015/5/27,50.14,50.69,49.64,50.55,37.872,1.24%,5024895
2015/5/28,50.51,51.3,50.22,51.05,38.247,0.99%,4301631
2015/5/29,51.31,51.52,50.74,50.83,38.082,-0.43%,7359528
2015/6/1,50.18,50.18,49.68,49.95,37.423,-1.73%,5866648
2015/6/2,49.95,51.118,49.8,50.95,38.172,2.00%,4220753
2015/6/3,51,52.68,51,52.5,39.333,3.04%,7871505
