Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,25.45,25.58,25.21,25.48,25.48,0.20%,528915
2015/3/25,25.47,25.47,24.95,24.96,24.96,-2.04%,864754
2015/3/26,24.79,25.04,24.61,24.93,24.93,-0.12%,618472
2015/3/27,24.95,25.03,24.614,25,25,0.28%,715908
2015/3/30,25.18,25.375,25.02,25.25,25.25,1.00%,847134
2015/3/31,25.12,25.41,25.04,25.23,25.23,-0.08%,869887
2015/4/1,25.14,25.38,24.98,25.31,25.31,0.32%,808684
2015/4/2,25.22,25.69,25.09,25.69,25.69,1.50%,908419
2015/4/6,25.53,25.95,25.46,25.91,25.91,0.86%,2284610
2015/4/7,25.87,26.12,25.7,25.74,25.74,-0.66%,734855
2015/4/8,25.69,25.88,25.475,25.73,25.73,-0.04%,794319
2015/4/9,25.82,26.07,25.69,25.93,25.93,0.78%,1116788
2015/4/10,25.97,26.1,25.775,25.8,25.8,-0.50%,575669
2015/4/13,25.76,26.15,25.68,25.95,25.95,0.58%,1029324
2015/4/14,26,26.11,25.85,26.03,26.03,0.31%,597495
2015/4/15,26.09,26.33,26.09,26.18,26.18,0.58%,654800
2015/4/16,26.13,26.24,25.995,26.24,26.24,0.23%,511198
2015/4/17,26.02,26.06,25.6,25.7,25.7,-2.06%,504155
2015/4/20,25.82,25.91,25.53,25.91,25.91,0.82%,510481
2015/4/21,26,26.085,25.77,25.97,25.97,0.23%,679310
2015/4/22,26,26.1,25.78,25.99,25.99,0.08%,433101
2015/4/23,25.91,26.07,25.83,25.98,25.98,-0.04%,604701
2015/4/24,26.06,26.3,25.9,25.99,25.99,0.04%,456370
2015/4/27,26.01,26.07,25.51,25.58,25.58,-1.58%,898272
2015/4/28,25.54,25.72,25.29,25.51,25.51,-0.27%,765683
2015/4/29,25.39,25.8,25.37,25.63,25.63,0.47%,489230
2015/4/30,25.54,25.71,24.99,25.06,25.06,-2.22%,967607
2015/5/1,26.73,27.24,26.47,27.08,27.08,8.06%,1991100
2015/5/4,27.25,27.78,27.21,27.75,27.75,2.47%,1423829
2015/5/5,27.75,27.79,26.86,26.89,26.89,-3.10%,1201845
2015/5/6,26.97,27.09,26.56,26.63,26.63,-0.97%,701908
2015/5/7,26.65,26.79,26.425,26.56,26.56,-0.26%,496595
2015/5/8,26.9,26.99,26.68,26.85,26.85,1.09%,671064
2015/5/11,26.82,26.9,26.61,26.63,26.63,-0.82%,444228
