Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,89.4,89.94,89.04,89.49,84.202,0.18%,4050255
2015/3/25,89.57,89.62,87.37,87.37,82.208,-2.37%,3813320
2015/3/26,86.71,88.3,86.561,87.93,82.735,0.64%,4141800
2015/3/27,87.9,88.32,86.87,87.25,82.095,-0.77%,4927127
2015/3/30,87.64,88.29,87.48,87.67,82.49,0.48%,3450956
2015/3/31,87.33,88.26,86.39,86.39,81.286,-1.46%,5984940
2015/4/1,86.73,86.74,85.37,86.74,81.615,0.41%,4737377
2015/4/2,86.92,87.865,86.67,87.03,81.888,0.33%,4628750
2015/4/6,86.35,87.659,86.22,87.34,82.18,0.36%,5854042
2015/4/7,87.46,88.51,87.27,87.92,82.876,0.66%,4091319
2015/4/8,88.4,89.69,88.28,89.32,84.195,1.59%,3659886
2015/4/9,89.1,89.7,88.14,89.06,83.95,-0.29%,3482136
2015/4/10,89.48,89.48,88.32,88.57,83.488,-0.55%,2575674
2015/4/13,88.63,89.43,88.25,88.25,83.187,-0.36%,3526040
2015/4/14,88.01,89.47,88.005,89.12,84.007,0.99%,3453828
2015/4/15,89.15,89.57,88.66,89.25,84.129,0.15%,2683577
2015/4/16,88.95,89.18,88.59,88.72,83.63,-0.59%,2952063
2015/4/17,87.99,88.31,86.59,86.93,81.943,-2.02%,4352623
2015/4/20,87.22,87.886,87.01,87.33,82.32,0.46%,2681094
2015/4/21,87.5,88.18,87.27,87.77,82.734,0.50%,3148214
2015/4/22,88.48,92.43,88.48,91.2,85.968,3.91%,12231788
2015/4/23,91.2,91.4,90.18,90.88,85.666,-0.35%,4322941
2015/4/24,90.72,91.16,90.21,90.72,85.515,-0.18%,3519342
2015/4/27,90.93,91.265,89.69,89.75,84.601,-1.07%,4853431
2015/4/28,89.65,90.44,89.31,90.23,85.053,0.53%,4782363
2015/4/29,91.13,93.59,89.81,90.25,85.072,0.02%,9364071
2015/4/30,90.25,91.388,89.66,90.21,85.034,-0.04%,7470074
2015/5/1,90.36,91.31,90.26,91.25,86.015,1.15%,4663074
2015/5/4,91.49,91.99,90.81,91.18,85.949,-0.08%,4596701
2015/5/5,91.14,91.92,90.56,90.78,85.572,-0.44%,3707350
2015/5/6,91.05,91.45,89.96,90.57,85.374,-0.23%,3495788
2015/5/7,90.71,92.16,90.35,92.05,86.769,1.63%,4370005
2015/5/8,92.84,94.33,92.64,93.51,88.145,1.59%,9933392
2015/5/11,93.48,93.92,92.5,92.52,87.212,-1.06%,4731192
2015/5/12,91.89,92.73,91.58,92.39,87.089,-0.14%,5191399
2015/5/13,92.75,92.98,92.02,92.52,87.212,0.14%,3443338
2015/5/14,93.095,93.9,92.8,93.84,88.456,1.43%,3467362
2015/5/15,93.84,94.5,93.03,93.22,87.872,-0.66%,3403777
2015/5/18,92.9,93.16,91.83,93.08,87.74,-0.15%,4281186
2015/5/19,93.61,94.07,93.15,93.8,88.418,0.77%,3279694
2015/5/20,94.1,94.1,92.81,93.24,87.891,-0.60%,2701147
2015/5/21,93.09,93.35,92.73,92.9,87.57,-0.36%,2890989
2015/5/22,92.95,93.29,92.65,92.69,87.372,-0.23%,2449155
2015/5/26,92.6,92.64,91.55,91.89,86.618,-0.86%,2965399
2015/5/27,92.11,92.78,91.89,92.59,87.278,0.76%,2597831
2015/5/28,92.6,92.96,92.11,92.82,87.495,0.25%,1778401
2015/5/29,92.81,92.92,92.15,92.26,86.967,-0.60%,3561409
2015/6/1,92.4,92.94,91.61,92.56,87.25,0.33%,2635385
2015/6/2,92.14,93.52,91.44,93.17,87.825,0.66%,2795971
2015/6/3,93.3,94.06,92.9,93.5,88.136,0.35%,3638904
2015/6/4,92.95,93.66,92.32,92.57,87.259,-0.99%,3320325
2015/6/5,92.44,92.84,91.7,92.62,87.306,0.05%,2654972
2015/6/8,92.39,92.61,91.774,91.9,86.627,-0.78%,2561519
2015/6/9,91.73,92.305,91.295,92.09,86.807,0.21%,2375067
2015/6/10,92.5,94.36,92.399,94.17,88.767,2.26%,3727776
2015/6/11,94.35,95.13,93.98,94.5,89.078,0.35%,3403628
2015/6/12,94.05,94.27,93.21,93.77,88.39,-0.77%,2777547
2015/6/15,92.93,93.54,92.15,93.3,87.947,-0.50%,3228977
2015/6/16,93.33,94.419,93.08,94.15,88.748,0.91%,2446551
2015/6/17,94.35,94.97,93.9,94.45,89.031,0.32%,2962532
2015/6/18,94.57,96.31,94.54,96.05,90.539,1.69%,4207959
2015/6/19,95.82,95.96,94.72,94.81,89.37,-1.29%,5011019
2015/6/22,95.59,96.13,95.26,95.42,89.945,0.64%,3290116
2015/6/23,95.67,95.98,95.35,95.7,90.209,0.29%,4195410
2015/6/24,95.38,96.15,95.29,95.51,90.03,-0.20%,3682498
2015/6/25,95.87,95.87,94.28,94.46,89.041,-1.10%,3214916
