Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,79.18,79.42,78.23,78.29,55.002,-1.11%,482772
2015/3/25,78.39,78.68,76.768,76.91,54.033,-1.76%,276578
2015/3/26,76.87,77.64,76.34,76.72,53.899,-0.25%,274101
2015/3/27,76.78,77.26,76.358,76.73,53.906,0.01%,305621
2015/3/30,77.07,78.03,76.788,77.87,54.707,1.49%,283138
2015/3/31,77.59,78.25,77,77.27,54.286,-0.77%,407712
2015/4/1,77.29,77.62,76.48,77.32,54.321,0.06%,463485
2015/4/2,76.87,78.32,76.87,77.97,54.777,0.84%,393560
2015/4/6,78.27,78.99,77.67,78.8,55.361,1.06%,427485
2015/4/7,78.73,78.73,77.43,77.49,54.44,-1.66%,317155
2015/4/8,77.78,78.53,77.69,78.15,54.904,0.85%,391433
2015/4/9,78.65,78.65,75.84,76.07,53.443,-2.66%,318253
2015/4/10,76.51,76.99,75.38,75.67,53.162,-0.53%,432615
2015/4/13,74.72,75.38,74.24,74.79,53.084,-1.16%,602024
2015/4/14,75.22,75.82,74.877,75.4,53.517,0.82%,417532
2015/4/15,75.48,75.6,74.24,74.49,52.871,-1.21%,365584
2015/4/16,74.17,75.31,73.94,75.13,53.326,0.86%,275044
2015/4/17,74.88,75.36,74.44,74.96,53.205,-0.23%,365085
2015/4/20,75.04,75.58,74.7,75.24,53.404,0.37%,336838
2015/4/21,75.62,76.09,75.23,75.57,53.638,0.44%,291904
2015/4/22,75.53,76.59,75.11,76.57,54.348,1.32%,295694
2015/4/23,76.38,77.29,76.31,77.06,54.696,0.64%,312437
2015/4/24,77.15,77.47,76.72,76.73,54.461,-0.43%,267118
2015/4/27,77.03,77.55,76.31,76.6,54.369,-0.17%,435051
2015/4/28,76.64,76.99,75.99,76.72,54.454,0.16%,247226
2015/4/29,76.15,76.5,75.39,75.71,53.737,-1.32%,343601
2015/4/30,77.11,77.11,74.15,74.61,52.957,-1.45%,501472
2015/5/1,74.76,76.7,74.478,76.23,54.106,2.17%,662002
2015/5/4,76.53,77.56,76.53,77.04,54.681,1.06%,832926
2015/5/5,76.75,77.063,74.69,74.95,53.198,-2.71%,800289
2015/5/6,75.13,75.59,74.68,75.16,53.347,0.28%,595313
2015/5/7,75.33,76.695,75.24,76.32,54.17,1.54%,451791
2015/5/8,77.24,78.34,76.604,77.14,54.752,1.07%,275089
2015/5/11,76.9,77.63,75.24,75.49,53.581,-2.14%,329230
2015/5/12,75.01,76.07,74.385,75.65,53.695,0.21%,244848
2015/5/13,75.32,76.43,74.24,74.49,52.871,-1.53%,498754
2015/5/14,75.05,75.88,74.65,75.85,53.837,1.83%,386482
2015/5/15,76.13,76.96,75.9,76.85,54.546,1.32%,234028
2015/5/18,76.45,76.977,76.06,76.84,54.539,-0.01%,381763
2015/5/19,76.64,77.05,76.23,76.77,54.49,-0.09%,299213
2015/5/20,76.97,77.32,76.54,76.86,54.554,0.12%,238764
2015/5/21,77.09,77.48,76.44,76.79,54.504,-0.09%,430906
2015/5/22,76.55,77.45,76.04,77.04,54.681,0.33%,406326
2015/5/26,76.9,76.9,76,76.25,54.121,-1.03%,223033
2015/5/27,76.41,77.23,75.95,77.09,54.717,1.10%,303099
2015/5/28,77.15,77.47,76.81,77.33,54.887,0.31%,503170
