Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,83.97,84.016,82.21,82.25,74.559,-2.40%,2108740
2015/3/25,81.86,81.983,79.78,79.79,72.329,-2.99%,3328888
2015/3/26,79.23,81.07,78.58,80.575,73.041,0.98%,3163925
2015/3/27,80.46,81.4,80.29,80.82,73.263,0.30%,1777567
2015/3/30,81.32,81.81,81.16,81.5,73.879,0.84%,1083321
2015/3/31,81.29,81.72,80.17,80.32,72.81,-1.45%,1920806
2015/4/1,80.42,80.42,79.12,80.33,72.819,0.01%,1364255
2015/4/2,80.31,80.93,79.95,80.15,72.656,-0.22%,1143127
2015/4/6,79.43,80.56,79.04,80.28,72.773,0.16%,1799430
2015/4/7,80.1,80.24,79.13,79.15,71.749,-1.41%,2416275
2015/4/8,79.47,80.86,79.34,80.185,72.687,1.31%,2202791
2015/4/9,80.01,80.58,79.41,80.225,72.724,0.05%,1095926
2015/4/10,80.35,80.67,80.06,80.32,72.81,0.12%,851023
2015/4/13,80.19,80.78,79.84,80.21,72.71,-0.14%,1027051
2015/4/14,79.86,80.22,79.03,79.26,71.849,-1.18%,1653799
2015/4/15,79.43,79.96,78.85,78.96,71.577,-0.38%,1381282
2015/4/16,78.55,79.29,78.4,78.51,71.169,-0.57%,1711162
2015/4/17,77.92,78.32,77.15,77.64,70.38,-1.11%,2927673
2015/4/20,77.99,79.93,77.72,79.77,72.311,2.74%,3587604
2015/4/21,80.09,80.75,79.53,80.47,72.946,0.88%,2344305
2015/4/22,81.05,81.2,80.12,80.785,73.231,0.39%,1572044
2015/4/23,80.46,81.93,80.23,81.35,73.743,0.70%,1236693
2015/4/24,81.59,81.99,81.1,81.84,74.188,0.60%,1131871
2015/4/27,81.78,83.07,81.28,81.37,73.761,-0.57%,2220702
2015/4/28,81.21,81.82,80.086,81.32,73.716,-0.06%,1804031
2015/4/29,82.42,84.33,82.06,83.87,76.028,3.14%,5530237
2015/4/30,82.3,82.71,79.18,80.05,72.565,-4.55%,5499457
2015/5/1,80.65,81.83,80.39,80.965,73.394,1.14%,1877684
2015/5/4,81.01,81.28,80.06,80.51,72.982,-0.56%,1678454
2015/5/5,80.28,80.31,78.18,78.21,70.897,-2.86%,2694137
2015/5/6,78.35,79.42,77.91,78.82,71.45,0.78%,2273600
2015/5/7,78.78,79.46,78.33,78.48,71.142,-0.43%,2587234
2015/5/8,79.4,80.87,79.24,80.3,72.792,2.32%,1865621
2015/5/11,80.15,80.44,79.59,79.72,72.266,-0.72%,1853089
2015/5/12,79.15,79.75,78.614,79.16,71.758,-0.70%,1247191
2015/5/13,78.94,79.81,78.51,78.68,71.323,-0.61%,1647188
2015/5/14,79.37,80.69,79.22,80.575,73.041,2.41%,1847384
2015/5/15,80.93,81.5,80.3,80.9,73.335,0.40%,1965826
2015/5/18,80.65,81.55,80.65,81.23,73.635,0.41%,1416399
2015/5/19,81.18,81.516,80.675,80.9,73.335,-0.41%,1553483
2015/5/20,80.92,81.53,79.75,80.66,73.345,-0.30%,1246581
2015/5/21,80.36,80.82,80.03,80.47,73.172,-0.24%,1330448
2015/5/22,80.39,80.76,79.57,80.15,72.881,-0.40%,934857
2015/5/26,80.14,80.23,78.52,78.71,71.571,-1.80%,1210194
2015/5/27,79.02,79.68,78.78,79.2,72.017,0.62%,1530557
2015/5/28,79.12,79.21,78.34,79.03,71.862,-0.21%,1308389
2015/5/29,79.32,79.47,77.82,77.99,70.917,-1.32%,2532166
2015/6/1,78.2,78.75,77.365,77.97,70.898,-0.03%,1928288
2015/6/2,77.74,78.68,77.6,78.43,71.317,0.59%,1378320
2015/6/3,78.87,79.875,78.56,79.38,72.181,1.21%,1677759
2015/6/4,78.85,79.41,78.32,78.48,71.362,-1.13%,1515010
2015/6/5,78.24,78.67,77.8,78.38,71.271,-0.13%,838033
2015/6/8,78.07,78.21,76.89,76.96,69.98,-1.81%,2038208
2015/6/9,76.84,77.49,76.58,77.32,70.307,0.47%,1205525
2015/6/10,77.47,78.13,77.23,77.23,70.226,-0.12%,1344543
2015/6/11,77.41,77.52,76.63,77.27,70.262,0.05%,2253878
2015/6/12,76.95,77.36,76.4,76.63,69.68,-0.83%,2104479
2015/6/15,76.05,77.19,75.86,77.02,70.035,0.51%,1754352
2015/6/16,76.71,77.25,76.57,76.73,69.771,-0.38%,1463707
2015/6/17,76.75,77.11,76.02,77.02,70.035,0.38%,1546672
2015/6/18,77.37,78.5,77.36,78.15,71.062,1.47%,1506863
2015/6/19,78.13,78.27,77.59,77.64,70.598,-0.65%,1810696
2015/6/22,78,78.39,77.8,77.91,70.844,0.35%,1312289
2015/6/23,77.8,77.99,77.322,77.59,70.553,-0.41%,1212255
2015/6/24,77.57,77.615,76.24,76.37,69.444,-1.57%,2098444
2015/6/25,76.44,76.86,76.1,76.165,69.257,-0.27%,1335671
2015/6/26,76.54,76.79,75.88,76.02,69.125,-0.19%,3597100
2015/6/29,75.24,75.5,73.77,73.83,67.134,-2.88%,2026906
2015/6/30,74.46,75.09,73.95,74.39,67.643,0.76%,1828769
2015/7/1,75.22,75.42,74.57,74.99,68.189,0.81%,1854777
2015/7/2,75.06,75.28,74.5,74.8,68.016,-0.25%,1227494
2015/7/6,74.06,74.77,73.84,74.31,67.57,-0.66%,1700134
2015/7/7,74.31,75.52,73.36,75.44,68.598,1.52%,2767958
2015/7/8,74.68,74.95,73.9,73.96,67.252,-1.96%,2016157
2015/7/9,75.22,75.66,74.17,74.18,67.452,0.30%,1599201
2015/7/10,75.23,76.19,74.59,75.97,69.08,2.41%,1416825
2015/7/13,76.76,77.38,76.52,76.98,69.998,1.33%,1756049
2015/7/14,76.6,77.66,76.6,77.26,70.253,0.36%,1214121
2015/7/15,77.14,78.02,76.9,77.36,70.344,0.13%,1637158
2015/7/16,77.67,78.76,77.67,78.25,71.153,1.15%,1756531
2015/7/17,77,78.28,77,77.7,70.653,-0.70%,1715662
2015/7/20,77.74,78.26,77.68,77.83,70.771,0.17%,1275982
2015/7/21,78.11,78.11,76.39,76.6,69.653,-1.58%,2271065
2015/7/22,76.54,77.17,76.24,76.93,69.953,0.43%,1601871
2015/7/23,76.92,76.92,74.04,74.62,67.852,-3.00%,3260923
2015/7/24,74.8,74.81,73.31,74.02,67.307,-0.80%,2747325
2015/7/27,73.54,74.4,72.92,73.9,67.198,-0.16%,2378017
2015/7/28,74.19,75.64,74.03,74.59,67.825,0.93%,2632464
2015/7/29,74.8,77.37,74.78,77,70.016,3.23%,3417864
2015/7/30,76,76.13,72.15,72.64,66.052,-5.66%,6515290
2015/7/31,73.85,73.88,71.89,72.61,66.025,-0.04%,3438888
2015/8/3,72.16,72.91,71.94,72.57,65.988,-0.06%,2314231
2015/8/4,72.6,72.6,71.88,72.22,65.67,-0.48%,1862069
2015/8/5,73.08,73.4,70.44,70.7,64.288,-2.10%,4154029
2015/8/6,70.97,71.08,70.07,70.93,64.497,0.33%,3782408
2015/8/7,70.93,71.47,70.07,71.37,64.897,0.62%,2691997
2015/8/10,72.15,72.71,71.86,72.55,65.97,1.65%,1788334
2015/8/11,72.03,72.5,71.68,72.14,65.597,-0.57%,1926858
2015/8/12,71.13,72.4,70.26,72.27,65.715,0.18%,2758040
2015/8/13,71.81,72.75,71.61,72.3,65.743,0.04%,1533131
2015/8/14,72.25,72.4,71.44,71.85,65.334,-0.62%,1351959
2015/8/17,71.6,73.23,71.44,72.94,66.325,1.52%,1294439
2015/8/18,72.91,72.91,72.23,72.38,66.043,-0.77%,1073479
2015/8/19,71.96,72.54,71.42,71.91,65.614,-0.65%,1959253
2015/8/20,71.25,71.25,69.92,70,63.871,-2.66%,2792624
